ko:K03690	xop:PXO_02770
ko:K03688	xop:PXO_02769
ko:K06175	xop:PXO_02767
ko:K09924	xop:PXO_02766
ko:K03101	xop:PXO_05536
ko:K03424	xop:PXO_03776
ko:K02313	xop:PXO_03483
ko:K02338	xop:PXO_03482
ko:K03629	xop:PXO_03481
ko:K02470	xop:PXO_03480
ko:K03832	xop:PXO_03476
ko:K03559	xop:PXO_03474
ko:K03559	xop:PXO_03473
ko:K03474	xop:PXO_03472
ko:K06131	xop:PXO_03470
ko:K02014	xop:PXO_03467
ko:K00101	xop:PXO_03463
ko:K00874	xop:PXO_03455
ko:K03671	xop:PXO_03441
ko:K00035	xop:PXO_04345
ko:K09912	xop:PXO_04343
ko:K01251	xop:PXO_04338
ko:K01595	xop:PXO_04694
ko:K00789	xop:PXO_04686
ko:K00852	xop:PXO_04680
ko:K09922	xop:PXO_04670
ko:K02050	xop:PXO_04668
ko:K02003	xop:PXO_04661
ko:K00901	xop:PXO_04654
ko:K03744	xop:PXO_04653
ko:K06872	xop:PXO_04652
ko:K00560	xop:PXO_04649
ko:K01585	xop:PXO_03648
ko:K03557	xop:PXO_02996
ko:K01963	xop:PXO_01273
ko:K03110	xop:PXO_01431
ko:K09973	xop:PXO_00408
ko:K00023	xop:PXO_00406
ko:K03799	xop:PXO_00404
ko:K03060	xop:PXO_02365
ko:K00942	xop:PXO_02367
ko:K00989	xop:PXO_02369
ko:K01262	xop:PXO_02378
ko:K09895	xop:PXO_02379
ko:K09888	xop:PXO_02381
ko:K01807	xop:PXO_02384
ko:K09005	xop:PXO_02385
ko:K00788	xop:PXO_02388
ko:K11103	xop:PXO_02396
ko:K02012	xop:PXO_02405
ko:K07649	xop:PXO_02406
ko:K03300	xop:PXO_02410
ko:K02647	xop:PXO_03504
ko:K00865	xop:PXO_03503
ko:K06969	xop:PXO_03498
ko:K01126	xop:PXO_03494
ko:K03650	xop:PXO_03489
ko:K03217	xop:PXO_03487
ko:K03536	xop:PXO_03486
ko:K02914	xop:PXO_03485
ko:K07007	xop:PXO_00402
ko:K09768	xop:PXO_00400
ko:K03704	xop:PXO_00399
ko:K00759	xop:PXO_00395
ko:K05591	xop:PXO_00394
ko:K02044	xop:PXO_00385
ko:K02356	xop:PXO_00382
ko:K03736	xop:PXO_00363
ko:K01465	xop:PXO_00361
ko:K06204	xop:PXO_00359
ko:K02426	xop:PXO_00356
ko:K01883	xop:PXO_00355
ko:K02838	xop:PXO_01128
ko:K00806	xop:PXO_01127
ko:K00981	xop:PXO_01126
ko:K00099	xop:PXO_01125
ko:K07277	xop:PXO_01121
ko:K02536	xop:PXO_01119
ko:K02372	xop:PXO_01118
ko:K00677	xop:PXO_01117
ko:K03470	xop:PXO_01115
ko:K02337	xop:PXO_05648
ko:K08973	xop:PXO_01813
ko:K09125	xop:PXO_01798
ko:K03616	xop:PXO_01788
ko:K03088	xop:PXO_01782
ko:K00507	xop:PXO_01780
ko:K09701	xop:PXO_01778
ko:K00574	xop:PXO_01777
ko:K00574	xop:PXO_01774
ko:K01975	xop:PXO_01767
ko:K05844	xop:PXO_02302
ko:K00134	xop:PXO_02308
ko:K02020	xop:PXO_02318
ko:K02018	xop:PXO_02319
ko:K00615	xop:PXO_02341
ko:K03924	xop:PXO_02348
ko:K02913	xop:PXO_03239
ko:K06131	xop:PXO_03233
ko:K03657	xop:PXO_03230
ko:K09760	xop:PXO_03225
ko:K00432	xop:PXO_03223
ko:K06076	xop:PXO_03551
ko:K03797	xop:PXO_03547
ko:K01495	xop:PXO_03535
ko:K03761	xop:PXO_03531
ko:K07504	xop:PXO_03510
ko:K07095	xop:PXO_03670
ko:K00700	xop:PXO_03669
ko:K07391	xop:PXO_03657
ko:K00797	xop:PXO_03650
ko:K03495	xop:PXO_03636
ko:K01754	xop:PXO_03634
ko:K02169	xop:PXO_03630
ko:K02170	xop:PXO_03628
ko:K03670	xop:PXO_03624
ko:K00857	xop:PXO_03622
ko:K03656	xop:PXO_03620
ko:K09915	xop:PXO_03616
ko:K01591	xop:PXO_03614
ko:K02954	xop:PXO_04508
ko:K02994	xop:PXO_04507
ko:K02933	xop:PXO_04506
ko:K02881	xop:PXO_04504
ko:K02988	xop:PXO_04503
ko:K02907	xop:PXO_04502
ko:K02876	xop:PXO_04501
ko:K03076	xop:PXO_04500
ko:K02952	xop:PXO_04499
ko:K02948	xop:PXO_04498
ko:K02986	xop:PXO_04497
ko:K03040	xop:PXO_04496
ko:K02879	xop:PXO_04495
ko:K01283	xop:PXO_04473
ko:K03608	xop:PXO_04465
ko:K03609	xop:PXO_04464
ko:K03610	xop:PXO_04463
ko:K01247	xop:PXO_04456
ko:K09704	xop:PXO_01628
ko:K06201	xop:PXO_01619
ko:K03790	xop:PXO_01610
ko:K02487	xop:PXO_01607
ko:K06596	xop:PXO_01607
ko:K02660	xop:PXO_01605
ko:K02658	xop:PXO_01603
ko:K01920	xop:PXO_01601
ko:K03832	xop:PXO_01600
ko:K03722	xop:PXO_01597
ko:K03578	xop:PXO_01578
ko:K04047	xop:PXO_01577
