ko:K02782	lpt:zj316_0192
ko:K02783	lpt:zj316_0192
ko:K00016	lpt:zj316_0541
ko:K06910	lpt:zj316_0547
ko:K03469	lpt:zj316_0557
ko:K05845	lpt:zj316_0558
ko:K05846	lpt:zj316_0558
ko:K00383	lpt:zj316_0560
ko:K07052	lpt:zj316_0595
ko:K07052	lpt:zj316_0596
ko:K00054	lpt:zj316_0610
ko:K07273	lpt:zj316_1186
ko:K02783	lpt:zj316_0193
ko:K00068	lpt:zj316_0196
ko:K06216	lpt:zj316_0197
ko:K00852	lpt:zj316_0199
ko:K06346	lpt:zj316_0219
ko:K01916	lpt:zj316_0711
ko:K01537	lpt:zj316_0712
ko:K03095	lpt:zj316_0715
ko:K02793	lpt:zj316_0719
ko:K02794	lpt:zj316_0719
ko:K02795	lpt:zj316_0720
ko:K02793	lpt:zj316_0724
ko:K02794	lpt:zj316_0724
ko:K09698	lpt:zj316_0743
ko:K03294	lpt:zj316_0908
ko:K02076	lpt:zj316_0914
ko:K00841	lpt:zj316_0918
ko:K10041	lpt:zj316_0923
ko:K03488	lpt:zj316_0928
ko:K03294	lpt:zj316_0931
ko:K07052	lpt:zj316_0964
ko:K03708	lpt:zj316_1064
ko:K02236	lpt:zj316_1069
ko:K05966	lpt:zj316_1128
ko:K00016	lpt:zj316_1133
ko:K00027	lpt:zj316_1136
ko:K01679	lpt:zj316_1148
ko:K00244	lpt:zj316_1149
ko:K07729	lpt:zj316_0427
ko:K02564	lpt:zj316_0428
ko:K00244	lpt:zj316_0430
ko:K02799	lpt:zj316_0433
ko:K02800	lpt:zj316_0433
ko:K02798	lpt:zj316_0435
ko:K02240	lpt:zj316_0799
ko:K07658	lpt:zj316_0805
ko:K06023	lpt:zj316_0815
ko:K01835	lpt:zj316_0825
ko:K00625	lpt:zj316_0862
ko:K02342	lpt:zj316_0865
ko:K03810	lpt:zj316_0868
ko:K03316	lpt:zj316_0870
ko:K01785	lpt:zj316_0880
ko:K03294	lpt:zj316_1155
ko:K16013	lpt:zj316_1161
ko:K16012	lpt:zj316_1162
ko:K00805	lpt:zj316_1165
ko:K02433	lpt:zj316_1177
ko:K04488	lpt:zj316_1511
ko:K10563	lpt:zj316_1517
ko:K03346	lpt:zj316_1520
ko:K11144	lpt:zj316_1521
ko:K06948	lpt:zj316_1534
ko:K00033	lpt:zj316_1545
ko:K03294	lpt:zj316_1717
ko:K00691	lpt:zj316_1722
ko:K01785	lpt:zj316_1723
ko:K01823	lpt:zj316_1724
ko:K00938	lpt:zj316_1725
ko:K01597	lpt:zj316_1726
ko:K00869	lpt:zj316_1727
ko:K02086	lpt:zj316_1732
ko:K02010	lpt:zj316_1741
ko:K03700	lpt:zj316_1743
ko:K00974	lpt:zj316_1852
ko:K04763	lpt:zj316_1869
ko:K01258	lpt:zj316_1878
ko:K00700	lpt:zj316_0245
ko:K07668	lpt:zj316_0257
ko:K07652	lpt:zj316_0258
ko:K09952	lpt:zj316_0330
ko:K08161	lpt:zj316_0343
ko:K01854	lpt:zj316_1204
ko:K01104	lpt:zj316_1221
ko:K01784	lpt:zj316_1222
ko:K01854	lpt:zj316_1249
ko:K07304	lpt:zj316_1352
ko:K07706	lpt:zj316_1359
ko:K07052	lpt:zj316_1363
ko:K01934	lpt:zj316_1568
ko:K00845	lpt:zj316_1571
ko:K03713	lpt:zj316_1577
ko:K07584	lpt:zj316_1588
ko:K01262	lpt:zj316_1590
ko:K07052	lpt:zj316_0593
ko:K02074	lpt:zj316_0628
ko:K02075	lpt:zj316_0629
ko:K09685	lpt:zj316_0633
ko:K03048	lpt:zj316_0645
ko:K01104	lpt:zj316_0283
ko:K01259	lpt:zj316_0301
ko:K06898	lpt:zj316_0314
ko:K09121	lpt:zj316_0315
ko:K06864	lpt:zj316_0318
ko:K10254	lpt:zj316_0350
ko:K03492	lpt:zj316_0358
ko:K00059	lpt:zj316_0363
ko:K15770	lpt:zj316_0378
ko:K00691	lpt:zj316_0384
ko:K02808	lpt:zj316_0392
ko:K02809	lpt:zj316_0392
ko:K00939	lpt:zj316_1095
ko:K02810	lpt:zj316_0392
ko:K03486	lpt:zj316_0461
ko:K01226	lpt:zj316_0462
ko:K02755	lpt:zj316_0463
ko:K02756	lpt:zj316_0463
ko:K02757	lpt:zj316_0463
ko:K02755	lpt:zj316_0464
ko:K02756	lpt:zj316_0464
ko:K02757	lpt:zj316_0464
ko:K00016	lpt:zj316_0683
ko:K08483	lpt:zj316_1296
ko:K07027	lpt:zj316_1299
ko:K07258	lpt:zj316_1300
ko:K00841	lpt:zj316_1301
ko:K02348	lpt:zj316_1438
ko:K00949	lpt:zj316_1616
ko:K07030	lpt:zj316_1620
ko:K09787	lpt:zj316_1628
ko:K06610	lpt:zj316_1645
ko:K06889	lpt:zj316_1752
ko:K03469	lpt:zj316_1765
ko:K05937	lpt:zj316_1774
ko:K01990	lpt:zj316_1782
ko:K08974	lpt:zj316_1797
ko:K09963	lpt:zj316_0138
ko:K02755	lpt:zj316_0140
ko:K02756	lpt:zj316_0140
ko:K02757	lpt:zj316_0140
ko:K03488	lpt:zj316_0141
ko:K02755	lpt:zj316_0144
ko:K02756	lpt:zj316_0144
ko:K07586	lpt:zj316_1269
ko:K00016	lpt:zj316_1273
ko:K03299	lpt:zj316_1276
ko:K00851	lpt:zj316_1277
ko:K00033	lpt:zj316_1278
ko:K00383	lpt:zj316_1279
ko:K15582	lpt:zj316_1288
ko:K15583	lpt:zj316_1289
ko:K10823	lpt:zj316_1290
ko:K03697	lpt:zj316_1293
ko:K11189	lpt:zj316_1295
ko:K02757	lpt:zj316_0144
ko:K03488	lpt:zj316_0145
ko:K00616	lpt:zj316_0153
ko:K01182	lpt:zj316_0395
ko:K01182	lpt:zj316_0398
ko:K00058	lpt:zj316_0407
ko:K06994	lpt:zj316_0491
ko:K02004	lpt:zj316_0494
ko:K07052	lpt:zj316_0496
ko:K07052	lpt:zj316_0497
ko:K02348	lpt:zj316_0506
ko:K11069	lpt:zj316_0510
ko:K11071	lpt:zj316_0512
ko:K11072	lpt:zj316_0513
ko:K08969	lpt:zj316_0532
ko:K09693	lpt:zj316_0535
ko:K03475	lpt:zj316_0154
ko:K02822	lpt:zj316_0155
ko:K02821	lpt:zj316_0156
ko:K02775	lpt:zj316_0160
ko:K03307	lpt:zj316_0169
ko:K01639	lpt:zj316_0173
ko:K01788	lpt:zj316_0174
ko:K02291	lpt:zj316_3092
ko:K00865	lpt:zj316_3094
ko:K01756	lpt:zj316_3097
ko:K01939	lpt:zj316_3098
ko:K00364	lpt:zj316_3099
ko:K15581	lpt:zj316_3103
ko:K15580	lpt:zj316_3104
ko:K06131	lpt:zj316_3106
ko:K03701	lpt:zj316_2777
ko:K01462	lpt:zj316_2792
ko:K03734	lpt:zj316_2793
ko:K03182	lpt:zj316_2800
ko:K01996	lpt:zj316_2831
ko:K01995	lpt:zj316_2832
ko:K01998	lpt:zj316_2833
ko:K01997	lpt:zj316_2834
ko:K01999	lpt:zj316_2835
ko:K03322	lpt:zj316_2841
ko:K00764	lpt:zj316_2614
ko:K01588	lpt:zj316_2620
ko:K03800	lpt:zj316_2623
ko:K02003	lpt:zj316_2628
ko:K14155	lpt:zj316_2639
ko:K01733	lpt:zj316_2644
ko:K00763	lpt:zj316_2656
ko:K01753	lpt:zj316_2660
ko:K01223	lpt:zj316_2661
ko:K01223	lpt:zj316_2662
ko:K02759	lpt:zj316_2663
ko:K02760	lpt:zj316_2664
ko:K03489	lpt:zj316_2665
ko:K00077	lpt:zj316_2670
ko:K02761	lpt:zj316_0483
ko:K01246	lpt:zj316_0492
ko:K02003	lpt:zj316_0495
ko:K02437	lpt:zj316_0500
ko:K00925	lpt:zj316_0505
ko:K03885	lpt:zj316_0508
ko:K01624	lpt:zj316_0523
ko:K08659	lpt:zj316_0527
ko:K03523	lpt:zj316_0529
ko:K03524	lpt:zj316_0530
ko:K03320	lpt:zj316_0540
ko:K01807	lpt:zj316_0544
ko:K08987	lpt:zj316_0546
ko:K09384	lpt:zj316_0548
ko:K02160	lpt:zj316_0551
ko:K12700	lpt:zj316_0552
ko:K05847	lpt:zj316_0559
ko:K00864	lpt:zj316_0561
ko:K02440	lpt:zj316_0563
ko:K03311	lpt:zj316_0569
ko:K11068	lpt:zj316_3122
ko:K16264	lpt:zj316_3124
ko:K01246	lpt:zj316_3129
ko:K00796	lpt:zj316_3130
ko:K11754	lpt:zj316_3132
ko:K01495	lpt:zj316_3133
ko:K00950	lpt:zj316_3134
ko:K01633	lpt:zj316_3135
ko:K03549	lpt:zj316_3113
ko:K02015	lpt:zj316_2960
ko:K02015	lpt:zj316_2961
ko:K03426	lpt:zj316_2980
ko:K04047	lpt:zj316_2984
ko:K03489	lpt:zj316_2985
ko:K01223	lpt:zj316_2986
ko:K16323	lpt:zj316_3039
ko:K02424	lpt:zj316_3044
ko:K10010	lpt:zj316_3046
ko:K02424	lpt:zj316_3047
ko:K02069	lpt:zj316_3057
ko:K02068	lpt:zj316_3058
ko:K00847	lpt:zj316_3063
ko:K03501	lpt:zj316_3038
ko:K02759	lpt:zj316_0980
ko:K01256	lpt:zj316_0983
ko:K01153	lpt:zj316_0984
ko:K03427	lpt:zj316_0985
ko:K01154	lpt:zj316_0986
ko:K01118	lpt:zj316_1003
ko:K01893	lpt:zj316_1004
ko:K01914	lpt:zj316_1005
ko:K08659	lpt:zj316_1007
ko:K03654	lpt:zj316_1011
ko:K06180	lpt:zj316_1012
ko:K03565	lpt:zj316_1268
ko:K02837	lpt:zj316_1280
ko:K07090	lpt:zj316_1284
ko:K15580	lpt:zj316_1286
ko:K15581	lpt:zj316_1287
ko:K13678	lpt:zj316_1298
ko:K00759	lpt:zj316_1304
ko:K06901	lpt:zj316_1305
ko:K01772	lpt:zj316_1315
ko:K00789	lpt:zj316_1321
ko:K01869	lpt:zj316_1333
ko:K05813	lpt:zj316_1342
ko:K01126	lpt:zj316_1343
ko:K03282	lpt:zj316_1345
ko:K01421	lpt:zj316_1346
ko:K07707	lpt:zj316_1360
ko:K00549	lpt:zj316_1426
ko:K00958	lpt:zj316_1429
ko:K00860	lpt:zj316_1430
ko:K03319	lpt:zj316_1025
ko:K01706	lpt:zj316_1028
ko:K01928	lpt:zj316_1032
ko:K00928	lpt:zj316_1033
ko:K01953	lpt:zj316_1034
ko:K01652	lpt:zj316_1056
ko:K11733	lpt:zj316_1058
ko:K01875	lpt:zj316_1062
ko:K03696	lpt:zj316_1065
ko:K03043	lpt:zj316_1067
ko:K03046	lpt:zj316_1068
ko:K02950	lpt:zj316_1070
ko:K02992	lpt:zj316_1071
ko:K02355	lpt:zj316_1072
ko:K02946	lpt:zj316_1074
ko:K02906	lpt:zj316_1075
ko:K02926	lpt:zj316_1076
ko:K02892	lpt:zj316_1077
ko:K02886	lpt:zj316_1078
ko:K02965	lpt:zj316_1079
ko:K02890	lpt:zj316_1080
ko:K02982	lpt:zj316_1081
ko:K02878	lpt:zj316_1082
ko:K02904	lpt:zj316_1083
ko:K02961	lpt:zj316_1084
ko:K02874	lpt:zj316_1085
ko:K02895	lpt:zj316_1086
ko:K02931	lpt:zj316_1087
ko:K02994	lpt:zj316_1088
ko:K02933	lpt:zj316_1089
ko:K02881	lpt:zj316_1090
ko:K02988	lpt:zj316_1091
ko:K02907	lpt:zj316_1092
ko:K02876	lpt:zj316_1093
ko:K03076	lpt:zj316_1094
ko:K02952	lpt:zj316_1097
ko:K02948	lpt:zj316_1098
ko:K03040	lpt:zj316_1099
ko:K02879	lpt:zj316_1100
ko:K03885	lpt:zj316_1104
ko:K03734	lpt:zj316_1107
ko:K16785	lpt:zj316_1110
ko:K06173	lpt:zj316_1111
ko:K02871	lpt:zj316_1112
ko:K02996	lpt:zj316_1113
ko:K00615	lpt:zj316_1118
ko:K00014	lpt:zj316_1119
ko:K01735	lpt:zj316_1121
ko:K03319	lpt:zj316_1122
