ko:K07649	bmaf:DM51_2308
ko:K02050	bmaf:DM51_2309
ko:K02049	bmaf:DM51_2310
ko:K02051	bmaf:DM51_2311
ko:K02421	bmaf:DM51_2315
ko:K02420	bmaf:DM51_2316
ko:K02419	bmaf:DM51_2317
ko:K03600	bmaf:DM51_2325
ko:K03599	bmaf:DM51_2326
ko:K00413	bmaf:DM51_2327
ko:K00412	bmaf:DM51_2328
ko:K00411	bmaf:DM51_2329
ko:K01692	bmaf:DM51_3056
ko:K16171	bmaf:DM51_3057
ko:K00548	bmaf:DM51_3061
ko:K00548	bmaf:DM51_3062
ko:K01887	bmaf:DM51_3065
ko:K03673	bmaf:DM51_3067
ko:K12368	bmaf:DM51_3072
ko:K00906	bmaf:DM51_3075
ko:K01673	bmaf:DM51_3076
ko:K00626	bmaf:DM51_3077
ko:K09858	bmaf:DM51_3079
ko:K00833	bmaf:DM51_3081
ko:K00652	bmaf:DM51_3082
ko:K01935	bmaf:DM51_3083
ko:K01012	bmaf:DM51_3084
ko:K06201	bmaf:DM51_3085
ko:K01077	bmaf:DM51_3087
ko:K01077	bmaf:DM51_3088
ko:K08234	bmaf:DM51_3094
ko:K10778	bmaf:DM51_3095
ko:K01247	bmaf:DM51_3096
ko:K01919	bmaf:DM51_3097
ko:K03086	bmaf:DM51_3098
ko:K02055	bmaf:DM51_3102
ko:K12251	bmaf:DM51_3104
ko:K00031	bmaf:DM51_276
ko:K01679	bmaf:DM51_284
ko:K03327	bmaf:DM51_291
ko:K14761	bmaf:DM51_292
ko:K05805	bmaf:DM51_295
ko:K05524	bmaf:DM51_298
ko:K00763	bmaf:DM51_299
ko:K00782	bmaf:DM51_300
ko:K09760	bmaf:DM51_303
ko:K03750	bmaf:DM51_306
ko:K03752	bmaf:DM51_307
ko:K03639	bmaf:DM51_308
ko:K08300	bmaf:DM51_309
ko:K06179	bmaf:DM51_310
ko:K01091	bmaf:DM51_311
ko:K04773	bmaf:DM51_313
ko:K07056	bmaf:DM51_314
ko:K06287	bmaf:DM51_315
ko:K07040	bmaf:DM51_316
ko:K02911	bmaf:DM51_317
ko:K03621	bmaf:DM51_318
ko:K00648	bmaf:DM51_319
ko:K00645	bmaf:DM51_320
ko:K00059	bmaf:DM51_321
ko:K02078	bmaf:DM51_322
ko:K09458	bmaf:DM51_323
ko:K03088	bmaf:DM51_325
ko:K03597	bmaf:DM51_326
ko:K03598	bmaf:DM51_327
ko:K03596	bmaf:DM51_330
ko:K03100	bmaf:DM51_331
ko:K13635	bmaf:DM51_933
ko:K02045	bmaf:DM51_934
ko:K02047	bmaf:DM51_935
ko:K02046	bmaf:DM51_936
ko:K02048	bmaf:DM51_937
ko:K01356	bmaf:DM51_938
ko:K09695	bmaf:DM51_944
ko:K09694	bmaf:DM51_945
ko:K07089	bmaf:DM51_947
ko:K05539	bmaf:DM51_952
ko:K15555	bmaf:DM51_961
ko:K15554	bmaf:DM51_962
ko:K04091	bmaf:DM51_963
ko:K00684	bmaf:DM51_971
ko:K00254	bmaf:DM51_973
ko:K02424	bmaf:DM51_974
ko:K10009	bmaf:DM51_975
ko:K01807	bmaf:DM51_981
ko:K11066	bmaf:DM51_982
ko:K10773	bmaf:DM51_1602
ko:K09989	bmaf:DM51_1609
ko:K05782	bmaf:DM51_1610
ko:K00616	bmaf:DM51_1611
ko:K04750	bmaf:DM51_1612
ko:K03307	bmaf:DM51_1613
ko:K03181	bmaf:DM51_1617
ko:K04079	bmaf:DM51_1618
ko:K05825	bmaf:DM51_1622
ko:K01628	bmaf:DM51_1626
ko:K01714	bmaf:DM51_1627
ko:K07156	bmaf:DM51_1632
ko:K06183	bmaf:DM51_1633
ko:K00523	bmaf:DM51_1636
ko:K01996	bmaf:DM51_1640
ko:K01995	bmaf:DM51_1641
ko:K01998	bmaf:DM51_1642
ko:K01997	bmaf:DM51_1643
ko:K01784	bmaf:DM51_1648
ko:K17947	bmaf:DM51_1653
ko:K03118	bmaf:DM51_2332
ko:K03117	bmaf:DM51_2333
ko:K03116	bmaf:DM51_2334
ko:K02503	bmaf:DM51_2335
ko:K01523	bmaf:DM51_2337
ko:K01496	bmaf:DM51_2338
ko:K02500	bmaf:DM51_2339
ko:K01814	bmaf:DM51_2340
ko:K02501	bmaf:DM51_2341
ko:K05595	bmaf:DM51_2342
ko:K01693	bmaf:DM51_2343
ko:K00817	bmaf:DM51_2344
ko:K00013	bmaf:DM51_2345
ko:K00765	bmaf:DM51_2346
ko:K00790	bmaf:DM51_2347
ko:K01992	bmaf:DM51_2349
ko:K01990	bmaf:DM51_2350
ko:K07122	bmaf:DM51_2351
ko:K07323	bmaf:DM51_2352
ko:K04754	bmaf:DM51_2353
ko:K02067	bmaf:DM51_2354
ko:K02066	bmaf:DM51_2355
ko:K02065	bmaf:DM51_2356
ko:K00788	bmaf:DM51_2357
ko:K03149	bmaf:DM51_2358
ko:K03154	bmaf:DM51_2359
ko:K03153	bmaf:DM51_2360
ko:K02471	bmaf:DM51_2361
ko:K01975	bmaf:DM51_2362
ko:K03310	bmaf:DM51_2363
ko:K00266	bmaf:DM51_2364
ko:K00265	bmaf:DM51_2365
ko:K07491	bmaf:DM51_2366
ko:K07275	bmaf:DM51_2367
ko:K01126	bmaf:DM51_2368
ko:K05816	bmaf:DM51_2369
ko:K05815	bmaf:DM51_2370
ko:K05814	bmaf:DM51_2371
ko:K05813	bmaf:DM51_2372
ko:K01129	bmaf:DM51_2373
ko:K01735	bmaf:DM51_2374
ko:K00891	bmaf:DM51_2375
ko:K02666	bmaf:DM51_2376
ko:K03685	bmaf:DM51_332
ko:K03584	bmaf:DM51_334
ko:K03474	bmaf:DM51_335
ko:K00997	bmaf:DM51_336
ko:K01207	bmaf:DM51_337
ko:K02356	bmaf:DM51_339
ko:K03703	bmaf:DM51_341
ko:K06911	bmaf:DM51_348
ko:K02348	bmaf:DM51_349
ko:K07152	bmaf:DM51_352
ko:K01087	bmaf:DM51_353
ko:K00697	bmaf:DM51_354
ko:K06147	bmaf:DM51_355
ko:K01999	bmaf:DM51_359
ko:K00720	bmaf:DM51_366
ko:K00868	bmaf:DM51_369
ko:K01114	bmaf:DM51_370
ko:K10015	bmaf:DM51_374
ko:K10017	bmaf:DM51_375
ko:K00673	bmaf:DM51_378
ko:K00673	bmaf:DM51_379
ko:K06447	bmaf:DM51_380
ko:K01484	bmaf:DM51_381
ko:K05526	bmaf:DM51_382
ko:K00799	bmaf:DM51_383
ko:K10013	bmaf:DM51_384
ko:K10255	bmaf:DM51_385
ko:K03218	bmaf:DM51_983
ko:K12573	bmaf:DM51_984
ko:K03406	bmaf:DM51_988
ko:K01114	bmaf:DM51_989
ko:K08178	bmaf:DM51_994
ko:K01897	bmaf:DM51_996
ko:K03666	bmaf:DM51_999
ko:K12511	bmaf:DM51_1005
ko:K12510	bmaf:DM51_1006
ko:K02283	bmaf:DM51_1007
ko:K02282	bmaf:DM51_1008
ko:K02280	bmaf:DM51_1009
ko:K02279	bmaf:DM51_1010
ko:K02278	bmaf:DM51_1012
ko:K07090	bmaf:DM51_1015
ko:K11074	bmaf:DM51_1016
ko:K11075	bmaf:DM51_1017
ko:K11076	bmaf:DM51_1018
ko:K11073	bmaf:DM51_1019
ko:K06938	bmaf:DM51_1022
ko:K07275	bmaf:DM51_1023
ko:K00459	bmaf:DM51_1024
ko:K00128	bmaf:DM51_1025
ko:K07290	bmaf:DM51_1028
ko:K02068	bmaf:DM51_1029
ko:K02069	bmaf:DM51_1030
ko:K01079	bmaf:DM51_1033
ko:K01760	bmaf:DM51_1034
ko:K00626	bmaf:DM51_1036
ko:K00067	bmaf:DM51_1657
ko:K01790	bmaf:DM51_1658
ko:K00973	bmaf:DM51_1659
ko:K01525	bmaf:DM51_1661
ko:K00655	bmaf:DM51_1662
ko:K01465	bmaf:DM51_1663
ko:K00609	bmaf:DM51_1664
ko:K02825	bmaf:DM51_1665
ko:K07447	bmaf:DM51_1666
ko:K07735	bmaf:DM51_1667
ko:K00941	bmaf:DM51_1670
ko:K04077	bmaf:DM51_1671
ko:K04078	bmaf:DM51_1672
ko:K07275	bmaf:DM51_1678
ko:K01126	bmaf:DM51_1686
ko:K07090	bmaf:DM51_1688
ko:K07518	bmaf:DM51_1690
ko:K02015	bmaf:DM51_1695
ko:K02016	bmaf:DM51_1696
ko:K02013	bmaf:DM51_1698
ko:K02014	bmaf:DM51_1699
ko:K13482	bmaf:DM51_1702
ko:K13481	bmaf:DM51_1703
ko:K05366	bmaf:DM51_2380
ko:K06202	bmaf:DM51_2382
ko:K01586	bmaf:DM51_2384
ko:K17247	bmaf:DM51_2385
ko:K02419	bmaf:DM51_2389
ko:K02418	bmaf:DM51_2390
ko:K02417	bmaf:DM51_2391
ko:K02416	bmaf:DM51_2392
ko:K02415	bmaf:DM51_2393
ko:K06518	bmaf:DM51_2395
ko:K03446	bmaf:DM51_2397
ko:K02463	bmaf:DM51_2401
ko:K02462	bmaf:DM51_2402
ko:K02461	bmaf:DM51_2403
ko:K02460	bmaf:DM51_2404
ko:K03798	bmaf:DM51_544
ko:K00796	bmaf:DM51_545
ko:K06980	bmaf:DM51_1139
ko:K00626	bmaf:DM51_1147
ko:K08281	bmaf:DM51_1148
ko:K07516	bmaf:DM51_1149
ko:K07305	bmaf:DM51_1152
ko:K06190	bmaf:DM51_1153
ko:K05527	bmaf:DM51_1154
ko:K03769	bmaf:DM51_1155
ko:K03824	bmaf:DM51_1156
ko:K01952	bmaf:DM51_1157
ko:K00285	bmaf:DM51_1158
ko:K01810	bmaf:DM51_1160
ko:K02003	bmaf:DM51_1161
ko:K10804	bmaf:DM51_1162
ko:K03770	bmaf:DM51_1163
ko:K01338	bmaf:DM51_1170
ko:K03544	bmaf:DM51_1171
ko:K01358	bmaf:DM51_1172
ko:K03545	bmaf:DM51_1173
ko:K00865	bmaf:DM51_1174
ko:K00077	bmaf:DM51_1176
ko:K02291	bmaf:DM51_1186
ko:K07659	bmaf:DM51_1190
ko:K07638	bmaf:DM51_1191
ko:K06199	bmaf:DM51_1812
ko:K03439	bmaf:DM51_1817
ko:K06153	bmaf:DM51_1818
ko:K06940	bmaf:DM51_1820
ko:K00573	bmaf:DM51_1823
ko:K00822	bmaf:DM51_1825
ko:K11959	bmaf:DM51_1826
ko:K11960	bmaf:DM51_1827
ko:K11961	bmaf:DM51_1828
ko:K11962	bmaf:DM51_1829
ko:K11963	bmaf:DM51_1830
ko:K03190	bmaf:DM51_1831
ko:K01430	bmaf:DM51_1832
ko:K01429	bmaf:DM51_1833
ko:K01428	bmaf:DM51_1834
ko:K03187	bmaf:DM51_1835
ko:K03188	bmaf:DM51_1836
ko:K03189	bmaf:DM51_1837
ko:K02527	bmaf:DM51_1838
ko:K02841	bmaf:DM51_1840
ko:K15778	bmaf:DM51_1841
ko:K01784	bmaf:DM51_1845
ko:K02518	bmaf:DM51_1850
ko:K15738	bmaf:DM51_1855
ko:K02622	bmaf:DM51_1856
ko:K02621	bmaf:DM51_1857
ko:K06016	bmaf:DM51_1863
ko:K01724	bmaf:DM51_2539
ko:K00500	bmaf:DM51_2540
ko:K00140	bmaf:DM51_2544
ko:K01995	bmaf:DM51_2546
ko:K01996	bmaf:DM51_2547
ko:K01999	bmaf:DM51_2548
ko:K01997	bmaf:DM51_2549
ko:K01998	bmaf:DM51_2550
ko:K01999	bmaf:DM51_2552
ko:K01997	bmaf:DM51_2553
ko:K01995	bmaf:DM51_2554
ko:K01998	bmaf:DM51_2554
ko:K01996	bmaf:DM51_2555
ko:K03495	bmaf:DM51_2556
ko:K03501	bmaf:DM51_2557
ko:K02116	bmaf:DM51_2561
ko:K02108	bmaf:DM51_2562
ko:K02110	bmaf:DM51_2563
ko:K02109	bmaf:DM51_2564
ko:K02113	bmaf:DM51_2565
ko:K02111	bmaf:DM51_2566
ko:K02115	bmaf:DM51_2567
ko:K02112	bmaf:DM51_2568
ko:K02114	bmaf:DM51_2569
ko:K00666	bmaf:DM51_2570
ko:K06929	bmaf:DM51_2571
ko:K01713	bmaf:DM51_2572
ko:K01599	bmaf:DM51_2573
ko:K04066	bmaf:DM51_2574
ko:K13821	bmaf:DM51_2576
ko:K01999	bmaf:DM51_2577
ko:K12508	bmaf:DM51_2578
ko:K09456	bmaf:DM51_2579
ko:K10013	bmaf:DM51_2583
ko:K02459	bmaf:DM51_2405
ko:K02458	bmaf:DM51_2406
ko:K02457	bmaf:DM51_2407
ko:K02456	bmaf:DM51_2408
ko:K02452	bmaf:DM51_2409
ko:K02455	bmaf:DM51_2410
ko:K02454	bmaf:DM51_2411
ko:K02453	bmaf:DM51_2412
ko:K03704	bmaf:DM51_2416
ko:K08738	bmaf:DM51_2421
ko:K03271	bmaf:DM51_2423
ko:K07460	bmaf:DM51_2424
ko:K07056	bmaf:DM51_2425
ko:K04046	bmaf:DM51_2427
ko:K01595	bmaf:DM51_499
ko:K01749	bmaf:DM51_500
ko:K02498	bmaf:DM51_502
ko:K00059	bmaf:DM51_504
ko:K00128	bmaf:DM51_505
ko:K01507	bmaf:DM51_506
ko:K07461	bmaf:DM51_507
ko:K09919	bmaf:DM51_508
ko:K01950	bmaf:DM51_509
ko:K04751	bmaf:DM51_510
ko:K10017	bmaf:DM51_512
ko:K10015	bmaf:DM51_513
ko:K10016	bmaf:DM51_514
ko:K10014	bmaf:DM51_515
ko:K06911	bmaf:DM51_517
ko:K07659	bmaf:DM51_519
ko:K07638	bmaf:DM51_520
ko:K02050	bmaf:DM51_522
ko:K02049	bmaf:DM51_523
ko:K03762	bmaf:DM51_527
ko:K09771	bmaf:DM51_528
ko:K02342	bmaf:DM51_529
ko:K03469	bmaf:DM51_530
ko:K01069	bmaf:DM51_532
ko:K08307	bmaf:DM51_533
