ko:K02895	fta:FTA_0262
ko:K03667	fta:FTA_1015
ko:K01703	fta:FTA_1999
ko:K03687	fta:FTA_1256
ko:K02652	fta:FTA_0877
ko:K06208	fta:FTA_0349
ko:K09117	fta:FTA_1108
ko:K00282	fta:FTA_0505
ko:K00335	fta:FTA_1933
ko:K03183	fta:FTA_0427
ko:K02078	fta:FTA_1201
ko:K03602	fta:FTA_0798
ko:K03640	fta:FTA_0357
ko:K03631	fta:FTA_0412
ko:K03641	fta:FTA_0355
ko:K09760	fta:FTA_0983
ko:K03073	fta:FTA_1854
ko:K07090	fta:FTA_1309
ko:K02837	fta:FTA_1756
ko:K02914	fta:FTA_0191
ko:K00648	fta:FTA_1204
ko:K01147	fta:FTA_0150
ko:K02337	fta:FTA_0498
ko:K00111	fta:FTA_1860
ko:K03624	fta:FTA_1559
ko:K02357	fta:FTA_0241
ko:K00569	fta:FTA_0039
ko:K02339	fta:FTA_0225
ko:K03686	fta:FTA_1258
ko:K02343	fta:FTA_2012
ko:K02965	fta:FTA_0256
ko:K02113	fta:FTA_1905
ko:K07568	fta:FTA_0769
ko:K02954	fta:FTA_0264
ko:K02342	fta:FTA_1057
ko:K02952	fta:FTA_0272
ko:K03655	fta:FTA_0553
ko:K00334	fta:FTA_1934
ko:K03648	fta:FTA_0561
ko:K06169	fta:FTA_1571
ko:K06173	fta:FTA_1127
ko:K03629	fta:FTA_1430
ko:K03666	fta:FTA_0949
ko:K00525	fta:FTA_1039
ko:K01956	fta:FTA_0037
ko:K07042	fta:FTA_0935
ko:K07090	fta:FTA_0673
ko:K02888	fta:FTA_1540
ko:K02835	fta:FTA_1824
ko:K02902	fta:FTA_0551
ko:K03269	fta:FTA_0534
ko:K06941	fta:FTA_1085
ko:K03701	fta:FTA_1558
ko:K03657	fta:FTA_1753
ko:K03975	fta:FTA_0761
ko:K01159	fta:FTA_0980
ko:K03702	fta:FTA_0787
ko:K03786	fta:FTA_1679
ko:K02313	fta:FTA_0001
ko:K00537	fta:FTA_0335
ko:K03703	fta:FTA_1535
ko:K00974	fta:FTA_1766
ko:K00526	fta:FTA_1036
ko:K03676	fta:FTA_1036
ko:K02446	fta:FTA_1800
ko:K03801	fta:FTA_1117
ko:K00793	fta:FTA_0085
ko:K03609	fta:FTA_0548
ko:K01619	fta:FTA_1760
ko:K01839	fta:FTA_1761
ko:K00912	fta:FTA_1764
ko:K03611	fta:FTA_1767
ko:K07320	fta:FTA_1782
ko:K02672	fta:FTA_1788
ko:K00537	fta:FTA_0621
ko:K02314	fta:FTA_1084
ko:K05516	fta:FTA_0299
ko:K07154	fta:FTA_1186
ko:K03771	fta:FTA_1682
ko:K04744	fta:FTA_1683
ko:K01887	fta:FTA_1684
ko:K03216	fta:FTA_1687
ko:K01698	fta:FTA_1688
ko:K07574	fta:FTA_1689
ko:K02341	fta:FTA_1690
ko:K03599	fta:FTA_1692
ko:K11179	fta:FTA_1693
ko:K01925	fta:FTA_1702
ko:K01000	fta:FTA_1703
ko:K01886	fta:FTA_1705
ko:K03305	fta:FTA_1709
ko:K02887	fta:FTA_1491
ko:K00339	fta:FTA_1929
ko:K03610	fta:FTA_0549
ko:K03525	fta:FTA_1762
ko:K01588	fta:FTA_0421
ko:K06178	fta:FTA_1087
ko:K02316	fta:FTA_1109
ko:K02655	fta:FTA_0195
ko:K02600	fta:FTA_1917
ko:K03608	fta:FTA_0547
ko:K09966	fta:FTA_1537
ko:K03601	fta:FTA_0797
ko:K03043	fta:FTA_1848
ko:K03040	fta:FTA_0275
ko:K03040	fta:FTA_0649
ko:K03498	fta:FTA_1808
ko:K01704	fta:FTA_1998
ko:K03582	fta:FTA_0704
ko:K01589	fta:FTA_0422
ko:K03581	fta:FTA_0705
ko:K00954	fta:FTA_1405
ko:K00163	fta:FTA_0328
ko:K03583	fta:FTA_0701
ko:K01883	fta:FTA_1781
ko:K03806	fta:FTA_1830
ko:K02358	fta:FTA_1855
ko:K04565	fta:FTA_0403
ko:K10679	fta:FTA_0231
ko:K02864	fta:FTA_1850
ko:K02935	fta:FTA_1849
ko:K00239	fta:FTA_1892
ko:K03684	fta:FTA_1536
ko:K06179	fta:FTA_1911
ko:K01673	fta:FTA_0908
ko:K02528	fta:FTA_1681
ko:K00789	fta:FTA_1842
ko:K00507	fta:FTA_1843
ko:K01409	fta:FTA_1844
ko:K02996	fta:FTA_1252
ko:K02871	fta:FTA_1253
ko:K08304	fta:FTA_1255
ko:K09823	fta:FTA_1267
ko:K06131	fta:FTA_1271
ko:K06131	fta:FTA_1272
ko:K03593	fta:FTA_1276
ko:K01494	fta:FTA_1277
ko:K03643	fta:FTA_1280
ko:K01869	fta:FTA_1281
ko:K07447	fta:FTA_1285
ko:K06876	fta:FTA_0364
ko:K03453	fta:FTA_0365
ko:K03179	fta:FTA_0376
ko:K03181	fta:FTA_0377
ko:K00989	fta:FTA_0378
ko:K05527	fta:FTA_0763
ko:K04774	fta:FTA_1691
ko:K03466	fta:FTA_1804
ko:K00826	fta:FTA_0142
ko:K01006	fta:FTA_0143
ko:K04759	fta:FTA_0144
ko:K02990	fta:FTA_1081
ko:K02963	fta:FTA_1082
ko:K02939	fta:FTA_1083
ko:K02656	fta:FTA_1086
ko:K02523	fta:FTA_1101
ko:K07107	fta:FTA_1104
ko:K07259	fta:FTA_1106
ko:K02970	fta:FTA_1107
ko:K03086	fta:FTA_1110
ko:K03885	fta:FTA_1111
ko:K09158	fta:FTA_1118
ko:K07258	fta:FTA_1119
ko:K01507	fta:FTA_1120
ko:K03270	fta:FTA_1121
ko:K06861	fta:FTA_1124
ko:K01951	fta:FTA_1130
ko:K01662	fta:FTA_1131
ko:K00876	fta:FTA_1618
ko:K01627	fta:FTA_1619
ko:K00962	fta:FTA_1621
ko:K02956	fta:FTA_1622
ko:K03586	fta:FTA_1624
ko:K03438	fta:FTA_1625
ko:K08681	fta:FTA_1630
ko:K06215	fta:FTA_1631
ko:K05539	fta:FTA_1635
ko:K01903	fta:FTA_1639
ko:K01902	fta:FTA_1640
ko:K06201	fta:FTA_1651
ko:K08591	fta:FTA_0889
ko:K00773	fta:FTA_0893
ko:K03072	fta:FTA_0900
ko:K03074	fta:FTA_0901
ko:K03089	fta:FTA_0903
ko:K00800	fta:FTA_0904
ko:K00338	fta:FTA_1930
ko:K00336	fta:FTA_1932
ko:K00333	fta:FTA_1935
