ko:K07491	sent:TY21A_08820
ko:K03810	sent:TY21A_08900
ko:K08161	sent:TY21A_08975
ko:K02342	sent:TY21A_13195
ko:K03469	sent:TY21A_13200
ko:K07491	sent:TY21A_17440
ko:K03148	sent:TY21A_17535
ko:K13741	sent:TY21A_05210
ko:K11392	sent:TY21A_05235
ko:K02795	sent:TY21A_05340
ko:K02793	sent:TY21A_05345
ko:K02794	sent:TY21A_05345
ko:K10762	sent:TY21A_09750
ko:K00068	sent:TY21A_13835
ko:K02466	sent:TY21A_13840
ko:K04652	sent:TY21A_13935
ko:K04655	sent:TY21A_13950
ko:K11604	sent:TY21A_13965
ko:K11607	sent:TY21A_13970
ko:K13284	sent:TY21A_14065
ko:K13287	sent:TY21A_14070
ko:K13286	sent:TY21A_14075
ko:K02855	sent:TY21A_18050
ko:K01813	sent:TY21A_18060
ko:K00124	sent:TY21A_18125
ko:K00127	sent:TY21A_18130
ko:K17467	sent:TY21A_19015
ko:K01916	sent:TY21A_06045
ko:K01222	sent:TY21A_06075
ko:K03478	sent:TY21A_06080
ko:K07491	sent:TY21A_06085
ko:K16370	sent:TY21A_06130
ko:K07283	sent:TY21A_06135
ko:K08997	sent:TY21A_06225
ko:K07757	sent:TY21A_10390
ko:K07491	sent:TY21A_10430
ko:K07027	sent:TY21A_10555
ko:K03635	sent:TY21A_10580
ko:K00652	sent:TY21A_10635
ko:K07491	sent:TY21A_14705
ko:K07491	sent:TY21A_14760
ko:K02100	sent:TY21A_14790
ko:K00065	sent:TY21A_14795
ko:K00626	sent:TY21A_14805
ko:K07784	sent:TY21A_18910
ko:K02775	sent:TY21A_18935
ko:K11189	sent:TY21A_18955
ko:K11105	sent:TY21A_05490
ko:K01297	sent:TY21A_05495
ko:K06281	sent:TY21A_05570
ko:K07491	sent:TY21A_05655
ko:K02035	sent:TY21A_05750
ko:K09476	sent:TY21A_09850
ko:K11085	sent:TY21A_09930
ko:K02238	sent:TY21A_09935
ko:K06212	sent:TY21A_09980
ko:K07308	sent:TY21A_10010
ko:K07307	sent:TY21A_10015
ko:K16013	sent:TY21A_10055
ko:K16012	sent:TY21A_10060
ko:K13285	sent:TY21A_14080
ko:K03087	sent:TY21A_14275
ko:K00852	sent:TY21A_18375
ko:K10440	sent:TY21A_18385
ko:K03718	sent:TY21A_18425
ko:K02116	sent:TY21A_18445
ko:K07497	sent:TY21A_19645
ko:K14224	sent:TY21A_t23612
ko:K14224	sent:TY21A_t23746
ko:K14224	sent:TY21A_t23752
ko:K14224	sent:TY21A_t23732
ko:K14236	sent:TY21A_t23738
ko:K14235	sent:TY21A_t23728
ko:K14226	sent:TY21A_t23724
ko:K14228	sent:TY21A_t23722
ko:K14228	sent:TY21A_t23766
ko:K14228	sent:TY21A_t23762
ko:K14228	sent:TY21A_t23764
ko:K14238	sent:TY21A_t23748
ko:K14225	sent:TY21A_t23704
ko:K14233	sent:TY21A_t23698
ko:K04774	sent:TY21A_08275
ko:K10823	sent:TY21A_08400
ko:K15583	sent:TY21A_08405
ko:K07126	sent:TY21A_08480
ko:K00374	sent:TY21A_08490
ko:K03386	sent:TY21A_12485
ko:K07491	sent:TY21A_12500
ko:K07657	sent:TY21A_12515
ko:K08161	sent:TY21A_12605
ko:K02014	sent:TY21A_12695
ko:K07316	sent:TY21A_12730
ko:K08178	sent:TY21A_12735
ko:K07213	sent:TY21A_12740
ko:K00230	sent:TY21A_16780
ko:K03498	sent:TY21A_16785
ko:K01048	sent:TY21A_16910
ko:K01719	sent:TY21A_17025
ko:K00247	sent:TY21A_22355
ko:K00245	sent:TY21A_22365
ko:K00371	sent:TY21A_07565
ko:K00373	sent:TY21A_07570
ko:K01226	sent:TY21A_22830
ko:K09022	sent:TY21A_22860
ko:K00244	sent:TY21A_22370
ko:K01478	sent:TY21A_22905
ko:K02028	sent:TY21A_07800
ko:K02503	sent:TY21A_08715
ko:K00575	sent:TY21A_04885
ko:K04477	sent:TY21A_09065
ko:K01788	sent:TY21A_09100
ko:K03307	sent:TY21A_09110
ko:K08344	sent:TY21A_09180
ko:K02510	sent:TY21A_09225
ko:K01826	sent:TY21A_09235
ko:K00484	sent:TY21A_09270
ko:K07017	sent:TY21A_13525
ko:K00867	sent:TY21A_17620
ko:K08314	sent:TY21A_17705
ko:K02033	sent:TY21A_05755
ko:K04093	sent:TY21A_05815
ko:K07491	sent:TY21A_05845
ko:K07305	sent:TY21A_05945
ko:K01424	sent:TY21A_05960
ko:K10000	sent:TY21A_10185
ko:K14228	sent:TY21A_t23760
ko:K14232	sent:TY21A_t23628
