ko:K02935	ctlj:L1115_00322
ko:K02864	ctlj:L1115_00323
ko:K02863	ctlj:L1115_00324
ko:K02867	ctlj:L1115_00325
ko:K02601	ctlj:L1115_00326
ko:K03073	ctlj:L1115_00327
ko:K02358	ctlj:L1115_00329
ko:K02518	ctlj:L1115_00331
ko:K01803	ctlj:L1115_00338
ko:K03601	ctlj:L1115_00339
ko:K03602	ctlj:L1115_00340
ko:K01662	ctlj:L1115_00342
ko:K00873	ctlj:L1115_00343
ko:K03701	ctlj:L1115_00344
ko:K02343	ctlj:L1115_00345
ko:K09747	ctlj:L1115_00346
ko:K08483	ctlj:L1115_00347
ko:K11189	ctlj:L1115_00348
ko:K03797	ctlj:L1115_00460
ko:K01885	ctlj:L1115_00465
ko:K07462	ctlj:L1115_00467
ko:K12257	ctlj:L1115_00468
ko:K00806	ctlj:L1115_00470
ko:K00981	ctlj:L1115_00471
ko:K00945	ctlj:L1115_00472
ko:K00655	ctlj:L1115_00473
ko:K01887	ctlj:L1115_00474
ko:K00790	ctlj:L1115_00475
ko:K02836	ctlj:L1115_00479
ko:K07098	ctlj:L1115_00481
ko:K00991	ctlj:L1115_00482
ko:K06173	ctlj:L1115_00483
ko:K07710	ctlj:L1115_00488
ko:K07714	ctlj:L1115_00489
ko:K03584	ctlj:L1115_00492
ko:K08998	ctlj:L1115_00496
ko:K01890	ctlj:L1115_00498
ko:K00567	ctlj:L1115_00500
ko:K02034	ctlj:L1115_00501
ko:K02033	ctlj:L1115_00502
ko:K02035	ctlj:L1115_00503
ko:K01772	ctlj:L1115_00510
ko:K02030	ctlj:L1115_00511
ko:K07099	ctlj:L1115_00513
ko:K00241	ctlj:L1115_00622
ko:K03424	ctlj:L1115_00623
ko:K03562	ctlj:L1115_00625
ko:K03641	ctlj:L1115_00628
ko:K03640	ctlj:L1115_00629
ko:K03386	ctlj:L1115_00632
ko:K02428	ctlj:L1115_00636
ko:K03648	ctlj:L1115_00638
ko:K03657	ctlj:L1115_00639
