ko:K03228	ctn:G11074_02965
ko:K02455	ctn:G11074_02995
ko:K02453	ctn:G11074_03005
ko:K03572	ctn:G11074_03020
ko:K01868	ctn:G11074_03050
ko:K01867	ctn:G11074_03070
ko:K03702	ctn:G11074_03075
ko:K01689	ctn:G11074_03080
ko:K00240	ctn:G11074_03100
ko:K00239	ctn:G11074_03105
ko:K03424	ctn:G11074_03120
ko:K03562	ctn:G11074_03130
ko:K03641	ctn:G11074_03145
ko:K03640	ctn:G11074_03150
ko:K03648	ctn:G11074_03190
ko:K03657	ctn:G11074_03195
ko:K03092	ctn:G11074_03200
ko:K06137	ctn:G11074_03205
ko:K13941	ctn:G11074_03220
ko:K01633	ctn:G11074_03225
ko:K03086	ctn:G11074_03230
ko:K02968	ctn:G11074_03240
ko:K03980	ctn:G11074_03275
ko:K01151	ctn:G11074_03280
ko:K02986	ctn:G11074_03290
ko:K07146	ctn:G11074_03295
ko:K13789	ctn:G11074_03300
ko:K01698	ctn:G11074_03330
ko:K00346	ctn:G11074_03335
ko:K07462	ctn:G11074_02330
ko:K12257	ctn:G11074_02340
ko:K00806	ctn:G11074_02350
ko:K00981	ctn:G11074_02360
ko:K00945	ctn:G11074_02365
ko:K00655	ctn:G11074_02370
ko:K01887	ctn:G11074_02375
ko:K00790	ctn:G11074_02380
ko:K02836	ctn:G11074_02400
ko:K00991	ctn:G11074_02415
ko:K06173	ctn:G11074_02420
ko:K07710	ctn:G11074_02440
ko:K03584	ctn:G11074_02455
ko:K08998	ctn:G11074_02480
ko:K01890	ctn:G11074_02490
ko:K02034	ctn:G11074_02505
ko:K01772	ctn:G11074_02550
ko:K07099	ctn:G11074_02565
ko:K00975	ctn:G11074_02570
ko:K03628	ctn:G11074_02580
ko:K00859	ctn:G11074_02585
ko:K03301	ctn:G11074_02600
ko:K00995	ctn:G11074_02605
ko:K03495	ctn:G11074_02625
ko:K03800	ctn:G11074_02630
ko:K00940	ctn:G11074_02635
ko:K03550	ctn:G11074_02640
ko:K01159	ctn:G11074_02645
ko:K00134	ctn:G11074_02660
ko:K02879	ctn:G11074_02665
ko:K03040	ctn:G11074_02670
ko:K02948	ctn:G11074_02675
ko:K02952	ctn:G11074_02680
ko:K03076	ctn:G11074_02685
ko:K02876	ctn:G11074_02690
ko:K02988	ctn:G11074_02695
ko:K02881	ctn:G11074_02700
ko:K02933	ctn:G11074_02705
ko:K02994	ctn:G11074_02710
ko:K02931	ctn:G11074_02715
ko:K02895	ctn:G11074_02720
ko:K02874	ctn:G11074_02725
ko:K02961	ctn:G11074_02730
ko:K02904	ctn:G11074_02735
ko:K02878	ctn:G11074_02740
ko:K02982	ctn:G11074_02745
ko:K02890	ctn:G11074_02750
ko:K02965	ctn:G11074_02755
ko:K02886	ctn:G11074_02760
ko:K02892	ctn:G11074_02765
ko:K02926	ctn:G11074_02770
ko:K02906	ctn:G11074_02775
ko:K00604	ctn:G11074_02785
ko:K00677	ctn:G11074_02790
ko:K02372	ctn:G11074_02795
ko:K02535	ctn:G11074_02800
ko:K03820	ctn:G11074_02805
ko:K03162	ctn:G11074_03600
ko:K02342	ctn:G11074_02815
ko:K07258	ctn:G11074_02890
ko:K03227	ctn:G11074_02960
ko:K02454	ctn:G11074_03000
ko:K01262	ctn:G11074_03015
ko:K07315	ctn:G11074_03085
ko:K03177	ctn:G11074_00485
ko:K06179	ctn:G11074_00550
ko:K00939	ctn:G11074_00660
ko:K02035	ctn:G11074_00715
ko:K06910	ctn:G11074_03890
ko:K07117	ctn:G11074_03895
ko:K01507	ctn:G11074_04085
ko:K01082	ctn:G11074_04095
ko:K01909	ctn:G11074_04105
ko:K00652	ctn:G11074_04110
ko:K01409	ctn:G11074_01015
ko:K15582	ctn:G11074_01030
ko:K06889	ctn:G11074_01060
ko:K00059	ctn:G11074_01220
ko:K00970	ctn:G11074_02120
ko:K09815	ctn:G11074_02145
ko:K01719	ctn:G11074_02250
ko:K00380	ctn:G11074_02260
ko:K00241	ctn:G11074_03110
ko:K00241	ctn:G11074_03115
ko:K03386	ctn:G11074_03165
ko:K02428	ctn:G11074_03180
