ko:K03734	xfh:XFHB_02415
ko:K09939	xfh:XFHB_02430
ko:K07336	xfh:XFHB_02435
ko:K16090	xfh:XFHB_02440
ko:K01697	xfh:XFHB_02460
ko:K01711	xfh:XFHB_02475
ko:K04077	xfh:XFHB_02510
ko:K04078	xfh:XFHB_02515
ko:K03926	xfh:XFHB_02520
ko:K04084	xfh:XFHB_02525
ko:K00941	xfh:XFHB_02530
ko:K00014	xfh:XFHB_02540
ko:K00783	xfh:XFHB_01425
ko:K02014	xfh:XFHB_01430
ko:K03611	xfh:XFHB_01435
ko:K03286	xfh:XFHB_01445
ko:K03777	xfh:XFHB_01455
ko:K01139	xfh:XFHB_01460
ko:K03655	xfh:XFHB_01470
ko:K02314	xfh:XFHB_01485
ko:K00852	xfh:XFHB_01500
ko:K05366	xfh:XFHB_01510
ko:K02662	xfh:XFHB_01515
ko:K02663	xfh:XFHB_01520
ko:K02664	xfh:XFHB_01525
ko:K02665	xfh:XFHB_01530
ko:K02666	xfh:XFHB_01535
ko:K03760	xfh:XFHB_01545
ko:K00788	xfh:XFHB_01555
ko:K03695	xfh:XFHB_01565
ko:K19033	xfh:XFHB_01570
ko:K02014	xfh:XFHB_01580
ko:K05539	xfh:XFHB_01585
ko:K07660	xfh:XFHB_01595
ko:K07637	xfh:XFHB_01600
ko:K00789	xfh:XFHB_01605
ko:K08311	xfh:XFHB_01620
ko:K02192	xfh:XFHB_01625
ko:K03594	xfh:XFHB_01630
ko:K15724	xfh:XFHB_01655
ko:K05794	xfh:XFHB_01660
ko:K06969	xfh:XFHB_01665
ko:K03294	xfh:XFHB_01670
ko:K02050	xfh:XFHB_01675
ko:K02049	xfh:XFHB_01680
ko:K09760	xfh:XFHB_01685
ko:K04754	xfh:XFHB_01695
ko:K07122	xfh:XFHB_01700
ko:K07323	xfh:XFHB_01705
ko:K02067	xfh:XFHB_01710
ko:K02066	xfh:XFHB_01715
ko:K02065	xfh:XFHB_01720
ko:K07347	xfh:XFHB_00325
ko:K07345	xfh:XFHB_00335
ko:K03743	xfh:XFHB_00340
ko:K03761	xfh:XFHB_00345
ko:K03665	xfh:XFHB_00350
ko:K03666	xfh:XFHB_00355
ko:K00791	xfh:XFHB_00360
ko:K00796	xfh:XFHB_00365
ko:K03798	xfh:XFHB_00370
ko:K02427	xfh:XFHB_00375
ko:K07574	xfh:XFHB_00380
ko:K01687	xfh:XFHB_00390
ko:K02517	xfh:XFHB_00410
ko:K02527	xfh:XFHB_00415
ko:K01206	xfh:XFHB_00420
ko:K02959	xfh:XFHB_00425
ko:K02860	xfh:XFHB_00430
ko:K00554	xfh:XFHB_00435
ko:K02884	xfh:XFHB_00440
ko:K01265	xfh:XFHB_00445
ko:K00674	xfh:XFHB_00450
ko:K01439	xfh:XFHB_00460
ko:K01953	xfh:XFHB_00465
ko:K01356	xfh:XFHB_00480
ko:K03553	xfh:XFHB_00485
ko:K03563	xfh:XFHB_00495
ko:K01414	xfh:XFHB_00505
ko:K01738	xfh:XFHB_00510
ko:K07233	xfh:XFHB_00525
ko:K01873	xfh:XFHB_00530
ko:K02339	xfh:XFHB_00540
ko:K01255	xfh:XFHB_00550
ko:K07091	xfh:XFHB_00555
ko:K11720	xfh:XFHB_00560
ko:K00820	xfh:XFHB_00565
ko:K00797	xfh:XFHB_00575
ko:K01585	xfh:XFHB_00580
ko:K01887	xfh:XFHB_00595
ko:K03630	xfh:XFHB_00600
ko:K13038	xfh:XFHB_00605
ko:K01520	xfh:XFHB_00610
