ko:K02954	crc:A33Y_0181
ko:K02931	crc:A33Y_0182
ko:K02874	crc:A33Y_0183
ko:K02961	crc:A33Y_0184
ko:K02878	crc:A33Y_0185
ko:K02982	crc:A33Y_0186
ko:K02965	crc:A33Y_0188
ko:K02886	crc:A33Y_0189
ko:K02926	crc:A33Y_0190
ko:K02906	crc:A33Y_0191
ko:K02946	crc:A33Y_0192
ko:K02358	crc:A33Y_0193
ko:K02355	crc:A33Y_0194
ko:K02992	crc:A33Y_0195
ko:K02950	crc:A33Y_0196
ko:K03046	crc:A33Y_0197
ko:K03043	crc:A33Y_0198
ko:K02935	crc:A33Y_0199
ko:K02867	crc:A33Y_0202
ko:K02299	crc:A33Y_0207
ko:K02298	crc:A33Y_0208
ko:K02297	crc:A33Y_0209
ko:K00826	crc:A33Y_0211
ko:K01892	crc:A33Y_0212
ko:K01462	crc:A33Y_0214
ko:K01755	crc:A33Y_0215
ko:K01586	crc:A33Y_0216
ko:K01778	crc:A33Y_0217
ko:K01878	crc:A33Y_0218
ko:K03704	crc:A33Y_0220
ko:K14236	crc:A33Y_0205
ko:K14226	crc:A33Y_096
ko:K14233	crc:A33Y_0101
ko:K14233	crc:A33Y_0141
ko:K14228	crc:A33Y_0111
ko:K14222	crc:A33Y_0135
ko:K14227	crc:A33Y_016
ko:K14224	crc:A33Y_041
ko:K14225	crc:A33Y_042
ko:K14233	crc:A33Y_043
ko:K14220	crc:A33Y_048
ko:K14230	crc:A33Y_049
ko:K14230	crc:A33Y_0131
ko:K14230	crc:A33Y_0160
ko:K14237	crc:A33Y_066
ko:K14221	crc:A33Y_067
ko:K14218	crc:A33Y_075
ko:K14231	crc:A33Y_081
ko:K14223	crc:A33Y_082
ko:K14234	crc:A33Y_083
ko:K14228	crc:A33Y_089
ko:K14228	crc:A33Y_0136
ko:K14232	crc:A33Y_094
ko:K14229	crc:A33Y_0138
ko:K14219	crc:A33Y_0140
ko:K01985	crc:A33Y_0147
ko:K01980	crc:A33Y_0148
ko:K01977	crc:A33Y_0149
ko:K14235	crc:A33Y_0203
ko:K14225	crc:A33Y_0204
ko:K02884	crc:A33Y_0157
ko:K02314	crc:A33Y_070
ko:K02316	crc:A33Y_073
ko:K03553	crc:A33Y_0143
ko:K00525	crc:A33Y_013
ko:K03664	crc:A33Y_084
