ko:K00703	ctlx:L1224_00847
ko:K02897	ctlx:L1224_00849
ko:K01056	ctlx:L1224_00850
ko:K02990	ctlx:L1224_00851
ko:K02963	ctlx:L1224_00852
ko:K02939	ctlx:L1224_00853
ko:K00919	ctlx:L1224_00854
ko:K00630	ctlx:L1224_00858
ko:K08301	ctlx:L1224_00859
ko:K02911	ctlx:L1224_00862
ko:K03621	ctlx:L1224_00863
ko:K03431	ctlx:L1224_00868
ko:K00820	ctlx:L1224_00869
ko:K03834	ctlx:L1224_00870
ko:K03834	ctlx:L1224_00872
ko:K06890	ctlx:L1224_00873
ko:K03110	ctlx:L1224_00874
ko:K01903	ctlx:L1224_00875
ko:K01902	ctlx:L1224_00876
ko:K09760	ctlx:L1224_00879
ko:K00075	ctlx:L1224_00885
ko:K02520	ctlx:L1224_00887
ko:K02916	ctlx:L1224_00888
ko:K02887	ctlx:L1224_00889
ko:K01889	ctlx:L1224_00890
ko:K00099	ctlx:L1224_00074
ko:K03629	ctlx:L1224_00077
ko:K02338	ctlx:L1224_00078
ko:K03664	ctlx:L1224_00079
ko:K03734	ctlx:L1224_00080
ko:K01491	ctlx:L1224_00081
ko:K02902	ctlx:L1224_00087
ko:K00705	ctlx:L1224_00088
ko:K04058	ctlx:L1224_00090
ko:K03230	ctlx:L1224_00091
ko:K03229	ctlx:L1224_00092
ko:K06942	ctlx:L1224_00093
ko:K11753	ctlx:L1224_00094
ko:K02834	ctlx:L1224_00096
ko:K02519	ctlx:L1224_00097
ko:K02600	ctlx:L1224_00098
ko:K02945	ctlx:L1224_00099
ko:K00384	ctlx:L1224_00100
ko:K00997	ctlx:L1224_00101
ko:K00208	ctlx:L1224_00105
ko:K03575	ctlx:L1224_00108
ko:K04077	ctlx:L1224_00111
ko:K04078	ctlx:L1224_00112
ko:K08602	ctlx:L1224_00114
ko:K03695	ctlx:L1224_00115
ko:K01783	ctlx:L1224_00123
ko:K02356	ctlx:L1224_00124
ko:K02160	ctlx:L1224_00125
ko:K11720	ctlx:L1224_00893
ko:K07091	ctlx:L1224_00894
ko:K04075	ctlx:L1224_00895
ko:K03798	ctlx:L1224_00896
