ko:K04081	sei:SPC_3894
ko:K04080	sei:SPC_3895
ko:K02200	sei:SPC_3898
ko:K02193	sei:SPC_3905
ko:K00428	sei:SPC_3906
ko:K07811	sei:SPC_3908
ko:K07772	sei:SPC_3910
ko:K07647	sei:SPC_3912
ko:K00883	sei:SPC_3916
ko:K02470	sei:SPC_3922
ko:K03629	sei:SPC_3923
ko:K02338	sei:SPC_3924
ko:K02313	sei:SPC_3925
ko:K02914	sei:SPC_3926
ko:K03536	sei:SPC_3927
ko:K08998	sei:SPC_3928
ko:K03217	sei:SPC_3929
ko:K03650	sei:SPC_3930
ko:K08163	sei:SPC_3931
ko:K06901	sei:SPC_3936
ko:K02039	sei:SPC_3938
ko:K02036	sei:SPC_3939
ko:K02038	sei:SPC_3940
ko:K11893	sei:SPC_0289
ko:K11907	sei:SPC_0282
ko:K03625	sei:SPC_0430
ko:K00946	sei:SPC_0431
ko:K01095	sei:SPC_0432
ko:K01662	sei:SPC_0434
ko:K00795	sei:SPC_0435
ko:K03602	sei:SPC_0436
ko:K03151	sei:SPC_0437
ko:K11082	sei:SPC_0438
ko:K11083	sei:SPC_0439
ko:K11081	sei:SPC_0441
ko:K03430	sei:SPC_0443
ko:K05306	sei:SPC_0444
ko:K03152	sei:SPC_0445
ko:K00077	sei:SPC_0446
ko:K09767	sei:SPC_0447
ko:K02300	sei:SPC_0453
ko:K02299	sei:SPC_0454
ko:K02298	sei:SPC_0455
ko:K02297	sei:SPC_0456
ko:K08218	sei:SPC_0458
ko:K07286	sei:SPC_0459
ko:K03545	sei:SPC_0461
ko:K01358	sei:SPC_0462
ko:K03544	sei:SPC_0463
ko:K01338	sei:SPC_0464
ko:K03530	sei:SPC_0465
ko:K11925	sei:SPC_0116
ko:K11926	sei:SPC_0330
ko:K11906	sei:SPC_0288
ko:K11901	sei:SPC_0283
ko:K10037	sei:SPC_0825
ko:K05816	sei:SPC_3622
ko:K05815	sei:SPC_3623
ko:K05814	sei:SPC_3624
ko:K05813	sei:SPC_3625
ko:K07341	sei:SPC_3626
ko:K01995	sei:SPC_3629
ko:K01998	sei:SPC_3630
ko:K01507	sei:SPC_4565
ko:K03841	sei:SPC_4566
ko:K02558	sei:SPC_4567
ko:K09889	sei:SPC_4568
ko:K03592	sei:SPC_4569
ko:K01465	sei:SPC_4577
ko:K01042	sei:SPC_4578
ko:K04068	sei:SPC_4583
ko:K01226	sei:SPC_4586
ko:K02818	sei:SPC_4587
ko:K02819	sei:SPC_4587
ko:K03485	sei:SPC_4588
ko:K09022	sei:SPC_4590
ko:K00610	sei:SPC_4591
ko:K00609	sei:SPC_4592
ko:K00611	sei:SPC_4597
ko:K00926	sei:SPC_4598
ko:K01478	sei:SPC_4599
ko:K00611	sei:SPC_4602
ko:K09893	sei:SPC_4603
ko:K11898	sei:SPC_0279
ko:K02426	sei:SPC_3044
ko:K06169	sei:SPC_4604
ko:K03828	sei:SPC_4606
ko:K01873	sei:SPC_4608
ko:K02339	sei:SPC_4609
ko:K01255	sei:SPC_4610
ko:K07091	sei:SPC_4611
ko:K11720	sei:SPC_4612
ko:K00046	sei:SPC_4615
ko:K00098	sei:SPC_4616
ko:K00851	sei:SPC_4617
ko:K03770	sei:SPC_0466
