ko:K02393	bua:CWO_01800
ko:K02394	bua:CWO_01805
ko:K02395	bua:CWO_01810
ko:K02396	bua:CWO_01815
ko:K06179	bua:CWO_01830
ko:K02911	bua:CWO_01835
ko:K00645	bua:CWO_01840
ko:K07390	bua:CWO_00955
ko:K03683	bua:CWO_00960
ko:K04564	bua:CWO_00965
ko:K01056	bua:CWO_00970
ko:K06942	bua:CWO_00975
ko:K01733	bua:CWO_00980
ko:K00872	bua:CWO_00985
ko:K12524	bua:CWO_00990
ko:K00760	bua:CWO_00995
ko:K01918	bua:CWO_01000
ko:K00606	bua:CWO_01005
ko:K06204	bua:CWO_01010
ko:K06173	bua:CWO_01015
ko:K05365	bua:CWO_01020
ko:K03070	bua:CWO_01025
ko:K03574	bua:CWO_01030
ko:K00859	bua:CWO_01035
ko:K00364	bua:CWO_01040
ko:K00163	bua:CWO_01045
ko:K00627	bua:CWO_01050
ko:K03687	bua:CWO_00940
ko:K00382	bua:CWO_01055
ko:K01611	bua:CWO_01065
ko:K00797	bua:CWO_01070
ko:K15724	bua:CWO_01085
ko:K03531	bua:CWO_01090
ko:K03590	bua:CWO_01095
ko:K01924	bua:CWO_01110
ko:K02563	bua:CWO_01115
ko:K03588	bua:CWO_01120
ko:K01925	bua:CWO_01125
ko:K01000	bua:CWO_01130
ko:K01928	bua:CWO_01145
ko:K03587	bua:CWO_01150
ko:K03438	bua:CWO_01165
ko:K00858	bua:CWO_00945
ko:K06186	bua:CWO_00950
ko:K01653	bua:CWO_01170
ko:K01652	bua:CWO_01175
ko:K02410	bua:CWO_00340
ko:K02411	bua:CWO_00345
ko:K02412	bua:CWO_00350
ko:K02413	bua:CWO_00355
ko:K02414	bua:CWO_00365
ko:K02416	bua:CWO_00370
ko:K02417	bua:CWO_00375
ko:K02419	bua:CWO_00380
ko:K02420	bua:CWO_00385
ko:K02421	bua:CWO_00390
ko:K02913	bua:CWO_00395
ko:K02902	bua:CWO_00400
ko:K01507	bua:CWO_00420
ko:K03592	bua:CWO_00425
ko:K07056	bua:CWO_00430
ko:K00647	bua:CWO_00435
ko:K00616	bua:CWO_00440
ko:K00615	bua:CWO_00445
ko:K01439	bua:CWO_00450
ko:K01714	bua:CWO_00460
ko:K01736	bua:CWO_00465
ko:K00765	bua:CWO_00480
ko:K00013	bua:CWO_00485
ko:K00817	bua:CWO_00490
ko:K00674	bua:CWO_01195
ko:K01265	bua:CWO_01205
ko:K02967	bua:CWO_01210
ko:K02357	bua:CWO_01215
ko:K09903	bua:CWO_01220
ko:K02838	bua:CWO_01225
ko:K00099	bua:CWO_01230
ko:K00806	bua:CWO_01235
ko:K07277	bua:CWO_01240
ko:K02372	bua:CWO_01245
ko:K03734	bua:CWO_01180
ko:K11179	bua:CWO_02470
ko:K02300	bua:CWO_02480
ko:K02299	bua:CWO_02485
ko:K02298	bua:CWO_02490
ko:K02297	bua:CWO_02495
ko:K05527	bua:CWO_02500
ko:K01358	bua:CWO_02515
ko:K02501	bua:CWO_00500
ko:K01814	bua:CWO_00505
ko:K02500	bua:CWO_00510
ko:K11755	bua:CWO_00515
ko:K01089	bua:CWO_00495
ko:K00033	bua:CWO_00520
ko:K01494	bua:CWO_00525
ko:K01874	bua:CWO_00530
ko:K04075	bua:CWO_00535
ko:K00793	bua:CWO_00540
ko:K03617	bua:CWO_00545
ko:K03616	bua:CWO_00550
ko:K03615	bua:CWO_00560
ko:K03614	bua:CWO_00565
ko:K03612	bua:CWO_00575
ko:K03613	bua:CWO_00580
ko:K10773	bua:CWO_00585
ko:K04066	bua:CWO_00590
ko:K01866	bua:CWO_00595
ko:K05997	bua:CWO_00600
ko:K01626	bua:CWO_00610
