ko:K01644	sis:LS215_0484
ko:K07241	sis:LS215_0486
ko:K06966	sis:LS215_0492
ko:K00820	sis:LS215_0496
ko:K02035	sis:LS215_0501
ko:K02033	sis:LS215_0502
ko:K02034	sis:LS215_0503
ko:K02031	sis:LS215_0504
ko:K02032	sis:LS215_0505
ko:K02121	sis:LS215_1675
ko:K12140	sis:LS215_1294
ko:K12141	sis:LS215_1295
ko:K07241	sis:LS215_1301
ko:K00156	sis:LS215_1303
ko:K03885	sis:LS215_1304
ko:K01439	sis:LS215_1307
ko:K06885	sis:LS215_2194
ko:K01885	sis:LS215_2196
ko:K02936	sis:LS215_2197
ko:K04567	sis:LS215_2198
ko:K07129	sis:LS215_2202
ko:K06965	sis:LS215_2203
ko:K03789	sis:LS215_2204
ko:K02319	sis:LS215_2205
ko:K01866	sis:LS215_2207
ko:K02952	sis:LS215_2210
ko:K02986	sis:LS215_2211
ko:K02948	sis:LS215_2212
ko:K03047	sis:LS215_2213
ko:K02883	sis:LS215_2214
ko:K02871	sis:LS215_2215
ko:K02996	sis:LS215_2216
ko:K02967	sis:LS215_2218
ko:K06990	sis:LS215_2219
ko:K06981	sis:LS215_2221
ko:K01823	sis:LS215_2222
ko:K01001	sis:LS215_2224
ko:K03424	sis:LS215_2236
ko:K04768	sis:LS215_2251
ko:K01711	sis:LS215_0629
ko:K02003	sis:LS215_1547
ko:K03752	sis:LS215_1569
ko:K03750	sis:LS215_1570
ko:K03753	sis:LS215_1571
ko:K00331	sis:LS215_1580
ko:K07566	sis:LS215_1581
ko:K03524	sis:LS215_1582
ko:K03592	sis:LS215_1583
ko:K03568	sis:LS215_1584
ko:K07722	sis:LS215_1585
ko:K00003	sis:LS215_1587
ko:K04069	sis:LS215_1591
ko:K09129	sis:LS215_1593
ko:K07477	sis:LS215_1599
ko:K01955	sis:LS215_1601
ko:K01956	sis:LS215_1602
ko:K01755	sis:LS215_1603
ko:K01940	sis:LS215_1604
ko:K01811	sis:LS215_2508
ko:K00074	sis:LS215_2529
ko:K01597	sis:LS215_2535
ko:K00938	sis:LS215_2536
ko:K03388	sis:LS215_1196
ko:K03389	sis:LS215_1197
ko:K03390	sis:LS215_1198
ko:K00382	sis:LS215_1202
ko:K01012	sis:LS215_1209
ko:K03800	sis:LS215_1211
ko:K06929	sis:LS215_1212
ko:K01681	sis:LS215_1228
ko:K01040	sis:LS215_1237
ko:K01039	sis:LS215_1238
ko:K02003	sis:LS215_1242
ko:K01679	sis:LS215_1243
ko:K02019	sis:LS215_1249
ko:K01589	sis:LS215_1250
ko:K01588	sis:LS215_1251
ko:K02437	sis:LS215_1255
ko:K03105	sis:LS215_2140
ko:K01790	sis:LS215_0564
ko:K01251	sis:LS215_1483
ko:K02889	sis:LS215_1485
ko:K03051	sis:LS215_1486
ko:K07572	sis:LS215_1487
ko:K02528	sis:LS215_1488
ko:K02984	sis:LS215_1491
ko:K04042	sis:LS215_1492
ko:K06942	sis:LS215_1493
ko:K02877	sis:LS215_1494
ko:K07581	sis:LS215_1495
ko:K03432	sis:LS215_1498
ko:K11600	sis:LS215_1501
ko:K02921	sis:LS215_1503
ko:K04798	sis:LS215_1506
ko:K09154	sis:LS215_1511
ko:K00052	sis:LS215_1512
ko:K09142	sis:LS215_1514
ko:K02906	sis:LS215_1515
ko:K02930	sis:LS215_1516
ko:K02892	sis:LS215_1517
ko:K02886	sis:LS215_1518
ko:K02965	sis:LS215_1519
ko:K02890	sis:LS215_1520
ko:K02982	sis:LS215_1521
ko:K02904	sis:LS215_1522
ko:K02961	sis:LS215_1524
ko:K02874	sis:LS215_1525
ko:K02895	sis:LS215_1526
ko:K02987	sis:LS215_1527
ko:K02931	sis:LS215_1528
ko:K02954	sis:LS215_1529
ko:K02994	sis:LS215_1530
ko:K02933	sis:LS215_1531
ko:K09003	sis:LS215_0278
ko:K03726	sis:LS215_0282
ko:K02050	sis:LS215_0286
ko:K02049	sis:LS215_0287
ko:K01704	sis:LS215_0288
ko:K01703	sis:LS215_0289
ko:K01669	sis:LS215_0290
ko:K03519	sis:LS215_0255
ko:K01915	sis:LS215_0263
ko:K02873	sis:LS215_0265
ko:K03307	sis:LS215_0296
ko:K01902	sis:LS215_0303
ko:K01903	sis:LS215_0304
ko:K07457	sis:LS215_0305
ko:K00526	sis:LS215_0318
ko:K00059	sis:LS215_0319
ko:K07048	sis:LS215_0339
ko:K00111	sis:LS215_0342
ko:K01868	sis:LS215_0307
ko:K00567	sis:LS215_0308
ko:K00626	sis:LS215_0316
ko:K03182	sis:LS215_1426
ko:K01733	sis:LS215_1427
ko:K00928	sis:LS215_1428
ko:K00133	sis:LS215_1429
ko:K01887	sis:LS215_1444
ko:K09721	sis:LS215_1454
ko:K00943	sis:LS215_1456
