ko:K02860	hpv:HPV225_1170
ko:K06960	hpv:HPV225_1171
ko:K03625	hpv:HPV225_0001
ko:K00794	hpv:HPV225_0002
ko:K01627	hpv:HPV225_0003
ko:K01673	hpv:HPV225_0004
ko:K01591	hpv:HPV225_0005
ko:K01918	hpv:HPV225_0006
ko:K04077	hpv:HPV225_0014
ko:K04078	hpv:HPV225_0015
ko:K00566	hpv:HPV225_0017
ko:K09859	hpv:HPV225_0025
ko:K03415	hpv:HPV225_0026
ko:K13747	hpv:HPV225_0027
ko:K03760	hpv:HPV225_0029
ko:K01647	hpv:HPV225_0034
ko:K00031	hpv:HPV225_0035
ko:K01935	hpv:HPV225_0037
ko:K06891	hpv:HPV225_0040
ko:K03694	hpv:HPV225_0041
ko:K01579	hpv:HPV225_0042
ko:K09747	hpv:HPV225_0043
ko:K01711	hpv:HPV225_0051
ko:K03781	hpv:HPV225_0897
ko:K01159	hpv:HPV225_0899
ko:K03550	hpv:HPV225_0904
ko:K03980	hpv:HPV225_0906
ko:K01883	hpv:HPV225_0907
ko:K02013	hpv:HPV225_0909
ko:K02015	hpv:HPV225_0910
ko:K04654	hpv:HPV225_0920
ko:K04653	hpv:HPV225_0921
ko:K00925	hpv:HPV225_0924
ko:K13788	hpv:HPV225_0925
ko:K02389	hpv:HPV225_0927
ko:K02390	hpv:HPV225_0928
ko:K03657	hpv:HPV225_0931
ko:K01955	hpv:HPV225_0939
ko:K00134	hpv:HPV225_0941
ko:K01821	hpv:HPV225_0944
ko:K06187	hpv:HPV225_0945
ko:K06176	hpv:HPV225_0946
ko:K03799	hpv:HPV225_0947
ko:K01495	hpv:HPV225_0948
ko:K00795	hpv:HPV225_0949
ko:K03787	hpv:HPV225_0950
ko:K07791	hpv:HPV225_0733
ko:K04075	hpv:HPV225_0737
ko:K01095	hpv:HPV225_0745
ko:K01921	hpv:HPV225_0746
ko:K01929	hpv:HPV225_0748
ko:K00948	hpv:HPV225_0750
ko:K06180	hpv:HPV225_0754
ko:K03439	hpv:HPV225_0756
ko:K09812	hpv:HPV225_0757
ko:K09811	hpv:HPV225_0758
ko:K02407	hpv:HPV225_0761
ko:K02422	hpv:HPV225_0762
ko:K12251	hpv:HPV225_0766
ko:K07084	hpv:HPV225_0767
ko:K03110	hpv:HPV225_0772
ko:K06940	hpv:HPV225_0773
ko:K03639	hpv:HPV225_0779
ko:K03752	hpv:HPV225_0780
ko:K02401	hpv:HPV225_0781
ko:K01448	hpv:HPV225_0783
ko:K00459	hpv:HPV225_0784
ko:K01866	hpv:HPV225_0785
ko:K02016	hpv:HPV225_1610
