ko:K02890	mao:MAP4_4291
ko:K02982	mao:MAP4_4292
ko:K02878	mao:MAP4_4293
ko:K02904	mao:MAP4_4294
ko:K02961	mao:MAP4_4295
ko:K02040	mao:MAP4_4297
ko:K07738	mao:MAP4_0977
ko:K00322	mao:MAP4_0983
ko:K07058	mao:MAP4_0989
ko:K03086	mao:MAP4_0992
ko:K00886	mao:MAP4_0993
ko:K09990	mao:MAP4_1850
ko:K00606	mao:MAP4_1856
ko:K01915	mao:MAP4_1860
ko:K00982	mao:MAP4_1861
ko:K01915	mao:MAP4_1865
ko:K03644	mao:MAP4_1868
ko:K03801	mao:MAP4_1869
ko:K07071	mao:MAP4_1870
ko:K00658	mao:MAP4_1871
ko:K01255	mao:MAP4_1875
ko:K00605	mao:MAP4_1877
ko:K00826	mao:MAP4_1878
ko:K02233	mao:MAP4_1879
ko:K00768	mao:MAP4_1880
ko:K02231	mao:MAP4_1881
ko:K00865	mao:MAP4_1883
ko:K01953	mao:MAP4_1887
ko:K02275	mao:MAP4_1888
ko:K02276	mao:MAP4_1896
ko:K00766	mao:MAP4_1897
ko:K01584	mao:MAP4_2754
ko:K03625	mao:MAP4_2756
ko:K02356	mao:MAP4_2757
ko:K03786	mao:MAP4_2760
ko:K01735	mao:MAP4_2761
ko:K00891	mao:MAP4_2762
ko:K01736	mao:MAP4_2763
ko:K02034	mao:MAP4_2765
ko:K02654	mao:MAP4_2773
ko:K00014	mao:MAP4_2774
ko:K07082	mao:MAP4_2775
ko:K07447	mao:MAP4_2776
ko:K01872	mao:MAP4_2777
ko:K07478	mao:MAP4_2782
ko:K01876	mao:MAP4_2793
ko:K00077	mao:MAP4_2794
ko:K01714	mao:MAP4_2797
ko:K01628	mao:MAP4_2798
ko:K01875	mao:MAP4_3675
ko:K09879	mao:MAP4_0725
ko:K02291	mao:MAP4_0729
ko:K07071	mao:MAP4_0735
ko:K03521	mao:MAP4_0739
ko:K03522	mao:MAP4_0740
ko:K04487	mao:MAP4_0742
ko:K00566	mao:MAP4_0743
ko:K01972	mao:MAP4_0746
ko:K02435	mao:MAP4_0754
ko:K03284	mao:MAP4_1279
ko:K00024	mao:MAP4_1280
ko:K03151	mao:MAP4_2134
ko:K13993	mao:MAP4_2137
ko:K01644	mao:MAP4_2145
ko:K00036	mao:MAP4_2147
ko:K03578	mao:MAP4_2151
ko:K07140	mao:MAP4_2158
ko:K03782	mao:MAP4_2168
ko:K11065	mao:MAP4_2185
ko:K01647	mao:MAP4_3031
ko:K00275	mao:MAP4_3032
ko:K01647	mao:MAP4_3033
ko:K00528	mao:MAP4_3035
ko:K00831	mao:MAP4_3037
ko:K03704	mao:MAP4_3050
ko:K03637	mao:MAP4_3057
ko:K14267	mao:MAP4_3071
ko:K02192	mao:MAP4_3077
ko:K01494	mao:MAP4_3933
ko:K00012	mao:MAP4_3938
ko:K00973	mao:MAP4_3941
ko:K14260	mao:MAP4_3943
ko:K04043	mao:MAP4_3953
ko:K03687	mao:MAP4_3954
ko:K03686	mao:MAP4_3955
ko:K13789	mao:MAP4_3959
ko:K15555	mao:MAP4_2020
ko:K02434	mao:MAP4_0758
ko:K15977	mao:MAP4_0760
ko:K01652	mao:MAP4_0762
ko:K01653	mao:MAP4_0763
ko:K00053	mao:MAP4_0764
ko:K03809	mao:MAP4_0765
ko:K00052	mao:MAP4_0768
ko:K01703	mao:MAP4_0774
ko:K03088	mao:MAP4_1656
ko:K03705	mao:MAP4_1659
ko:K03686	mao:MAP4_1660
ko:K09761	mao:MAP4_1661
ko:K07042	mao:MAP4_1663
ko:K00425	mao:MAP4_2531
ko:K00426	mao:MAP4_2532
ko:K10805	mao:MAP4_2537
ko:K00873	mao:MAP4_2538
ko:K01695	mao:MAP4_2541
ko:K01696	mao:MAP4_2542
ko:K01609	mao:MAP4_2543
ko:K01657	mao:MAP4_2545
ko:K03564	mao:MAP4_2546
ko:K07300	mao:MAP4_2547
ko:K02500	mao:MAP4_2549
ko:K02501	mao:MAP4_2552
ko:K01693	mao:MAP4_2553
ko:K00817	mao:MAP4_2554
ko:K00013	mao:MAP4_2555
ko:K00767	mao:MAP4_2557
ko:K00278	mao:MAP4_2558
ko:K03517	mao:MAP4_2559
ko:K01012	mao:MAP4_2565
ko:K01935	mao:MAP4_2573
ko:K00833	mao:MAP4_2575
ko:K06044	mao:MAP4_2580
ko:K04567	mao:MAP4_3408
ko:K03525	mao:MAP4_3409
ko:K01579	mao:MAP4_3410
ko:K01918	mao:MAP4_3411
ko:K00950	mao:MAP4_3415
ko:K01633	mao:MAP4_3416
ko:K00796	mao:MAP4_3417
ko:K01495	mao:MAP4_3418
ko:K03798	mao:MAP4_3419
ko:K09807	mao:MAP4_3427
ko:K00760	mao:MAP4_3428
ko:K04075	mao:MAP4_3429
ko:K07259	mao:MAP4_3431
ko:K09799	mao:MAP4_3433
ko:K02341	mao:MAP4_3441
ko:K03168	mao:MAP4_3443
ko:K03704	mao:MAP4_3445
ko:K12510	mao:MAP4_3452
ko:K02283	mao:MAP4_3453
ko:K15581	mao:MAP4_3459
ko:K15580	mao:MAP4_3460
ko:K01895	mao:MAP4_3462
ko:K02874	mao:MAP4_4302
ko:K02895	mao:MAP4_4303
ko:K02931	mao:MAP4_4304
ko:K02954	mao:MAP4_4305
ko:K02994	mao:MAP4_4306
ko:K02933	mao:MAP4_4307
ko:K02881	mao:MAP4_4308
ko:K02988	mao:MAP4_4309
ko:K02907	mao:MAP4_4310
ko:K02876	mao:MAP4_4311
ko:K04773	mao:MAP4_4313
ko:K01628	mao:MAP4_4318
ko:K03076	mao:MAP4_4323
ko:K01265	mao:MAP4_4325
ko:K03088	mao:MAP4_4326
ko:K02003	mao:MAP4_4332
ko:K01652	mao:MAP4_4333
ko:K00648	mao:MAP4_4335
ko:K00817	mao:MAP4_4336
ko:K00140	mao:MAP4_4340
ko:K01790	mao:MAP4_4349
ko:K02518	mao:MAP4_4353
ko:K02919	mao:MAP4_4354
ko:K02952	mao:MAP4_4355
ko:K02948	mao:MAP4_4356
ko:K02986	mao:MAP4_4357
ko:K03040	mao:MAP4_4358
ko:K01207	mao:MAP4_0083
ko:K03781	mao:MAP4_0089
ko:K03781	mao:MAP4_0090
ko:K03439	mao:MAP4_0131
ko:K01662	mao:MAP4_1009
ko:K03684	mao:MAP4_1010
ko:K01599	mao:MAP4_1013
ko:K00231	mao:MAP4_1014
ko:K06916	mao:MAP4_1022
ko:K01574	mao:MAP4_1040
ko:K00655	mao:MAP4_1908
ko:K01626	mao:MAP4_1912
ko:K03925	mao:MAP4_1922
ko:K03438	mao:MAP4_1923
ko:K03587	mao:MAP4_1925
ko:K01928	mao:MAP4_1926
ko:K01929	mao:MAP4_1927
ko:K01000	mao:MAP4_1928
ko:K01925	mao:MAP4_1929
ko:K03588	mao:MAP4_1930
ko:K02563	mao:MAP4_1931
ko:K01924	mao:MAP4_1932
ko:K03589	mao:MAP4_1933
ko:K03531	mao:MAP4_1934
ko:K05810	mao:MAP4_1935
ko:K06997	mao:MAP4_1936
ko:K09772	mao:MAP4_1937
ko:K02221	mao:MAP4_1938
ko:K01892	mao:MAP4_2804
ko:K00759	mao:MAP4_2810
ko:K03074	mao:MAP4_2812
ko:K03072	mao:MAP4_2813
ko:K03210	mao:MAP4_2814
ko:K03551	mao:MAP4_2818
ko:K03550	mao:MAP4_2819
ko:K01159	mao:MAP4_2820
ko:K00797	mao:MAP4_2826
ko:K03624	mao:MAP4_2830
ko:K01697	mao:MAP4_2833
ko:K07001	mao:MAP4_2845
ko:K07001	mao:MAP4_2846
ko:K01126	mao:MAP4_3683
ko:K04564	mao:MAP4_3686
ko:K07156	mao:MAP4_3691
ko:K02553	mao:MAP4_3693
ko:K02346	mao:MAP4_3696
ko:K00266	mao:MAP4_3701
ko:K03088	mao:MAP4_3704
ko:K15554	mao:MAP4_3728
ko:K15553	mao:MAP4_3729
ko:K01980	mao:MAP4_r02
ko:K02426	mao:MAP4_0379
ko:K06287	mao:MAP4_0381
ko:K03524	mao:MAP4_0385
ko:K01589	mao:MAP4_0388
ko:K01588	mao:MAP4_0389
ko:K02040	mao:MAP4_0394
ko:K00067	mao:MAP4_0402
ko:K01809	mao:MAP4_0415
ko:K00496	mao:MAP4_0418
ko:K01251	mao:MAP4_0422
ko:K00943	mao:MAP4_0423
ko:K03070	mao:MAP4_0430
ko:K05592	mao:MAP4_1301
ko:K08296	mao:MAP4_1326
ko:K02034	mao:MAP4_1333
ko:K01673	mao:MAP4_1335
ko:K00957	mao:MAP4_1337
ko:K00955	mao:MAP4_1338
ko:K01637	mao:MAP4_2195
ko:K03186	mao:MAP4_2203
ko:K08972	mao:MAP4_2211
ko:K07560	mao:MAP4_2216
ko:K01915	mao:MAP4_2240
ko:K03594	mao:MAP4_2244
ko:K02164	mao:MAP4_3087
ko:K02066	mao:MAP4_3102
ko:K02066	mao:MAP4_3103
ko:K03695	mao:MAP4_3968
ko:K07124	mao:MAP4_3971
ko:K00762	mao:MAP4_3972
ko:K03975	mao:MAP4_3977
ko:K16264	mao:MAP4_3980
ko:K01939	mao:MAP4_3984
ko:K08289	mao:MAP4_3986
ko:K10764	mao:MAP4_3988
ko:K03885	mao:MAP4_3989
ko:K00252	mao:MAP4_3993
ko:K13788	mao:MAP4_4000
ko:K00925	mao:MAP4_4001
ko:K00788	mao:MAP4_4012
ko:K03154	mao:MAP4_4014
ko:K03149	mao:MAP4_4015
ko:K01704	mao:MAP4_0775
ko:K03530	mao:MAP4_0776
ko:K00937	mao:MAP4_0778
ko:K00057	mao:MAP4_0780
ko:K01921	mao:MAP4_0781
ko:K00946	mao:MAP4_0783
ko:K03648	mao:MAP4_0784
ko:K02902	mao:MAP4_0790
ko:K03655	mao:MAP4_0793
ko:K00954	mao:MAP4_0800
ko:K01652	mao:MAP4_0802
ko:K07089	mao:MAP4_0803
ko:K07040	mao:MAP4_0806
ko:K03685	mao:MAP4_0807
ko:K01512	mao:MAP4_0811
ko:K03529	mao:MAP4_0812
ko:K03110	mao:MAP4_0813
ko:K03320	mao:MAP4_0814
ko:K04751	mao:MAP4_0815
ko:K00990	mao:MAP4_0816
ko:K03106	mao:MAP4_0819
ko:K02959	mao:MAP4_0825
ko:K06960	mao:MAP4_0826
ko:K02860	mao:MAP4_0827
ko:K00554	mao:MAP4_0828
ko:K02884	mao:MAP4_0830
ko:K03100	mao:MAP4_0831
ko:K03470	mao:MAP4_0832
ko:K03584	mao:MAP4_1680
ko:K01880	mao:MAP4_1685
ko:K01129	mao:MAP4_1690
ko:K00640	mao:MAP4_1698
