ko:K00036	sud:ST398NM01_1571
ko:K02015	sud:ST398NM01_2235
ko:K02015	sud:ST398NM01_2236
ko:K02016	sud:ST398NM01_2237
ko:K02787	sud:ST398NM01_2250
ko:K02788	sud:ST398NM01_2250
ko:K12410	sud:ST398NM01_2257
ko:K01575	sud:ST398NM01_2267
ko:K01652	sud:ST398NM01_2268
ko:K02996	sud:ST398NM01_2270
ko:K02871	sud:ST398NM01_2271
ko:K06173	sud:ST398NM01_2272
ko:K02879	sud:ST398NM01_2276
ko:K03040	sud:ST398NM01_2277
ko:K02948	sud:ST398NM01_2278
ko:K03306	sud:ST398NM01_0742
ko:K06890	sud:ST398NM01_0744
ko:K09793	sud:ST398NM01_0752
ko:K06966	sud:ST398NM01_0758
ko:K09768	sud:ST398NM01_0759
ko:K06153	sud:ST398NM01_0761
ko:K01669	sud:ST398NM01_0769
ko:K02768	sud:ST398NM01_0777
ko:K02769	sud:ST398NM01_0777
ko:K02770	sud:ST398NM01_0777
ko:K01443	sud:ST398NM01_0778
ko:K10681	sud:ST398NM01_0782
ko:K10682	sud:ST398NM01_0783
ko:K10026	sud:ST398NM01_0787
ko:K01737	sud:ST398NM01_0788
ko:K06920	sud:ST398NM01_0789
ko:K01665	sud:ST398NM01_0791
ko:K09699	sud:ST398NM01_1581
ko:K00167	sud:ST398NM01_1582
ko:K00166	sud:ST398NM01_1583
ko:K00382	sud:ST398NM01_1584
ko:K03631	sud:ST398NM01_1585
ko:K03402	sud:ST398NM01_1586
ko:K13789	sud:ST398NM01_1587
ko:K03602	sud:ST398NM01_1588
ko:K03601	sud:ST398NM01_1589
ko:K03625	sud:ST398NM01_1590
ko:K01961	sud:ST398NM01_1592
ko:K02160	sud:ST398NM01_1593
ko:K02356	sud:ST398NM01_1594
ko:K03800	sud:ST398NM01_1598
ko:K00283	sud:ST398NM01_1600
ko:K00282	sud:ST398NM01_1601
ko:K00605	sud:ST398NM01_1602
ko:K14232	sud:ST398NM01_r009
ko:K14232	sud:ST398NM01_r026
ko:K00891	sud:ST398NM01_1603
ko:K02913	sud:ST398NM01_1616
ko:K04564	sud:ST398NM01_1618
ko:K09816	sud:ST398NM01_1620
ko:K09817	sud:ST398NM01_1621
ko:K01151	sud:ST398NM01_1622
ko:K02952	sud:ST398NM01_2279
ko:K02919	sud:ST398NM01_2280
ko:K02518	sud:ST398NM01_2281
ko:K03076	sud:ST398NM01_2283
