ko:K09458	aah:CF65_01177
ko:K00059	aah:CF65_01179
ko:K00647	aah:CF65_01182
ko:K07107	aah:CF65_01188
ko:K02078	aah:CF65_01194
ko:K02078	aah:CF65_01195
ko:K03733	aah:CF65_01202
ko:K01778	aah:CF65_01203
ko:K03581	aah:CF65_02265
ko:K03582	aah:CF65_02266
ko:K06039	aah:CF65_02267
ko:K01716	aah:CF65_02269
ko:K04770	aah:CF65_02270
ko:K09911	aah:CF65_02272
ko:K03704	aah:CF65_02273
ko:K09917	aah:CF65_02275
ko:K06175	aah:CF65_02276
ko:K06879	aah:CF65_02280
ko:K08476	aah:CF65_02281
ko:K08476	aah:CF65_02282
ko:K08475	aah:CF65_02284
ko:K08478	aah:CF65_02285
ko:K02012	aah:CF65_02286
ko:K09906	aah:CF65_02288
ko:K03798	aah:CF65_02289
ko:K02427	aah:CF65_02290
ko:K01433	aah:CF65_02291
ko:K01776	aah:CF65_02300
ko:K03181	aah:CF65_02301
ko:K03655	aah:CF65_02303
ko:K03060	aah:CF65_02306
ko:K00942	aah:CF65_02307
ko:K00134	aah:CF65_02309
ko:K08978	aah:CF65_02310
ko:K09801	aah:CF65_02313
ko:K03601	aah:CF65_02316
ko:K06958	aah:CF65_02317
ko:K02806	aah:CF65_02319
ko:K06861	aah:CF65_02320
ko:K09774	aah:CF65_02321
ko:K11719	aah:CF65_02323
ko:K00094	aah:CF65_02047
ko:K02436	aah:CF65_02048
ko:K01662	aah:CF65_02050
ko:K00795	aah:CF65_02051
ko:K03602	aah:CF65_02052
ko:K01963	aah:CF65_02053
ko:K11754	aah:CF65_02056
ko:K06131	aah:CF65_02060
ko:K06177	aah:CF65_02063
ko:K06193	aah:CF65_02069
ko:K05685	aah:CF65_02080
ko:K13888	aah:CF65_02081
ko:K01886	aah:CF65_02082
ko:K09160	aah:CF65_02084
ko:K00700	aah:CF65_02087
ko:K00975	aah:CF65_02090
ko:K00703	aah:CF65_02092
ko:K00688	aah:CF65_02094
ko:K02897	aah:CF65_02099
ko:K07262	aah:CF65_02101
ko:K07262	aah:CF65_02103
ko:K03633	aah:CF65_02105
ko:K05939	aah:CF65_02108
ko:K03804	aah:CF65_02111
ko:K03632	aah:CF65_02112
ko:K01141	aah:CF65_02114
ko:K02217	aah:CF65_02120
ko:K03424	aah:CF65_00244
ko:K03768	aah:CF65_00247
ko:K01883	aah:CF65_00249
ko:K03644	aah:CF65_00250
ko:K03801	aah:CF65_00251
ko:K09158	aah:CF65_00252
ko:K07258	aah:CF65_00254
ko:K03642	aah:CF65_00256
ko:K05837	aah:CF65_00257
ko:K05515	aah:CF65_00258
ko:K00783	aah:CF65_00259
ko:K09710	aah:CF65_00260
ko:K03732	aah:CF65_00263
ko:K01933	aah:CF65_01206
ko:K03695	aah:CF65_01211
ko:K02237	aah:CF65_01213
ko:K00133	aah:CF65_01215
ko:K07400	aah:CF65_01221
ko:K03311	aah:CF65_01223
ko:K01937	aah:CF65_01224
ko:K07491	aah:CF65_01226
ko:K02874	aah:CF65_01228
ko:K02895	aah:CF65_01229
ko:K02931	aah:CF65_01230
ko:K02954	aah:CF65_01231
ko:K02994	aah:CF65_01232
ko:K02933	aah:CF65_01233
ko:K02881	aah:CF65_01234
ko:K02988	aah:CF65_01235
ko:K02876	aah:CF65_01236
ko:K03076	aah:CF65_01237
ko:K02919	aah:CF65_01238
ko:K02952	aah:CF65_01239
ko:K02948	aah:CF65_01240
ko:K02986	aah:CF65_01241
ko:K03040	aah:CF65_01242
ko:K02879	aah:CF65_01243
ko:K07491	aah:CF65_01244
ko:K03834	aah:CF65_01245
ko:K06211	aah:CF65_01250
ko:K04085	aah:CF65_01252
ko:K03498	aah:CF65_01258
ko:K00230	aah:CF65_01259
ko:K07109	aah:CF65_01264
ko:K07109	aah:CF65_01265
ko:K02065	aah:CF65_02324
ko:K02066	aah:CF65_02325
ko:K02067	aah:CF65_02326
ko:K07323	aah:CF65_02327
ko:K07122	aah:CF65_02328
ko:K00790	aah:CF65_02330
ko:K13409	aah:CF65_02331
ko:K06076	aah:CF65_02334
ko:K00567	aah:CF65_02335
ko:K03573	aah:CF65_02337
ko:K01915	aah:CF65_02343
ko:K06207	aah:CF65_02344
ko:K03564	aah:CF65_02348
ko:K01714	aah:CF65_02349
ko:K07287	aah:CF65_02350
