ko:K06437	bss:BSUW23_07320
ko:K06439	bss:BSUW23_13005
ko:K06440	bss:BSUW23_12985
ko:K07052	bss:BSUW23_03075
ko:K14220	bss:BSUW23_t20498
ko:K14220	bss:BSUW23_t20566
ko:K14220	bss:BSUW23_t20520
ko:K14220	bss:BSUW23_t20476
ko:K11614	bss:BSUW23_15345
ko:K00645	bss:BSUW23_09455
ko:K03719	bss:BSUW23_02590
ko:K01990	bss:BSUW23_04575
ko:K01182	bss:BSUW23_01455
ko:K16961	bss:BSUW23_19710
ko:K01449	bss:BSUW23_01330
ko:K14225	bss:BSUW23_t20570
ko:K14225	bss:BSUW23_t20514
ko:K14225	bss:BSUW23_t20552
ko:K01983	bss:BSUW23_miscRNA2
ko:K13274	bss:BSUW23_05460
ko:K14219	bss:BSUW23_t20560
ko:K01449	bss:BSUW23_11260
ko:K03292	bss:BSUW23_09010
ko:K01181	bss:BSUW23_09035
ko:K02851	bss:BSUW23_17420
ko:K01977	bss:BSUW23_r20632
ko:K01977	bss:BSUW23_r20636
ko:K01977	bss:BSUW23_r20644
ko:K01977	bss:BSUW23_r20634
ko:K01977	bss:BSUW23_r20646
ko:K01977	bss:BSUW23_r20638
ko:K01977	bss:BSUW23_r20640
ko:K01977	bss:BSUW23_r20642
ko:K03293	bss:BSUW23_16700
ko:K03296	bss:BSUW23_03405
ko:K11632	bss:BSUW23_14720
ko:K01897	bss:BSUW23_13855
ko:K03588	bss:BSUW23_11640
ko:K11440	bss:BSUW23_15075
ko:K02013	bss:BSUW23_07900
ko:K11637	bss:BSUW23_03850
ko:K13276	bss:BSUW23_07880
ko:K14225	bss:BSUW23_t20480
ko:K14225	bss:BSUW23_t20544
ko:K14225	bss:BSUW23_t20594
ko:K00941	bss:BSUW23_05920
ko:K07219	bss:BSUW23_16350
ko:K06419	bss:BSUW23_04920
ko:K06428	bss:BSUW23_04305
ko:K04749	bss:BSUW23_02450
ko:K02277	bss:BSUW23_07685
ko:K01739	bss:BSUW23_06010
ko:K07680	bss:BSUW23_15410
ko:K13532	bss:BSUW23_07015
ko:K11619	bss:BSUW23_16215
ko:K01179	bss:BSUW23_09325
ko:K06292	bss:BSUW23_17600
ko:K11629	bss:BSUW23_14730
ko:K11630	bss:BSUW23_14735
ko:K11631	bss:BSUW23_14725
ko:K14223	bss:BSUW23_t20504
ko:K14223	bss:BSUW23_t20496
ko:K14223	bss:BSUW23_t20542
ko:K14228	bss:BSUW23_t20596
ko:K14338	bss:BSUW23_13125
ko:K01227	bss:BSUW23_17585
ko:K13533	bss:BSUW23_06945
ko:K13611	bss:BSUW23_08835
ko:K01271	bss:BSUW23_07120
ko:K19551	bss:BSUW23_17130
ko:K06402	bss:BSUW23_13545
ko:K14223	bss:BSUW23_t20558
ko:K14540	bss:BSUW23_08265
ko:K00128	bss:BSUW23_18755
ko:K14230	bss:BSUW23_t20582
ko:K14233	bss:BSUW23_t20500
ko:K14233	bss:BSUW23_t20564
ko:K03436	bss:BSUW23_07385
ko:K22044	bss:BSUW23_07300
ko:K14236	bss:BSUW23_t20494
ko:K14236	bss:BSUW23_t20536
ko:K14234	bss:BSUW23_t20478
ko:K15312	bss:BSUW23_08825
ko:K15313	bss:BSUW23_08830
ko:K13275	bss:BSUW23_06765
ko:K01046	bss:BSUW23_01380
ko:K00128	bss:BSUW23_19900
ko:K01176	bss:BSUW23_01555
ko:K14218	bss:BSUW23_t20464
ko:K14218	bss:BSUW23_t20470
ko:K14218	bss:BSUW23_t20486
ko:K14218	bss:BSUW23_t20586
ko:K01990	bss:BSUW23_14545
ko:K03457	bss:BSUW23_19195
ko:K09809	bss:BSUW23_17545
ko:K02083	bss:BSUW23_15875
ko:K06421	bss:BSUW23_06910
ko:K09683	bss:BSUW23_19630
ko:K02001	bss:BSUW23_01530
ko:K02491	bss:BSUW23_07190
ko:K03489	bss:BSUW23_20015
ko:K14230	bss:BSUW23_t20516
ko:K14230	bss:BSUW23_t20528
ko:K14230	bss:BSUW23_t20578
ko:K00130	bss:BSUW23_15080
ko:K10117	bss:BSUW23_14670
ko:K10118	bss:BSUW23_14675
ko:K00632	bss:BSUW23_16055
ko:K01978	bss:BSUW23_miscRNA35
ko:K01209	bss:BSUW23_13830
ko:K04757	bss:BSUW23_02455
ko:K07052	bss:BSUW23_20335
ko:K14228	bss:BSUW23_t20510
ko:K01897	bss:BSUW23_05195
ko:K01843	bss:BSUW23_10535
ko:K14393	bss:BSUW23_18915
ko:K13613	bss:BSUW23_08845
ko:K00868	bss:BSUW23_18785
ko:K07250	bss:BSUW23_02015
ko:K03339	bss:BSUW23_19795
ko:K13612	bss:BSUW23_08840
ko:K10907	bss:BSUW23_15280
ko:K01934	bss:BSUW23_12340
ko:K13277	bss:BSUW23_19025
ko:K01992	bss:BSUW23_05000
ko:K14231	bss:BSUW23_t20532
ko:K14231	bss:BSUW23_t20574
ko:K14231	bss:BSUW23_t20608
ko:K14222	bss:BSUW23_t20546
ko:K08093	bss:BSUW23_01790
ko:K13614	bss:BSUW23_08850
ko:K00547	bss:BSUW23_01225
ko:K14233	bss:BSUW23_t20522
ko:K08221	bss:BSUW23_05565
ko:K00537	bss:BSUW23_16045
ko:K03457	bss:BSUW23_17960
ko:K02803	bss:BSUW23_03910
ko:K02804	bss:BSUW23_03910
ko:K01759	bss:BSUW23_19005
ko:K01980	bss:BSUW23_r20658
ko:K01980	bss:BSUW23_r20648
ko:K01980	bss:BSUW23_r20662
ko:K01980	bss:BSUW23_r20652
ko:K01980	bss:BSUW23_r20650
ko:K01980	bss:BSUW23_r20660
ko:K01980	bss:BSUW23_r20654
ko:K01980	bss:BSUW23_r20656
ko:K01990	bss:BSUW23_04995
ko:K06608	bss:BSUW23_19845
ko:K14205	bss:BSUW23_04240
ko:K02525	bss:BSUW23_10835
ko:K03307	bss:BSUW23_10465
ko:K03324	bss:BSUW23_01085
ko:K02005	bss:BSUW23_07370
ko:K02005	bss:BSUW23_16300
ko:K01992	bss:BSUW23_05085
ko:K03307	bss:BSUW23_10285
ko:K13628	bss:BSUW23_15680
ko:K03406	bss:BSUW23_09935
ko:K01985	bss:BSUW23_r20622
ko:K01985	bss:BSUW23_r20626
ko:K01985	bss:BSUW23_r20620
ko:K01985	bss:BSUW23_r20630
ko:K01985	bss:BSUW23_r20618
ko:K01985	bss:BSUW23_r20616
ko:K01985	bss:BSUW23_r20624
ko:K01985	bss:BSUW23_r20628
ko:K14232	bss:BSUW23_t20484
ko:K14232	bss:BSUW23_t20588
ko:K14219	bss:BSUW23_t20556
ko:K14219	bss:BSUW23_t20606
ko:K11636	bss:BSUW23_19775
ko:K11635	bss:BSUW23_19780
ko:K00459	bss:BSUW23_15195
ko:K01916	bss:BSUW23_01600
ko:K01113	bss:BSUW23_01345
ko:K07691	bss:BSUW23_15405
ko:K11638	bss:BSUW23_03855
ko:K14189	bss:BSUW23_19110
ko:K14188	bss:BSUW23_19100
ko:K05346	bss:BSUW23_19675
ko:K01209	bss:BSUW23_13955
ko:K14218	bss:BSUW23_t20604
ko:K14219	bss:BSUW23_t20482
ko:K14219	bss:BSUW23_t20512
ko:K14219	bss:BSUW23_t20590
ko:K14221	bss:BSUW23_t20518
ko:K14221	bss:BSUW23_t20576
ko:K14221	bss:BSUW23_t20530
ko:K14221	bss:BSUW23_t20610
ko:K01449	bss:BSUW23_07090
ko:K01992	bss:BSUW23_14540
ko:K01560	bss:BSUW23_03735
ko:K09388	bss:BSUW23_18565
ko:K10711	bss:BSUW23_15900
ko:K06314	bss:BSUW23_18580
