ko:K02862	baml:BAM5036_1416
ko:K07177	baml:BAM5036_1428
ko:K08724	baml:BAM5036_1438
ko:K02035	baml:BAM5036_0805
ko:K02033	baml:BAM5036_0806
ko:K00567	baml:BAM5036_1268
ko:K08969	baml:BAM5036_1272
ko:K01081	baml:BAM5036_0847
ko:K02443	baml:BAM5036_0855
ko:K01835	baml:BAM5036_0859
ko:K02480	baml:BAM5036_0860
ko:K01077	baml:BAM5036_0869
ko:K03294	baml:BAM5036_0874
ko:K08964	baml:BAM5036_1275
ko:K03697	baml:BAM5036_1282
ko:K11189	baml:BAM5036_1306
ko:K08483	baml:BAM5036_1307
ko:K03406	baml:BAM5036_1310
ko:K00841	baml:BAM5036_1315
ko:K02823	baml:BAM5036_1472
ko:K06324	baml:BAM5036_0590
ko:K07094	baml:BAM5036_0621
ko:K15629	baml:BAM5036_1007
ko:K15582	baml:BAM5036_1045
ko:K15583	baml:BAM5036_1046
ko:K10823	baml:BAM5036_1047
ko:K16509	baml:BAM5036_1050
ko:K07816	baml:BAM5036_1061
ko:K03455	baml:BAM5036_1065
ko:K03153	baml:BAM5036_1068
ko:K06889	baml:BAM5036_1014
ko:K02035	baml:BAM5036_1038
ko:K02033	baml:BAM5036_1039
ko:K03307	baml:BAM5036_0627
ko:K02433	baml:BAM5036_0629
ko:K14338	baml:BAM5036_0659
ko:K03294	baml:BAM5036_0671
ko:K05822	baml:BAM5036_1333
ko:K03635	baml:BAM5036_1344
ko:K02005	baml:BAM5036_1347
ko:K02004	baml:BAM5036_1349
ko:K03436	baml:BAM5036_1350
ko:K00882	baml:BAM5036_1351
ko:K00657	baml:BAM5036_0531
ko:K03492	baml:BAM5036_0544
ko:K00626	baml:BAM5036_0956
ko:K11637	baml:BAM5036_0689
ko:K01226	baml:BAM5036_0709
ko:K03486	baml:BAM5036_0710
ko:K01760	baml:BAM5036_1094
ko:K01784	baml:BAM5036_1120
ko:K02786	baml:BAM5036_1123
ko:K01220	baml:BAM5036_1124
ko:K02530	baml:BAM5036_1125
ko:K01104	baml:BAM5036_0722
ko:K07104	baml:BAM5036_0753
ko:K01719	baml:BAM5036_1138
ko:K18939	baml:BAM5036_0254
ko:K18939	baml:BAM5036_3137
ko:K18926	baml:BAM5036_0253
ko:K01732	baml:BAM5036_3554
ko:K19427	baml:BAM5036_3073
ko:K10040	baml:BAM5036_2397
ko:K03296	baml:BAM5036_0632
ko:K00571	baml:BAM5036_2582
ko:K18682	baml:BAM5036_1617
ko:K07260	baml:BAM5036_1873
ko:K09022	baml:BAM5036_0051
ko:K07045	baml:BAM5036_2989
ko:K07045	baml:BAM5036_0811
ko:K16919	baml:BAM5036_2675
ko:K17234	baml:BAM5036_2521
ko:K07029	baml:BAM5036_0633
ko:K08194	baml:BAM5036_0299
ko:K01233	baml:BAM5036_2888
ko:K06421	baml:BAM5036_1260
ko:K16202	baml:BAM5036_1214
ko:K13614	baml:BAM5036_1643
ko:K13611	baml:BAM5036_1640
ko:K00128	baml:BAM5036_2603
ko:K11620	baml:BAM5036_2937
ko:K13037	baml:BAM5036_3420
ko:K15656	baml:BAM5036_0326
ko:K06344	baml:BAM5036_1075
ko:K06343	baml:BAM5036_1076
ko:K16962	baml:BAM5036_0352
ko:K03339	baml:BAM5036_3589
ko:K16706	baml:BAM5036_3193
ko:K16699	baml:BAM5036_3191
ko:K13276	baml:BAM5036_1449
ko:K16593	baml:BAM5036_1761
ko:K00128	baml:BAM5036_3609
ko:K06389	baml:BAM5036_1199
ko:K15657	baml:BAM5036_0327
ko:K16247	baml:BAM5036_0573
ko:K06359	baml:BAM5036_1156
ko:K11440	baml:BAM5036_2725
ko:K06290	baml:BAM5036_2932
ko:K13615	baml:BAM5036_1644
ko:K06321	baml:BAM5036_1894
ko:K06319	baml:BAM5036_1895
ko:K15654	baml:BAM5036_0324
ko:K06322	baml:BAM5036_1893
ko:K16044	baml:BAM5036_2984
ko:K13277	baml:BAM5036_3486
ko:K06376	baml:BAM5036_1277
ko:K11639	baml:BAM5036_0692
ko:K06362	baml:BAM5036_3286
ko:K04757	baml:BAM5036_0460
ko:K00980	baml:BAM5036_3210
ko:K02277	baml:BAM5036_1415
ko:K09681	baml:BAM5036_1798
ko:K06320	baml:BAM5036_1896
