ko:K01912	ecd:ECDH10B_1523
ko:K07042	ecd:ECDH10B_0728
ko:K02160	ecd:ECDH10B_3430
ko:K02400	ecd:ECDH10B_2020
ko:K02401	ecd:ECDH10B_2021
ko:K00057	ecd:ECDH10B_3790
ko:K03808	ecd:ECDH10B_1972
ko:K03808	ecd:ECDH10B_1020
ko:K01007	ecd:ECDH10B_1838
ko:K06074	ecd:ECDH10B_1845
ko:K06073	ecd:ECDH10B_1847
ko:K02233	ecd:ECDH10B_2136
ko:K02231	ecd:ECDH10B_2137
ko:K09802	ecd:ECDH10B_2154
ko:K07112	ecd:ECDH10B_2160
ko:K00012	ecd:ECDH10B_2176
ko:K06968	ecd:ECDH10B_2975
ko:K03665	ecd:ECDH10B_4368
ko:K02405	ecd:ECDH10B_2063
ko:K01845	ecd:ECDH10B_0134
ko:K03923	ecd:ECDH10B_3202
ko:K00864	ecd:ECDH10B_4115
ko:K09812	ecd:ECDH10B_3637
ko:K03624	ecd:ECDH10B_3355
ko:K07713	ecd:ECDH10B_4193
ko:K03574	ecd:ECDH10B_0081
ko:K08591	ecd:ECDH10B_3234
ko:K07647	ecd:ECDH10B_1065
ko:K07674	ecd:ECDH10B_2634
ko:K12973	ecd:ECDH10B_0582
ko:K18922	ecd:ECDH10B_0540
ko:K00244	ecd:ECDH10B_4349
ko:K00850	ecd:ECDH10B_4105
ko:K03702	ecd:ECDH10B_0847
ko:K01448	ecd:ECDH10B_2600
ko:K03077	ecd:ECDH10B_4393
ko:K03168	ecd:ECDH10B_1389
ko:K02345	ecd:ECDH10B_1983
ko:K03629	ecd:ECDH10B_3886
ko:K03215	ecd:ECDH10B_2953
ko:K06191	ecd:ECDH10B_2840
ko:K03666	ecd:ECDH10B_4367
ko:K08277	ecd:ECDH10B_0035
ko:K01956	ecd:ECDH10B_0033
ko:K07447	ecd:ECDH10B_3124
ko:K00526	ecd:ECDH10B_2394
ko:K00526	ecd:ECDH10B_2843
ko:K00845	ecd:ECDH10B_2553
ko:K04075	ecd:ECDH10B_0168
ko:K08354	ecd:ECDH10B_1804
ko:K01893	ecd:ECDH10B_1000
ko:K02338	ecd:ECDH10B_3887
ko:K06192	ecd:ECDH10B_1021
ko:K05834	ecd:ECDH10B_4015
ko:K03566	ecd:ECDH10B_2977
ko:K01866	ecd:ECDH10B_1771
ko:K02300	ecd:ECDH10B_0385
ko:K08218	ecd:ECDH10B_0389
ko:K00537	ecd:ECDH10B_2661
ko:K03498	ecd:ECDH10B_4038
ko:K06155	ecd:ECDH10B_3590
ko:K03299	ecd:ECDH10B_4497
ko:K02860	ecd:ECDH10B_2775
ko:K02884	ecd:ECDH10B_2773
ko:K06188	ecd:ECDH10B_0945
ko:K03210	ecd:ECDH10B_0363
ko:K00344	ecd:ECDH10B_4240
ko:K03544	ecd:ECDH10B_0394
ko:K04079	ecd:ECDH10B_0429
ko:K05838	ecd:ECDH10B_0449
ko:K03805	ecd:ECDH10B_0565
ko:K05515	ecd:ECDH10B_0596
ko:K06189	ecd:ECDH10B_0727
ko:K06168	ecd:ECDH10B_0730
ko:K02566	ecd:ECDH10B_0740
ko:K02565	ecd:ECDH10B_0741
ko:K07107	ecd:ECDH10B_0803
ko:K03646	ecd:ECDH10B_0806
ko:K03517	ecd:ECDH10B_0817
ko:K04047	ecd:ECDH10B_0880
ko:K07308	ecd:ECDH10B_0966
ko:K01095	ecd:ECDH10B_0374
ko:K03638	ecd:ECDH10B_0850
ko:K01419	ecd:ECDH10B_4121
ko:K03831	ecd:ECDH10B_0009
ko:K06077	ecd:ECDH10B_1775
ko:K04651	ecd:ECDH10B_2894
ko:K04652	ecd:ECDH10B_2895
ko:K08315	ecd:ECDH10B_2885
ko:K04653	ecd:ECDH10B_2896
ko:K04654	ecd:ECDH10B_2897
ko:K03657	ecd:ECDH10B_4005
ko:K03975	ecd:ECDH10B_2479
ko:K04069	ecd:ECDH10B_0893
ko:K03685	ecd:ECDH10B_2735
ko:K03803	ecd:ECDH10B_2738
ko:K03631	ecd:ECDH10B_2782
ko:K03647	ecd:ECDH10B_2841
ko:K02112	ecd:ECDH10B_3919
ko:K02110	ecd:ECDH10B_3924
ko:K02116	ecd:ECDH10B_3926
ko:K07799	ecd:ECDH10B_2226
ko:K08323	ecd:ECDH10B_1714
ko:K02466	ecd:ECDH10B_2874
ko:K02467	ecd:ECDH10B_2876
ko:K01185	ecd:ECDH10B_1339
ko:K02114	ecd:ECDH10B_3918
ko:K02867	ecd:ECDH10B_4171
ko:K07712	ecd:ECDH10B_4058
ko:K02963	ecd:ECDH10B_4397
ko:K02939	ecd:ECDH10B_4398
ko:K02899	ecd:ECDH10B_3359
ko:K03798	ecd:ECDH10B_3352
ko:K03761	ecd:ECDH10B_2755
ko:K02838	ecd:ECDH10B_0152
ko:K02357	ecd:ECDH10B_0150
ko:K05516	ecd:ECDH10B_1072
ko:K07792	ecd:ECDH10B_4315
ko:K03893	ecd:ECDH10B_3678
ko:K03892	ecd:ECDH10B_3677
ko:K03613	ecd:ECDH10B_1766
ko:K08351	ecd:ECDH10B_3730
ko:K05708	ecd:ECDH10B_2705
ko:K02572	ecd:ECDH10B_2365
ko:K07287	ecd:ECDH10B_2643
ko:K03567	ecd:ECDH10B_2645
ko:K03564	ecd:ECDH10B_2646
ko:K02380	ecd:ECDH10B_4081
ko:K05710	ecd:ECDH10B_2707
ko:K04044	ecd:ECDH10B_2693
ko:K04082	ecd:ECDH10B_2694
ko:K03719	ecd:ECDH10B_0959
ko:K03734	ecd:ECDH10B_2371
ko:K03812	ecd:ECDH10B_1023
ko:K03612	ecd:ECDH10B_1765
ko:K01997	ecd:ECDH10B_3631
ko:K03980	ecd:ECDH10B_1140
