ko:K03043	hia:H733_0397
ko:K02863	hia:H733_0398
ko:K02867	hia:H733_0399
ko:K03784	hia:H733_0400
ko:K03317	hia:H733_0401
ko:K01624	hia:H733_0406
ko:K00927	hia:H733_0407
ko:K01166	hia:H733_0408
ko:K03834	hia:H733_0410
ko:K01409	hia:H733_0412
ko:K02970	hia:H733_0413
ko:K00297	hia:H733_0995
ko:K02871	hia:H733_0996
ko:K02996	hia:H733_0997
ko:K03599	hia:H733_0998
ko:K03600	hia:H733_0999
ko:K01662	hia:H733_1000
ko:K00795	hia:H733_1001
ko:K03602	hia:H733_1002
ko:K03151	hia:H733_1003
ko:K06175	hia:H733_1005
ko:K09917	hia:H733_1006
ko:K03704	hia:H733_1007
ko:K01695	hia:H733_1012
ko:K01696	hia:H733_1013
ko:K01933	hia:H733_1015
ko:K11175	hia:H733_1016
ko:K14055	hia:H733_1018
ko:K00631	hia:H733_1706
ko:K03885	hia:H733_1707
ko:K07792	hia:H733_1708
ko:K01424	hia:H733_1709
ko:K03071	hia:H733_1712
ko:K01840	hia:H733_1713
