ko:K01647	bmz:BM28_A1156
ko:K00748	bmz:BM28_A1157
ko:K00677	bmz:BM28_A1159
ko:K02372	bmz:BM28_A1160
ko:K02536	bmz:BM28_A1161
ko:K07058	bmz:BM28_A1966
ko:K09768	bmz:BM28_A1967
ko:K01755	bmz:BM28_A1969
ko:K01586	bmz:BM28_A1971
ko:K00760	bmz:BM28_A1973
ko:K00817	bmz:BM28_A1975
ko:K00220	bmz:BM28_A1976
ko:K02221	bmz:BM28_A1980
ko:K00655	bmz:BM28_A1983
ko:K09811	bmz:BM28_A1985
ko:K09812	bmz:BM28_A1986
ko:K06188	bmz:BM28_A1988
ko:K01142	bmz:BM28_A1990
ko:K09125	bmz:BM28_A2000
ko:K02902	bmz:BM28_A2001
ko:K01534	bmz:BM28_A2004
ko:K09883	bmz:BM28_A2007
ko:K05527	bmz:BM28_A2011
ko:K01735	bmz:BM28_A2013
ko:K00891	bmz:BM28_A2014
ko:K01962	bmz:BM28_A2017
ko:K04756	bmz:BM28_B0677
ko:K04761	bmz:BM28_B0679
ko:K03338	bmz:BM28_B0683
ko:K03336	bmz:BM28_B0684
ko:K03335	bmz:BM28_B0685
ko:K03337	bmz:BM28_B0686
ko:K02011	bmz:BM28_B0689
ko:K02012	bmz:BM28_B0690
ko:K13821	bmz:BM28_B0691
ko:K00281	bmz:BM28_B0693
ko:K02437	bmz:BM28_B0694
ko:K00605	bmz:BM28_B0695
ko:K01915	bmz:BM28_B0700
ko:K02002	bmz:BM28_B0705
ko:K02001	bmz:BM28_B0706
ko:K02000	bmz:BM28_B0707
ko:K02013	bmz:BM28_B0718
ko:K02015	bmz:BM28_B0719
ko:K02016	bmz:BM28_B0720
ko:K09761	bmz:BM28_B0726
ko:K01919	bmz:BM28_B0727
ko:K03601	bmz:BM28_B0728
ko:K02933	bmz:BM28_A1229
ko:K02994	bmz:BM28_A1230
ko:K02954	bmz:BM28_A1231
ko:K02931	bmz:BM28_A1232
ko:K02895	bmz:BM28_A1233
ko:K02874	bmz:BM28_A1234
ko:K02961	bmz:BM28_A1235
ko:K02904	bmz:BM28_A1236
ko:K02878	bmz:BM28_A1237
ko:K02982	bmz:BM28_A1238
ko:K02890	bmz:BM28_A1239
ko:K02965	bmz:BM28_A1240
ko:K02886	bmz:BM28_A1241
ko:K02892	bmz:BM28_A1242
ko:K02926	bmz:BM28_A1243
ko:K02906	bmz:BM28_A1244
ko:K02946	bmz:BM28_A1245
ko:K02358	bmz:BM28_A1246
ko:K02355	bmz:BM28_A1247
ko:K02992	bmz:BM28_A1248
ko:K02950	bmz:BM28_A1249
ko:K03046	bmz:BM28_A1253
ko:K03043	bmz:BM28_A1254
ko:K02935	bmz:BM28_A1255
ko:K02864	bmz:BM28_A1256
ko:K02863	bmz:BM28_A1257
ko:K02867	bmz:BM28_A1258
ko:K02601	bmz:BM28_A1259
ko:K03073	bmz:BM28_A1260
ko:K03218	bmz:BM28_A1263
ko:K01814	bmz:BM28_A2071
ko:K02500	bmz:BM28_A2072
ko:K15034	bmz:BM28_A2075
ko:K01610	bmz:BM28_A2076
ko:K14981	bmz:BM28_A2077
ko:K14980	bmz:BM28_A2078
ko:K01251	bmz:BM28_A2083
ko:K03671	bmz:BM28_A2090
ko:K11754	bmz:BM28_A2091
ko:K01963	bmz:BM28_A2092
ko:K01695	bmz:BM28_A2093
ko:K01696	bmz:BM28_A2095
ko:K01817	bmz:BM28_A2096
ko:K07043	bmz:BM28_A2098
ko:K05782	bmz:BM28_A2102
ko:K02520	bmz:BM28_A2105
ko:K02916	bmz:BM28_A2107
ko:K02887	bmz:BM28_A2108
ko:K01889	bmz:BM28_A2110
ko:K01890	bmz:BM28_A2111
ko:K04043	bmz:BM28_A2113
ko:K03686	bmz:BM28_A2115
ko:K01591	bmz:BM28_A2117
ko:K01920	bmz:BM28_A2120
ko:K07391	bmz:BM28_A2121
ko:K03642	bmz:BM28_A2123
ko:K01686	bmz:BM28_B0784
ko:K06199	bmz:BM28_B0787
ko:K06199	bmz:BM28_B0788
ko:K13582	bmz:BM28_B0791
ko:K07090	bmz:BM28_B0792
ko:K06953	bmz:BM28_B0794
ko:K03724	bmz:BM28_B0795
ko:K00459	bmz:BM28_B0799
ko:K03427	bmz:BM28_B0807
ko:K01154	bmz:BM28_B0808
ko:K01153	bmz:BM28_B0809
ko:K07043	bmz:BM28_B0810
ko:K01624	bmz:BM28_B0838
ko:K03841	bmz:BM28_B0839
ko:K01895	bmz:BM28_A1803
ko:K03799	bmz:BM28_A1806
ko:K06996	bmz:BM28_B0458
ko:K03310	bmz:BM28_B0460
ko:K00651	bmz:BM28_B0463
ko:K00648	bmz:BM28_B0465
ko:K00833	bmz:BM28_B0466
ko:K01935	bmz:BM28_B0467
ko:K01012	bmz:BM28_B0469
ko:K03831	bmz:BM28_B0471
ko:K07078	bmz:BM28_B0472
ko:K05559	bmz:BM28_B0475
ko:K05560	bmz:BM28_B0476
ko:K05561	bmz:BM28_B0477
ko:K05562	bmz:BM28_B0478
ko:K05563	bmz:BM28_B0479
ko:K05564	bmz:BM28_B0480
ko:K00425	bmz:BM28_B0485
ko:K00426	bmz:BM28_B0486
ko:K03710	bmz:BM28_B0488
ko:K00166	bmz:BM28_B0497
ko:K00167	bmz:BM28_B0498
ko:K09699	bmz:BM28_B0499
ko:K00382	bmz:BM28_B0500
ko:K03466	bmz:BM28_B0502
ko:K01266	bmz:BM28_B0503
ko:K08369	bmz:BM28_B0504
ko:K03919	bmz:BM28_B0505
ko:K15581	bmz:BM28_B0508
ko:K15580	bmz:BM28_B0509
ko:K01468	bmz:BM28_B0897
ko:K01745	bmz:BM28_B0899
ko:K01712	bmz:BM28_B0901
ko:K09975	bmz:BM28_B0902
ko:K00824	bmz:BM28_B0903
ko:K10547	bmz:BM28_B0904
ko:K10548	bmz:BM28_B0905
ko:K10546	bmz:BM28_B0907
ko:K01631	bmz:BM28_B0909
ko:K00883	bmz:BM28_B0910
ko:K01687	bmz:BM28_B0911
ko:K01652	bmz:BM28_B0915
ko:K01266	bmz:BM28_B0919
ko:K09969	bmz:BM28_B0920
ko:K09778	bmz:BM28_A0447
ko:K01736	bmz:BM28_A0449
ko:K14652	bmz:BM28_A0450
ko:K03602	bmz:BM28_A0452
ko:K06911	bmz:BM28_A0456
ko:K01662	bmz:BM28_A0457
ko:K06442	bmz:BM28_A0458
ko:K03215	bmz:BM28_A0459
ko:K06966	bmz:BM28_A0460
ko:K01613	bmz:BM28_A0465
ko:K00764	bmz:BM28_A0468
ko:K03558	bmz:BM28_A0469
ko:K04485	bmz:BM28_A0470
ko:K00574	bmz:BM28_A0472
ko:K02939	bmz:BM28_A0473
ko:K02963	bmz:BM28_A0475
ko:K02990	bmz:BM28_A0476
ko:K00645	bmz:BM28_A0477
ko:K02078	bmz:BM28_A0479
ko:K09458	bmz:BM28_A0480
ko:K07082	bmz:BM28_A0481
ko:K00942	bmz:BM28_A0483
ko:K03568	bmz:BM28_A0484
ko:K02275	bmz:BM28_A0486
ko:K01999	bmz:BM28_B0927
ko:K01995	bmz:BM28_B0928
ko:K01996	bmz:BM28_B0929
ko:K01997	bmz:BM28_B0930
ko:K02276	bmz:BM28_A0491
ko:K03527	bmz:BM28_A0494
ko:K02204	bmz:BM28_A0495
ko:K07735	bmz:BM28_A0499
ko:K03790	bmz:BM28_A0501
ko:K02232	bmz:BM28_A1324
ko:K12257	bmz:BM28_A1337
ko:K07002	bmz:BM28_A1340
ko:K07002	bmz:BM28_A1341
ko:K02047	bmz:BM28_A1342
ko:K02046	bmz:BM28_A1343
ko:K02048	bmz:BM28_A1344
ko:K02431	bmz:BM28_A1352
ko:K02057	bmz:BM28_A1355
ko:K02013	bmz:BM28_A1358
ko:K02015	bmz:BM28_A1359
ko:K02016	bmz:BM28_A1360
ko:K01998	bmz:BM28_B0931
ko:K02073	bmz:BM28_B0934
ko:K02071	bmz:BM28_B0935
ko:K02072	bmz:BM28_B0936
ko:K02970	bmz:BM28_B0939
ko:K00325	bmz:BM28_B0945
ko:K00324	bmz:BM28_B0946
ko:K00324	bmz:BM28_B0947
ko:K13926	bmz:BM28_A1363
ko:K13926	bmz:BM28_A1364
ko:K01993	bmz:BM28_A1365
ko:K01430	bmz:BM28_A1368
ko:K01429	bmz:BM28_A1369
ko:K01428	bmz:BM28_A1370
ko:K03187	bmz:BM28_A1371
ko:K03188	bmz:BM28_A1372
ko:K03189	bmz:BM28_A1373
ko:K03190	bmz:BM28_A1374
ko:K08717	bmz:BM28_A1375
ko:K02057	bmz:BM28_B0008
ko:K07335	bmz:BM28_B0011
ko:K02362	bmz:BM28_B0013
ko:K00216	bmz:BM28_B0014
ko:K01252	bmz:BM28_B0015
ko:K02363	bmz:BM28_B0016
ko:K02361	bmz:BM28_B0017
ko:K02364	bmz:BM28_B0018
ko:K03088	bmz:BM28_B0022
ko:K01999	bmz:BM28_B0025
ko:K01997	bmz:BM28_B0026
ko:K01998	bmz:BM28_B0027
ko:K01995	bmz:BM28_B0028
ko:K01996	bmz:BM28_B0029
ko:K11381	bmz:BM28_B0034
ko:K00627	bmz:BM28_B0036
ko:K00014	bmz:BM28_B0037
ko:K01531	bmz:BM28_B0039
ko:K07507	bmz:BM28_B0042
ko:K13589	bmz:BM28_B0045
ko:K04080	bmz:BM28_B0052
ko:K01620	bmz:BM28_B0053
ko:K00266	bmz:BM28_B0055
ko:K11737	bmz:BM28_B0056
ko:K09795	bmz:BM28_B0057
ko:K09862	bmz:BM28_A0282
ko:K06287	bmz:BM28_A0283
ko:K02518	bmz:BM28_A0284
ko:K00013	bmz:BM28_A0287
ko:K00790	bmz:BM28_A0289
ko:K03190	bmz:BM28_A0297
ko:K01430	bmz:BM28_A0298
ko:K01429	bmz:BM28_A0300
ko:K01428	bmz:BM28_A0301
ko:K03187	bmz:BM28_A0302
ko:K03188	bmz:BM28_A0303
ko:K03189	bmz:BM28_A0304
ko:K01464	bmz:BM28_A0308
ko:K01810	bmz:BM28_A0316
ko:K06987	bmz:BM28_A0317
ko:K01091	bmz:BM28_A0318
ko:K03577	bmz:BM28_A0321
ko:K03585	bmz:BM28_A0322
ko:K02529	bmz:BM28_A0560
ko:K02167	bmz:BM28_A0566
ko:K07341	bmz:BM28_A0570
ko:K03284	bmz:BM28_A0572
ko:K03449	bmz:BM28_A0574
ko:K06915	bmz:BM28_A0576
ko:K04564	bmz:BM28_A0579
ko:K01354	bmz:BM28_A0581
ko:K02426	bmz:BM28_A0588
ko:K11357	bmz:BM28_A0590
ko:K05366	bmz:BM28_A0596
ko:K01972	bmz:BM28_A1433
ko:K03631	bmz:BM28_A1434
ko:K05807	bmz:BM28_A1435
ko:K02535	bmz:BM28_A1436
ko:K03531	bmz:BM28_A1438
ko:K03590	bmz:BM28_A1439
ko:K03589	bmz:BM28_A1440
ko:K01921	bmz:BM28_A1441
ko:K00075	bmz:BM28_A1442
ko:K01924	bmz:BM28_A1443
ko:K02563	bmz:BM28_A1444
ko:K03588	bmz:BM28_A1445
ko:K01925	bmz:BM28_A1446
ko:K01000	bmz:BM28_A1447
ko:K01929	bmz:BM28_A1448
ko:K01928	bmz:BM28_A1449
ko:K03587	bmz:BM28_A1450
ko:K03438	bmz:BM28_A1452
ko:K03322	bmz:BM28_A1454
ko:K05801	bmz:BM28_A1457
ko:K07088	bmz:BM28_A1461
ko:K00297	bmz:BM28_A1463
ko:K09988	bmz:BM28_A1472
ko:K00479	bmz:BM28_A1473
ko:K06193	bmz:BM28_A1475
ko:K08281	bmz:BM28_A1476
ko:K09799	bmz:BM28_A1477
ko:K01442	bmz:BM28_A1479
ko:K03543	bmz:BM28_B0118
ko:K02401	bmz:BM28_B0122
ko:K02410	bmz:BM28_B0124
ko:K02417	bmz:BM28_B0125
ko:K02416	bmz:BM28_B0127
ko:K02556	bmz:BM28_B0128
ko:K02391	bmz:BM28_B0130
ko:K07636	bmz:BM28_A0330
ko:K13583	bmz:BM28_A0331
ko:K04083	bmz:BM28_A0334
ko:K07277	bmz:BM28_A1162
ko:K11749	bmz:BM28_A1163
ko:K00981	bmz:BM28_A1164
ko:K00806	bmz:BM28_A1165
ko:K02838	bmz:BM28_A1166
ko:K09903	bmz:BM28_A1167
ko:K02357	bmz:BM28_A1168
ko:K02967	bmz:BM28_A1169
ko:K09919	bmz:BM28_A1174
ko:K02503	bmz:BM28_A1175
ko:K03694	bmz:BM28_A1176
ko:K06891	bmz:BM28_A1177
ko:K01752	bmz:BM28_A1182
ko:K09457	bmz:BM28_A1191
ko:K07080	bmz:BM28_A1201
ko:K01776	bmz:BM28_A1202
