ko:K14220	eln:NRG857_t22341
ko:K14220	eln:NRG857_t22345
ko:K14220	eln:NRG857_t22343
ko:K14220	eln:NRG857_t22347
ko:K16090	eln:NRG857_03600
ko:K14232	eln:NRG857_t22349
ko:K14219	eln:NRG857_t22351
ko:K14224	eln:NRG857_t22365
ko:K14224	eln:NRG857_t22417
ko:K14224	eln:NRG857_t22427
ko:K14224	eln:NRG857_t22399
ko:K14219	eln:NRG857_t22367
ko:K14219	eln:NRG857_t22371
ko:K14219	eln:NRG857_t22369
ko:K16136	eln:NRG857_08115
ko:K14233	eln:NRG857_t22373
ko:K14230	eln:NRG857_t22375
ko:K14230	eln:NRG857_t22377
ko:K14230	eln:NRG857_t22385
ko:K16140	eln:NRG857_08090
ko:K14225	eln:NRG857_t22379
ko:K14231	eln:NRG857_t22381
ko:K14231	eln:NRG857_t22429
ko:K14230	eln:NRG857_t22383
ko:K14228	eln:NRG857_t22387
ko:K14234	eln:NRG857_t22389
ko:K14232	eln:NRG857_t22395
ko:K14219	eln:NRG857_t22405
ko:K14226	eln:NRG857_t22407
ko:K16137	eln:NRG857_08265
ko:K14234	eln:NRG857_t22425
ko:K01977	eln:NRG857_r22461
ko:K01977	eln:NRG857_r22473
ko:K01977	eln:NRG857_r22471
ko:K01977	eln:NRG857_r22467
ko:K01977	eln:NRG857_r22469
ko:K01977	eln:NRG857_r22463
ko:K01977	eln:NRG857_r22465
ko:K02550	eln:NRG857_14725
ko:K07480	eln:NRG857_30143
ko:K07480	eln:NRG857_30080
ko:K07480	eln:NRG857_10890
ko:K11605	eln:NRG857_30256
ko:K07347	eln:NRG857_00720
ko:K02014	eln:NRG857_00780
ko:K02014	eln:NRG857_15080
ko:K02014	eln:NRG857_30235
ko:K05875	eln:NRG857_09450
ko:K00130	eln:NRG857_01530
ko:K09022	eln:NRG857_15480
ko:K00526	eln:NRG857_11335
ko:K00287	eln:NRG857_00250
ko:K14744	eln:NRG857_05655
ko:K01175	eln:NRG857_03100
ko:K10108	eln:NRG857_20160
ko:K16052	eln:NRG857_06830
ko:K14228	eln:NRG857_t22437
ko:K14237	eln:NRG857_t22307
ko:K14237	eln:NRG857_t22361
ko:K14237	eln:NRG857_t22357
ko:K14237	eln:NRG857_t22311
ko:K14237	eln:NRG857_t22359
ko:K14229	eln:NRG857_t22305
ko:K14229	eln:NRG857_t22309
ko:K14229	eln:NRG857_t22315
ko:K14229	eln:NRG857_t22363
ko:K14229	eln:NRG857_t22313
ko:K14229	eln:NRG857_t22317
ko:K14228	eln:NRG857_t22333
ko:K14227	eln:NRG857_t22277
ko:K14227	eln:NRG857_t22393
ko:K14227	eln:NRG857_t22413
ko:K00104	eln:NRG857_14750
ko:K14234	eln:NRG857_t22419
ko:K03767	eln:NRG857_16675
ko:K03111	eln:NRG857_20320
ko:K14225	eln:NRG857_t22423
ko:K14237	eln:NRG857_t22329
ko:K14237	eln:NRG857_t22331
ko:K14222	eln:NRG857_t22335
ko:K14225	eln:NRG857_t22337
ko:K14225	eln:NRG857_t22433
ko:K14225	eln:NRG857_t22431
ko:K14225	eln:NRG857_t22435
ko:K16087	eln:NRG857_17390
ko:K14233	eln:NRG857_t22323
ko:K14233	eln:NRG857_t22319
ko:K14230	eln:NRG857_t22295
ko:K14230	eln:NRG857_t22303
ko:K14223	eln:NRG857_t22291
ko:K14223	eln:NRG857_t22293
ko:K14234	eln:NRG857_t22285
ko:K14221	eln:NRG857_t22281
ko:K14221	eln:NRG857_t22401
ko:K14221	eln:NRG857_t22283
ko:K14218	eln:NRG857_t22279
ko:K14218	eln:NRG857_t22415
ko:K14218	eln:NRG857_t22391
ko:K07279	eln:NRG857_11325
ko:K12516	eln:NRG857_06960
ko:K02536	eln:NRG857_00915
ko:K02372	eln:NRG857_00920
ko:K00677	eln:NRG857_00925
ko:K00748	eln:NRG857_00930
ko:K03470	eln:NRG857_00935
ko:K02337	eln:NRG857_00940
ko:K01962	eln:NRG857_00945
ko:K04075	eln:NRG857_00960
ko:K15034	eln:NRG857_00980
ko:K06079	eln:NRG857_00985
ko:K01881	eln:NRG857_00995
ko:K06080	eln:NRG857_01005
ko:K02073	eln:NRG857_01010
ko:K02072	eln:NRG857_01015
ko:K02071	eln:NRG857_01020
ko:K03273	eln:NRG857_01025
ko:K06222	eln:NRG857_01030
ko:K08307	eln:NRG857_01050
ko:K02016	eln:NRG857_02685
ko:K02361	eln:NRG857_02690
ko:K02363	eln:NRG857_02695
ko:K01252	eln:NRG857_02700
ko:K00216	eln:NRG857_02705
ko:K06200	eln:NRG857_02715
ko:K08317	eln:NRG857_02725
ko:K14287	eln:NRG857_02730
ko:K03805	eln:NRG857_02750
ko:K03387	eln:NRG857_02760
ko:K11932	eln:NRG857_02765
ko:K06140	eln:NRG857_02770
ko:K01169	eln:NRG857_02775
ko:K05964	eln:NRG857_02790
ko:K01643	eln:NRG857_02795
ko:K01644	eln:NRG857_02800
ko:K01646	eln:NRG857_02805
ko:K01910	eln:NRG857_02810
ko:K07700	eln:NRG857_02815
ko:K07702	eln:NRG857_02820
ko:K12973	eln:NRG857_02830
ko:K03704	eln:NRG857_02835
ko:K06199	eln:NRG857_02840
ko:K03425	eln:NRG857_02850
ko:K03644	eln:NRG857_02855
ko:K03801	eln:NRG857_02865
ko:K09158	eln:NRG857_02870
ko:K03642	eln:NRG857_02880
ko:K05837	eln:NRG857_02885
ko:K05515	eln:NRG857_02890
ko:K00783	eln:NRG857_02895
ko:K09710	eln:NRG857_02900
ko:K00969	eln:NRG857_02910
ko:K02340	eln:NRG857_02915
ko:K03643	eln:NRG857_02920
ko:K01869	eln:NRG857_02925
ko:K11930	eln:NRG857_04825
ko:K03532	eln:NRG857_04835
ko:K07811	eln:NRG857_04840
ko:K03533	eln:NRG857_04845
ko:K05516	eln:NRG857_04855
ko:K01085	eln:NRG857_04860
ko:K03809	eln:NRG857_04870
ko:K09016	eln:NRG857_04875
ko:K09024	eln:NRG857_04880
ko:K09019	eln:NRG857_04885
ko:K09023	eln:NRG857_04890
ko:K09021	eln:NRG857_04895
ko:K09018	eln:NRG857_04905
ko:K13821	eln:NRG857_04915
ko:K07243	eln:NRG857_04930
ko:K07224	eln:NRG857_04935
ko:K11937	eln:NRG857_04950
ko:K11936	eln:NRG857_04955
ko:K11931	eln:NRG857_04960
ko:K11935	eln:NRG857_04965
ko:K12972	eln:NRG857_04980
ko:K06214	eln:NRG857_05000
ko:K04338	eln:NRG857_05005
ko:K04337	eln:NRG857_05010
ko:K04335	eln:NRG857_05020
ko:K00137	eln:NRG857_07130
ko:K09936	eln:NRG857_07145
ko:K03823	eln:NRG857_07150
ko:K11738	eln:NRG857_07170
ko:K11208	eln:NRG857_07180
ko:K00675	eln:NRG857_07260
ko:K02575	eln:NRG857_07290
ko:K08349	eln:NRG857_07310
ko:K02972	eln:NRG857_07340
ko:K13243	eln:NRG857_07355
ko:K06871	eln:NRG857_07390
ko:K09781	eln:NRG857_09780
ko:K07458	eln:NRG857_09790
ko:K06950	eln:NRG857_09800
ko:K05523	eln:NRG857_09820
ko:K07127	eln:NRG857_09835
ko:K09933	eln:NRG857_09855
ko:K05373	eln:NRG857_09870
ko:K04786	eln:NRG857_09895
ko:K04785	eln:NRG857_09900
ko:K05374	eln:NRG857_09905
ko:K15721	eln:NRG857_09915
ko:K01241	eln:NRG857_09950
ko:K13635	eln:NRG857_09965
ko:K03657	eln:NRG857_10050
ko:K08094	eln:NRG857_10055
ko:K07751	eln:NRG857_12555
ko:K04755	eln:NRG857_12565
ko:K04044	eln:NRG857_12570
ko:K04082	eln:NRG857_12575
ko:K04487	eln:NRG857_12590
ko:K13643	eln:NRG857_12595
ko:K15396	eln:NRG857_12600
ko:K05820	eln:NRG857_12620
ko:K15977	eln:NRG857_12625
ko:K02057	eln:NRG857_12640
ko:K00600	eln:NRG857_12665
ko:K05916	eln:NRG857_12670
ko:K04751	eln:NRG857_12675
ko:K07715	eln:NRG857_12680
ko:K07711	eln:NRG857_12690
ko:K01952	eln:NRG857_12695
ko:K11991	eln:NRG857_12705
ko:K00997	eln:NRG857_12725
ko:K03474	eln:NRG857_12730
ko:K03584	eln:NRG857_12735
ko:K03685	eln:NRG857_12745
ko:K03100	eln:NRG857_12750
ko:K03596	eln:NRG857_12755
ko:K03598	eln:NRG857_12765
