ko:K00886	ahr:V428_04855
ko:K17758	ahr:V428_04865
ko:K17759	ahr:V428_04865
ko:K06925	ahr:V428_04870
ko:K01448	ahr:V428_04875
ko:K03572	ahr:V428_04885
ko:K00791	ahr:V428_04890
ko:K03666	ahr:V428_04895
ko:K03665	ahr:V428_04900
ko:K04088	ahr:V428_04905
ko:K04087	ahr:V428_04910
ko:K09937	ahr:V428_04915
ko:K02523	ahr:V428_04920
ko:K02888	ahr:V428_04925
ko:K02899	ahr:V428_04930
ko:K03979	ahr:V428_04935
ko:K00666	ahr:V428_04945
ko:K01070	ahr:V428_01165
ko:K01243	ahr:V428_05325
ko:K03815	ahr:V428_05350
ko:K03317	ahr:V428_05355
ko:K01619	ahr:V428_05360
ko:K08679	ahr:V428_05370
ko:K02013	ahr:V428_05380
ko:K02015	ahr:V428_05385
ko:K02016	ahr:V428_05390
ko:K07227	ahr:V428_05395
ko:K07226	ahr:V428_05400
ko:K16087	ahr:V428_05420
ko:K05820	ahr:V428_05425
ko:K07727	ahr:V428_05430
ko:K01183	ahr:V428_05445
ko:K00563	ahr:V428_05460
ko:K10914	ahr:V428_05465
ko:K07397	ahr:V428_05470
ko:K00855	ahr:V428_05485
ko:K12963	ahr:V428_05490
ko:K12962	ahr:V428_05495
ko:K07264	ahr:V428_05500
ko:K13014	ahr:V428_05505
ko:K10011	ahr:V428_05510
ko:K10012	ahr:V428_05515
ko:K07806	ahr:V428_05520
ko:K00012	ahr:V428_05525
ko:K09898	ahr:V428_05530
ko:K03415	ahr:V428_05545
ko:K07070	ahr:V428_05555
ko:K03745	ahr:V428_05565
ko:K03772	ahr:V428_05575
ko:K01775	ahr:V428_05625
ko:K08303	ahr:V428_05640
ko:K03412	ahr:V428_05675
ko:K03411	ahr:V428_05680
ko:K00575	ahr:V428_05685
ko:K03408	ahr:V428_05695
ko:K03406	ahr:V428_05700
ko:K03407	ahr:V428_05705
ko:K03413	ahr:V428_05715
ko:K03406	ahr:V428_05720
