ko:K15580	sni:INV104_13000
ko:K07461	sni:INV104_13070
ko:K02963	sni:INV104_13110
ko:K02990	sni:INV104_13130
ko:K01893	sni:INV104_13140
ko:K09861	sni:INV104_13210
ko:K01462	sni:INV104_13230
ko:K01589	sni:INV104_00460
ko:K01756	sni:INV104_00470
ko:K12308	sni:INV104_00500
ko:K02082	sni:INV104_00550
ko:K10682	sni:INV104_00670
ko:K10681	sni:INV104_00680
ko:K02986	sni:INV104_00690
ko:K07146	sni:INV104_00740
ko:K03449	sni:INV104_00800
ko:K01091	sni:INV104_00830
ko:K01752	sni:INV104_00840
ko:K01752	sni:INV104_00850
ko:K00566	sni:INV104_00940
ko:K03495	sni:INV104_00960
ko:K03588	sni:INV104_09210
ko:K01595	sni:INV104_09220
ko:K03086	sni:INV104_09270
ko:K13678	sni:INV104_09290
ko:K03979	sni:INV104_09330
ko:K00790	sni:INV104_09350
ko:K01265	sni:INV104_09380
ko:K03657	sni:INV104_09400
ko:K03630	sni:INV104_09410
ko:K07010	sni:INV104_09420
ko:K01926	sni:INV104_09430
ko:K04487	sni:INV104_09460
ko:K00948	sni:INV104_09470
ko:K00858	sni:INV104_09500
ko:K06180	sni:INV104_09510
ko:K09747	sni:INV104_09540
ko:K02888	sni:INV104_09570
ko:K02899	sni:INV104_09590
ko:K11753	sni:INV104_09600
ko:K03530	sni:INV104_09630
ko:K06158	sni:INV104_09640
ko:K01972	sni:INV104_09670
ko:K14260	sni:INV104_17170
ko:K02529	sni:INV104_17220
ko:K07778	sni:INV104_17240
ko:K02601	sni:INV104_17280
ko:K03073	sni:INV104_17290
ko:K06180	sni:INV104_17310
ko:K00134	sni:INV104_17320
ko:K00767	sni:INV104_17350
ko:K02761	sni:INV104_17410
ko:K02760	sni:INV104_17420
ko:K02759	sni:INV104_17430
ko:K04072	sni:INV104_17440
ko:K03210	sni:INV104_17470
ko:K00615	sni:INV104_17480
ko:K00756	sni:INV104_06970
ko:K07335	sni:INV104_07000
ko:K02057	sni:INV104_07020
ko:K02057	sni:INV104_07030
ko:K08591	sni:INV104_07040
ko:K02622	sni:INV104_07050
ko:K02621	sni:INV104_07060
ko:K00826	sni:INV104_07070
ko:K01304	sni:INV104_07110
ko:K02945	sni:INV104_07130
ko:K02343	sni:INV104_07150
ko:K09013	sni:INV104_07160
ko:K09015	sni:INV104_07170
ko:K11717	sni:INV104_07180
ko:K09014	sni:INV104_07200
ko:K02768	sni:INV104_07250
ko:K02769	sni:INV104_07250
ko:K02770	sni:INV104_07250
ko:K03466	sni:INV104_07260
ko:K04487	sni:INV104_07280
ko:K03151	sni:INV104_07290
ko:K03427	sni:INV104_07320
ko:K01154	sni:INV104_07330
ko:K07341	sni:INV104_07350
ko:K01153	sni:INV104_07370
ko:K07478	sni:INV104_15320
ko:K01193	sni:INV104_15330
ko:K02529	sni:INV104_15370
ko:K07090	sni:INV104_15450
ko:K02761	sni:INV104_15480
ko:K02759	sni:INV104_15490
ko:K02760	sni:INV104_15500
ko:K02761	sni:INV104_15530
ko:K01695	sni:INV104_15590
ko:K01696	sni:INV104_15600
ko:K01817	sni:INV104_15610
ko:K01609	sni:INV104_15620
ko:K00766	sni:INV104_15630
ko:K01657	sni:INV104_15650
ko:K07507	sni:INV104_15680
ko:K02011	sni:INV104_15690
ko:K02012	sni:INV104_15710
ko:K04094	sni:INV104_08060
ko:K09903	sni:INV104_08070
ko:K02838	sni:INV104_08080
ko:K00243	sni:INV104_08090
ko:K02237	sni:INV104_08160
ko:K02520	sni:INV104_08200
ko:K02916	sni:INV104_08210
ko:K02887	sni:INV104_08220
ko:K07042	sni:INV104_08280
ko:K00859	sni:INV104_08320
ko:K03075	sni:INV104_08340
ko:K12573	sni:INV104_08350
ko:K03664	sni:INV104_08360
ko:K08602	sni:INV104_08390
ko:K04042	sni:INV104_08490
ko:K01126	sni:INV104_08550
ko:K00690	sni:INV104_16330
ko:K10117	sni:INV104_16360
ko:K07407	sni:INV104_16370
ko:K03524	sni:INV104_16390
ko:K03565	sni:INV104_16410
ko:K04077	sni:INV104_16430
ko:K04078	sni:INV104_16440
