ko:K07496	tmw:THMA_0795
ko:K07491	tmw:THMA_0796
ko:K09122	tmw:THMA_0798
ko:K09700	tmw:THMA_0805
ko:K03146	tmw:THMA_0806
ko:K03147	tmw:THMA_0807
ko:K09457	tmw:THMA_0810
ko:K09125	tmw:THMA_0811
ko:K01990	tmw:THMA_0812
ko:K01992	tmw:THMA_0813
ko:K05979	tmw:THMA_0816
ko:K00645	tmw:THMA_0817
ko:K03523	tmw:THMA_0818
ko:K02371	tmw:THMA_0819
ko:K02372	tmw:THMA_0820
ko:K09458	tmw:THMA_0821
ko:K01937	tmw:THMA_0822
ko:K04486	tmw:THMA_0823
ko:K03386	tmw:THMA_0826
ko:K01207	tmw:THMA_0828
ko:K17244	tmw:THMA_0829
ko:K17245	tmw:THMA_0830
ko:K17246	tmw:THMA_0831
ko:K00820	tmw:THMA_0832
ko:K01443	tmw:THMA_0833
ko:K07003	tmw:THMA_0836
ko:K05946	tmw:THMA_0838
ko:K02824	tmw:THMA_0839
ko:K01889	tmw:THMA_0842
ko:K01890	tmw:THMA_0843
ko:K00882	tmw:THMA_0849
ko:K18707	tmw:THMA_0851
ko:K00826	tmw:THMA_0852
ko:K02470	tmw:THMA_0854
ko:K03590	tmw:THMA_0856
ko:K03531	tmw:THMA_0857
ko:K02652	tmw:THMA_0858
ko:K05837	tmw:THMA_0860
ko:K00603	tmw:THMA_0864
ko:K00783	tmw:THMA_0865
ko:K01489	tmw:THMA_0867
ko:K06948	tmw:THMA_0869
ko:K03686	tmw:THMA_0870
ko:K03687	tmw:THMA_0871
ko:K03705	tmw:THMA_0872
ko:K07566	tmw:THMA_0874
ko:K02484	tmw:THMA_0875
ko:K02834	tmw:THMA_0877
ko:K03177	tmw:THMA_0878
ko:K11753	tmw:THMA_0879
ko:K03210	tmw:THMA_0881
ko:K03072	tmw:THMA_0882
ko:K03074	tmw:THMA_0883
ko:K00973	tmw:THMA_0884
ko:K02939	tmw:THMA_0885
ko:K00784	tmw:THMA_0886
ko:K00175	tmw:THMA_0411
ko:K00177	tmw:THMA_0412
ko:K00901	tmw:THMA_0413
ko:K03412	tmw:THMA_0414
ko:K00010	tmw:THMA_0420
ko:K07243	tmw:THMA_0423
ko:K17237	tmw:THMA_0424
ko:K17238	tmw:THMA_0425
ko:K17239	tmw:THMA_0426
ko:K00005	tmw:THMA_0429
ko:K07088	tmw:THMA_0430
ko:K03406	tmw:THMA_0435
ko:K17243	tmw:THMA_0436
ko:K17242	tmw:THMA_0437
ko:K17241	tmw:THMA_0438
ko:K01728	tmw:THMA_0439
ko:K07406	tmw:THMA_0440
ko:K00033	tmw:THMA_0444
ko:K00046	tmw:THMA_0447
ko:K00851	tmw:THMA_0449
ko:K01744	tmw:THMA_0450
ko:K01588	tmw:THMA_0452
ko:K01589	tmw:THMA_0453
ko:K02913	tmw:THMA_0460
ko:K03073	tmw:THMA_0462
ko:K02601	tmw:THMA_0463
ko:K02867	tmw:THMA_0464
ko:K02863	tmw:THMA_0465
ko:K02864	tmw:THMA_0466
ko:K02935	tmw:THMA_0467
ko:K03043	tmw:THMA_0468
ko:K03046	tmw:THMA_0469
ko:K02035	tmw:THMA_0470
ko:K01159	tmw:THMA_0589
ko:K03763	tmw:THMA_0590
ko:K00286	tmw:THMA_0592
ko:K04075	tmw:THMA_0594
ko:K03798	tmw:THMA_0595
ko:K15986	tmw:THMA_0602
ko:K03569	tmw:THMA_0603
ko:K05515	tmw:THMA_0606
ko:K02028	tmw:THMA_0607
ko:K02029	tmw:THMA_0608
ko:K02030	tmw:THMA_0609
ko:K06901	tmw:THMA_0610
ko:K02027	tmw:THMA_0611
ko:K02025	tmw:THMA_0612
ko:K02026	tmw:THMA_0614
