ko:K02035	bcq:BCQ_0218
ko:K00286	bcq:BCQ_0220
ko:K02313	bcq:BCQ_0001
ko:K02338	bcq:BCQ_0002
ko:K03629	bcq:BCQ_0004
ko:K02470	bcq:BCQ_0005
ko:K02469	bcq:BCQ_0006
ko:K00088	bcq:BCQ_0014
ko:K07258	bcq:BCQ_0015
ko:K06215	bcq:BCQ_0016
ko:K08681	bcq:BCQ_0017
ko:K01875	bcq:BCQ_0018
ko:K02343	bcq:BCQ_0025
ko:K09747	bcq:BCQ_0027
ko:K06187	bcq:BCQ_0028
ko:K06317	bcq:BCQ_0030
ko:K00943	bcq:BCQ_0037
ko:K02341	bcq:BCQ_0038
ko:K07461	bcq:BCQ_0042
ko:K07056	bcq:BCQ_0043
ko:K06284	bcq:BCQ_0044
ko:K01874	bcq:BCQ_0045
ko:K03424	bcq:BCQ_0046
ko:K05985	bcq:BCQ_0047
ko:K02528	bcq:BCQ_0048
ko:K06436	bcq:BCQ_0049
ko:K00919	bcq:BCQ_0052
ko:K09685	bcq:BCQ_0053
ko:K06412	bcq:BCQ_0055
ko:K04042	bcq:BCQ_0056
ko:K00948	bcq:BCQ_0057
ko:K01056	bcq:BCQ_0058
ko:K03723	bcq:BCQ_0060
ko:K04769	bcq:BCQ_0061
ko:K02499	bcq:BCQ_0063
ko:K07571	bcq:BCQ_0068
ko:K06382	bcq:BCQ_0071
ko:K04075	bcq:BCQ_0072
ko:K00760	bcq:BCQ_0073
ko:K03798	bcq:BCQ_0074
ko:K03525	bcq:BCQ_0075
ko:K04083	bcq:BCQ_0076
ko:K01738	bcq:BCQ_0077
ko:K01665	bcq:BCQ_0078
ko:K02619	bcq:BCQ_0080
ko:K00796	bcq:BCQ_0081
ko:K03572	bcq:BCQ_3554
ko:K03555	bcq:BCQ_3555
ko:K00175	bcq:BCQ_3559
ko:K00174	bcq:BCQ_3560
ko:K06416	bcq:BCQ_3562
ko:K09769	bcq:BCQ_3563
ko:K03553	bcq:BCQ_3565
ko:K03553	bcq:BCQ_3566
ko:K00995	bcq:BCQ_3568
ko:K00059	bcq:BCQ_3572
ko:K03710	bcq:BCQ_3579
ko:K03466	bcq:BCQ_3580
ko:K01714	bcq:BCQ_3584
ko:K00928	bcq:BCQ_3585
ko:K00133	bcq:BCQ_3586
ko:K00962	bcq:BCQ_3592
ko:K03177	bcq:BCQ_3594
ko:K02834	bcq:BCQ_3595
ko:K09764	bcq:BCQ_3596
ko:K03088	bcq:BCQ_5203
ko:K01887	bcq:BCQ_5204
ko:K01480	bcq:BCQ_5209
ko:K00797	bcq:BCQ_5210
ko:K01126	bcq:BCQ_5213
ko:K01821	bcq:BCQ_5217
ko:K06885	bcq:BCQ_5219
ko:K02016	bcq:BCQ_5220
ko:K02013	bcq:BCQ_5221
ko:K02015	bcq:BCQ_5222
ko:K02015	bcq:BCQ_5223
ko:K03648	bcq:BCQ_5240
ko:K03048	bcq:BCQ_5180
ko:K00074	bcq:BCQ_5184
ko:K00626	bcq:BCQ_5185
ko:K07693	bcq:BCQ_5193
ko:K07778	bcq:BCQ_5194
ko:K01265	bcq:BCQ_5197
ko:K07071	bcq:BCQ_0543
ko:K03565	bcq:BCQ_0544
ko:K03575	bcq:BCQ_0550
ko:K07586	bcq:BCQ_0555
ko:K00265	bcq:BCQ_0558
ko:K01845	bcq:BCQ_0559
ko:K03564	bcq:BCQ_0564
ko:K09825	bcq:BCQ_0565
ko:K03216	bcq:BCQ_0613
ko:K09136	bcq:BCQ_1321
ko:K00658	bcq:BCQ_1323
ko:K00164	bcq:BCQ_1324
ko:K09607	bcq:BCQ_1357
ko:K11071	bcq:BCQ_1360
ko:K11070	bcq:BCQ_1361
ko:K11069	bcq:BCQ_1362
ko:K06180	bcq:BCQ_1366
ko:K11473	bcq:BCQ_1369
ko:K02647	bcq:BCQ_1371
ko:K03924	bcq:BCQ_2099
ko:K00370	bcq:BCQ_2102
ko:K00371	bcq:BCQ_2103
ko:K00373	bcq:BCQ_2104
ko:K00374	bcq:BCQ_2105
ko:K03639	bcq:BCQ_2107
ko:K03750	bcq:BCQ_2109
ko:K03635	bcq:BCQ_2110
ko:K02575	bcq:BCQ_2112
ko:K07088	bcq:BCQ_2114
ko:K00363	bcq:BCQ_2120
ko:K00362	bcq:BCQ_2121
ko:K07322	bcq:BCQ_2122
ko:K06416	bcq:BCQ_2129
ko:K06950	bcq:BCQ_2133
ko:K03111	bcq:BCQ_2139
ko:K01887	bcq:BCQ_2146
ko:K01870	bcq:BCQ_2149
ko:K02034	bcq:BCQ_0249
