ko:K01919	abal:ABLAC_01080
ko:K14287	abal:ABLAC_01040
ko:K03611	abal:ABLAC_01090
ko:K12957	abal:ABLAC_00430
ko:K18697	abal:ABLAC_01330
ko:K07000	abal:ABLAC_01360
ko:K03308	abal:ABLAC_00190
ko:K18301	abal:ABLAC_00300
ko:K01246	abal:ABLAC_00440
ko:K02622	abal:ABLAC_01370
ko:K01483	abal:ABLAC_01400
ko:K00163	abal:ABLAC_01700
ko:K00627	abal:ABLAC_01710
ko:K00275	abal:ABLAC_01790
ko:K01903	abal:ABLAC_07920
ko:K01902	abal:ABLAC_07930
ko:K01867	abal:ABLAC_07960
ko:K09781	abal:ABLAC_07970
ko:K07054	abal:ABLAC_07980
ko:K03316	abal:ABLAC_07990
ko:K07282	abal:ABLAC_08040
ko:K07443	abal:ABLAC_08060
ko:K03624	abal:ABLAC_08110
ko:K01955	abal:ABLAC_08120
ko:K01956	abal:ABLAC_08130
ko:K07574	abal:ABLAC_08160
ko:K02427	abal:ABLAC_08170
ko:K03798	abal:ABLAC_08180
ko:K00796	abal:ABLAC_08190
ko:K01953	abal:ABLAC_16720
ko:K08369	abal:ABLAC_16750
ko:K01714	abal:ABLAC_16760
ko:K03088	abal:ABLAC_16780
ko:K07165	abal:ABLAC_16790
ko:K16087	abal:ABLAC_16800
ko:K09790	abal:ABLAC_16850
ko:K03758	abal:ABLAC_16890
ko:K01993	abal:ABLAC_25060
ko:K02503	abal:ABLAC_25140
ko:K10764	abal:ABLAC_25230
ko:K09747	abal:ABLAC_25280
ko:K06187	abal:ABLAC_25290
ko:K03684	abal:ABLAC_25300
ko:K09902	abal:ABLAC_25340
ko:K09989	abal:ABLAC_25370
ko:K06001	abal:ABLAC_25380
ko:K07320	abal:ABLAC_25390
ko:K01736	abal:ABLAC_25400
ko:K03644	abal:ABLAC_25450
ko:K00627	abal:ABLAC_25480
ko:K00382	abal:ABLAC_25490
ko:K03366	abal:ABLAC_25500
ko:K00004	abal:ABLAC_25510
ko:K17218	abal:ABLAC_25550
ko:K07090	abal:ABLAC_25560
ko:K00003	abal:ABLAC_25570
ko:K07506	abal:ABLAC_25590
ko:K03745	abal:ABLAC_33540
ko:K15738	abal:ABLAC_33550
ko:K02517	abal:ABLAC_33570
ko:K11102	abal:ABLAC_33590
ko:K00133	abal:ABLAC_33610
