ko:K02356	cmm:NC80_00685
ko:K01929	cmm:NC80_00710
ko:K01000	cmm:NC80_00715
ko:K01925	cmm:NC80_00720
ko:K03588	cmm:NC80_00730
ko:K02563	cmm:NC80_00735
ko:K01921	cmm:NC80_00740
ko:K01924	cmm:NC80_00740
ko:K06960	cmm:NC80_00745
ko:K00791	cmm:NC80_00760
ko:K09710	cmm:NC80_00775
ko:K09458	cmm:NC80_00780
ko:K01507	cmm:NC80_00790
ko:K00263	cmm:NC80_00795
ko:K01082	cmm:NC80_00800
ko:K01241	cmm:NC80_00680
ko:K00794	cmm:NC80_00540
ko:K03310	cmm:NC80_00555
ko:K06910	cmm:NC80_00560
ko:K07117	cmm:NC80_00565
ko:K03466	cmm:NC80_00575
ko:K00351	cmm:NC80_00605
ko:K03210	cmm:NC80_00610
ko:K00231	cmm:NC80_00630
ko:K01599	cmm:NC80_00640
ko:K03723	cmm:NC80_00645
ko:K01872	cmm:NC80_00650
ko:K00615	cmm:NC80_00675
ko:K14652	cmm:NC80_00535
ko:K00655	cmm:NC80_00805
ko:K01909	cmm:NC80_00810
ko:K00652	cmm:NC80_00815
ko:K04066	cmm:NC80_00820
ko:K04567	cmm:NC80_00835
ko:K01883	cmm:NC80_00840
ko:K03536	cmm:NC80_00850
ko:K02919	cmm:NC80_00855
ko:K02954	cmm:NC80_00860
ko:K03703	cmm:NC80_00875
ko:K03555	cmm:NC80_00880
ko:K14164	cmm:NC80_00900
ko:K00995	cmm:NC80_00905
ko:K00703	cmm:NC80_00910
ko:K02897	cmm:NC80_00920
ko:K01056	cmm:NC80_00925
ko:K02990	cmm:NC80_00930
ko:K02963	cmm:NC80_00935
ko:K02939	cmm:NC80_00940
ko:K00919	cmm:NC80_00945
ko:K01408	cmm:NC80_00960
ko:K00630	cmm:NC80_00965
ko:K08301	cmm:NC80_00970
ko:K03621	cmm:NC80_00980
ko:K03431	cmm:NC80_01005
ko:K00820	cmm:NC80_01010
ko:K03834	cmm:NC80_01015
ko:K03834	cmm:NC80_01020
ko:K06890	cmm:NC80_01025
ko:K03110	cmm:NC80_01030
ko:K01903	cmm:NC80_01035
ko:K01902	cmm:NC80_01040
ko:K06972	cmm:NC80_01050
ko:K09760	cmm:NC80_01055
ko:K17103	cmm:NC80_01060
ko:K03625	cmm:NC80_01090
ko:K02520	cmm:NC80_01095
ko:K02916	cmm:NC80_01100
ko:K02887	cmm:NC80_01105
ko:K01889	cmm:NC80_01110
ko:K11720	cmm:NC80_01125
ko:K07091	cmm:NC80_01130
ko:K04075	cmm:NC80_01135
ko:K03798	cmm:NC80_01140
ko:K00962	cmm:NC80_01145
ko:K02956	cmm:NC80_01150
ko:K01265	cmm:NC80_01195
ko:K01679	cmm:NC80_01215
ko:K03321	cmm:NC80_01220
ko:K00075	cmm:NC80_01085
ko:K03527	cmm:NC80_01240
ko:K04763	cmm:NC80_01275
ko:K00700	cmm:NC80_01285
ko:K09779	cmm:NC80_01345
ko:K02435	cmm:NC80_01350
ko:K02433	cmm:NC80_01355
ko:K02434	cmm:NC80_01360
ko:K03471	cmm:NC80_01380
ko:K02517	cmm:NC80_01390
ko:K00425	cmm:NC80_01405
ko:K00426	cmm:NC80_01410
ko:K07175	cmm:NC80_01415
ko:K01870	cmm:NC80_01435
ko:K03100	cmm:NC80_01440
ko:K02909	cmm:NC80_01450
ko:K02835	cmm:NC80_01455
ko:K02493	cmm:NC80_01460
ko:K03106	cmm:NC80_01465
ko:K02959	cmm:NC80_01470
ko:K00554	cmm:NC80_01475
ko:K02884	cmm:NC80_01480
ko:K03470	cmm:NC80_01485
ko:K00942	cmm:NC80_01490
