ko:K06044	sid:M164_0514
ko:K03136	sid:M164_1881
ko:K13280	sid:M164_0676
ko:K13280	sid:M164_1288
ko:K00612	sid:M164_1003
ko:K02437	sid:M164_1148
ko:K03320	sid:M164_1154
ko:K07151	sid:M164_1156
ko:K03237	sid:M164_1158
ko:K02978	sid:M164_1159
ko:K02929	sid:M164_1160
ko:K02683	sid:M164_1162
ko:K04802	sid:M164_1163
ko:K06883	sid:M164_1164
ko:K00948	sid:M164_1165
ko:K07446	sid:M164_1166
ko:K00784	sid:M164_1167
ko:K09736	sid:M164_1168
ko:K01975	sid:M164_1170
ko:K07558	sid:M164_1171
ko:K07124	sid:M164_1178
ko:K00123	sid:M164_1182
ko:K03424	sid:M164_1183
ko:K12140	sid:M164_1186
ko:K12141	sid:M164_1187
ko:K07241	sid:M164_1193
ko:K00156	sid:M164_1194
ko:K03885	sid:M164_1195
ko:K01439	sid:M164_1199
ko:K02050	sid:M164_0273
ko:K02049	sid:M164_0274
ko:K01704	sid:M164_0276
ko:K01703	sid:M164_0277
ko:K01669	sid:M164_0278
ko:K03307	sid:M164_0284
ko:K00567	sid:M164_0289
ko:K01875	sid:M164_1527
ko:K01496	sid:M164_1529
ko:K02501	sid:M164_1530
ko:K01523	sid:M164_1531
ko:K00013	sid:M164_1532
ko:K02500	sid:M164_1533
ko:K01693	sid:M164_1534
ko:K01814	sid:M164_1535
ko:K00765	sid:M164_1536
ko:K00817	sid:M164_1537
ko:K01869	sid:M164_1539
ko:K09732	sid:M164_1542
ko:K01611	sid:M164_1543
ko:K01652	sid:M164_1550
ko:K00053	sid:M164_1552
ko:K03552	sid:M164_1553
ko:K06865	sid:M164_1554
ko:K08681	sid:M164_1555
ko:K01591	sid:M164_1513
ko:K00762	sid:M164_1514
ko:K00609	sid:M164_1515
ko:K00610	sid:M164_1516
ko:K01465	sid:M164_1518
ko:K00226	sid:M164_1519
ko:K05595	sid:M164_1522
ko:K06981	sid:M164_2063
ko:K01823	sid:M164_2064
ko:K01001	sid:M164_2066
ko:K03424	sid:M164_2077
ko:K04768	sid:M164_2093
ko:K08289	sid:M164_2094
ko:K03638	sid:M164_2101
ko:K06877	sid:M164_2103
ko:K06920	sid:M164_2105
ko:K07090	sid:M164_2106
ko:K00852	sid:M164_2117
ko:K07575	sid:M164_2131
ko:K02227	sid:M164_2135
ko:K02233	sid:M164_2136
ko:K02232	sid:M164_2137
ko:K01951	sid:M164_2138
ko:K03799	sid:M164_2139
ko:K00681	sid:M164_2147
ko:K01652	sid:M164_2154
ko:K03281	sid:M164_2162
ko:K07301	sid:M164_2169
ko:K11473	sid:M164_2211
ko:K03800	sid:M164_2212
ko:K03644	sid:M164_2213
ko:K03800	sid:M164_2215
ko:K03809	sid:M164_2216
ko:K03885	sid:M164_2220
ko:K08369	sid:M164_2225
ko:K00782	sid:M164_2238
ko:K00059	sid:M164_2250
ko:K03118	sid:M164_2256
ko:K03116	sid:M164_2257
ko:K01687	sid:M164_2258
ko:K01299	sid:M164_2259
ko:K06885	sid:M164_2241
ko:K07112	sid:M164_2276
ko:K07238	sid:M164_2292
ko:K01714	sid:M164_2293
ko:K01206	sid:M164_2302
ko:K02034	sid:M164_2303
ko:K02033	sid:M164_2304
ko:K02031	sid:M164_2305
ko:K02032	sid:M164_2305
ko:K02035	sid:M164_2307
ko:K02033	sid:M164_2312
ko:K02034	sid:M164_2313
ko:K02031	sid:M164_2314
ko:K02032	sid:M164_2315
ko:K02035	sid:M164_2316
ko:K01195	sid:M164_2321
ko:K01714	sid:M164_2323
ko:K02035	sid:M164_2328
ko:K01706	sid:M164_2336
ko:K00074	sid:M164_2364
ko:K01597	sid:M164_2369
ko:K00938	sid:M164_2370
ko:K02035	sid:M164_2398
ko:K02033	sid:M164_2399
ko:K02034	sid:M164_2400
ko:K02031	sid:M164_2401
ko:K02032	sid:M164_2402
ko:K01494	sid:M164_2404
ko:K07090	sid:M164_2420
ko:K00958	sid:M164_2422
ko:K00390	sid:M164_2423
ko:K00381	sid:M164_2424
ko:K07402	sid:M164_2436
ko:K00626	sid:M164_2440
ko:K00074	sid:M164_2442
ko:K00027	sid:M164_2444
ko:K07034	sid:M164_2449
ko:K01895	sid:M164_2450
ko:K00123	sid:M164_2471
ko:K02379	sid:M164_2473
ko:K00313	sid:M164_2476
ko:K00175	sid:M164_2478
ko:K00174	sid:M164_2479
ko:K00113	sid:M164_2654
ko:K01912	sid:M164_2670
ko:K00626	sid:M164_2672
ko:K02033	sid:M164_2679
ko:K02034	sid:M164_2680
ko:K02031	sid:M164_2681
ko:K02032	sid:M164_2682
ko:K00573	sid:M164_2697
ko:K03707	sid:M164_2698
ko:K01803	sid:M164_2703
ko:K01647	sid:M164_2706
ko:K00031	sid:M164_2781
ko:K01868	sid:M164_0290
ko:K07457	sid:M164_0292
ko:K01903	sid:M164_0293
ko:K01902	sid:M164_0294
