ko:K00876	btm:MC28_2399
ko:K07282	btm:MC28_2413
ko:K06995	btm:MC28_2417
ko:K02106	btm:MC28_2439
ko:K00161	btm:MC28_3261
ko:K01462	btm:MC28_3263
ko:K00426	btm:MC28_3268
ko:K05823	btm:MC28_3269
ko:K09776	btm:MC28_3274
ko:K00937	btm:MC28_3283
ko:K01524	btm:MC28_3284
ko:K00549	btm:MC28_3293
ko:K07697	btm:MC28_3297
ko:K15772	btm:MC28_3301
ko:K15771	btm:MC28_3302
ko:K00874	btm:MC28_4134
ko:K01042	btm:MC28_4136
ko:K01465	btm:MC28_4137
ko:K01911	btm:MC28_4142
ko:K01661	btm:MC28_4143
ko:K02551	btm:MC28_4145
ko:K02548	btm:MC28_4147
ko:K03704	btm:MC28_4149
ko:K00688	btm:MC28_4153
ko:K00703	btm:MC28_4154
ko:K00975	btm:MC28_4155
ko:K00975	btm:MC28_4156
ko:K03088	btm:MC28_4162
ko:K07507	btm:MC28_4163
ko:K10716	btm:MC28_4164
ko:K01810	btm:MC28_4166
ko:K09779	btm:MC28_4167
ko:K10907	btm:MC28_4169
ko:K14155	btm:MC28_4174
ko:K06347	btm:MC28_4177
ko:K06901	btm:MC28_4970
ko:K06153	btm:MC28_4985
ko:K08679	btm:MC28_E057
ko:K00012	btm:MC28_E068
ko:K00963	btm:MC28_E069
ko:K00260	btm:MC28_0725
ko:K00384	btm:MC28_0729
ko:K00945	btm:MC28_0731
ko:K05739	btm:MC28_0736
ko:K03977	btm:MC28_0738
ko:K00057	btm:MC28_0739
ko:K06398	btm:MC28_0743
ko:K03530	btm:MC28_0744
ko:K01495	btm:MC28_0745
ko:K03183	btm:MC28_0747
ko:K00940	btm:MC28_0749
ko:K01736	btm:MC28_0750
ko:K01735	btm:MC28_0751
ko:K00817	btm:MC28_0752
ko:K03888	btm:MC28_0758
ko:K06973	btm:MC28_0762
ko:K00215	btm:MC28_0766
ko:K01734	btm:MC28_0767
ko:K03524	btm:MC28_0771
ko:K00606	btm:MC28_0773
ko:K01918	btm:MC28_0774
ko:K01579	btm:MC28_0775
ko:K03088	btm:MC28_1662
ko:K02760	btm:MC28_1668
ko:K02761	btm:MC28_1669
ko:K09001	btm:MC28_1670
ko:K07090	btm:MC28_1700
ko:K03088	btm:MC28_1707
ko:K03093	btm:MC28_2576
ko:K09936	btm:MC28_2599
ko:K00620	btm:MC28_3423
ko:K00145	btm:MC28_3424
ko:K07124	btm:MC28_3426
ko:K00286	btm:MC28_3428
ko:K01752	btm:MC28_3430
ko:K01531	btm:MC28_3435
ko:K07507	btm:MC28_3436
ko:K02346	btm:MC28_3437
ko:K03790	btm:MC28_3439
ko:K09699	btm:MC28_3451
