ko:K00820	saub:C248_2183
ko:K00009	saub:C248_2187
ko:K03431	saub:C248_2189
ko:K01476	saub:C248_2192
ko:K08170	saub:C248_0093
ko:K03324	saub:C248_0094
ko:K03303	saub:C248_0097
ko:K02015	saub:C248_0101
ko:K02015	saub:C248_0102
ko:K02016	saub:C248_0103
ko:K01586	saub:C248_0111
ko:K03885	saub:C248_0937
ko:K03885	saub:C248_0940
ko:K01255	saub:C248_0941
ko:K07084	saub:C248_0942
ko:K05571	saub:C248_0945
ko:K05569	saub:C248_0947
ko:K05567	saub:C248_0949
ko:K05566	saub:C248_0950
ko:K06347	saub:C248_0952
ko:K00260	saub:C248_0957
ko:K01126	saub:C248_0960
ko:K01755	saub:C248_0961
ko:K01940	saub:C248_0962
ko:K01810	saub:C248_0963
ko:K03100	saub:C248_0965
ko:K03100	saub:C248_0966
ko:K07139	saub:C248_1807
ko:K00318	saub:C248_1812
ko:K00794	saub:C248_1813
ko:K14652	saub:C248_1814
ko:K00793	saub:C248_1815
ko:K11752	saub:C248_1816
ko:K03893	saub:C248_1819
ko:K06199	saub:C248_1830
ko:K06199	saub:C248_1831
ko:K00789	saub:C248_1834
ko:K01610	saub:C248_1835
ko:K08998	saub:C248_1839
ko:K01911	saub:C248_1841
ko:K00432	saub:C248_2685
ko:K00926	saub:C248_2700
ko:K03758	saub:C248_2701
ko:K00611	saub:C248_2702
ko:K09814	saub:C248_2404
ko:K13052	saub:C248_0563
ko:K11040	saub:C248_1643
ko:K01809	saub:C248_2710
ko:K01421	saub:C248_2711
ko:K03070	saub:C248_2717
ko:K03076	saub:C248_2721
ko:K11936	saub:C248_2736
ko:K05566	saub:C248_0706
ko:K05567	saub:C248_0707
ko:K05569	saub:C248_0709
ko:K05571	saub:C248_0711
ko:K05946	saub:C248_0718
ko:K16323	saub:C248_0727
ko:K02013	saub:C248_0730
ko:K02015	saub:C248_0731
ko:K02015	saub:C248_0732
ko:K05878	saub:C248_0733
ko:K05879	saub:C248_0734
ko:K07220	saub:C248_0747
ko:K03306	saub:C248_0748
ko:K06890	saub:C248_0750
ko:K09793	saub:C248_0759
ko:K04564	saub:C248_1596
ko:K09816	saub:C248_1598
ko:K09817	saub:C248_1599
ko:K01151	saub:C248_1600
ko:K06967	saub:C248_1603
ko:K03086	saub:C248_1604
ko:K09773	saub:C248_1606
ko:K01880	saub:C248_1608
ko:K03584	saub:C248_1609
ko:K00549	saub:C248_0412
ko:K06942	saub:C248_0420
ko:K02990	saub:C248_0422
ko:K02963	saub:C248_0425
ko:K03387	saub:C248_0436
ko:K06956	saub:C248_0439
ko:K03816	saub:C248_0444
ko:K16169	saub:C248_0445
ko:K01951	saub:C248_0447
ko:K06168	saub:C248_1326
ko:K03555	saub:C248_1329
ko:K03572	saub:C248_1330
