ko:K03437	snp:SPAP_1984
ko:K01512	snp:SPAP_1985
ko:K03217	snp:SPAP_1986
ko:K04069	snp:SPAP_1987
ko:K01586	snp:SPAP_1988
ko:K04072	snp:SPAP_2052
ko:K03210	snp:SPAP_2055
ko:K00615	snp:SPAP_2056
ko:K02038	snp:SPAP_2132
ko:K02036	snp:SPAP_2133
ko:K02039	snp:SPAP_2134
ko:K00057	snp:SPAP_2137
ko:K00963	snp:SPAP_2138
ko:K05823	snp:SPAP_2141
ko:K01866	snp:SPAP_2145
ko:K00563	snp:SPAP_2148
ko:K00688	snp:SPAP_2154
ko:K02911	snp:SPAP_2184
ko:K02913	snp:SPAP_2185
ko:K00611	snp:SPAP_2198
ko:K00926	snp:SPAP_2199
ko:K02016	snp:SPAP_1866
ko:K08998	snp:SPAP_1867
ko:K06178	snp:SPAP_1868
ko:K06024	snp:SPAP_1869
ko:K05896	snp:SPAP_1870
ko:K07095	snp:SPAP_1873
ko:K01776	snp:SPAP_1875
ko:K00790	snp:SPAP_1976
ko:K01835	snp:SPAP_1521
ko:K14228	snp:SPAP_1907
ko:K14228	snp:SPAP_2020
ko:K01759	snp:SPAP_0994
ko:K00941	snp:SPAP_0702
ko:K10118	snp:SPAP_1894
ko:K14233	snp:SPAP_2105
ko:K14232	snp:SPAP_2018
ko:K14225	snp:SPAP_1901
ko:K14225	snp:SPAP_2108
ko:K14228	snp:SPAP_2097
ko:K01916	snp:SPAP_1451
ko:K07052	snp:SPAP_0539
ko:K01990	snp:SPAP_1720
ko:K14228	snp:SPAP_1910
ko:K14228	snp:SPAP_2022
ko:K14228	snp:SPAP_1603
ko:K14224	snp:SPAP_0015
ko:K14224	snp:SPAP_2030
ko:K14224	snp:SPAP_1918
ko:K14224	snp:SPAP_2279
ko:K14224	snp:SPAP_2114
ko:K00131	snp:SPAP_1074
ko:K14230	snp:SPAP_1905
ko:K07052	snp:SPAP_0208
ko:K01784	snp:SPAP_1628
ko:K11189	snp:SPAP_1207
ko:K14221	snp:SPAP_1912
ko:K14221	snp:SPAP_2024
ko:K14219	snp:SPAP_1273
ko:K14227	snp:SPAP_2107
ko:K14225	snp:SPAP_2021
ko:K14227	snp:SPAP_1900
ko:K14219	snp:SPAP_2286
ko:K02010	snp:SPAP_1821
ko:K02010	snp:SPAP_0291
ko:K14230	snp:SPAP_1904
ko:K14223	snp:SPAP_0831
ko:K14223	snp:SPAP_2098
ko:K14219	snp:SPAP_1319
ko:K01190	snp:SPAP_0635
ko:K14260	snp:SPAP_2006
ko:K14234	snp:SPAP_1909
ko:K14234	snp:SPAP_2290
ko:K01155	snp:SPAP_1844
ko:K10119	snp:SPAP_1893
ko:K03574	snp:SPAP_1046
ko:K14233	snp:SPAP_1899
ko:K14155	snp:SPAP_1546
ko:K14233	snp:SPAP_0847
ko:K00290	snp:SPAP_0951
ko:K14234	snp:SPAP_1185
ko:K00868	snp:SPAP_1618
ko:K01977	snp:SPAP_1917
ko:K01977	snp:SPAP_2029
ko:K01977	snp:SPAP_2113
ko:K01977	snp:SPAP_0016
ko:K10947	snp:SPAP_0765
ko:K14237	snp:SPAP_1913
ko:K14237	snp:SPAP_2109
ko:K14237	snp:SPAP_2025
ko:K14220	snp:SPAP_0020
ko:K14220	snp:SPAP_2278
ko:K14229	snp:SPAP_1911
ko:K14229	snp:SPAP_2023
ko:K14229	snp:SPAP_1782
ko:K02808	snp:SPAP_1727
ko:K02809	snp:SPAP_1727
ko:K02810	snp:SPAP_1727
ko:K14230	snp:SPAP_1903
ko:K14230	snp:SPAP_2104
ko:K07052	snp:SPAP_0957
ko:K07052	snp:SPAP_0541
ko:K07052	snp:SPAP_0335
ko:K07052	snp:SPAP_1264
ko:K07052	snp:SPAP_2166
ko:K02056	snp:SPAP_0813
ko:K04517	snp:SPAP_1404
ko:K02030	snp:SPAP_1523
ko:K13052	snp:SPAP_0008
ko:K14231	snp:SPAP_1902
ko:K14231	snp:SPAP_2103
ko:K14222	snp:SPAP_1972
ko:K14236	snp:SPAP_2102
ko:K14236	snp:SPAP_0830
ko:K11618	snp:SPAP_0414
ko:K11617	snp:SPAP_0413
ko:K14983	snp:SPAP_0774
ko:K01980	snp:SPAP_0018
ko:K01980	snp:SPAP_2027
ko:K01980	snp:SPAP_1915
ko:K01980	snp:SPAP_2111
ko:K02057	snp:SPAP_0814
ko:K02057	snp:SPAP_0815
ko:K03709	snp:SPAP_1646
ko:K01985	snp:SPAP_1914
ko:K01985	snp:SPAP_2110
ko:K01985	snp:SPAP_2026
ko:K01271	snp:SPAP_1612
ko:K03324	snp:SPAP_0498
ko:K08177	snp:SPAP_1608
ko:K01985	snp:SPAP_0019
ko:K06148	snp:SPAP_1388
ko:K06148	snp:SPAP_0193
ko:K00561	snp:SPAP_0896
ko:K01992	snp:SPAP_1410
ko:K03307	snp:SPAP_1356
ko:K14188	snp:SPAP_2225
ko:K10041	snp:SPAP_0597
ko:K02030	snp:SPAP_0213
ko:K02030	snp:SPAP_0606
ko:K14218	snp:SPAP_0017
ko:K14218	snp:SPAP_2112
ko:K14218	snp:SPAP_2028
ko:K14218	snp:SPAP_1916
ko:K15051	snp:SPAP_1974
ko:K01537	snp:SPAP_1574
ko:K07729	snp:SPAP_0364
ko:K07052	snp:SPAP_0235
ko:K01990	snp:SPAP_0521
ko:K01992	snp:SPAP_0625
ko:K10117	snp:SPAP_1895
ko:K00965	snp:SPAP_1848
ko:K00965	snp:SPAP_1825
ko:K03436	snp:SPAP_0848
ko:K07720	snp:SPAP_0221
ko:K14235	snp:SPAP_2101
ko:K01990	snp:SPAP_1411
ko:K01176	snp:SPAP_1412
ko:K14226	snp:SPAP_2099
ko:K00974	snp:SPAP_1577
ko:K02005	snp:SPAP_0760
ko:K02614	snp:SPAP_1847
ko:K07273	snp:SPAP_1023
ko:K08643	snp:SPAP_0653
ko:K01261	snp:SPAP_1861
ko:K00760	snp:SPAP_0012
ko:K03798	snp:SPAP_0013
ko:K12960	snp:SPAP_1386
ko:K01215	snp:SPAP_0372
ko:K01939	snp:SPAP_0024
ko:K03930	snp:SPAP_0600
ko:K14219	snp:SPAP_2019
ko:K14540	snp:SPAP_1058
ko:K06948	snp:SPAP_1755
ko:K11749	snp:SPAP_0312
ko:K06198	snp:SPAP_1011
ko:K19689	snp:SPAP_0325
ko:K14652	snp:SPAP_0229
ko:K00105	snp:SPAP_2229
ko:K06147	snp:SPAP_1466
ko:K06147	snp:SPAP_1465
ko:K02242	snp:SPAP_2250
ko:K10040	snp:SPAP_0594
ko:K02794	snp:SPAP_0109
ko:K04047	snp:SPAP_1593
ko:K01803	snp:SPAP_1595
ko:K00651	snp:SPAP_1597
ko:K00759	snp:SPAP_1599
ko:K01928	snp:SPAP_1610
ko:K06173	snp:SPAP_1619
ko:K06193	snp:SPAP_1623
ko:K00945	snp:SPAP_1624
ko:K06967	snp:SPAP_1631
ko:K00655	snp:SPAP_1633
ko:K02956	snp:SPAP_1635
ko:K07118	snp:SPAP_1636
ko:K01868	snp:SPAP_1639
ko:K07560	snp:SPAP_1651
ko:K04074	snp:SPAP_1666
ko:K02221	snp:SPAP_1668
ko:K09772	snp:SPAP_1669
ko:K06997	snp:SPAP_1670
ko:K03531	snp:SPAP_1671
ko:K03590	snp:SPAP_1672
ko:K07282	snp:SPAP_1482
ko:K01462	snp:SPAP_1484
ko:K03218	snp:SPAP_1485
ko:K00384	snp:SPAP_1486
ko:K02029	snp:SPAP_1489
ko:K01952	snp:SPAP_0094
ko:K00764	snp:SPAP_0095
ko:K01933	snp:SPAP_0096
ko:K11175	snp:SPAP_0097
ko:K02003	snp:SPAP_0154
ko:K01940	snp:SPAP_0156
ko:K01755	snp:SPAP_0157
ko:K02073	snp:SPAP_0214
ko:K02071	snp:SPAP_0216
ko:K07718	snp:SPAP_0220
ko:K02954	snp:SPAP_0271
ko:K02994	snp:SPAP_0272
ko:K02933	snp:SPAP_0273
ko:K02881	snp:SPAP_0274
ko:K02988	snp:SPAP_0275
ko:K02907	snp:SPAP_0276
ko:K02876	snp:SPAP_0277
ko:K03076	snp:SPAP_0278
ko:K02518	snp:SPAP_0280
ko:K02919	snp:SPAP_0281
ko:K02952	snp:SPAP_0282
ko:K02948	snp:SPAP_0283
ko:K03040	snp:SPAP_0284
ko:K02879	snp:SPAP_0285
ko:K07166	snp:SPAP_0286
ko:K09157	snp:SPAP_0287
ko:K02011	snp:SPAP_0289
ko:K02874	snp:SPAP_0268
ko:K02895	snp:SPAP_0269
ko:K02931	snp:SPAP_0270
ko:K02011	snp:SPAP_0290
ko:K02012	snp:SPAP_0292
ko:K04069	snp:SPAP_0294
ko:K02759	snp:SPAP_0297
ko:K02760	snp:SPAP_0298
ko:K02761	snp:SPAP_0299
ko:K00656	snp:SPAP_0300
ko:K00005	snp:SPAP_0302
ko:K01869	snp:SPAP_0303
ko:K03551	snp:SPAP_0307
ko:K09962	snp:SPAP_0309
ko:K00806	snp:SPAP_0310
ko:K00981	snp:SPAP_0311
ko:K01881	snp:SPAP_0313
ko:K00820	snp:SPAP_0315
ko:K02950	snp:SPAP_0318
ko:K04485	snp:SPAP_0075
ko:K01673	snp:SPAP_0076
ko:K00948	snp:SPAP_0079
ko:K06929	snp:SPAP_0084
ko:K03584	snp:SPAP_0087
ko:K03621	snp:SPAP_0088
ko:K02078	snp:SPAP_0089
ko:K01923	snp:SPAP_0093
ko:K00602	snp:SPAP_0099
ko:K01945	snp:SPAP_0100
ko:K01588	snp:SPAP_0102
ko:K01589	snp:SPAP_0103
ko:K01756	snp:SPAP_0105
ko:K12308	snp:SPAP_0108
ko:K02082	snp:SPAP_0113
ko:K10682	snp:SPAP_0127
ko:K10681	snp:SPAP_0128
ko:K02986	snp:SPAP_0129
ko:K07146	snp:SPAP_0137
ko:K03449	snp:SPAP_0143
ko:K01091	snp:SPAP_0146
ko:K01752	snp:SPAP_0147
ko:K01752	snp:SPAP_0148
ko:K00566	snp:SPAP_0174
ko:K03495	snp:SPAP_0176
ko:K03789	snp:SPAP_0184
ko:K00012	snp:SPAP_0204
ko:K00793	snp:SPAP_0230
ko:K11752	snp:SPAP_0231
ko:K03550	snp:SPAP_0233
ko:K01246	snp:SPAP_0234
ko:K03284	snp:SPAP_0238
ko:K03701	snp:SPAP_0239
ko:K07447	snp:SPAP_0244
ko:K11754	snp:SPAP_0246
ko:K06131	snp:SPAP_0248
ko:K02946	snp:SPAP_0256
ko:K02906	snp:SPAP_0257
ko:K02892	snp:SPAP_0259
ko:K02886	snp:SPAP_0260
ko:K02965	snp:SPAP_0261
ko:K02890	snp:SPAP_0263
ko:K02982	snp:SPAP_0264
ko:K02878	snp:SPAP_0265
ko:K02904	snp:SPAP_0266
ko:K02961	snp:SPAP_0267
ko:K01704	snp:SPAP_1279
ko:K12267	snp:SPAP_1389
ko:K00872	snp:SPAP_1390
ko:K00003	snp:SPAP_1391
ko:K00891	snp:SPAP_1400
ko:K00800	snp:SPAP_1401
ko:K02992	snp:SPAP_0319
ko:K02355	snp:SPAP_0320
ko:K03763	snp:SPAP_0321
ko:K03575	snp:SPAP_1253
ko:K01938	snp:SPAP_1254
ko:K03702	snp:SPAP_1263
ko:K00036	snp:SPAP_1267
ko:K03110	snp:SPAP_1268
ko:K03529	snp:SPAP_1271
ko:K03685	snp:SPAP_1272
ko:K00364	snp:SPAP_1274
ko:K00052	snp:SPAP_1281
ko:K01649	snp:SPAP_1282
ko:K01649	snp:SPAP_1283
ko:K09790	snp:SPAP_1286
ko:K03168	snp:SPAP_1287
ko:K04096	snp:SPAP_1291
ko:K01955	snp:SPAP_1300
ko:K01956	snp:SPAP_1301
ko:K00609	snp:SPAP_1302
ko:K02825	snp:SPAP_1303
ko:K10773	snp:SPAP_1304
ko:K07040	snp:SPAP_1305
ko:K03799	snp:SPAP_1309
ko:K03744	snp:SPAP_1310
ko:K03501	snp:SPAP_1311
ko:K03106	snp:SPAP_1313
ko:K06885	snp:SPAP_1316
ko:K02884	snp:SPAP_1320
ko:K06199	snp:SPAP_1321
ko:K06199	snp:SPAP_1322
ko:K02909	snp:SPAP_1326
ko:K00262	snp:SPAP_1330
ko:K02003	snp:SPAP_1372
ko:K01354	snp:SPAP_1374
ko:K02935	snp:SPAP_1384
ko:K02864	snp:SPAP_1385
ko:K01736	snp:SPAP_1405
ko:K01735	snp:SPAP_1406
ko:K00014	snp:SPAP_1407
ko:K03785	snp:SPAP_1408
ko:K06969	snp:SPAP_1409
ko:K01872	snp:SPAP_1413
ko:K00075	snp:SPAP_1421
ko:K01575	snp:SPAP_1424
ko:K02039	snp:SPAP_1427
ko:K02036	snp:SPAP_1428
ko:K02036	snp:SPAP_1429
ko:K02038	snp:SPAP_1430
ko:K02037	snp:SPAP_1431
ko:K02040	snp:SPAP_1432
ko:K02836	snp:SPAP_0729
ko:K09812	snp:SPAP_0730
ko:K09811	snp:SPAP_0731
ko:K01491	snp:SPAP_0794
ko:K01807	snp:SPAP_0796
ko:K01839	snp:SPAP_0797
ko:K02768	snp:SPAP_0850
ko:K02769	snp:SPAP_0850
ko:K02770	snp:SPAP_0850
ko:K03466	snp:SPAP_0851
ko:K04487	snp:SPAP_0857
ko:K03151	snp:SPAP_0858
ko:K01961	snp:SPAP_0443
ko:K01963	snp:SPAP_0444
ko:K01962	snp:SPAP_0445
ko:K03625	snp:SPAP_0448
ko:K02356	snp:SPAP_0450
ko:K02434	snp:SPAP_0451
ko:K02435	snp:SPAP_0453
ko:K02837	snp:SPAP_0454
ko:K02902	snp:SPAP_0456
ko:K01652	snp:SPAP_0459
ko:K01653	snp:SPAP_0460
ko:K00053	snp:SPAP_0461
ko:K01754	snp:SPAP_0464
ko:K06153	snp:SPAP_0471
ko:K02346	snp:SPAP_0472
ko:K00656	snp:SPAP_0473
ko:K00927	snp:SPAP_0501
ko:K01915	snp:SPAP_0504
ko:K01154	snp:SPAP_0506
ko:K01154	snp:SPAP_0507
ko:K01154	snp:SPAP_0510
ko:K03427	snp:SPAP_0511
ko:K01153	snp:SPAP_0512
ko:K03705	snp:SPAP_0514
ko:K03687	snp:SPAP_0515
ko:K04043	snp:SPAP_0516
ko:K03686	snp:SPAP_0517
ko:K02503	snp:SPAP_0520
ko:K07707	snp:SPAP_0525
ko:K01873	snp:SPAP_0559
ko:K01223	snp:SPAP_0569
ko:K01889	snp:SPAP_0570
ko:K01890	snp:SPAP_0572
ko:K00549	snp:SPAP_0577
ko:K00297	snp:SPAP_0578
ko:K00962	snp:SPAP_0579
ko:K00640	snp:SPAP_0580
ko:K01883	snp:SPAP_0582
ko:K11145	snp:SPAP_0583
ko:K02003	snp:SPAP_0588
ko:K01624	snp:SPAP_0592
ko:K07462	snp:SPAP_0598
ko:K03703	snp:SPAP_0604
ko:K02867	snp:SPAP_0616
ko:K02863	snp:SPAP_0617
ko:K07139	snp:SPAP_0641
ko:K07058	snp:SPAP_0646
ko:K12267	snp:SPAP_0649
ko:K07718	snp:SPAP_0651
ko:K00791	snp:SPAP_0660
ko:K03665	snp:SPAP_0661
ko:K07124	snp:SPAP_0664
ko:K02003	snp:SPAP_0674
ko:K01925	snp:SPAP_0675
ko:K02563	snp:SPAP_0676
ko:K03589	snp:SPAP_0677
ko:K01591	snp:SPAP_0678
ko:K00762	snp:SPAP_0679
ko:K02029	snp:SPAP_0688
ko:K04567	snp:SPAP_0690
ko:K00878	snp:SPAP_0693
ko:K00788	snp:SPAP_0694
ko:K03707	snp:SPAP_0698
ko:K00878	snp:SPAP_0700
ko:K00788	snp:SPAP_0701
ko:K01223	snp:SPAP_0711
ko:K01809	snp:SPAP_0712
ko:K03308	snp:SPAP_0713
ko:K07007	snp:SPAP_0716
ko:K00761	snp:SPAP_0720
ko:K01358	snp:SPAP_0721
ko:K01999	snp:SPAP_0723
ko:K01997	snp:SPAP_0724
ko:K01998	snp:SPAP_0725
ko:K01995	snp:SPAP_0726
ko:K01996	snp:SPAP_0727
ko:K00789	snp:SPAP_0736
ko:K02340	snp:SPAP_0738
ko:K04564	snp:SPAP_0739
ko:K06941	snp:SPAP_0741
ko:K02959	snp:SPAP_0749
ko:K06960	snp:SPAP_0750
ko:K02860	snp:SPAP_0753
ko:K00554	snp:SPAP_0754
ko:K03523	snp:SPAP_0758
ko:K02003	snp:SPAP_0761
ko:K02787	snp:SPAP_1214
ko:K02788	snp:SPAP_1214
ko:K03596	snp:SPAP_1226
ko:K03631	snp:SPAP_1228
ko:K03402	snp:SPAP_1229
ko:K06442	snp:SPAP_1230
ko:K13789	snp:SPAP_1231
ko:K03602	snp:SPAP_1232
ko:K03601	snp:SPAP_1233
ko:K00876	snp:SPAP_1234
ko:K01874	snp:SPAP_0763
ko:K01256	snp:SPAP_0773
ko:K05837	snp:SPAP_0779
ko:K03152	snp:SPAP_0780
ko:K02470	snp:SPAP_0782
ko:K02968	snp:SPAP_0805
ko:K00756	snp:SPAP_0809
ko:K07335	snp:SPAP_0812
ko:K08591	snp:SPAP_0819
ko:K02622	snp:SPAP_0820
ko:K02621	snp:SPAP_0823
ko:K00826	snp:SPAP_0824
ko:K01304	snp:SPAP_0828
ko:K02945	snp:SPAP_0832
ko:K02343	snp:SPAP_0836
ko:K09013	snp:SPAP_0838
ko:K09015	snp:SPAP_0839
ko:K11717	snp:SPAP_0840
ko:K09014	snp:SPAP_0842
ko:K06901	snp:SPAP_0334
ko:K00796	snp:SPAP_0336
ko:K11754	snp:SPAP_0337
ko:K01495	snp:SPAP_0338
ko:K13940	snp:SPAP_0339
ko:K02871	snp:SPAP_0341
ko:K02996	snp:SPAP_0342
ko:K00432	snp:SPAP_0346
ko:K01625	snp:SPAP_0349
ko:K00874	snp:SPAP_0350
ko:K05366	snp:SPAP_0393
ko:K07444	snp:SPAP_0398
ko:K02761	snp:SPAP_0478
ko:K02787	snp:SPAP_0483
ko:K02788	snp:SPAP_0483
ko:K03216	snp:SPAP_0491
ko:K01937	snp:SPAP_0497
ko:K03439	snp:SPAP_0543
ko:K09748	snp:SPAP_0544
ko:K02600	snp:SPAP_0545
ko:K07742	snp:SPAP_0546
ko:K02519	snp:SPAP_0548
ko:K02834	snp:SPAP_0549
ko:K03311	snp:SPAP_0612
ko:K06207	snp:SPAP_0670
ko:K02746	snp:SPAP_0356
ko:K02747	snp:SPAP_0357
ko:K03210	snp:SPAP_0358
ko:K03438	snp:SPAP_0365
ko:K01000	snp:SPAP_0368
ko:K07173	snp:SPAP_0370
ko:K03545	snp:SPAP_0419
ko:K03581	snp:SPAP_0421
ko:K03100	snp:SPAP_0422
ko:K07456	snp:SPAP_0426
ko:K03310	snp:SPAP_0427
ko:K01875	snp:SPAP_0430
ko:K00928	snp:SPAP_0432
ko:K00648	snp:SPAP_0435
ko:K02078	snp:SPAP_0436
ko:K00645	snp:SPAP_0438
ko:K09458	snp:SPAP_0440
ko:K02160	snp:SPAP_0441
ko:K02372	snp:SPAP_0442
ko:K00951	snp:SPAP_1652
ko:K01598	snp:SPAP_1256
ko:K01126	snp:SPAP_1030
ko:K02899	snp:SPAP_1086
ko:K02888	snp:SPAP_1088
ko:K09747	snp:SPAP_1090
ko:K06180	snp:SPAP_1094
ko:K00858	snp:SPAP_1095
ko:K00948	snp:SPAP_1098
ko:K04487	snp:SPAP_1099
ko:K03427	snp:SPAP_0913
ko:K01154	snp:SPAP_0914
ko:K01154	snp:SPAP_0915
ko:K07341	snp:SPAP_0917
ko:K01153	snp:SPAP_0920
ko:K03402	snp:SPAP_0922
ko:K02337	snp:SPAP_0924
ko:K00850	snp:SPAP_0925
ko:K00873	snp:SPAP_0926
ko:K07089	snp:SPAP_0934
ko:K06959	snp:SPAP_0937
ko:K02003	snp:SPAP_0942
ko:K00797	snp:SPAP_0950
ko:K13747	snp:SPAP_0952
ko:K10536	snp:SPAP_0953
ko:K12251	snp:SPAP_0954
ko:K03101	snp:SPAP_0960
ko:K06180	snp:SPAP_0961
