ko:K02913	lmoq:LM6179_2077
ko:K01934	lmoq:LM6179_2078
ko:K00845	lmoq:LM6179_2081
ko:K02249	lmoq:LM6179_2083
ko:K02248	lmoq:LM6179_2084
ko:K02247	lmoq:LM6179_2085
ko:K02246	lmoq:LM6179_2086
ko:K02245	lmoq:LM6179_2087
ko:K02244	lmoq:LM6179_2088
ko:K02243	lmoq:LM6179_2089
ko:K00605	lmoq:LM6179_2091
ko:K00282	lmoq:LM6179_2092
ko:K00283	lmoq:LM6179_2093
ko:K01262	lmoq:LM6179_2097
ko:K02356	lmoq:LM6179_2098
ko:K07720	lmoq:LM6179_2780
ko:K07718	lmoq:LM6179_2781
ko:K09704	lmoq:LM6179_2783
ko:K01191	lmoq:LM6179_2784
ko:K01191	lmoq:LM6179_2785
ko:K03704	lmoq:LM6179_2786
ko:K01778	lmoq:LM6179_2788
ko:K01870	lmoq:LM6179_2789
ko:K04074	lmoq:LM6179_2790
ko:K07105	lmoq:LM6179_2791
ko:K04487	lmoq:LM6179_2792
ko:K00278	lmoq:LM6179_2793
ko:K00767	lmoq:LM6179_2794
ko:K03517	lmoq:LM6179_2795
ko:K02221	lmoq:LM6179_2801
ko:K09772	lmoq:LM6179_2802
ko:K06997	lmoq:LM6179_2803
ko:K03531	lmoq:LM6179_2804
ko:K03590	lmoq:LM6179_2805
ko:K03589	lmoq:LM6179_2806
ko:K02563	lmoq:LM6179_2807
ko:K01925	lmoq:LM6179_2808
ko:K01000	lmoq:LM6179_2809
ko:K01928	lmoq:LM6179_2810
ko:K08724	lmoq:LM6179_2811
ko:K03438	lmoq:LM6179_2813
ko:K03925	lmoq:LM6179_2814
ko:K08152	lmoq:LM6179_2815
ko:K00077	lmoq:LM6179_2817
ko:K07040	lmoq:LM6179_2819
ko:K07177	lmoq:LM6179_2822
ko:K00954	lmoq:LM6179_2823
ko:K07243	lmoq:LM6179_0667
ko:K07224	lmoq:LM6179_0668
ko:K16301	lmoq:LM6179_0669
ko:K06193	lmoq:LM6179_0672
ko:K05350	lmoq:LM6179_0674
ko:K02761	lmoq:LM6179_0675
ko:K02760	lmoq:LM6179_0676
ko:K06608	lmoq:LM6179_0685
ko:K00140	lmoq:LM6179_0686
ko:K03337	lmoq:LM6179_0687
ko:K03338	lmoq:LM6179_0688
ko:K03336	lmoq:LM6179_0689
ko:K05937	lmoq:LM6179_0690
ko:K03648	lmoq:LM6179_0693
ko:K00286	lmoq:LM6179_0699
ko:K02768	lmoq:LM6179_0701
ko:K02769	lmoq:LM6179_0702
ko:K02770	lmoq:LM6179_0703
ko:K15524	lmoq:LM6179_0704
ko:K03306	lmoq:LM6179_0708
ko:K01759	lmoq:LM6179_0709
ko:K07238	lmoq:LM6179_0715
ko:K07729	lmoq:LM6179_0717
ko:K13922	lmoq:LM6179_1472
ko:K13921	lmoq:LM6179_1473
ko:K02440	lmoq:LM6179_1474
ko:K00925	lmoq:LM6179_1475
ko:K04720	lmoq:LM6179_1476
ko:K16651	lmoq:LM6179_1477
ko:K04019	lmoq:LM6179_1481
ko:K03735	lmoq:LM6179_1482
ko:K03736	lmoq:LM6179_1483
ko:K04026	lmoq:LM6179_1484
ko:K04027	lmoq:LM6179_1487
ko:K04032	lmoq:LM6179_1488
ko:K04023	lmoq:LM6179_1493
ko:K04030	lmoq:LM6179_1494
ko:K02224	lmoq:LM6179_1498
ko:K02227	lmoq:LM6179_1499
ko:K06042	lmoq:LM6179_1500
ko:K02188	lmoq:LM6179_1501
ko:K03399	lmoq:LM6179_1502
ko:K02191	lmoq:LM6179_1503
ko:K05936	lmoq:LM6179_1504
ko:K02189	lmoq:LM6179_1505
ko:K05895	lmoq:LM6179_1507
ko:K13542	lmoq:LM6179_1508
ko:K02190	lmoq:LM6179_1509
ko:K03394	lmoq:LM6179_1510
ko:K02007	lmoq:LM6179_1511
ko:K02009	lmoq:LM6179_1512
ko:K02008	lmoq:LM6179_1513
ko:K02006	lmoq:LM6179_1514
ko:K02232	lmoq:LM6179_1515
ko:K09936	lmoq:LM6179_1517
ko:K09936	lmoq:LM6179_1518
ko:K02888	lmoq:LM6179_2288
ko:K08301	lmoq:LM6179_2289
ko:K03609	lmoq:LM6179_2290
ko:K03610	lmoq:LM6179_2291
ko:K03571	lmoq:LM6179_2292
ko:K03570	lmoq:LM6179_2293
ko:K03569	lmoq:LM6179_2294
ko:K03630	lmoq:LM6179_2299
ko:K02236	lmoq:LM6179_2300
ko:K11754	lmoq:LM6179_2301
ko:K01873	lmoq:LM6179_2302
ko:K01845	lmoq:LM6179_2303
ko:K01698	lmoq:LM6179_2304
ko:K01719	lmoq:LM6179_2305
ko:K01749	lmoq:LM6179_2306
ko:K02492	lmoq:LM6179_2307
ko:K03978	lmoq:LM6179_2308
ko:K01868	lmoq:LM6179_2309
ko:K11144	lmoq:LM6179_2311
ko:K03346	lmoq:LM6179_2312
ko:K07738	lmoq:LM6179_2313
ko:K00859	lmoq:LM6179_2314
ko:K10563	lmoq:LM6179_2315
ko:K00031	lmoq:LM6179_2317
ko:K01647	lmoq:LM6179_2318
ko:K07113	lmoq:LM6179_2320
ko:K00873	lmoq:LM6179_2321
ko:K00850	lmoq:LM6179_2322
ko:K01962	lmoq:LM6179_2323
ko:K01963	lmoq:LM6179_2324
ko:K02337	lmoq:LM6179_2325
ko:K00259	lmoq:LM6179_2330
ko:K00014	lmoq:LM6179_3016
ko:K01992	lmoq:LM6179_3019
ko:K01990	lmoq:LM6179_3020
ko:K07979	lmoq:LM6179_3021
ko:K13531	lmoq:LM6179_3022
ko:K13530	lmoq:LM6179_3023
ko:K06180	lmoq:LM6179_3024
ko:K07220	lmoq:LM6179_3029
ko:K03306	lmoq:LM6179_3030
ko:K02029	lmoq:LM6179_3031
ko:K02030	lmoq:LM6179_3031
ko:K02028	lmoq:LM6179_3032
ko:K06901	lmoq:LM6179_3035
ko:K05520	lmoq:LM6179_3037
ko:K02759	lmoq:LM6179_3039
ko:K06889	lmoq:LM6179_3042
ko:K16898	lmoq:LM6179_3047
ko:K16899	lmoq:LM6179_3048
ko:K02250	lmoq:LM6179_3050
ko:K02768	lmoq:LM6179_3052
ko:K02769	lmoq:LM6179_3052
ko:K02770	lmoq:LM6179_3052
ko:K00882	lmoq:LM6179_3053
ko:K03436	lmoq:LM6179_3054
ko:K01372	lmoq:LM6179_3055
ko:K16329	lmoq:LM6179_3057
ko:K06183	lmoq:LM6179_3059
ko:K01783	lmoq:LM6179_0071
ko:K00615	lmoq:LM6179_0072
ko:K01783	lmoq:LM6179_0073
ko:K01808	lmoq:LM6179_0074
ko:K00008	lmoq:LM6179_0076
ko:K00008	lmoq:LM6179_0077
ko:K02775	lmoq:LM6179_0078
ko:K02774	lmoq:LM6179_0079
ko:K02773	lmoq:LM6179_0080
ko:K01808	lmoq:LM6179_0087
ko:K07667	lmoq:LM6179_0091
ko:K07646	lmoq:LM6179_0092
ko:K01548	lmoq:LM6179_0093
ko:K01547	lmoq:LM6179_0094
ko:K01546	lmoq:LM6179_0095
ko:K02760	lmoq:LM6179_0097
ko:K02761	lmoq:LM6179_0098
ko:K02759	lmoq:LM6179_0099
ko:K01531	lmoq:LM6179_0104
ko:K00943	lmoq:LM6179_0108
ko:K05878	lmoq:LM6179_0110
ko:K05879	lmoq:LM6179_0111
ko:K06187	lmoq:LM6179_0117
ko:K09747	lmoq:LM6179_0118
ko:K00765	lmoq:LM6179_0873
ko:K02502	lmoq:LM6179_0874
ko:K04486	lmoq:LM6179_0875
ko:K07443	lmoq:LM6179_0876
ko:K06901	lmoq:LM6179_0878
ko:K01223	lmoq:LM6179_0879
ko:K03492	lmoq:LM6179_0880
ko:K06999	lmoq:LM6179_0885
ko:K06969	lmoq:LM6179_0886
ko:K03070	lmoq:LM6179_0888
ko:K01669	lmoq:LM6179_0893
ko:K02529	lmoq:LM6179_0310
ko:K02761	lmoq:LM6179_0313
ko:K13252	lmoq:LM6179_0315
ko:K10536	lmoq:LM6179_0317
ko:K00926	lmoq:LM6179_0318
ko:K10536	lmoq:LM6179_0319
ko:K03481	lmoq:LM6179_0320
ko:K03975	lmoq:LM6179_0321
ko:K01478	lmoq:LM6179_0322
ko:K02990	lmoq:LM6179_0323
ko:K02963	lmoq:LM6179_0325
ko:K07813	lmoq:LM6179_0327
ko:K07706	lmoq:LM6179_0329
ko:K07707	lmoq:LM6179_0330
ko:K02939	lmoq:LM6179_0332
ko:K01939	lmoq:LM6179_0334
ko:K03466	lmoq:LM6179_0341
ko:K00054	lmoq:LM6179_1139
ko:K03324	lmoq:LM6179_1140
ko:K03737	lmoq:LM6179_1141
ko:K04041	lmoq:LM6179_1142
