ko:K01736	sux:SAEMRSA15_13270
ko:K07476	sux:SAEMRSA15_07370
ko:K02071	sux:SAEMRSA15_07400
ko:K02072	sux:SAEMRSA15_07410
ko:K02073	sux:SAEMRSA15_07420
ko:K09013	sux:SAEMRSA15_07440
ko:K09015	sux:SAEMRSA15_07450
ko:K11717	sux:SAEMRSA15_07460
ko:K09014	sux:SAEMRSA15_07480
ko:K00459	sux:SAEMRSA15_07510
ko:K07090	sux:SAEMRSA15_07530
ko:K03644	sux:SAEMRSA15_07550
ko:K03367	sux:SAEMRSA15_07620
ko:K03739	sux:SAEMRSA15_07630
ko:K14188	sux:SAEMRSA15_07640
ko:K03740	sux:SAEMRSA15_07650
ko:K03885	sux:SAEMRSA15_07680
ko:K03885	sux:SAEMRSA15_07710
ko:K01255	sux:SAEMRSA15_07720
ko:K07084	sux:SAEMRSA15_07730
ko:K05571	sux:SAEMRSA15_07760
ko:K05569	sux:SAEMRSA15_07780
ko:K05567	sux:SAEMRSA15_07800
ko:K05566	sux:SAEMRSA15_07810
ko:K06347	sux:SAEMRSA15_07830
ko:K00260	sux:SAEMRSA15_07880
ko:K01126	sux:SAEMRSA15_07890
ko:K03570	sux:SAEMRSA15_15660
ko:K03630	sux:SAEMRSA15_15710
ko:K11754	sux:SAEMRSA15_15730
ko:K01873	sux:SAEMRSA15_15740
ko:K01246	sux:SAEMRSA15_15750
ko:K01845	sux:SAEMRSA15_15780
ko:K01698	sux:SAEMRSA15_15790
ko:K01749	sux:SAEMRSA15_15810
ko:K02497	sux:SAEMRSA15_15820
ko:K02492	sux:SAEMRSA15_15830
ko:K03978	sux:SAEMRSA15_15840
ko:K03544	sux:SAEMRSA15_15850
ko:K03545	sux:SAEMRSA15_15860
ko:K02887	sux:SAEMRSA15_15890
ko:K02916	sux:SAEMRSA15_15900
ko:K02520	sux:SAEMRSA15_15910
ko:K01868	sux:SAEMRSA15_15930
ko:K00940	sux:SAEMRSA15_13290
ko:K03183	sux:SAEMRSA15_13310
ko:K03530	sux:SAEMRSA15_13330
ko:K00057	sux:SAEMRSA15_13340
ko:K03977	sux:SAEMRSA15_13350
ko:K02945	sux:SAEMRSA15_13360
ko:K00945	sux:SAEMRSA15_13370
ko:K03654	sux:SAEMRSA15_13410
ko:K02015	sux:SAEMRSA15_20800
ko:K02015	sux:SAEMRSA15_20810
ko:K02016	sux:SAEMRSA15_20820
ko:K02787	sux:SAEMRSA15_20950
ko:K02788	sux:SAEMRSA15_20950
ko:K12410	sux:SAEMRSA15_21020
ko:K01575	sux:SAEMRSA15_21130
ko:K01652	sux:SAEMRSA15_21140
ko:K02996	sux:SAEMRSA15_21160
ko:K02871	sux:SAEMRSA15_21170
ko:K06173	sux:SAEMRSA15_21180
ko:K02879	sux:SAEMRSA15_21220
ko:K03040	sux:SAEMRSA15_21230
ko:K02948	sux:SAEMRSA15_21240
ko:K02952	sux:SAEMRSA15_21250
ko:K02919	sux:SAEMRSA15_21260
ko:K02518	sux:SAEMRSA15_21270
ko:K07738	sux:SAEMRSA15_15960
ko:K00134	sux:SAEMRSA15_15970
ko:K00859	sux:SAEMRSA15_15980
ko:K07636	sux:SAEMRSA15_16020
ko:K00031	sux:SAEMRSA15_16040
ko:K01647	sux:SAEMRSA15_16050
ko:K00873	sux:SAEMRSA15_16070
ko:K00850	sux:SAEMRSA15_16080
ko:K01962	sux:SAEMRSA15_16090
ko:K01963	sux:SAEMRSA15_16100
ko:K00865	sux:SAEMRSA15_23320
ko:K00077	sux:SAEMRSA15_23430
ko:K08170	sux:SAEMRSA15_23440
ko:K05846	sux:SAEMRSA15_23450
ko:K05845	sux:SAEMRSA15_23460
ko:K05846	sux:SAEMRSA15_23470
ko:K05847	sux:SAEMRSA15_23480
ko:K02069	sux:SAEMRSA15_23530
ko:K02068	sux:SAEMRSA15_23540
ko:K10824	sux:SAEMRSA15_23610
ko:K15587	sux:SAEMRSA15_23620
ko:K15586	sux:SAEMRSA15_23630
ko:K15585	sux:SAEMRSA15_23640
ko:K15584	sux:SAEMRSA15_23650
ko:K02034	sux:SAEMRSA15_01660
ko:K01118	sux:SAEMRSA15_01700
ko:K15771	sux:SAEMRSA15_01740
ko:K15772	sux:SAEMRSA15_01750
ko:K02012	sux:SAEMRSA15_01830
ko:K00656	sux:SAEMRSA15_01840
ko:K04069	sux:SAEMRSA15_01850
ko:K01126	sux:SAEMRSA15_01860
ko:K07516	sux:SAEMRSA15_01900
ko:K00252	sux:SAEMRSA15_01910
ko:K05916	sux:SAEMRSA15_01990
ko:K02773	sux:SAEMRSA15_02040
ko:K02774	sux:SAEMRSA15_02050
ko:K05352	sux:SAEMRSA15_02110
ko:K07322	sux:SAEMRSA15_02180
ko:K00611	sux:SAEMRSA15_10000
ko:K00926	sux:SAEMRSA15_10010
ko:K03925	sux:SAEMRSA15_10110
ko:K03438	sux:SAEMRSA15_10120
ko:K01000	sux:SAEMRSA15_10150
ko:K01925	sux:SAEMRSA15_10160
ko:K03589	sux:SAEMRSA15_10170
ko:K03590	sux:SAEMRSA15_10180
ko:K03531	sux:SAEMRSA15_10190
ko:K05810	sux:SAEMRSA15_10200
ko:K06997	sux:SAEMRSA15_10210
ko:K09772	sux:SAEMRSA15_10220
ko:K02221	sux:SAEMRSA15_10230
ko:K04074	sux:SAEMRSA15_10250
ko:K01870	sux:SAEMRSA15_10260
ko:K03101	sux:SAEMRSA15_10290
ko:K06180	sux:SAEMRSA15_10300
ko:K02825	sux:SAEMRSA15_10310
ko:K00609	sux:SAEMRSA15_10330
ko:K01465	sux:SAEMRSA15_10340
ko:K01956	sux:SAEMRSA15_10350
ko:K01955	sux:SAEMRSA15_10360
ko:K01591	sux:SAEMRSA15_10370
ko:K00762	sux:SAEMRSA15_10380
ko:K00942	sux:SAEMRSA15_10420
