ko:K04094	sss:SSUSC84_0805
ko:K01953	sss:SSUSC84_0817
ko:K06925	sss:SSUSC84_1680
ko:K07030	sss:SSUSC84_1681
ko:K02034	sss:SSUSC84_1684
ko:K02033	sss:SSUSC84_1685
ko:K02032	sss:SSUSC84_1686
ko:K02031	sss:SSUSC84_1687
ko:K02035	sss:SSUSC84_1688
ko:K07258	sss:SSUSC84_1689
ko:K09014	sss:SSUSC84_1690
ko:K04488	sss:SSUSC84_1692
ko:K11717	sss:SSUSC84_1693
ko:K09015	sss:SSUSC84_1694
ko:K09013	sss:SSUSC84_1695
ko:K06153	sss:SSUSC84_1698
ko:K01754	sss:SSUSC84_1703
ko:K00053	sss:SSUSC84_1704
ko:K01653	sss:SSUSC84_1705
ko:K01652	sss:SSUSC84_1706
ko:K01687	sss:SSUSC84_1710
ko:K02996	sss:SSUSC84_1714
ko:K02871	sss:SSUSC84_1715
ko:K06962	sss:SSUSC84_1718
ko:K03218	sss:SSUSC84_1719
ko:K10112	sss:SSUSC84_1724
ko:K07009	sss:SSUSC84_1324
ko:K00563	sss:SSUSC84_1325
ko:K06158	sss:SSUSC84_1328
ko:K05833	sss:SSUSC84_1335
ko:K05832	sss:SSUSC84_1336
ko:K01989	sss:SSUSC84_1337
ko:K01223	sss:SSUSC84_1338
ko:K02755	sss:SSUSC84_1339
ko:K02756	sss:SSUSC84_1339
ko:K02757	sss:SSUSC84_1339
ko:K03488	sss:SSUSC84_1340
ko:K01575	sss:SSUSC84_1342
ko:K03590	sss:SSUSC84_0417
ko:K03531	sss:SSUSC84_0418
ko:K06997	sss:SSUSC84_0419
ko:K09772	sss:SSUSC84_0420
ko:K02221	sss:SSUSC84_0421
ko:K04074	sss:SSUSC84_0423
ko:K01870	sss:SSUSC84_0425
ko:K03697	sss:SSUSC84_0428
ko:K03100	sss:SSUSC84_0434
ko:K08303	sss:SSUSC84_0442
ko:K03523	sss:SSUSC84_0446
ko:K00383	sss:SSUSC84_0448
ko:K04567	sss:SSUSC84_0454
ko:K03976	sss:SSUSC84_0456
ko:K08974	sss:SSUSC84_0457
ko:K03588	sss:SSUSC84_0462
ko:K01595	sss:SSUSC84_0463
ko:K02358	sss:SSUSC84_0466
ko:K01803	sss:SSUSC84_0467
ko:K06885	sss:SSUSC84_0469
ko:K01689	sss:SSUSC84_1350
ko:K00865	sss:SSUSC84_1352
ko:K01733	sss:SSUSC84_0251
ko:K00869	sss:SSUSC84_0258
ko:K01597	sss:SSUSC84_0259
ko:K00938	sss:SSUSC84_0260
ko:K01823	sss:SSUSC84_0261
ko:K07166	sss:SSUSC84_0264
ko:K09157	sss:SSUSC84_0265
ko:K03705	sss:SSUSC84_0267
ko:K03687	sss:SSUSC84_0268
ko:K04043	sss:SSUSC84_0269
ko:K03686	sss:SSUSC84_0270
ko:K07727	sss:SSUSC84_0275
ko:K09825	sss:SSUSC84_0278
ko:K06173	sss:SSUSC84_0279
ko:K03545	sss:SSUSC84_0294
ko:K09815	sss:SSUSC84_0296
ko:K03570	sss:SSUSC84_0017
ko:K03571	sss:SSUSC84_0018
ko:K00948	sss:SSUSC84_0020
ko:K03584	sss:SSUSC84_0022
ko:K03621	sss:SSUSC84_0023
ko:K02078	sss:SSUSC84_0024
ko:K01923	sss:SSUSC84_0025
ko:K01952	sss:SSUSC84_0026
ko:K00764	sss:SSUSC84_0027
ko:K01933	sss:SSUSC84_0028
ko:K11175	sss:SSUSC84_0029
ko:K00602	sss:SSUSC84_0030
ko:K01945	sss:SSUSC84_0031
ko:K01588	sss:SSUSC84_0032
ko:K01589	sss:SSUSC84_0033
ko:K01756	sss:SSUSC84_0036
ko:K03551	sss:SSUSC84_0043
ko:K03572	sss:SSUSC84_0053
ko:K03550	sss:SSUSC84_0054
ko:K01246	sss:SSUSC84_0056
ko:K03553	sss:SSUSC84_0058
ko:K07447	sss:SSUSC84_0061
ko:K09962	sss:SSUSC84_0063
ko:K02946	sss:SSUSC84_0065
ko:K02906	sss:SSUSC84_0066
ko:K02926	sss:SSUSC84_0067
ko:K02892	sss:SSUSC84_0068
ko:K02886	sss:SSUSC84_0069
ko:K02965	sss:SSUSC84_0070
ko:K02890	sss:SSUSC84_0071
ko:K02982	sss:SSUSC84_0072
ko:K02878	sss:SSUSC84_0073
ko:K02904	sss:SSUSC84_0074
ko:K00858	sss:SSUSC84_0958
ko:K07816	sss:SSUSC84_0959
ko:K00948	sss:SSUSC84_0961
ko:K04487	sss:SSUSC84_0962
ko:K01926	sss:SSUSC84_0965
ko:K07010	sss:SSUSC84_0966
ko:K03630	sss:SSUSC84_0967
ko:K02469	sss:SSUSC84_0969
ko:K00016	sss:SSUSC84_0970
ko:K01489	sss:SSUSC84_0976
ko:K01619	sss:SSUSC84_0977
ko:K00756	sss:SSUSC84_0978
ko:K00867	sss:SSUSC84_0980
ko:K02968	sss:SSUSC84_0981
ko:K02039	sss:SSUSC84_0988
ko:K02036	sss:SSUSC84_0989
ko:K02036	sss:SSUSC84_0990
ko:K02038	sss:SSUSC84_0991
ko:K02037	sss:SSUSC84_0992
ko:K02040	sss:SSUSC84_0993
ko:K01092	sss:SSUSC84_0995
ko:K11753	sss:SSUSC84_0999
ko:K03177	sss:SSUSC84_1000
ko:K01258	sss:SSUSC84_1011
ko:K07088	sss:SSUSC84_1013
ko:K01520	sss:SSUSC84_1845
ko:K00057	sss:SSUSC84_1849
ko:K00963	sss:SSUSC84_1850
ko:K05823	sss:SSUSC84_1853
ko:K07313	sss:SSUSC84_1857
ko:K01810	sss:SSUSC84_1858
ko:K00615	sss:SSUSC84_1861
ko:K03476	sss:SSUSC84_1862
ko:K02821	sss:SSUSC84_1868
ko:K02822	sss:SSUSC84_1869
ko:K03475	sss:SSUSC84_1870
ko:K02761	sss:SSUSC84_1877
ko:K02759	sss:SSUSC84_1879
ko:K02760	sss:SSUSC84_1880
ko:K09963	sss:SSUSC84_1882
ko:K05593	sss:SSUSC84_0863
ko:K03205	sss:SSUSC84_0881
ko:K00558	sss:SSUSC84_0887
ko:K02935	sss:SSUSC84_0891
ko:K02864	sss:SSUSC84_0892
ko:K03168	sss:SSUSC84_0893
ko:K04096	sss:SSUSC84_0894
ko:K00661	sss:SSUSC84_0895
ko:K11068	sss:SSUSC84_0900
ko:K03470	sss:SSUSC84_0902
ko:K09704	sss:SSUSC84_1736
ko:K11145	sss:SSUSC84_1739
ko:K01883	sss:SSUSC84_1740
ko:K00640	sss:SSUSC84_1743
ko:K00962	sss:SSUSC84_1744
ko:K02809	sss:SSUSC84_1747
ko:K02810	sss:SSUSC84_1747
ko:K07106	sss:SSUSC84_1748
ko:K02956	sss:SSUSC84_1750
ko:K01462	sss:SSUSC84_1758
ko:K01704	sss:SSUSC84_1760
ko:K01703	sss:SSUSC84_1761
ko:K00052	sss:SSUSC84_1762
ko:K01649	sss:SSUSC84_1763
ko:K07078	sss:SSUSC84_1766
ko:K03763	sss:SSUSC84_1768
ko:K05878	sss:SSUSC84_1771
ko:K05879	sss:SSUSC84_1772
ko:K02440	sss:SSUSC84_1774
ko:K01881	sss:SSUSC84_1775
ko:K00981	sss:SSUSC84_1777
ko:K01091	sss:SSUSC84_1353
ko:K06286	sss:SSUSC84_1356
ko:K02470	sss:SSUSC84_1357
ko:K03152	sss:SSUSC84_1358
ko:K05837	sss:SSUSC84_1359
ko:K02909	sss:SSUSC84_1378
ko:K03734	sss:SSUSC84_1379
ko:K02954	sss:SSUSC84_1382
ko:K04516	sss:SSUSC84_1383
ko:K04564	sss:SSUSC84_1386
ko:K02340	sss:SSUSC84_1387
ko:K09765	sss:SSUSC84_1389
ko:K01996	sss:SSUSC84_1390
ko:K01995	sss:SSUSC84_1391
ko:K01998	sss:SSUSC84_1392
ko:K01997	sss:SSUSC84_1393
ko:K01999	sss:SSUSC84_1394
ko:K01358	sss:SSUSC84_1396
ko:K00761	sss:SSUSC84_1397
ko:K00690	sss:SSUSC84_1399
ko:K02337	sss:SSUSC84_0477
ko:K00850	sss:SSUSC84_0478
ko:K00873	sss:SSUSC84_0479
ko:K03100	sss:SSUSC84_0483
ko:K00820	sss:SSUSC84_0484
ko:K03722	sss:SSUSC84_0492
ko:K00931	sss:SSUSC84_0493
ko:K00147	sss:SSUSC84_0494
ko:K00286	sss:SSUSC84_0495
ko:K09861	sss:SSUSC84_0499
ko:K01654	sss:SSUSC84_0517
ko:K00983	sss:SSUSC84_0520
ko:K00800	sss:SSUSC84_0533
ko:K00891	sss:SSUSC84_0534
ko:K07461	sss:SSUSC84_1411
ko:K01118	sss:SSUSC84_1413
ko:K05592	sss:SSUSC84_1417
ko:K00868	sss:SSUSC84_1423
ko:K01243	sss:SSUSC84_1424
ko:K04042	sss:SSUSC84_1427
ko:K00059	sss:SSUSC84_1430
ko:K02003	sss:SSUSC84_1437
ko:K05845	sss:SSUSC84_1443
ko:K05846	sss:SSUSC84_1443
ko:K06023	sss:SSUSC84_1449
ko:K01809	sss:SSUSC84_1450
ko:K03095	sss:SSUSC84_1454
ko:K07058	sss:SSUSC84_1459
ko:K03048	sss:SSUSC84_0298
ko:K01937	sss:SSUSC84_0299
ko:K01624	sss:SSUSC84_0300
ko:K02902	sss:SSUSC84_0301
ko:K03655	sss:SSUSC84_0302
ko:K03665	sss:SSUSC84_1180
ko:K00791	sss:SSUSC84_1181
ko:K03449	sss:SSUSC84_1183
ko:K06217	sss:SSUSC84_1187
ko:K00077	sss:SSUSC84_1190
ko:K00243	sss:SSUSC84_1191
ko:K02838	sss:SSUSC84_1192
ko:K09903	sss:SSUSC84_1193
ko:K11209	sss:SSUSC84_1195
ko:K02863	sss:SSUSC84_1197
ko:K02867	sss:SSUSC84_1198
ko:K03466	sss:SSUSC84_1201
ko:K02529	sss:SSUSC84_1206
ko:K02837	sss:SSUSC84_1212
ko:K01929	sss:SSUSC84_1215
ko:K01921	sss:SSUSC84_1217
ko:K06187	sss:SSUSC84_1218
ko:K07652	sss:SSUSC84_1223
ko:K07668	sss:SSUSC84_1224
ko:K01868	sss:SSUSC84_1229
ko:K02529	sss:SSUSC84_1235
ko:K03706	sss:SSUSC84_0307
ko:K02884	sss:SSUSC84_0309
ko:K02435	sss:SSUSC84_0311
ko:K02433	sss:SSUSC84_0312
ko:K02434	sss:SSUSC84_0313
ko:K01129	sss:SSUSC84_0314
ko:K02529	sss:SSUSC84_0315
ko:K00849	sss:SSUSC84_0316
ko:K06201	sss:SSUSC84_0319
ko:K07015	sss:SSUSC84_0321
ko:K07574	sss:SSUSC84_0323
ko:K00969	sss:SSUSC84_0324
ko:K09710	sss:SSUSC84_0328
ko:K01462	sss:SSUSC84_0337
ko:K04086	sss:SSUSC84_0338
ko:K00705	sss:SSUSC84_0339
ko:K00688	sss:SSUSC84_0340
ko:K07146	sss:SSUSC84_0350
ko:K03704	sss:SSUSC84_0354
ko:K03501	sss:SSUSC84_0355
ko:K05366	sss:SSUSC84_0356
ko:K03700	sss:SSUSC84_0357
ko:K07444	sss:SSUSC84_0360
ko:K07173	sss:SSUSC84_0362
ko:K00942	sss:SSUSC84_0364
ko:K03060	sss:SSUSC84_0365
ko:K00773	sss:SSUSC84_1237
ko:K06929	sss:SSUSC84_1239
ko:K02335	sss:SSUSC84_1241
ko:K02003	sss:SSUSC84_1244
ko:K11065	sss:SSUSC84_1246
ko:K03664	sss:SSUSC84_1251
ko:K03075	sss:SSUSC84_1253
ko:K02913	sss:SSUSC84_1254
ko:K00859	sss:SSUSC84_1256
ko:K10563	sss:SSUSC84_1257
ko:K03595	sss:SSUSC84_1258
ko:K07042	sss:SSUSC84_1260
ko:K01788	sss:SSUSC84_1263
ko:K11031	sss:SSUSC84_1264
ko:K04758	sss:SSUSC84_1268
ko:K04759	sss:SSUSC84_1269
ko:K09811	sss:SSUSC84_1270
ko:K09812	sss:SSUSC84_1271
ko:K02836	sss:SSUSC84_1272
ko:K03086	sss:SSUSC84_1284
ko:K02316	sss:SSUSC84_1285
ko:K03282	sss:SSUSC84_1286
ko:K02970	sss:SSUSC84_1288
ko:K04066	sss:SSUSC84_0366
ko:K00604	sss:SSUSC84_0367
ko:K03500	sss:SSUSC84_0368
ko:K01893	sss:SSUSC84_0546
ko:K06958	sss:SSUSC84_0551
ko:K09762	sss:SSUSC84_0553
ko:K01478	sss:SSUSC84_0555
ko:K00611	sss:SSUSC84_0557
ko:K00926	sss:SSUSC84_0558
ko:K12373	sss:SSUSC84_0561
ko:K03402	sss:SSUSC84_0562
ko:K07568	sss:SSUSC84_0563
ko:K02564	sss:SSUSC84_0564
ko:K03367	sss:SSUSC84_0569
ko:K03739	sss:SSUSC84_0570
ko:K03740	sss:SSUSC84_0572
ko:K07393	sss:SSUSC84_0574
ko:K00432	sss:SSUSC84_0576
ko:K02015	sss:SSUSC84_0577
ko:K02015	sss:SSUSC84_0578
ko:K02016	sss:SSUSC84_0579
ko:K02013	sss:SSUSC84_0580
ko:K05362	sss:SSUSC84_0581
ko:K00655	sss:SSUSC84_0582
ko:K01222	sss:SSUSC84_1884
ko:K01869	sss:SSUSC84_1885
ko:K07386	sss:SSUSC84_1886
ko:K11709	sss:SSUSC84_1887
ko:K11708	sss:SSUSC84_1888
ko:K11707	sss:SSUSC84_1891
ko:K02961	sss:SSUSC84_0075
ko:K02874	sss:SSUSC84_0076
ko:K02895	sss:SSUSC84_0077
ko:K02931	sss:SSUSC84_0078
