ko:K00336	xfm:Xfasm12_0275
ko:K00337	xfm:Xfasm12_0276
ko:K00339	xfm:Xfasm12_0278
ko:K00340	xfm:Xfasm12_0279
ko:K03300	xfm:Xfasm12_0284
ko:K07649	xfm:Xfasm12_0287
ko:K02012	xfm:Xfasm12_0288
ko:K04079	xfm:Xfasm12_0296
ko:K00681	xfm:Xfasm12_0301
ko:K01465	xfm:Xfasm12_0305
ko:K08998	xfm:Xfasm12_0306
ko:K06204	xfm:Xfasm12_0307
ko:K03320	xfm:Xfasm12_1122
ko:K01915	xfm:Xfasm12_1124
ko:K06153	xfm:Xfasm12_1125
ko:K01649	xfm:Xfasm12_1205
ko:K02911	xfm:Xfasm12_1207
ko:K07040	xfm:Xfasm12_1208
ko:K03924	xfm:Xfasm12_1210
ko:K09747	xfm:Xfasm12_1216
ko:K00057	xfm:Xfasm12_1221
ko:K03071	xfm:Xfasm12_1222
ko:K01719	xfm:Xfasm12_1226
ko:K02496	xfm:Xfasm12_1227
ko:K02498	xfm:Xfasm12_1228
ko:K03525	xfm:Xfasm12_1230
ko:K06997	xfm:Xfasm12_1237
ko:K01153	xfm:Xfasm12_2271
ko:K03427	xfm:Xfasm12_2274
ko:K02110	xfm:Xfasm12_0490
ko:K02108	xfm:Xfasm12_0491
ko:K02946	xfm:Xfasm12_0493
ko:K02906	xfm:Xfasm12_0494
ko:K02926	xfm:Xfasm12_0495
ko:K02892	xfm:Xfasm12_0496
ko:K02886	xfm:Xfasm12_0497
ko:K02965	xfm:Xfasm12_0498
ko:K02890	xfm:Xfasm12_0499
ko:K02982	xfm:Xfasm12_0500
ko:K02878	xfm:Xfasm12_0501
ko:K02904	xfm:Xfasm12_0502
ko:K02961	xfm:Xfasm12_0503
ko:K00164	xfm:Xfasm12_0889
ko:K01756	xfm:Xfasm12_0892
ko:K03495	xfm:Xfasm12_0921
ko:K02169	xfm:Xfasm12_0926
ko:K03116	xfm:Xfasm12_1738
ko:K03117	xfm:Xfasm12_1739
ko:K03118	xfm:Xfasm12_1740
ko:K01951	xfm:Xfasm12_1742
ko:K06949	xfm:Xfasm12_1746
ko:K07460	xfm:Xfasm12_1748
ko:K07121	xfm:Xfasm12_1749
ko:K07056	xfm:Xfasm12_1750
ko:K03688	xfm:Xfasm12_1190
ko:K03690	xfm:Xfasm12_1191
ko:K01433	xfm:Xfasm12_1192
ko:K07018	xfm:Xfasm12_1194
ko:K06916	xfm:Xfasm12_1195
ko:K03797	xfm:Xfasm12_1200
ko:K00053	xfm:Xfasm12_1201
ko:K11258	xfm:Xfasm12_1203
ko:K01754	xfm:Xfasm12_1204
ko:K05366	xfm:Xfasm12_1861
ko:K00800	xfm:Xfasm12_1496
ko:K01599	xfm:Xfasm12_0689
ko:K01735	xfm:Xfasm12_0691
ko:K00891	xfm:Xfasm12_0692
ko:K00275	xfm:Xfasm12_0693
ko:K01886	xfm:Xfasm12_0694
ko:K06201	xfm:Xfasm12_0696
ko:K02048	xfm:Xfasm12_0698
ko:K02046	xfm:Xfasm12_0699
ko:K02047	xfm:Xfasm12_0700
ko:K02045	xfm:Xfasm12_0701
ko:K02517	xfm:Xfasm12_0702
ko:K03086	xfm:Xfasm12_0703
ko:K02170	xfm:Xfasm12_0709
ko:K02259	xfm:Xfasm12_0712
ko:K08309	xfm:Xfasm12_0716
ko:K01613	xfm:Xfasm12_0718
ko:K07152	xfm:Xfasm12_0719
