ko:K00014	bmaz:BM44_4880
ko:K03786	bmaz:BM44_4881
ko:K00457	bmaz:BM44_4882
ko:K12658	bmaz:BM44_4891
ko:K15977	bmaz:BM44_4898
ko:K03303	bmaz:BM44_4899
ko:K00782	bmaz:BM44_4900
ko:K18929	bmaz:BM44_4901
ko:K18928	bmaz:BM44_4902
ko:K02072	bmaz:BM44_4907
ko:K02071	bmaz:BM44_4908
ko:K02073	bmaz:BM44_4910
ko:K00137	bmaz:BM44_4917
ko:K00053	bmaz:BM44_4919
ko:K01586	bmaz:BM44_4921
ko:K00645	bmaz:BM44_4924
ko:K07088	bmaz:BM44_4927
ko:K18903	bmaz:BM44_4931
ko:K18902	bmaz:BM44_4933
ko:K18901	bmaz:BM44_4934
ko:K18900	bmaz:BM44_4936
ko:K01008	bmaz:BM44_4939
ko:K00375	bmaz:BM44_4946
ko:K00823	bmaz:BM44_4947
ko:K00135	bmaz:BM44_4948
ko:K03776	bmaz:BM44_4954
ko:K02624	bmaz:BM44_4957
ko:K03762	bmaz:BM44_4959
ko:K10013	bmaz:BM44_4962
ko:K06987	bmaz:BM44_4965
ko:K02073	bmaz:BM44_4966
ko:K06911	bmaz:BM44_4973
ko:K13741	bmaz:BM44_4985
ko:K13287	bmaz:BM44_4989
ko:K13286	bmaz:BM44_4991
ko:K13285	bmaz:BM44_4992
ko:K03225	bmaz:BM44_4998
ko:K03230	bmaz:BM44_5003
ko:K03221	bmaz:BM44_5008
ko:K03606	bmaz:BM44_3419
ko:K07004	bmaz:BM44_3431
ko:K02014	bmaz:BM44_3436
ko:K07397	bmaz:BM44_3445
ko:K07223	bmaz:BM44_3447
ko:K06147	bmaz:BM44_3448
ko:K18199	bmaz:BM44_3449
ko:K01867	bmaz:BM44_3451
ko:K07052	bmaz:BM44_3454
ko:K01560	bmaz:BM44_3456
ko:K13491	bmaz:BM44_3457
ko:K13490	bmaz:BM44_3458
ko:K13489	bmaz:BM44_3459
ko:K13486	bmaz:BM44_3460
ko:K13488	bmaz:BM44_3461
ko:K13487	bmaz:BM44_3462
ko:K01652	bmaz:BM44_3467
ko:K03316	bmaz:BM44_3468
ko:K01114	bmaz:BM44_3581
ko:K10126	bmaz:BM44_3586
ko:K10125	bmaz:BM44_3587
ko:K03701	bmaz:BM44_3594
ko:K03088	bmaz:BM44_3595
ko:K08995	bmaz:BM44_3597
ko:K07240	bmaz:BM44_3600
ko:K07240	bmaz:BM44_3601
ko:K08195	bmaz:BM44_3606
ko:K01607	bmaz:BM44_3607
ko:K01055	bmaz:BM44_3608
ko:K01857	bmaz:BM44_3609
ko:K01032	bmaz:BM44_3610
ko:K01031	bmaz:BM44_3611
ko:K00481	bmaz:BM44_3612
ko:K01495	bmaz:BM44_3614
ko:K00640	bmaz:BM44_3616
ko:K01053	bmaz:BM44_3619
ko:K05596	bmaz:BM44_3628
ko:K06895	bmaz:BM44_3629
ko:K03333	bmaz:BM44_3740
ko:K00166	bmaz:BM44_3745
ko:K00167	bmaz:BM44_3746
ko:K09699	bmaz:BM44_3747
ko:K00382	bmaz:BM44_3748
ko:K06133	bmaz:BM44_3753
ko:K00240	bmaz:BM44_3757
ko:K01613	bmaz:BM44_3758
ko:K06147	bmaz:BM44_3760
ko:K00612	bmaz:BM44_3765
ko:K08995	bmaz:BM44_3782
ko:K01845	bmaz:BM44_3787
ko:K10253	bmaz:BM44_3789
ko:K14393	bmaz:BM44_3951
ko:K03387	bmaz:BM44_3956
ko:K03386	bmaz:BM44_3957
ko:K00375	bmaz:BM44_3967
ko:K07552	bmaz:BM44_3968
ko:K03430	bmaz:BM44_3972
ko:K01841	bmaz:BM44_3974
ko:K18118	bmaz:BM44_3979
ko:K11902	bmaz:BM44_3980
ko:K11900	bmaz:BM44_3982
ko:K11903	bmaz:BM44_3983
ko:K11897	bmaz:BM44_3984
ko:K11896	bmaz:BM44_3985
ko:K11895	bmaz:BM44_3986
ko:K11907	bmaz:BM44_3987
ko:K11904	bmaz:BM44_3988
ko:K11904	bmaz:BM44_3989
ko:K11906	bmaz:BM44_3994
ko:K11892	bmaz:BM44_3997
ko:K11891	bmaz:BM44_3998
