ko:K14762	eoi:ECO111_4424
ko:K02505	eoi:ECO111_0107
ko:K04016	eoi:ECO111_4950
ko:K00694	eoi:ECO111_4347
ko:K13926	eoi:ECO111_4295
ko:K01079	eoi:ECO111_5249
ko:K05877	eoi:ECO111_2471
ko:K01491	eoi:ECO111_0561
ko:K00884	eoi:ECO111_1396
ko:K07263	eoi:ECO111_1884
ko:K00823	eoi:ECO111_1685
ko:K00564	eoi:ECO111_5230
ko:K03761	eoi:ECO111_3313
ko:K01524	eoi:ECO111_4604
ko:K09477	eoi:ECO111_0643
ko:K01835	eoi:ECO111_0708
ko:K09810	eoi:ECO111_1394
ko:K11904	eoi:ECO111_0236
ko:K13292	eoi:ECO111_3556
ko:K02001	eoi:ECO111_3402
ko:K02000	eoi:ECO111_3401
ko:K12142	eoi:ECO111_3210
ko:K05799	eoi:ECO111_0114
ko:K10804	eoi:ECO111_0529
ko:K07279	eoi:ECO111_2985
ko:K14225	eoi:ECO111_tRNA094
ko:K03297	eoi:ECO111_2518
ko:K16345	eoi:ECO111_4477
ko:K00024	eoi:ECO111_4056
ko:K09476	eoi:ECO111_0997
ko:K00371	eoi:ECO111_1858
ko:K00373	eoi:ECO111_1857
ko:K00374	eoi:ECO111_1856
ko:K01784	eoi:ECO111_0769
ko:K07341	eoi:ECO111_p2-112
ko:K11004	eoi:ECO111_p3-03
ko:K11003	eoi:ECO111_p3-04
ko:K00879	eoi:ECO111_3528
ko:K11072	eoi:ECO111_1474
ko:K03668	eoi:ECO111_1772
ko:K01466	eoi:ECO111_0544
ko:K00652	eoi:ECO111_0837
ko:K10038	eoi:ECO111_0870
ko:K04772	eoi:ECO111_4054
ko:K10708	eoi:ECO111_4181
ko:K10709	eoi:ECO111_4182
ko:K10711	eoi:ECO111_4184
ko:K13890	eoi:ECO111_0899
ko:K06887	eoi:ECO111_4252
ko:K08177	eoi:ECO111_4367
ko:K08351	eoi:ECO111_4371
ko:K00835	eoi:ECO111_4392
ko:K07274	eoi:ECO111_4404
ko:K03445	eoi:ECO111_4485
ko:K08154	eoi:ECO111_4498
ko:K08194	eoi:ECO111_4518
ko:K09925	eoi:ECO111_4544
ko:K00124	eoi:ECO111_4716
ko:K11201	eoi:ECO111_4723
ko:K01739	eoi:ECO111_4765
ko:K00344	eoi:ECO111_4925
ko:K00297	eoi:ECO111_4767
ko:K04017	eoi:ECO111_4951
ko:K03762	eoi:ECO111_4981
ko:K13892	eoi:ECO111_0897
ko:K10985	eoi:ECO111_3963
ko:K02057	eoi:ECO111_3270
ko:K07733	eoi:ECO111_1213
ko:K05685	eoi:ECO111_0948
ko:K01766	eoi:ECO111_3535
ko:K02799	eoi:ECO111_3673
ko:K02800	eoi:ECO111_3673
ko:K02798	eoi:ECO111_3674
ko:K13889	eoi:ECO111_0898
ko:K05817	eoi:ECO111_3261
ko:K00529	eoi:ECO111_3266
ko:K07483	eoi:ECO111_p3-08
ko:K13637	eoi:ECO111_5180
ko:K01270	eoi:ECO111_0299
ko:K08173	eoi:ECO111_1946
ko:K01271	eoi:ECO111_4673
ko:K19124	eoi:ECO111_3482
ko:K01104	eoi:ECO111_2781
ko:K01104	eoi:ECO111_1093
ko:K03321	eoi:ECO111_1535
ko:K13256	eoi:ECO111_4852
ko:K11991	eoi:ECO111_3285
ko:K02455	eoi:ECO111_3789
ko:K05520	eoi:ECO111_3977
ko:K12262	eoi:ECO111_1807
ko:K13255	eoi:ECO111_5228
ko:K07232	eoi:ECO111_1550
ko:K07353	eoi:ECO111_0563
ko:K07245	eoi:ECO111_2348
ko:K01011	eoi:ECO111_3245
ko:K02116	eoi:ECO111_4573
ko:K06879	eoi:ECO111_3519
ko:K00971	eoi:ECO111_2763
ko:K00215	eoi:ECO111_0031
ko:K09473	eoi:ECO111_1681
ko:K13283	eoi:ECO111_4738
ko:K01897	eoi:ECO111_2311
ko:K13378	eoi:ECO111_3034
ko:K01420	eoi:ECO111_1720
ko:K08992	eoi:ECO111_1660
ko:K01497	eoi:ECO111_1658
ko:K03973	eoi:ECO111_1689
ko:K13243	eoi:ECO111_1879
ko:K13244	eoi:ECO111_0350
ko:K01485	eoi:ECO111_0374
ko:K07356	eoi:ECO111_0565
ko:K02423	eoi:ECO111_2508
ko:K00247	eoi:ECO111_5060
ko:K01297	eoi:ECO111_1521
ko:K12678	eoi:ECO111_0349
ko:K01826	eoi:ECO111_5211
ko:K02614	eoi:ECO111_1790
ko:K07246	eoi:ECO111_2306
ko:K13788	eoi:ECO111_3045
ko:K05540	eoi:ECO111_4087
ko:K13480	eoi:ECO111_3606
ko:K13053	eoi:ECO111_1026
ko:K07346	eoi:ECO111_5170
ko:K11745	eoi:ECO111_0048
ko:K01582	eoi:ECO111_0187
ko:K01069	eoi:ECO111_0209
ko:K11905	eoi:ECO111_0231
ko:K00108	eoi:ECO111_0345
ko:K00130	eoi:ECO111_0346
ko:K07480	eoi:ECO111_p1-070
ko:K02058	eoi:ECO111_0360
ko:K02057	eoi:ECO111_0362
ko:K02057	eoi:ECO111_0363
ko:K03417	eoi:ECO111_0369
ko:K01659	eoi:ECO111_0370
ko:K01190	eoi:ECO111_0380
ko:K05712	eoi:ECO111_0383
ko:K02554	eoi:ECO111_0386
ko:K01077	eoi:ECO111_0413
ko:K13792	eoi:ECO111_1634
ko:K05939	eoi:ECO111_3565
ko:K07404	eoi:ECO111_0777
ko:K00799	eoi:ECO111_2105
ko:K01048	eoi:ECO111_4653
ko:K00520	eoi:ECO111_p1-115
ko:K02485	eoi:ECO111_1563
ko:K16371	eoi:ECO111_3954
ko:K00484	eoi:ECO111_5205
ko:K15524	eoi:ECO111_0748
ko:K02504	eoi:ECO111_0108
ko:K00104	eoi:ECO111_3801
ko:K01664	eoi:ECO111_4170
ko:K15548	eoi:ECO111_4061
ko:K01096	eoi:ECO111_1659
ko:K07491	eoi:ECO111_5009
ko:K03468	eoi:ECO111_4060
ko:K14057	eoi:ECO111_1725
ko:K14062	eoi:ECO111_1769
ko:K14063	eoi:ECO111_1777
ko:K14064	eoi:ECO111_2479
ko:K14056	eoi:ECO111_1682
ko:K14061	eoi:ECO111_1768
ko:K11754	eoi:ECO111_3063
ko:K00713	eoi:ECO111_4448
ko:K14055	eoi:ECO111_1719
