ko:K13640	cjz:M635_01845
ko:K03455	cjz:M635_01850
ko:K01104	cjz:M635_01980
ko:K02454	cjz:M635_03050
ko:K03286	cjz:M635_03085
ko:K01082	cjz:M635_04105
ko:K01092	cjz:M635_04985
ko:K04517	cjz:M635_04995
ko:K09815	cjz:M635_05055
ko:K00974	cjz:M635_08250
ko:K11085	cjz:M635_08315
ko:K00076	cjz:M635_08335
ko:K01916	cjz:M635_08350
ko:K02030	cjz:M635_08370
ko:K00567	cjz:M635_08465
ko:K03498	cjz:M635_02110
ko:K03499	cjz:M635_02115
ko:K01885	cjz:M635_02135
ko:K15896	cjz:M635_02255
ko:K15898	cjz:M635_02275
ko:K03406	cjz:M635_03225
ko:K00127	cjz:M635_03240
ko:K00124	cjz:M635_03245
ko:K03635	cjz:M635_03285
ko:K09952	cjz:M635_03305
ko:K03796	cjz:M635_03325
ko:K06857	cjz:M635_03355
ko:K01607	cjz:M635_03450
ko:K03406	cjz:M635_04455
ko:K01424	cjz:M635_04505
ko:K02010	cjz:M635_05195
ko:K03711	cjz:M635_06310
ko:K00244	cjz:M635_06355
ko:K00245	cjz:M635_06360
ko:K07126	cjz:M635_06375
ko:K00059	cjz:M635_06520
ko:K08077	cjz:M635_06570
ko:K04652	cjz:M635_07470
ko:K04655	cjz:M635_07485
ko:K07304	cjz:M635_07535
ko:K01507	cjz:M635_07540
ko:K00939	cjz:M635_07545
ko:K01262	cjz:M635_07615
ko:K07792	cjz:M635_07685
ko:K01885	cjz:M635_08510
ko:K07098	cjz:M635_08515
ko:K01664	cjz:M635_08585
ko:K03342	cjz:M635_08590
ko:K04763	cjz:M635_08595
ko:K00058	cjz:M635_08710
ko:K02028	cjz:M635_08765
ko:K01409	cjz:M635_02410
ko:K01679	cjz:M635_02520
ko:K00769	cjz:M635_02550
ko:K02428	cjz:M635_02570
ko:K03406	cjz:M635_03490
ko:K02033	cjz:M635_03585
ko:K02035	cjz:M635_03590
ko:K03406	cjz:M635_05590
ko:K00616	cjz:M635_05680
ko:K02342	cjz:M635_06595
ko:K02028	cjz:M635_06680
ko:K06013	cjz:M635_07945
ko:K18682	cjz:M635_01735
ko:K02031	cjz:M635_03575
ko:K11782	cjz:M635_02120
