ko:K03338	kpnu:LI86_23730
ko:K03337	kpnu:LI86_23750
ko:K00140	kpnu:LI86_23755
ko:K06606	kpnu:LI86_23760
ko:K06915	kpnu:LI86_23765
ko:K11720	kpnu:LI86_23770
ko:K07091	kpnu:LI86_23775
ko:K01255	kpnu:LI86_23780
ko:K02339	kpnu:LI86_23785
ko:K01873	kpnu:LI86_23790
ko:K03828	kpnu:LI86_23795
ko:K06169	kpnu:LI86_23800
ko:K09893	kpnu:LI86_23805
ko:K00611	kpnu:LI86_23810
ko:K03710	kpnu:LI86_23815
ko:K00609	kpnu:LI86_23850
ko:K00610	kpnu:LI86_23855
ko:K09022	kpnu:LI86_23860
ko:K01531	kpnu:LI86_23865
ko:K03485	kpnu:LI86_23870
ko:K02818	kpnu:LI86_23875
ko:K02819	kpnu:LI86_23875
ko:K01226	kpnu:LI86_23880
ko:K02761	kpnu:LI86_23885
ko:K01222	kpnu:LI86_23890
ko:K03496	kpnu:LI86_28000
ko:K03194	kpnu:LI86_28085
ko:K03201	kpnu:LI86_28105
ko:K03203	kpnu:LI86_28110
ko:K03204	kpnu:LI86_28115
ko:K03196	kpnu:LI86_28130
ko:K03205	kpnu:LI86_28135
ko:K03169	kpnu:LI86_28155
ko:K11685	kpnu:LI86_28160
ko:K07481	kpnu:LI86_28220
ko:K18552	kpnu:LI86_28240
ko:K04082	kpnu:LI86_06750
ko:K04044	kpnu:LI86_06755
ko:K04755	kpnu:LI86_06760
ko:K07751	kpnu:LI86_06770
ko:K01011	kpnu:LI86_06785
ko:K06894	kpnu:LI86_06790
ko:K05367	kpnu:LI86_06795
ko:K00940	kpnu:LI86_06800
ko:K06941	kpnu:LI86_06805
ko:K15539	kpnu:LI86_06810
ko:K03526	kpnu:LI86_06815
ko:K01892	kpnu:LI86_06820
ko:K17713	kpnu:LI86_06830
ko:K03977	kpnu:LI86_06835
ko:K03601	kpnu:LI86_06850
ko:K00088	kpnu:LI86_06855
ko:K01951	kpnu:LI86_06860
ko:K06871	kpnu:LI86_06870
ko:K01028	kpnu:LI86_11110
ko:K17737	kpnu:LI86_11115
ko:K02050	kpnu:LI86_11145
ko:K02049	kpnu:LI86_11150
ko:K02051	kpnu:LI86_11155
ko:K01470	kpnu:LI86_11160
ko:K01485	kpnu:LI86_11170
ko:K02051	kpnu:LI86_11190
ko:K02034	kpnu:LI86_11240
ko:K02033	kpnu:LI86_11245
ko:K02035	kpnu:LI86_11250
ko:K01759	kpnu:LI86_11260
ko:K01673	kpnu:LI86_11275
ko:K07481	kpnu:LI86_11330
ko:K06966	kpnu:LI86_11350
ko:K03327	kpnu:LI86_11360
ko:K00793	kpnu:LI86_11365
ko:K00574	kpnu:LI86_11370
ko:K03604	kpnu:LI86_11385
ko:K13634	kpnu:LI86_15625
ko:K03168	kpnu:LI86_15630
ko:K04774	kpnu:LI86_15645
ko:K19221	kpnu:LI86_15660
ko:K06178	kpnu:LI86_15665
ko:K03566	kpnu:LI86_15670
ko:K07053	kpnu:LI86_15685
ko:K01657	kpnu:LI86_15690
ko:K13497	kpnu:LI86_15695
