ko:K03758	cbm:CBF_1651
ko:K11068	cbm:CBF_1652
ko:K07023	cbm:CBF_1654
ko:K00954	cbm:CBF_2544
ko:K03655	cbm:CBF_2546
ko:K02902	cbm:CBF_2549
ko:K01783	cbm:CBF_2553
ko:K06949	cbm:CBF_2554
ko:K06941	cbm:CBF_2557
ko:K06973	cbm:CBF_2560
ko:K00604	cbm:CBF_2561
ko:K01462	cbm:CBF_2562
ko:K04066	cbm:CBF_2563
ko:K13038	cbm:CBF_2564
ko:K03060	cbm:CBF_2565
ko:K00942	cbm:CBF_2566
ko:K09777	cbm:CBF_2567
ko:K06398	cbm:CBF_2570
ko:K04069	cbm:CBF_3345
ko:K00656	cbm:CBF_3346
ko:K02897	cbm:CBF_3348
ko:K03978	cbm:CBF_3357
ko:K01338	cbm:CBF_3358
ko:K03544	cbm:CBF_3361
ko:K01358	cbm:CBF_3362
ko:K03545	cbm:CBF_3363
ko:K00762	cbm:CBF_3367
ko:K01591	cbm:CBF_3370
ko:K01465	cbm:CBF_3371
ko:K00610	cbm:CBF_3372
ko:K00609	cbm:CBF_3373
ko:K00876	cbm:CBF_2609
ko:K07082	cbm:CBF_2612
ko:K07447	cbm:CBF_2617
ko:K04487	cbm:CBF_2623
ko:K07478	cbm:CBF_2625
ko:K07095	cbm:CBF_3412
ko:K02434	cbm:CBF_3417
ko:K02435	cbm:CBF_3419
ko:K01972	cbm:CBF_3422
ko:K09768	cbm:CBF_3430
ko:K01810	cbm:CBF_3431
ko:K03778	cbm:CBF_3435
ko:K03778	cbm:CBF_3436
ko:K03311	cbm:CBF_3446
ko:K01951	cbm:CBF_3447
ko:K04077	cbm:CBF_3450
ko:K04078	cbm:CBF_3451
ko:K13653	cbm:CBF_0835
ko:K02003	cbm:CBF_0839
ko:K06425	cbm:CBF_0846
ko:K00215	cbm:CBF_0848
ko:K13993	cbm:CBF_1736
ko:K03704	cbm:CBF_1749
ko:K03415	cbm:CBF_1754
ko:K00243	cbm:CBF_1756
ko:K01356	cbm:CBF_1769
ko:K03666	cbm:CBF_1771
ko:K00791	cbm:CBF_1772
ko:K03572	cbm:CBF_1773
ko:K03555	cbm:CBF_1774
ko:K06168	cbm:CBF_1775
ko:K00812	cbm:CBF_1778
ko:K00941	cbm:CBF_0827
ko:K02945	cbm:CBF_1781
ko:K03527	cbm:CBF_1781
ko:K00945	cbm:CBF_1782
ko:K06208	cbm:CBF_1783
ko:K07007	cbm:CBF_1784
ko:K00260	cbm:CBF_1785
ko:K06178	cbm:CBF_1787
ko:K04486	cbm:CBF_2626
ko:K07088	cbm:CBF_2627
ko:K03310	cbm:CBF_2631
ko:K03310	cbm:CBF_2632
ko:K01952	cbm:CBF_2635
ko:K06133	cbm:CBF_2647
ko:K00611	cbm:CBF_2648
ko:K00926	cbm:CBF_2649
ko:K00600	cbm:CBF_2650
ko:K07053	cbm:CBF_2659
ko:K03284	cbm:CBF_2661
ko:K01462	cbm:CBF_2678
ko:K03660	cbm:CBF_3455
ko:K00266	cbm:CBF_3456
ko:K00528	cbm:CBF_3457
ko:K01926	cbm:CBF_3458
ko:K06158	cbm:CBF_3459
ko:K02478	cbm:CBF_3461
ko:K06925	cbm:CBF_3474
ko:K03789	cbm:CBF_3476
ko:K01866	cbm:CBF_3477
ko:K02837	cbm:CBF_3483
ko:K01867	cbm:CBF_3485
ko:K05919	cbm:CBF_3487
ko:K01586	cbm:CBF_3491
ko:K00928	cbm:CBF_3492
ko:K03657	cbm:CBF_3496
ko:K03798	cbm:CBF_3497
ko:K01881	cbm:CBF_3499
ko:K07461	cbm:CBF_3500
ko:K03088	cbm:CBF_3504
ko:K03321	cbm:CBF_3505
ko:K01613	cbm:CBF_0029
ko:K03688	cbm:CBF_0030
ko:K03721	cbm:CBF_0033
ko:K01761	cbm:CBF_0034
ko:K02343	cbm:CBF_0037
ko:K09747	cbm:CBF_0038
ko:K06187	cbm:CBF_0039
ko:K06317	cbm:CBF_0041
ko:K06206	cbm:CBF_0042
ko:K03426	cbm:CBF_0043
ko:K03790	cbm:CBF_0049
ko:K03088	cbm:CBF_0059
ko:K12410	cbm:CBF_0077
ko:K03284	cbm:CBF_0080
ko:K00943	cbm:CBF_0085
ko:K02341	cbm:CBF_0087
ko:K01698	cbm:CBF_0982
ko:K02224	cbm:CBF_0983
ko:K02188	cbm:CBF_0994
ko:K02191	cbm:CBF_0997
ko:K03394	cbm:CBF_1005
ko:K05936	cbm:CBF_1006
ko:K02189	cbm:CBF_1007
