ko:K04042	bmi:BMEA_B0557
ko:K06196	bmi:BMEA_B0558
ko:K03801	bmi:BMEA_B0564
ko:K02622	bmi:BMEA_B0566
ko:K02433	bmi:BMEA_B0569
ko:K02435	bmi:BMEA_B0570
ko:K07447	bmi:BMEA_B0572
ko:K09456	bmi:BMEA_B0573
ko:K00609	bmi:BMEA_B0574
ko:K01465	bmi:BMEA_B0575
ko:K08591	bmi:BMEA_B0576
ko:K04096	bmi:BMEA_B0577
ko:K03168	bmi:BMEA_B0579
ko:K02913	bmi:BMEA_B0584
ko:K11443	bmi:BMEA_B0587
ko:K02346	bmi:BMEA_B0590
ko:K03831	bmi:BMEA_B0472
ko:K07078	bmi:BMEA_B0473
ko:K05560	bmi:BMEA_B0476
ko:K05561	bmi:BMEA_B0477
ko:K05562	bmi:BMEA_B0478
ko:K05563	bmi:BMEA_B0479
ko:K05564	bmi:BMEA_B0480
ko:K00425	bmi:BMEA_B0484
ko:K00426	bmi:BMEA_B0485
ko:K03710	bmi:BMEA_B0487
ko:K00166	bmi:BMEA_B0497
ko:K00167	bmi:BMEA_B0498
ko:K09699	bmi:BMEA_B0499
ko:K00382	bmi:BMEA_B0500
ko:K03466	bmi:BMEA_B0504
ko:K08369	bmi:BMEA_B0506
ko:K03919	bmi:BMEA_B0507
ko:K00012	bmi:BMEA_B0518
ko:K07039	bmi:BMEA_B0527
ko:K02342	bmi:BMEA_B0599
ko:K00285	bmi:BMEA_B0604
ko:K01032	bmi:BMEA_B0610
ko:K01031	bmi:BMEA_B0611
ko:K02624	bmi:BMEA_B0612
ko:K00481	bmi:BMEA_B0614
ko:K02623	bmi:BMEA_B0615
ko:K00448	bmi:BMEA_B0619
ko:K01857	bmi:BMEA_B0620
ko:K01999	bmi:BMEA_B0621
ko:K01997	bmi:BMEA_B0622
ko:K01995	bmi:BMEA_B0624
ko:K01996	bmi:BMEA_B0625
ko:K01486	bmi:BMEA_B0626
ko:K05813	bmi:BMEA_B0628
ko:K05814	bmi:BMEA_B0629
ko:K05815	bmi:BMEA_B0630
ko:K05816	bmi:BMEA_B0631
ko:K06901	bmi:BMEA_B0634
ko:K00826	bmi:BMEA_B0640
ko:K07090	bmi:BMEA_B0642
ko:K02016	bmi:BMEA_B0647
ko:K02015	bmi:BMEA_B0648
ko:K02015	bmi:BMEA_B0649
ko:K02013	bmi:BMEA_B0650
ko:K02427	bmi:BMEA_B0657
ko:K00794	bmi:BMEA_B0667
ko:K02379	bmi:BMEA_B0668
ko:K02011	bmi:BMEA_B0672
ko:K02012	bmi:BMEA_B0673
ko:K04565	bmi:BMEA_B0677
ko:K04756	bmi:BMEA_B0681
ko:K04761	bmi:BMEA_B0684
ko:K03338	bmi:BMEA_B0688
ko:K03336	bmi:BMEA_B0689
ko:K03335	bmi:BMEA_B0690
ko:K03337	bmi:BMEA_B0691
ko:K01092	bmi:BMEA_B0692
ko:K02011	bmi:BMEA_B0694
ko:K02012	bmi:BMEA_B0695
ko:K02437	bmi:BMEA_B0702
ko:K00605	bmi:BMEA_B0703
ko:K01915	bmi:BMEA_B0710
ko:K02002	bmi:BMEA_B0716
ko:K07722	bmi:BMEA_B0784
ko:K00040	bmi:BMEA_B0790
ko:K01686	bmi:BMEA_B0793
ko:K06199	bmi:BMEA_B0796
ko:K06199	bmi:BMEA_B0797
ko:K09137	bmi:BMEA_B0798
ko:K07090	bmi:BMEA_B0802
ko:K06953	bmi:BMEA_B0804
ko:K00852	bmi:BMEA_B0007
ko:K00216	bmi:BMEA_B0015
ko:K01252	bmi:BMEA_B0016
ko:K02363	bmi:BMEA_B0017
ko:K02361	bmi:BMEA_B0018
ko:K03088	bmi:BMEA_B0023
ko:K03724	bmi:BMEA_B0805
ko:K03427	bmi:BMEA_B0819
ko:K01154	bmi:BMEA_B0820
ko:K01153	bmi:BMEA_B0821
ko:K07043	bmi:BMEA_B0822
ko:K01710	bmi:BMEA_B0831
ko:K02025	bmi:BMEA_B0726
ko:K02026	bmi:BMEA_B0727
ko:K02013	bmi:BMEA_B0731
ko:K02015	bmi:BMEA_B0732
ko:K02016	bmi:BMEA_B0733
ko:K09761	bmi:BMEA_B0740
ko:K01919	bmi:BMEA_B0741
ko:K03601	bmi:BMEA_B0742
ko:K01915	bmi:BMEA_B0746
ko:K09471	bmi:BMEA_B0748
ko:K00059	bmi:BMEA_B0755
ko:K00036	bmi:BMEA_B0756
ko:K01057	bmi:BMEA_B0757
ko:K01690	bmi:BMEA_B0758
ko:K03560	bmi:BMEA_A1751
ko:K07304	bmi:BMEA_B1056
ko:K22617	bmi:BMEA_A2212
ko:K21909	bmi:BMEA_B0845
ko:K12262	bmi:BMEA_B0203
ko:K01840	bmi:BMEA_B0347
ko:K01266	bmi:BMEA_B0933
ko:K12573	bmi:BMEA_B0580
ko:K02001	bmi:BMEA_B0717
ko:K00215	bmi:BMEA_B1036
ko:K02483	bmi:BMEA_B0229
ko:K00104	bmi:BMEA_B0180
ko:K00010	bmi:BMEA_B0686
ko:K01628	bmi:BMEA_B1067
ko:K00281	bmi:BMEA_B0701
ko:K02000	bmi:BMEA_B0718
ko:K03198	bmi:BMEA_B0071
ko:K02619	bmi:BMEA_B0083
ko:K01665	bmi:BMEA_B0084
ko:K08602	bmi:BMEA_B0085
ko:K09975	bmi:BMEA_B0917
ko:K00824	bmi:BMEA_B0918
ko:K10547	bmi:BMEA_B0919
ko:K10548	bmi:BMEA_B0920
ko:K00883	bmi:BMEA_B0924
ko:K01687	bmi:BMEA_B0925
ko:K00035	bmi:BMEA_B0926
ko:K01652	bmi:BMEA_B0930
ko:K09969	bmi:BMEA_B0934
ko:K01999	bmi:BMEA_B0939
ko:K01995	bmi:BMEA_B0940
ko:K01996	bmi:BMEA_B0941
ko:K01997	bmi:BMEA_B0942
ko:K01998	bmi:BMEA_B0943
ko:K02073	bmi:BMEA_B0946
ko:K02071	bmi:BMEA_B0947
ko:K02072	bmi:BMEA_B0948
ko:K02970	bmi:BMEA_B0952
ko:K00325	bmi:BMEA_B0957
ko:K00324	bmi:BMEA_B0958
ko:K00324	bmi:BMEA_B0959
ko:K07010	bmi:BMEA_B0966
ko:K07261	bmi:BMEA_B1032
ko:K01734	bmi:BMEA_B1033
ko:K00845	bmi:BMEA_B1034
ko:K04719	bmi:BMEA_B1040
ko:K06131	bmi:BMEA_B1047
ko:K02837	bmi:BMEA_B1050
ko:K03688	bmi:BMEA_B1052
ko:K03183	bmi:BMEA_B1053
ko:K00761	bmi:BMEA_B1054
ko:K03745	bmi:BMEA_B1055
ko:K03777	bmi:BMEA_B1063
ko:K01845	bmi:BMEA_B1069
ko:K02032	bmi:BMEA_B1076
ko:K02031	bmi:BMEA_B1077
ko:K02033	bmi:BMEA_B1079
ko:K02035	bmi:BMEA_B1080
ko:K02032	bmi:BMEA_B1082
ko:K02031	bmi:BMEA_B1083
ko:K02033	bmi:BMEA_B1085
ko:K02035	bmi:BMEA_B1086
ko:K06446	bmi:BMEA_B1088
ko:K00074	bmi:BMEA_B1090
ko:K01625	bmi:BMEA_B0088
ko:K11381	bmi:BMEA_B1091
ko:K02035	bmi:BMEA_B1092
ko:K00627	bmi:BMEA_B1093
ko:K06999	bmi:BMEA_B0974
ko:K07147	bmi:BMEA_B0975
ko:K02014	bmi:BMEA_B0984
ko:K02342	bmi:BMEA_B0991
