ko:K13652	btf:YBT020_15165
ko:K09768	btf:YBT020_15195
ko:K00876	btf:YBT020_15215
ko:K07090	btf:YBT020_15235
ko:K06941	btf:YBT020_18970
ko:K03500	btf:YBT020_18975
ko:K00604	btf:YBT020_18980
ko:K01462	btf:YBT020_18985
ko:K04066	btf:YBT020_18990
ko:K13038	btf:YBT020_18995
ko:K03060	btf:YBT020_19000
ko:K00942	btf:YBT020_19005
ko:K09777	btf:YBT020_19010
ko:K00762	btf:YBT020_19065
ko:K01591	btf:YBT020_19070
ko:K01955	btf:YBT020_19085
ko:K01956	btf:YBT020_19090
ko:K01465	btf:YBT020_19095
ko:K00609	btf:YBT020_19100
ko:K02825	btf:YBT020_19110
ko:K06180	btf:YBT020_19115
ko:K03101	btf:YBT020_19120
ko:K01870	btf:YBT020_19130
ko:K04074	btf:YBT020_19135
ko:K02221	btf:YBT020_19145
ko:K09772	btf:YBT020_19150
ko:K06997	btf:YBT020_19155
ko:K05810	btf:YBT020_19160
ko:K03091	btf:YBT020_19170
ko:K03091	btf:YBT020_19175
ko:K06383	btf:YBT020_19180
ko:K03531	btf:YBT020_19185
ko:K03590	btf:YBT020_19190
ko:K03589	btf:YBT020_19200
ko:K00075	btf:YBT020_19205
ko:K04043	btf:YBT020_21250
ko:K03687	btf:YBT020_21255
ko:K03705	btf:YBT020_21260
ko:K03596	btf:YBT020_21275
ko:K06012	btf:YBT020_21285
ko:K02968	btf:YBT020_21290
ko:K02340	btf:YBT020_21295
ko:K02237	btf:YBT020_21315
ko:K02239	btf:YBT020_21320
ko:K09710	btf:YBT020_21330
ko:K00969	btf:YBT020_21340
ko:K07574	btf:YBT020_21345
ko:K00014	btf:YBT020_21350
ko:K07015	btf:YBT020_21360
ko:K06371	btf:YBT020_21365
ko:K01613	btf:YBT020_21370
ko:K03091	btf:YBT020_21375
ko:K03752	btf:YBT020_23460
ko:K03638	btf:YBT020_23465
ko:K00789	btf:YBT020_23490
ko:K01610	btf:YBT020_23495
ko:K01620	btf:YBT020_25565
ko:K01738	btf:YBT020_25575
ko:K01755	btf:YBT020_25585
ko:K06133	btf:YBT020_25620
ko:K02003	btf:YBT020_25625
ko:K01778	btf:YBT020_24495
ko:K03885	btf:YBT020_24505
ko:K02068	btf:YBT020_24515
ko:K02069	btf:YBT020_24520
ko:K06193	btf:YBT020_24525
ko:K06131	btf:YBT020_26670
ko:K07693	btf:YBT020_26700
ko:K07778	btf:YBT020_26705
ko:K01265	btf:YBT020_26720
ko:K03088	btf:YBT020_26745
ko:K01887	btf:YBT020_26750
ko:K00797	btf:YBT020_26780
ko:K01126	btf:YBT020_26795
ko:K01779	btf:YBT020_13240
ko:K13767	btf:YBT020_22240
ko:K05606	btf:YBT020_25650
ko:K00384	btf:YBT020_25665
ko:K06019	btf:YBT020_25680
ko:K01000	btf:YBT020_19225
ko:K01928	btf:YBT020_19230
ko:K08384	btf:YBT020_19235
ko:K03438	btf:YBT020_19250
ko:K00077	btf:YBT020_19260
ko:K02911	btf:YBT020_19275
ko:K07040	btf:YBT020_19280
ko:K07001	btf:YBT020_19295
ko:K01775	btf:YBT020_10780
ko:K00375	btf:YBT020_10810
ko:K01938	btf:YBT020_10895
ko:K00432	btf:YBT020_10965
ko:K03924	btf:YBT020_10980
ko:K00370	btf:YBT020_10990
ko:K00371	btf:YBT020_10995
ko:K00373	btf:YBT020_11000
ko:K00954	btf:YBT020_19305
ko:K02913	btf:YBT020_21395
ko:K03639	btf:YBT020_11015
ko:K03100	btf:YBT020_15290
ko:K01304	btf:YBT020_15315
ko:K07160	btf:YBT020_15330
ko:K06350	btf:YBT020_15335
ko:K03100	btf:YBT020_15355
ko:K06385	btf:YBT020_15365
ko:K07217	btf:YBT020_15480
ko:K01744	btf:YBT020_15485
ko:K02563	btf:YBT020_19210
ko:K03588	btf:YBT020_19215
ko:K01925	btf:YBT020_19220
ko:K07697	btf:YBT020_13265
ko:K14392	btf:YBT020_17395
ko:K09775	btf:YBT020_17425
ko:K05786	btf:YBT020_17430
ko:K03636	btf:YBT020_17455
ko:K03750	btf:YBT020_17465
ko:K03639	btf:YBT020_17480
ko:K02379	btf:YBT020_17485
ko:K00123	btf:YBT020_17500
ko:K15580	btf:YBT020_17555
ko:K15580	btf:YBT020_17560
ko:K11103	btf:YBT020_17570
ko:K03088	btf:YBT020_17585
ko:K02621	btf:YBT020_17620
ko:K02622	btf:YBT020_17625
ko:K00611	btf:YBT020_20335
ko:K00930	btf:YBT020_20345
ko:K00620	btf:YBT020_20350
ko:K00145	btf:YBT020_20355
ko:K07124	btf:YBT020_20365
ko:K00286	btf:YBT020_20375
ko:K01752	btf:YBT020_20380
ko:K01752	btf:YBT020_20385
ko:K01531	btf:YBT020_20405
ko:K07507	btf:YBT020_20410
ko:K02346	btf:YBT020_20415
ko:K03790	btf:YBT020_20430
ko:K02887	btf:YBT020_22490
ko:K02916	btf:YBT020_22495
ko:K02520	btf:YBT020_22500
ko:K01868	btf:YBT020_22505
ko:K07738	btf:YBT020_22525
ko:K01611	btf:YBT020_22530
ko:K00134	btf:YBT020_22535
ko:K00859	btf:YBT020_22540
ko:K07636	btf:YBT020_22560
ko:K00024	btf:YBT020_22580
ko:K00031	btf:YBT020_22585
ko:K01647	btf:YBT020_22590
ko:K07113	btf:YBT020_22605
ko:K00873	btf:YBT020_22610
ko:K00850	btf:YBT020_22615
ko:K01962	btf:YBT020_22620
ko:K03644	btf:YBT020_24680
ko:K09014	btf:YBT020_24710
ko:K11717	btf:YBT020_24720
ko:K09015	btf:YBT020_24725
ko:K09013	btf:YBT020_24730
ko:K01821	btf:YBT020_26815
ko:K06885	btf:YBT020_26820
ko:K02016	btf:YBT020_26825
ko:K02013	btf:YBT020_26830
ko:K02015	btf:YBT020_26835
ko:K02015	btf:YBT020_26840
ko:K06314	btf:YBT020_26850
ko:K01449	btf:YBT020_26880
ko:K06305	btf:YBT020_26885
ko:K03648	btf:YBT020_26920
ko:K03666	btf:YBT020_29416
ko:K07691	btf:YBT020_06330
ko:K00500	btf:YBT020_21460
ko:K02013	btf:YBT020_21510
ko:K02015	btf:YBT020_21515
ko:K02016	btf:YBT020_21520
ko:K07173	btf:YBT020_23635
ko:K08998	btf:YBT020_23640
ko:K01673	btf:YBT020_23645
ko:K00425	btf:YBT020_23650
ko:K00426	btf:YBT020_23655
ko:K03969	btf:YBT020_23700
ko:K04759	btf:YBT020_23720
ko:K04758	btf:YBT020_23725
ko:K13292	btf:YBT020_25685
ko:K14647	btf:YBT020_21455
ko:K08972	btf:YBT020_25695
ko:K03701	btf:YBT020_25705
ko:K03702	btf:YBT020_25710
ko:K03797	btf:YBT020_25795
ko:K09811	btf:YBT020_25800
ko:K09812	btf:YBT020_25805
ko:K03070	btf:YBT020_25825
ko:K03750	btf:YBT020_11025
ko:K03636	btf:YBT020_11035
ko:K02575	btf:YBT020_11040
ko:K07088	btf:YBT020_11050
ko:K02304	btf:YBT020_11055
ko:K13542	btf:YBT020_11065
ko:K00363	btf:YBT020_11070
ko:K00362	btf:YBT020_11075
ko:K07322	btf:YBT020_11080
ko:K00675	btf:YBT020_11105
ko:K06416	btf:YBT020_11115
ko:K06950	btf:YBT020_11165
ko:K15738	btf:YBT020_11170
ko:K01887	btf:YBT020_11220
ko:K01870	btf:YBT020_11245
ko:K01929	btf:YBT020_11260
ko:K03466	btf:YBT020_11285
ko:K00286	btf:YBT020_15570
ko:K06312	btf:YBT020_15575
ko:K06311	btf:YBT020_15580
ko:K06310	btf:YBT020_15585
ko:K07717	btf:YBT020_15600
ko:K01425	btf:YBT020_15605
ko:K01669	btf:YBT020_15695
ko:K09822	btf:YBT020_15725
ko:K05577	btf:YBT020_15730
ko:K03924	btf:YBT020_15750
ko:K02548	btf:YBT020_15755
ko:K02276	btf:YBT020_19370
ko:K02275	btf:YBT020_19380
ko:K02259	btf:YBT020_19390
ko:K03588	btf:YBT020_19400
