ko:K01491	ctrr:L225667R_00081
ko:K02902	ctrr:L225667R_00087
ko:K00705	ctrr:L225667R_00088
ko:K04058	ctrr:L225667R_00090
ko:K03230	ctrr:L225667R_00091
ko:K03229	ctrr:L225667R_00092
ko:K06942	ctrr:L225667R_00093
ko:K11753	ctrr:L225667R_00094
ko:K02834	ctrr:L225667R_00096
ko:K02519	ctrr:L225667R_00097
ko:K02600	ctrr:L225667R_00098
ko:K02945	ctrr:L225667R_00099
ko:K00384	ctrr:L225667R_00100
ko:K00997	ctrr:L225667R_00101
ko:K00208	ctrr:L225667R_00105
ko:K03575	ctrr:L225667R_00108
ko:K04077	ctrr:L225667R_00111
ko:K04078	ctrr:L225667R_00112
ko:K08602	ctrr:L225667R_00114
ko:K03695	ctrr:L225667R_00115
ko:K01783	ctrr:L225667R_00123
ko:K03310	ctrr:L225667R_00425
ko:K00748	ctrr:L225667R_00427
ko:K09817	ctrr:L225667R_00433
ko:K09816	ctrr:L225667R_00434
ko:K03979	ctrr:L225667R_00435
ko:K02899	ctrr:L225667R_00436
ko:K02888	ctrr:L225667R_00437
ko:K03321	ctrr:L225667R_00914
ko:K03527	ctrr:L225667R_00917
ko:K02933	ctrr:L225667R_00543
ko:K02994	ctrr:L225667R_00544
ko:K02931	ctrr:L225667R_00545
ko:K02895	ctrr:L225667R_00546
ko:K02874	ctrr:L225667R_00547
ko:K02961	ctrr:L225667R_00548
ko:K02904	ctrr:L225667R_00549
ko:K02878	ctrr:L225667R_00550
ko:K02982	ctrr:L225667R_00551
ko:K02890	ctrr:L225667R_00552
ko:K02965	ctrr:L225667R_00553
ko:K02886	ctrr:L225667R_00554
ko:K02892	ctrr:L225667R_00555
ko:K02926	ctrr:L225667R_00556
ko:K02906	ctrr:L225667R_00557
ko:K00604	ctrr:L225667R_00559
ko:K00677	ctrr:L225667R_00560
ko:K02372	ctrr:L225667R_00561
ko:K02535	ctrr:L225667R_00562
ko:K03820	ctrr:L225667R_00563
ko:K06925	ctrr:L225667R_00566
ko:K03671	ctrr:L225667R_00569
ko:K03216	ctrr:L225667R_00570
