ko:K02112	ftx:AW25_342
ko:K02114	ftx:AW25_343
ko:K07390	ftx:AW25_346
ko:K04564	ftx:AW25_347
ko:K08218	ftx:AW25_348
ko:K01647	ftx:AW25_349
ko:K00241	ftx:AW25_350
ko:K00242	ftx:AW25_351
ko:K00239	ftx:AW25_352
ko:K00240	ftx:AW25_353
ko:K00164	ftx:AW25_354
ko:K00658	ftx:AW25_355
ko:K00759	ftx:AW25_356
ko:K03431	ftx:AW25_357
ko:K01803	ftx:AW25_358
ko:K03075	ftx:AW25_359
ko:K07223	ftx:AW25_365
ko:K01681	ftx:AW25_366
ko:K02669	ftx:AW25_367
ko:K06955	ftx:AW25_368
ko:K00426	ftx:AW25_370
ko:K00425	ftx:AW25_371
ko:K07071	ftx:AW25_373
ko:K07645	ftx:AW25_372
ko:K18138	ftx:AW25_387
ko:K03585	ftx:AW25_388
ko:K00604	ftx:AW25_1216
ko:K03325	ftx:AW25_1219
ko:K03297	ftx:AW25_1221
ko:K12297	ftx:AW25_1222
ko:K03554	ftx:AW25_1230
ko:K07146	ftx:AW25_1231
ko:K00243	ftx:AW25_1233
ko:K03656	ftx:AW25_1234
ko:K06980	ftx:AW25_1235
ko:K00616	ftx:AW25_1240
ko:K01255	ftx:AW25_1241
ko:K01872	ftx:AW25_1243
ko:K03657	ftx:AW25_1244
ko:K09710	ftx:AW25_1247
ko:K18979	ftx:AW25_1248
ko:K12267	ftx:AW25_1251
ko:K02168	ftx:AW25_1253
ko:K03437	ftx:AW25_1255
ko:K01442	ftx:AW25_1256
ko:K07107	ftx:AW25_1258
ko:K07464	ftx:AW25_1261
ko:K09951	ftx:AW25_1262
ko:K15342	ftx:AW25_1263
ko:K00954	ftx:AW25_1267
ko:K03621	ftx:AW25_667
ko:K02911	ftx:AW25_668
ko:K07040	ftx:AW25_669
ko:K00615	ftx:AW25_670
ko:K00134	ftx:AW25_671
ko:K00927	ftx:AW25_672
ko:K00873	ftx:AW25_673
ko:K01624	ftx:AW25_674
ko:K01194	ftx:AW25_675
ko:K09001	ftx:AW25_678
ko:K11901	ftx:AW25_680
ko:K11900	ftx:AW25_681
ko:K01697	ftx:AW25_704
ko:K01442	ftx:AW25_705
ko:K03650	ftx:AW25_708
ko:K05808	ftx:AW25_710
ko:K02806	ftx:AW25_711
ko:K02533	ftx:AW25_712
ko:K03470	ftx:AW25_713
ko:K03600	ftx:AW25_714
ko:K03599	ftx:AW25_716
ko:K02996	ftx:AW25_717
ko:K02871	ftx:AW25_718
ko:K08304	ftx:AW25_720
ko:K03687	ftx:AW25_721
ko:K04043	ftx:AW25_722
ko:K03686	ftx:AW25_723
ko:K06911	ftx:AW25_725
ko:K08309	ftx:AW25_1533
ko:K18284	ftx:AW25_1535
ko:K02621	ftx:AW25_1537
ko:K01265	ftx:AW25_1539
ko:K03704	ftx:AW25_1541
ko:K02970	ftx:AW25_1543
ko:K00820	ftx:AW25_1544
ko:K04042	ftx:AW25_1545
ko:K01613	ftx:AW25_1549
ko:K01874	ftx:AW25_1565
ko:K06190	ftx:AW25_1569
ko:K00845	ftx:AW25_1571
ko:K03183	ftx:AW25_1572
ko:K03690	ftx:AW25_1573
ko:K03688	ftx:AW25_1574
ko:K02503	ftx:AW25_1575
ko:K13924	ftx:AW25_1579
ko:K02049	ftx:AW25_59
ko:K02050	ftx:AW25_60
ko:K06199	ftx:AW25_64
ko:K01749	ftx:AW25_65
ko:K06999	ftx:AW25_66
ko:K01147	ftx:AW25_67
ko:K01876	ftx:AW25_71
ko:K00135	ftx:AW25_73
ko:K13788	ftx:AW25_74
ko:K00925	ftx:AW25_75
ko:K03111	ftx:AW25_76
ko:K03565	ftx:AW25_77
ko:K03071	ftx:AW25_79
ko:K01011	ftx:AW25_80
ko:K04773	ftx:AW25_82
ko:K03316	ftx:AW25_85
ko:K11752	ftx:AW25_86
ko:K00793	ftx:AW25_87
ko:K14652	ftx:AW25_88
ko:K00794	ftx:AW25_89
ko:K01462	ftx:AW25_90
ko:K00566	ftx:AW25_92
ko:K03596	ftx:AW25_93
ko:K02968	ftx:AW25_94
ko:K06186	ftx:AW25_95
ko:K06997	ftx:AW25_100
ko:K03501	ftx:AW25_102
ko:K03834	ftx:AW25_104
ko:K12262	ftx:AW25_108
ko:K03306	ftx:AW25_109
ko:K07220	ftx:AW25_110
ko:K01114	ftx:AW25_111
ko:K03545	ftx:AW25_950
ko:K01358	ftx:AW25_951
ko:K03544	ftx:AW25_952
ko:K01338	ftx:AW25_953
ko:K03530	ftx:AW25_954
ko:K03770	ftx:AW25_955
ko:K00791	ftx:AW25_956
ko:K03666	ftx:AW25_957
ko:K03665	ftx:AW25_958
ko:K04088	ftx:AW25_960
ko:K04087	ftx:AW25_961
ko:K01104	ftx:AW25_962
ko:K03978	ftx:AW25_963
ko:K01733	ftx:AW25_964
ko:K01687	ftx:AW25_965
ko:K01652	ftx:AW25_966
ko:K01653	ftx:AW25_967
ko:K00053	ftx:AW25_968
ko:K03723	ftx:AW25_969
ko:K10773	ftx:AW25_973
ko:K03616	ftx:AW25_974
ko:K03675	ftx:AW25_975
ko:K03305	ftx:AW25_976
ko:K02217	ftx:AW25_977
ko:K03644	ftx:AW25_978
ko:K01159	ftx:AW25_981
ko:K03550	ftx:AW25_983
ko:K09760	ftx:AW25_984
ko:K01590	ftx:AW25_988
ko:K03811	ftx:AW25_995
ko:K03455	ftx:AW25_997
ko:K06987	ftx:AW25_1000
ko:K00948	ftx:AW25_1001
ko:K02892	ftx:AW25_1801
ko:K02926	ftx:AW25_1802
ko:K02906	ftx:AW25_1803
ko:K02946	ftx:AW25_1804
ko:K02355	ftx:AW25_1805
ko:K02992	ftx:AW25_1806
ko:K02950	ftx:AW25_1807
ko:K00995	ftx:AW25_1808
ko:K00981	ftx:AW25_1810
ko:K00806	ftx:AW25_1811
ko:K02838	ftx:AW25_1812
ko:K09903	ftx:AW25_1813
ko:K02357	ftx:AW25_1814
ko:K02967	ftx:AW25_1815
ko:K01885	ftx:AW25_1823
ko:K01679	ftx:AW25_1824
ko:K10679	ftx:AW25_1826
ko:K00101	ftx:AW25_1829
ko:K01873	ftx:AW25_1831
ko:K02339	ftx:AW25_1833
ko:K01304	ftx:AW25_1835
ko:K07114	ftx:AW25_1837
ko:K07114	ftx:AW25_1838
ko:K07114	ftx:AW25_1839
ko:K03924	ftx:AW25_1842
ko:K00868	ftx:AW25_1844
ko:K02536	ftx:AW25_1846
ko:K02300	ftx:AW25_1848
ko:K03611	ftx:AW25_389
ko:K00974	ftx:AW25_390
ko:K11085	ftx:AW25_391
ko:K00912	ftx:AW25_392
ko:K03525	ftx:AW25_394
ko:K01839	ftx:AW25_395
ko:K01619	ftx:AW25_396
ko:K03317	ftx:AW25_397
ko:K11535	ftx:AW25_398
ko:K00943	ftx:AW25_399
ko:K02837	ftx:AW25_400
ko:K03110	ftx:AW25_402
ko:K03657	ftx:AW25_403
ko:K15580	ftx:AW25_404
ko:K15581	ftx:AW25_405
ko:K15582	ftx:AW25_406
ko:K15583	ftx:AW25_407
ko:K10823	ftx:AW25_408
ko:K00864	ftx:AW25_412
ko:K00111	ftx:AW25_413
ko:K02440	ftx:AW25_414
ko:K03442	ftx:AW25_416
ko:K02358	ftx:AW25_422
ko:K03073	ftx:AW25_424
ko:K02601	ftx:AW25_425
ko:K02867	ftx:AW25_426
ko:K02863	ftx:AW25_427
ko:K02864	ftx:AW25_428
ko:K02935	ftx:AW25_429
ko:K03043	ftx:AW25_430
ko:K03046	ftx:AW25_431
ko:K01409	ftx:AW25_433
ko:K00789	ftx:AW25_435
ko:K02959	ftx:AW25_436
ko:K02860	ftx:AW25_437
ko:K00554	ftx:AW25_438
ko:K02884	ftx:AW25_439
ko:K04763	ftx:AW25_440
ko:K08311	ftx:AW25_445
ko:K13628	ftx:AW25_1269
ko:K11717	ftx:AW25_1270
ko:K01752	ftx:AW25_1271
ko:K04518	ftx:AW25_1273
ko:K01775	ftx:AW25_1275
ko:K09799	ftx:AW25_1279
ko:K01079	ftx:AW25_1278
ko:K03305	ftx:AW25_1280
ko:K11076	ftx:AW25_1282
ko:K11075	ftx:AW25_1283
ko:K11074	ftx:AW25_1284
ko:K01879	ftx:AW25_1285
ko:K03424	ftx:AW25_1286
ko:K03629	ftx:AW25_1287
ko:K01895	ftx:AW25_1291
ko:K00963	ftx:AW25_1292
ko:K02970	ftx:AW25_1296
ko:K03704	ftx:AW25_1298
ko:K04744	ftx:AW25_1309
ko:K04762	ftx:AW25_1310
ko:K07043	ftx:AW25_1311
ko:K01154	ftx:AW25_1316
ko:K03427	ftx:AW25_1319
ko:K01916	ftx:AW25_728
ko:K03543	ftx:AW25_730
ko:K03446	ftx:AW25_731
ko:K01897	ftx:AW25_732
ko:K03305	ftx:AW25_734
ko:K09761	ftx:AW25_735
ko:K02067	ftx:AW25_738
ko:K02065	ftx:AW25_739
ko:K02066	ftx:AW25_740
ko:K06180	ftx:AW25_742
ko:K05807	ftx:AW25_743
ko:K00600	ftx:AW25_747
ko:K09889	ftx:AW25_748
ko:K01442	ftx:AW25_753
ko:K03305	ftx:AW25_755
ko:K04075	ftx:AW25_756
ko:K00058	ftx:AW25_757
ko:K13292	ftx:AW25_759
ko:K08300	ftx:AW25_760
ko:K04487	ftx:AW25_761
ko:K03584	ftx:AW25_763
ko:K03975	ftx:AW25_764
ko:K03975	ftx:AW25_765
ko:K05527	ftx:AW25_766
ko:K01934	ftx:AW25_767
ko:K09895	ftx:AW25_768
ko:K03185	ftx:AW25_769
ko:K18800	ftx:AW25_770
ko:K07568	ftx:AW25_772
ko:K09125	ftx:AW25_774
ko:K01759	ftx:AW25_775
ko:K06966	ftx:AW25_778
ko:K00208	ftx:AW25_779
ko:K00075	ftx:AW25_1586
ko:K00790	ftx:AW25_1587
ko:K03977	ftx:AW25_1588
ko:K00027	ftx:AW25_1591
ko:K11753	ftx:AW25_1592
ko:K01870	ftx:AW25_1593
ko:K03101	ftx:AW25_1595
ko:K02427	ftx:AW25_1596
ko:K07023	ftx:AW25_1597
ko:K03497	ftx:AW25_1600
ko:K03496	ftx:AW25_1601
ko:K03168	ftx:AW25_1602
ko:K01414	ftx:AW25_1609
ko:K07460	ftx:AW25_1611
ko:K01589	ftx:AW25_1610
ko:K01588	ftx:AW25_1612
ko:K11175	ftx:AW25_1613
ko:K01933	ftx:AW25_1615
ko:K07461	ftx:AW25_1616
ko:K01491	ftx:AW25_1617
ko:K03631	ftx:AW25_1622
ko:K00812	ftx:AW25_1624
ko:K00121	ftx:AW25_1625
ko:K04565	ftx:AW25_1629
ko:K07305	ftx:AW25_1630
ko:K01736	ftx:AW25_1632
ko:K04485	ftx:AW25_1635
ko:K00057	ftx:AW25_1636
ko:K07160	ftx:AW25_113
ko:K03762	ftx:AW25_115
ko:K07015	ftx:AW25_119
ko:K07056	ftx:AW25_121
ko:K01924	ftx:AW25_122
ko:K00014	ftx:AW25_123
ko:K02914	ftx:AW25_125
ko:K03536	ftx:AW25_126
ko:K03217	ftx:AW25_127
ko:K02517	ftx:AW25_128
ko:K02517	ftx:AW25_129
ko:K02655	ftx:AW25_130
ko:K02356	ftx:AW25_131
ko:K13288	ftx:AW25_132
ko:K04759	ftx:AW25_134
ko:K01006	ftx:AW25_136
ko:K00826	ftx:AW25_137
ko:K01649	ftx:AW25_138
ko:K01703	ftx:AW25_139
ko:K01704	ftx:AW25_140
ko:K00052	ftx:AW25_141
ko:K01193	ftx:AW25_142
ko:K07560	ftx:AW25_144
ko:K11900	ftx:AW25_157
ko:K11901	ftx:AW25_158
ko:K00254	ftx:AW25_165
ko:K01591	ftx:AW25_166
ko:K02897	ftx:AW25_1002
ko:K06942	ftx:AW25_1005
ko:K01056	ftx:AW25_1006
ko:K17836	ftx:AW25_1007
ko:K02654	ftx:AW25_1009
ko:K00322	ftx:AW25_1010
ko:K10716	ftx:AW25_1011
ko:K03305	ftx:AW25_1012
ko:K03667	ftx:AW25_1014
ko:K01419	ftx:AW25_1015
ko:K03800	ftx:AW25_1017
ko:K01866	ftx:AW25_1018
ko:K00101	ftx:AW25_1020
ko:K18930	ftx:AW25_1021
ko:K08325	ftx:AW25_1022
ko:K02687	ftx:AW25_1023
ko:K02346	ftx:AW25_1026
ko:K06158	ftx:AW25_1029
ko:K03674	ftx:AW25_1030
ko:K00024	ftx:AW25_1032
ko:K06134	ftx:AW25_1034
ko:K03386	ftx:AW25_1039
ko:K06193	ftx:AW25_1041
ko:K02342	ftx:AW25_1044
ko:K07260	ftx:AW25_1045
ko:K12941	ftx:AW25_1047
ko:K00128	ftx:AW25_1049
ko:K04761	ftx:AW25_1053
ko:K03806	ftx:AW25_447
ko:K02622	ftx:AW25_448
ko:K17713	ftx:AW25_450
ko:K02492	ftx:AW25_452
ko:K02835	ftx:AW25_453
ko:K02493	ftx:AW25_455
ko:K00783	ftx:AW25_454
ko:K09861	ftx:AW25_456
ko:K04078	ftx:AW25_460
ko:K04077	ftx:AW25_461
ko:K07007	ftx:AW25_467
ko:K00262	ftx:AW25_468
ko:K01586	ftx:AW25_470
ko:K00567	ftx:AW25_472
ko:K05516	ftx:AW25_479
ko:K03834	ftx:AW25_480
ko:K00951	ftx:AW25_482
ko:K15984	ftx:AW25_487
ko:K03733	ftx:AW25_488
ko:K03071	ftx:AW25_491
ko:K03555	ftx:AW25_492
ko:K01962	ftx:AW25_493
ko:K07106	ftx:AW25_497
ko:K03316	ftx:AW25_500
ko:K00432	ftx:AW25_1326
ko:K01488	ftx:AW25_1328
ko:K00278	ftx:AW25_1330
ko:K00767	ftx:AW25_1331
ko:K03517	ftx:AW25_1332
ko:K00942	ftx:AW25_1333
ko:K05592	ftx:AW25_1334
ko:K03769	ftx:AW25_1335
ko:K08137	ftx:AW25_1337
ko:K00965	ftx:AW25_1338
ko:K00849	ftx:AW25_1340
ko:K00979	ftx:AW25_1341
ko:K09791	ftx:AW25_1342
ko:K03703	ftx:AW25_1344
ko:K03684	ftx:AW25_1345
ko:K09966	ftx:AW25_1346
ko:K02899	ftx:AW25_1349
ko:K02888	ftx:AW25_1350
ko:K00865	ftx:AW25_1352
ko:K01246	ftx:AW25_1351
ko:K03070	ftx:AW25_1353
ko:K03784	ftx:AW25_1355
ko:K03798	ftx:AW25_1357
ko:K03701	ftx:AW25_1359
ko:K03624	ftx:AW25_1360
ko:K08084	ftx:AW25_1361
ko:K01810	ftx:AW25_1362
ko:K00949	ftx:AW25_1363
ko:K00088	ftx:AW25_1364
ko:K01255	ftx:AW25_1365
ko:K07091	ftx:AW25_1366
ko:K11720	ftx:AW25_1367
ko:K07263	ftx:AW25_1368
ko:K08316	ftx:AW25_1370
ko:K06169	ftx:AW25_1372
ko:K00757	ftx:AW25_1373
ko:K01489	ftx:AW25_1374
ko:K09930	ftx:AW25_782
ko:K09929	ftx:AW25_783
ko:K06041	ftx:AW25_785
ko:K01783	ftx:AW25_786
ko:K01784	ftx:AW25_788
ko:K12995	ftx:AW25_789
ko:K07266	ftx:AW25_792
ko:K07025	ftx:AW25_796
ko:K13282	ftx:AW25_798
ko:K01424	ftx:AW25_799
ko:K03762	ftx:AW25_805
