ko:K09792	hpyl:HPOK310_0488
ko:K03273	hpyl:HPOK310_0489
ko:K03274	hpyl:HPOK310_0490
ko:K03272	hpyl:HPOK310_0491
ko:K03271	hpyl:HPOK310_0492
ko:K00364	hpyl:HPOK310_0493
ko:K09805	hpyl:HPOK310_0495
ko:K03427	hpyl:HPOK310_0497
ko:K01154	hpyl:HPOK310_0498
ko:K01153	hpyl:HPOK310_0499
ko:K00878	hpyl:HPOK310_0500
ko:K00941	hpyl:HPOK310_0501
ko:K00788	hpyl:HPOK310_0502
ko:K13038	hpyl:HPOK310_0504
ko:K15894	hpyl:HPOK310_0505
ko:K09860	hpyl:HPOK310_0508
ko:K03530	hpyl:HPOK310_0509
ko:K03977	hpyl:HPOK310_0510
ko:K00797	hpyl:HPOK310_0512
ko:K00859	hpyl:HPOK310_0513
ko:K02108	hpyl:HPOK310_0516
ko:K07270	hpyl:HPOK310_0518
ko:K00384	hpyl:HPOK310_0519
ko:K03671	hpyl:HPOK310_0520
ko:K07460	hpyl:HPOK310_0521
ko:K00003	hpyl:HPOK310_0522
ko:K03703	hpyl:HPOK310_0523
ko:K05847	hpyl:HPOK310_0526
ko:K02557	hpyl:HPOK310_0529
ko:K02556	hpyl:HPOK310_0530
ko:K06178	hpyl:HPOK310_1307
ko:K02337	hpyl:HPOK310_1308
ko:K00428	hpyl:HPOK310_1309
ko:K02065	hpyl:HPOK310_1313
ko:K02066	hpyl:HPOK310_1314
ko:K00826	hpyl:HPOK310_1316
ko:K00943	hpyl:HPOK310_1323
ko:K00954	hpyl:HPOK310_1324
ko:K03186	hpyl:HPOK310_1325
ko:K02386	hpyl:HPOK310_1326
ko:K03657	hpyl:HPOK310_1327
ko:K01875	hpyl:HPOK310_1329
ko:K03602	hpyl:HPOK310_1331
ko:K03183	hpyl:HPOK310_1332
ko:K08973	hpyl:HPOK310_1333
ko:K01993	hpyl:HPOK310_1337
ko:K03306	hpyl:HPOK310_1340
ko:K01928	hpyl:HPOK310_1343
ko:K02897	hpyl:HPOK310_1345
ko:K01056	hpyl:HPOK310_1346
ko:K11720	hpyl:HPOK310_1347
ko:K09943	hpyl:HPOK310_1352
ko:K11752	hpyl:HPOK310_1355
ko:K03312	hpyl:HPOK310_1356
ko:K02415	hpyl:HPOK310_0536
ko:K00997	hpyl:HPOK310_0537
ko:K12090	hpyl:HPOK310_0805
ko:K12088	hpyl:HPOK310_0807
ko:K12086	hpyl:HPOK310_0808
ko:K03667	hpyl:HPOK310_0812
ko:K01419	hpyl:HPOK310_0813
ko:K02939	hpyl:HPOK310_0814
ko:K01915	hpyl:HPOK310_0816
ko:K00215	hpyl:HPOK310_0818
ko:K02470	hpyl:HPOK310_0824
ko:K02338	hpyl:HPOK310_0825
ko:K01058	hpyl:HPOK310_0826
ko:K01058	hpyl:HPOK310_0827
ko:K03308	hpyl:HPOK310_0828
ko:K03308	hpyl:HPOK310_0829
ko:K07107	hpyl:HPOK310_0830
ko:K01925	hpyl:HPOK310_0832
ko:K01000	hpyl:HPOK310_0833
ko:K15846	hpyl:HPOK310_0834
ko:K02902	hpyl:HPOK310_0835
ko:K10716	hpyl:HPOK310_0836
ko:K03550	hpyl:HPOK310_0840
ko:K03980	hpyl:HPOK310_0842
ko:K01883	hpyl:HPOK310_0843
ko:K02013	hpyl:HPOK310_0845
ko:K02015	hpyl:HPOK310_0846
ko:K15847	hpyl:HPOK310_0851
ko:K04654	hpyl:HPOK310_0852
ko:K04653	hpyl:HPOK310_0853
ko:K03625	hpyl:HPOK310_0001
ko:K00794	hpyl:HPOK310_0002
ko:K01627	hpyl:HPOK310_0003
ko:K01673	hpyl:HPOK310_0004
ko:K01591	hpyl:HPOK310_0005
ko:K01918	hpyl:HPOK310_0006
ko:K15845	hpyl:HPOK310_0007
ko:K04077	hpyl:HPOK310_0008
ko:K04078	hpyl:HPOK310_0009
ko:K16091	hpyl:HPOK310_0538
ko:K07043	hpyl:HPOK310_0539
ko:K07270	hpyl:HPOK310_0540
ko:K14652	hpyl:HPOK310_0541
ko:K03636	hpyl:HPOK310_0544
ko:K03831	hpyl:HPOK310_0546
ko:K03637	hpyl:HPOK310_0547
ko:K15846	hpyl:HPOK310_0548
ko:K03545	hpyl:HPOK310_0550
ko:K01358	hpyl:HPOK310_0551
ko:K01462	hpyl:HPOK310_0552
ko:K07391	hpyl:HPOK310_0553
ko:K01534	hpyl:HPOK310_0554
ko:K01154	hpyl:HPOK310_0555
ko:K03070	hpyl:HPOK310_0558
ko:K03634	hpyl:HPOK310_0559
ko:K01682	hpyl:HPOK310_0564
ko:K09903	hpyl:HPOK310_0566
ko:K03060	hpyl:HPOK310_0567
ko:K01866	hpyl:HPOK310_0569
ko:K00459	hpyl:HPOK310_0570
ko:K01448	hpyl:HPOK310_0571
ko:K02401	hpyl:HPOK310_0573
ko:K03752	hpyl:HPOK310_0574
ko:K03639	hpyl:HPOK310_0576
ko:K06940	hpyl:HPOK310_0581
ko:K03110	hpyl:HPOK310_0582
ko:K07084	hpyl:HPOK310_0587
ko:K08591	hpyl:HPOK310_1359
ko:K01633	hpyl:HPOK310_1360
ko:K01042	hpyl:HPOK310_1363
ko:K02600	hpyl:HPOK310_1364
ko:K03168	hpyl:HPOK310_1390
ko:K12050	hpyl:HPOK310_1393
ko:K03655	hpyl:HPOK310_1406
ko:K01142	hpyl:HPOK310_1409
ko:K12251	hpyl:HPOK310_0588
ko:K02422	hpyl:HPOK310_0592
ko:K02407	hpyl:HPOK310_0593
