ko:K02238	sauc:CA347_1583
ko:K06948	sauc:CA347_1592
ko:K01243	sauc:CA347_1594
ko:K07668	sauc:CA347_20
ko:K07652	sauc:CA347_21
ko:K04763	sauc:CA347_53
ko:K06889	sauc:CA347_106
ko:K01771	sauc:CA347_110
ko:K10254	sauc:CA347_117
ko:K01784	sauc:CA347_140
ko:K03784	sauc:CA347_148
ko:K01619	sauc:CA347_150
ko:K01104	sauc:CA347_162
ko:K01784	sauc:CA347_174
ko:K02049	sauc:CA347_184
ko:K02051	sauc:CA347_185
ko:K02050	sauc:CA347_186
ko:K00819	sauc:CA347_195
ko:K09963	sauc:CA347_201
ko:K02033	sauc:CA347_208
ko:K02035	sauc:CA347_210
ko:K10112	sauc:CA347_215
ko:K15770	sauc:CA347_216
ko:K07784	sauc:CA347_223
ko:K07720	sauc:CA347_224
ko:K01261	sauc:CA347_1735
ko:K01439	sauc:CA347_1742
ko:K06183	sauc:CA347_1744
ko:K07052	sauc:CA347_1770
ko:K07052	sauc:CA347_1771
ko:K00616	sauc:CA347_1772
ko:K02549	sauc:CA347_1782
ko:K06889	sauc:CA347_242
ko:K02035	sauc:CA347_243
ko:K00016	sauc:CA347_247
ko:K02775	sauc:CA347_254
ko:K00852	sauc:CA347_275
ko:K06216	sauc:CA347_277
ko:K02004	sauc:CA347_321
ko:K16329	sauc:CA347_325
ko:K03307	sauc:CA347_328
ko:K01639	sauc:CA347_329
ko:K01788	sauc:CA347_332
ko:K03475	sauc:CA347_342
ko:K02822	sauc:CA347_343
ko:K02821	sauc:CA347_344
ko:K07729	sauc:CA347_362
ko:K00626	sauc:CA347_367
ko:K01760	sauc:CA347_372
ko:K01834	sauc:CA347_392
ko:K03386	sauc:CA347_397
ko:K00088	sauc:CA347_405
ko:K07533	sauc:CA347_1829
ko:K03698	sauc:CA347_1830
ko:K01679	sauc:CA347_1839
ko:K02028	sauc:CA347_1845
ko:K02029	sauc:CA347_1846
ko:K02030	sauc:CA347_1846
ko:K07035	sauc:CA347_1847
ko:K09825	sauc:CA347_1881
ko:K11085	sauc:CA347_1886
ko:K07586	sauc:CA347_1887
ko:K09693	sauc:CA347_1891
ko:K17216	sauc:CA347_453
ko:K01226	sauc:CA347_469
ko:K03486	sauc:CA347_470
ko:K09685	sauc:CA347_496
ko:K02499	sauc:CA347_506
ko:K03708	sauc:CA347_537
ko:K09698	sauc:CA347_543
ko:K00639	sauc:CA347_566
ko:K00853	sauc:CA347_568
ko:K00712	sauc:CA347_580
ko:K00712	sauc:CA347_581
ko:K07284	sauc:CA347_2602
ko:K03177	sauc:CA347_1189
ko:K00059	sauc:CA347_1198
ko:K02443	sauc:CA347_1215
ko:K03713	sauc:CA347_1225
ko:K05020	sauc:CA347_1287
ko:K07304	sauc:CA347_1298
ko:K04517	sauc:CA347_1302
ko:K05362	sauc:CA347_935
ko:K07052	sauc:CA347_948
ko:K02552	sauc:CA347_959
ko:K08680	sauc:CA347_961
ko:K00841	sauc:CA347_966
ko:K11189	sauc:CA347_998
ko:K08483	sauc:CA347_999
ko:K03499	sauc:CA347_1003
ko:K11072	sauc:CA347_1014
ko:K11071	sauc:CA347_1015
ko:K11069	sauc:CA347_1017
ko:K01092	sauc:CA347_1022
ko:K01958	sauc:CA347_1029
ko:K03471	sauc:CA347_1055
ko:K00241	sauc:CA347_1063
ko:K02428	sauc:CA347_1067
ko:K16509	sauc:CA347_914
ko:K06198	sauc:CA347_916
ko:K07816	sauc:CA347_922
ko:K03455	sauc:CA347_926
ko:K01104	sauc:CA347_1968
ko:K07694	sauc:CA347_1971
ko:K07009	sauc:CA347_1978
ko:K02342	sauc:CA347_1981
ko:K02433	sauc:CA347_1988
ko:K07094	sauc:CA347_1994
ko:K01916	sauc:CA347_2001
ko:K04518	sauc:CA347_2004
ko:K15986	sauc:CA347_2008
ko:K01439	sauc:CA347_2099
ko:K11041	sauc:CA347_1085
ko:K07025	sauc:CA347_1090
ko:K07104	sauc:CA347_1110
ko:K02824	sauc:CA347_1114
ko:K07030	sauc:CA347_1142
ko:K00059	sauc:CA347_1147
ko:K09787	sauc:CA347_1152
ko:K09976	sauc:CA347_1282
ko:K00805	sauc:CA347_1406
ko:K01424	sauc:CA347_1415
ko:K05337	sauc:CA347_1420
ko:K07052	sauc:CA347_2103
ko:K07706	sauc:CA347_2110
ko:K01409	sauc:CA347_2121
ko:K03095	sauc:CA347_2143
ko:K03090	sauc:CA347_2145
ko:K07315	sauc:CA347_2148
ko:K09167	sauc:CA347_2153
ko:K08981	sauc:CA347_2154
ko:K02116	sauc:CA347_2189
ko:K01104	sauc:CA347_2194
ko:K01990	sauc:CA347_283
ko:K01990	sauc:CA347_2588
