ko:K02959	bcf:bcf_19085
ko:K03106	bcf:bcf_19090
ko:K03110	bcf:bcf_19100
ko:K03529	bcf:bcf_19105
ko:K03685	bcf:bcf_19110
ko:K02078	bcf:bcf_19115
ko:K00645	bcf:bcf_19130
ko:K03621	bcf:bcf_19135
ko:K03655	bcf:bcf_19145
ko:K02902	bcf:bcf_19160
ko:K01783	bcf:bcf_19170
ko:K06949	bcf:bcf_19175
ko:K06941	bcf:bcf_19190
ko:K03500	bcf:bcf_19195
ko:K00604	bcf:bcf_19200
ko:K01462	bcf:bcf_19205
ko:K04066	bcf:bcf_19210
ko:K13038	bcf:bcf_19215
ko:K03060	bcf:bcf_19220
ko:K00942	bcf:bcf_19225
ko:K09777	bcf:bcf_19230
ko:K00762	bcf:bcf_19285
ko:K01591	bcf:bcf_19290
ko:K01955	bcf:bcf_19305
ko:K01956	bcf:bcf_19310
ko:K07704	bcf:bcf_27325
ko:K01465	bcf:bcf_19315
ko:K00609	bcf:bcf_19320
ko:K02825	bcf:bcf_19330
ko:K06180	bcf:bcf_19335
ko:K03088	bcf:bcf_23150
ko:K00259	bcf:bcf_23185
ko:K01755	bcf:bcf_23215
ko:K01940	bcf:bcf_23220
ko:K00925	bcf:bcf_23265
ko:K11065	bcf:bcf_23275
ko:K00858	bcf:bcf_23290
ko:K01895	bcf:bcf_23305
ko:K03151	bcf:bcf_23315
ko:K04487	bcf:bcf_23320
ko:K01761	bcf:bcf_23350
ko:K02986	bcf:bcf_23355
ko:K01866	bcf:bcf_23395
ko:K01895	bcf:bcf_23405
ko:K04766	bcf:bcf_23410
ko:K04768	bcf:bcf_23420
ko:K05339	bcf:bcf_27310
ko:K05338	bcf:bcf_27315
ko:K03696	bcf:bcf_00530
ko:K04485	bcf:bcf_00535
ko:K00991	bcf:bcf_00550
ko:K01770	bcf:bcf_00555
ko:K00640	bcf:bcf_00565
ko:K01883	bcf:bcf_00570
ko:K11145	bcf:bcf_00575
ko:K03218	bcf:bcf_00580
ko:K06962	bcf:bcf_00585
ko:K03091	bcf:bcf_00590
ko:K02913	bcf:bcf_00595
ko:K03073	bcf:bcf_00600
ko:K02601	bcf:bcf_00605
ko:K02867	bcf:bcf_00610
ko:K02863	bcf:bcf_00615
ko:K02864	bcf:bcf_00620
ko:K02935	bcf:bcf_00625
ko:K03043	bcf:bcf_00635
ko:K03046	bcf:bcf_00640
ko:K07590	bcf:bcf_00650
ko:K02950	bcf:bcf_00655
ko:K02992	bcf:bcf_00660
ko:K02355	bcf:bcf_00665
ko:K02358	bcf:bcf_00670
ko:K02946	bcf:bcf_00675
ko:K02906	bcf:bcf_00680
ko:K02926	bcf:bcf_00685
ko:K02892	bcf:bcf_00690
ko:K02886	bcf:bcf_00695
ko:K02965	bcf:bcf_00700
ko:K02890	bcf:bcf_00705
ko:K02982	bcf:bcf_00710
ko:K02878	bcf:bcf_00715
ko:K02904	bcf:bcf_00720
ko:K02961	bcf:bcf_00725
ko:K02874	bcf:bcf_00730
ko:K02895	bcf:bcf_00735
ko:K02931	bcf:bcf_00740
ko:K02954	bcf:bcf_00745
ko:K02994	bcf:bcf_00750
ko:K02933	bcf:bcf_00755
ko:K02881	bcf:bcf_00760
ko:K02988	bcf:bcf_00765
ko:K02907	bcf:bcf_00770
ko:K02876	bcf:bcf_00775
ko:K03076	bcf:bcf_00780
ko:K01265	bcf:bcf_00790
ko:K02518	bcf:bcf_00795
ko:K02919	bcf:bcf_00800
ko:K02952	bcf:bcf_00805
ko:K02948	bcf:bcf_00810
ko:K03040	bcf:bcf_00815
ko:K03594	bcf:bcf_05000
ko:K03407	bcf:bcf_05015
ko:K15975	bcf:bcf_05135
ko:K02440	bcf:bcf_05180
ko:K00864	bcf:bcf_05185
ko:K00111	bcf:bcf_05190
ko:K03088	bcf:bcf_05210
ko:K07146	bcf:bcf_09230
ko:K00077	bcf:bcf_09240
ko:K11034	bcf:bcf_09265
ko:K11034	bcf:bcf_09270
ko:K05346	bcf:bcf_09315
ko:K11535	bcf:bcf_09325
ko:K01118	bcf:bcf_09400
ko:K03311	bcf:bcf_09405
ko:K05606	bcf:bcf_09410
ko:K14166	bcf:bcf_09415
ko:K00648	bcf:bcf_09510
ko:K01999	bcf:bcf_09515
ko:K00627	bcf:bcf_13575
ko:K02001	bcf:bcf_13640
ko:K02000	bcf:bcf_13645
ko:K02002	bcf:bcf_13650
ko:K01358	bcf:bcf_13655
ko:K03088	bcf:bcf_13660
ko:K01807	bcf:bcf_13670
ko:K03823	bcf:bcf_13745
ko:K03657	bcf:bcf_13765
ko:K03654	bcf:bcf_13785
ko:K15580	bcf:bcf_17765
ko:K15580	bcf:bcf_17770
