ko:K03925	rpl:H375_450
ko:K03438	rpl:H375_460
ko:K03587	rpl:H375_480
ko:K03703	rpl:H375_420
ko:K05515	rpl:H375_500
ko:K13599	rpl:H375_530
ko:K03185	rpl:H375_540
ko:K01698	rpl:H375_750
ko:K04564	rpl:H375_800
ko:K11754	rpl:H375_790
ko:K04485	rpl:H375_690
ko:K03186	rpl:H375_730
ko:K06178	rpl:H375_710
ko:K03584	rpl:H375_670
ko:K04066	rpl:H375_740
ko:K07001	rpl:H375_810
ko:K03524	rpl:H375_820
ko:K06442	rpl:H375_590
ko:K00343	rpl:H375_770
ko:K06894	rpl:H375_570
ko:K09748	rpl:H375_600
ko:K02519	rpl:H375_620
ko:K02600	rpl:H375_610
ko:K02520	rpl:H375_840
ko:K01866	rpl:H375_580
ko:K00627	rpl:H375_850
ko:K05788	rpl:H375_910
ko:K00945	rpl:H375_920
ko:K07462	rpl:H375_870
ko:K02835	rpl:H375_860
ko:K03628	rpl:H375_890
ko:K02945	rpl:H375_930
ko:K01358	rpl:H375_940
ko:K04773	rpl:H375_900
ko:K01491	rpl:H375_970
ko:K00384	rpl:H375_980
ko:K00791	rpl:H375_1030
ko:K02956	rpl:H375_1100
ko:K11719	rpl:H375_1070
ko:K06861	rpl:H375_1050
ko:K09774	rpl:H375_1060
ko:K06041	rpl:H375_1080
ko:K00962	rpl:H375_1090
ko:K13643	rpl:H375_1220
ko:K04487	rpl:H375_1250
ko:K01915	rpl:H375_1160
ko:K05810	rpl:H375_1170
ko:K04487	rpl:H375_1230
ko:K08218	rpl:H375_1350
ko:K03301	rpl:H375_1120
ko:K07058	rpl:H375_1150
ko:K02523	rpl:H375_1300
ko:K07018	rpl:H375_1390
ko:K03684	rpl:H375_1470
ko:K01867	rpl:H375_1420
ko:K06980	rpl:H375_1450
ko:K00382	rpl:H375_1490
ko:K01749	rpl:H375_1430
ko:K00655	rpl:H375_1410
ko:K00384	rpl:H375_1640
ko:K06187	rpl:H375_1710
ko:K03664	rpl:H375_1790
ko:K01714	rpl:H375_1800
ko:K07088	rpl:H375_1660
ko:K02919	rpl:H375_1540
ko:K01338	rpl:H375_1590
ko:K00057	rpl:H375_1670
ko:K02834	rpl:H375_1740
ko:K01754	rpl:H375_1600
ko:K01903	rpl:H375_1760
ko:K00858	rpl:H375_1690
ko:K01902	rpl:H375_1770
ko:K03657	rpl:H375_1620
ko:K01869	rpl:H375_1880
ko:K01937	rpl:H375_2310
ko:K07088	rpl:H375_2380
ko:K03101	rpl:H375_2010
ko:K01881	rpl:H375_2270
ko:K04566	rpl:H375_2390
ko:K03820	rpl:H375_2450
ko:K00826	rpl:H375_1810
ko:K02338	rpl:H375_1900
ko:K02563	rpl:H375_1970
ko:K08309	rpl:H375_2090
ko:K01495	rpl:H375_2280
ko:K00024	rpl:H375_2330
ko:K00208	rpl:H375_2460
ko:K07659	rpl:H375_1820
ko:K01890	rpl:H375_1910
ko:K02275	rpl:H375_2030
ko:K07243	rpl:H375_2170
ko:K03551	rpl:H375_2240
ko:K07638	rpl:H375_1830
ko:K01889	rpl:H375_1920
ko:K06190	rpl:H375_2180
ko:K03588	rpl:H375_1980
ko:K07010	rpl:H375_2050
ko:K00806	rpl:H375_1840
ko:K03684	rpl:H375_1870
ko:K01778	rpl:H375_1940
ko:K01925	rpl:H375_1990
ko:K00449	rpl:H375_2130
ko:K03642	rpl:H375_2200
ko:K03550	rpl:H375_2250
ko:K00979	rpl:H375_2300
ko:K00029	rpl:H375_2370
ko:K00981	rpl:H375_1850
ko:K00330	rpl:H375_2530
ko:K00331	rpl:H375_2540
ko:K00332	rpl:H375_2550
ko:K00333	rpl:H375_2560
ko:K00334	rpl:H375_2570
ko:K08998	rpl:H375_2580
ko:K03652	rpl:H375_2590
ko:K03602	rpl:H375_2600
ko:K02860	rpl:H375_2620
ko:K02986	rpl:H375_2650
ko:K00067	rpl:H375_2780
ko:K07447	rpl:H375_2800
ko:K03168	rpl:H375_2850
ko:K03523	rpl:H375_2880
ko:K06202	rpl:H375_2900
ko:K07082	rpl:H375_2910
ko:K00748	rpl:H375_2920
ko:K03667	rpl:H375_2930
ko:K01419	rpl:H375_2940
ko:K00133	rpl:H375_2970
ko:K17716	rpl:H375_2770
ko:K03562	rpl:H375_3040
ko:K01892	rpl:H375_3060
ko:K00566	rpl:H375_3080
ko:K03089	rpl:H375_3110
ko:K03641	rpl:H375_3120
ko:K08311	rpl:H375_3820
ko:K02996	rpl:H375_3830
ko:K02871	rpl:H375_3840
ko:K07716	rpl:H375_3880
ko:K03797	rpl:H375_3890
ko:K02622	rpl:H375_3910
ko:K09991	rpl:H375_3930
ko:K12340	rpl:H375_3940
ko:K01868	rpl:H375_3970
ko:K01923	rpl:H375_4000
ko:K00426	rpl:H375_4030
ko:K00425	rpl:H375_4040
ko:K07568	rpl:H375_4070
ko:K06916	rpl:H375_4080
ko:K00604	rpl:H375_4110
ko:K01462	rpl:H375_4120
ko:K02469	rpl:H375_4130
ko:K03702	rpl:H375_4160
ko:K03470	rpl:H375_4170
ko:K04044	rpl:H375_4190
ko:K07080	rpl:H375_4220
ko:K05367	rpl:H375_4260
ko:K02276	rpl:H375_4310
ko:K06134	rpl:H375_4330
ko:K02340	rpl:H375_4340
ko:K04043	rpl:H375_4380
ko:K03686	rpl:H375_4390
ko:K05807	rpl:H375_4400
ko:K03631	rpl:H375_4410
ko:K01299	rpl:H375_4420
ko:K00164	rpl:H375_4430
ko:K00658	rpl:H375_4450
ko:K01737	rpl:H375_4460
ko:K03926	rpl:H375_4470
ko:K03106	rpl:H375_4520
ko:K02341	rpl:H375_4540
ko:K03530	rpl:H375_4550
ko:K09779	rpl:H375_4580
ko:K09761	rpl:H375_4590
ko:K03625	rpl:H375_4660
ko:K11749	rpl:H375_4670
ko:K07277	rpl:H375_4680
ko:K05569	rpl:H375_4710
ko:K09903	rpl:H375_4720
ko:K02838	rpl:H375_4730
