ko:K02834	cor:Cp267_1333
ko:K02519	cor:Cp267_1334
ko:K07742	cor:Cp267_1335
ko:K01714	cor:Cp267_2145
ko:K01792	cor:Cp267_2150
ko:K09946	cor:Cp267_2153
ko:K01657	cor:Cp267_2160
ko:K00766	cor:Cp267_2162
ko:K13498	cor:Cp267_2163
ko:K01696	cor:Cp267_2164
ko:K01695	cor:Cp267_2165
ko:K14347	cor:Cp267_2167
ko:K07735	cor:Cp267_2171
ko:K03980	cor:Cp267_2175
ko:K03088	cor:Cp267_2177
ko:K00384	cor:Cp267_2178
ko:K03671	cor:Cp267_2179
ko:K01448	cor:Cp267_2180
ko:K03501	cor:Cp267_2184
ko:K03217	cor:Cp267_2185
ko:K08998	cor:Cp267_2186
ko:K03536	cor:Cp267_2187
ko:K02914	cor:Cp267_2188
ko:K02935	cor:Cp267_0327
ko:K03043	cor:Cp267_0335
ko:K03046	cor:Cp267_0336
ko:K07089	cor:Cp267_0343
ko:K04069	cor:Cp267_0344
ko:K02950	cor:Cp267_0347
ko:K02992	cor:Cp267_0348
ko:K02355	cor:Cp267_0349
ko:K02358	cor:Cp267_0350
ko:K02946	cor:Cp267_0359
ko:K02906	cor:Cp267_0360
ko:K02926	cor:Cp267_0361
ko:K02892	cor:Cp267_0362
ko:K02886	cor:Cp267_0363
ko:K02965	cor:Cp267_0364
ko:K02890	cor:Cp267_0365
ko:K02982	cor:Cp267_0366
ko:K02878	cor:Cp267_0367
ko:K02904	cor:Cp267_0368
ko:K02961	cor:Cp267_0369
ko:K02034	cor:Cp267_0372
ko:K02874	cor:Cp267_0376
ko:K02895	cor:Cp267_0377
ko:K02931	cor:Cp267_0378
ko:K03837	cor:Cp267_0380
ko:K01752	cor:Cp267_0381
ko:K09772	cor:Cp267_1444
ko:K05810	cor:Cp267_1446
ko:K03531	cor:Cp267_1447
ko:K03589	cor:Cp267_1448
ko:K01924	cor:Cp267_1449
ko:K02563	cor:Cp267_1451
ko:K03588	cor:Cp267_1452
ko:K01925	cor:Cp267_1453
ko:K01000	cor:Cp267_1454
ko:K01929	cor:Cp267_1455
ko:K01928	cor:Cp267_1456
ko:K03587	cor:Cp267_1457
ko:K03438	cor:Cp267_1459
ko:K03925	cor:Cp267_1460
ko:K00297	cor:Cp267_1465
ko:K01626	cor:Cp267_1470
ko:K00655	cor:Cp267_1473
ko:K02276	cor:Cp267_1483
ko:K02275	cor:Cp267_1485
ko:K01953	cor:Cp267_1486
ko:K02231	cor:Cp267_1489
ko:K00768	cor:Cp267_1490
ko:K02233	cor:Cp267_1491
ko:K00826	cor:Cp267_1492
ko:K01255	cor:Cp267_1493
ko:K00658	cor:Cp267_1495
ko:K00281	cor:Cp267_1496
ko:K05895	cor:Cp267_1071
ko:K05936	cor:Cp267_1072
ko:K03118	cor:Cp267_1077
ko:K03116	cor:Cp267_1078
ko:K01938	cor:Cp267_1090
ko:K01744	cor:Cp267_1091
ko:K07791	cor:Cp267_1093
ko:K00765	cor:Cp267_1095
ko:K06153	cor:Cp267_1101
ko:K05881	cor:Cp267_1108
ko:K05879	cor:Cp267_1109
ko:K05878	cor:Cp267_1110
ko:K01624	cor:Cp267_1932
ko:K00762	cor:Cp267_1935
ko:K00111	cor:Cp267_1938
ko:K03695	cor:Cp267_1947
ko:K03312	cor:Cp267_1951
ko:K02003	cor:Cp267_1958
ko:K03686	cor:Cp267_1968
ko:K03687	cor:Cp267_1969
ko:K04043	cor:Cp267_1970
ko:K00014	cor:Cp267_0835
ko:K00965	cor:Cp267_0843
ko:K00849	cor:Cp267_0844
ko:K05592	cor:Cp267_0845
ko:K00782	cor:Cp267_0861
ko:K03303	cor:Cp267_0864
ko:K01887	cor:Cp267_0865
ko:K01586	cor:Cp267_0866
ko:K00003	cor:Cp267_0867
ko:K00872	cor:Cp267_0868
ko:K03628	cor:Cp267_0871
ko:K02835	cor:Cp267_0872
ko:K02493	cor:Cp267_0873
ko:K02108	cor:Cp267_0878
ko:K02110	cor:Cp267_0879
ko:K02109	cor:Cp267_0880
ko:K02113	cor:Cp267_0881
ko:K02111	cor:Cp267_0882
ko:K02115	cor:Cp267_0883
ko:K02112	cor:Cp267_0884
ko:K02114	cor:Cp267_0885
ko:K05606	cor:Cp267_0889
ko:K05838	cor:Cp267_0891
ko:K02013	cor:Cp267_0894
ko:K03521	cor:Cp267_0897
ko:K03522	cor:Cp267_0898
ko:K04487	cor:Cp267_0899
ko:K00566	cor:Cp267_0901
ko:K01972	cor:Cp267_0904
ko:K00989	cor:Cp267_1722
ko:K01776	cor:Cp267_1724
ko:K06891	cor:Cp267_1727
ko:K00763	cor:Cp267_1728
ko:K01079	cor:Cp267_1731
ko:K02217	cor:Cp267_1740
ko:K02919	cor:Cp267_1744
ko:K06199	cor:Cp267_1759
ko:K06199	cor:Cp267_1760
ko:K02003	cor:Cp267_1762
ko:K00790	cor:Cp267_1764
ko:K00817	cor:Cp267_0130
ko:K14445	cor:Cp267_0131
ko:K03480	cor:Cp267_0132
ko:K06996	cor:Cp267_0134
ko:K04561	cor:Cp267_0135
ko:K00375	cor:Cp267_0137
ko:K06215	cor:Cp267_0138
ko:K08681	cor:Cp267_0139
ko:K00773	cor:Cp267_0144
ko:K00098	cor:Cp267_0148
ko:K02343	cor:Cp267_0153
ko:K09747	cor:Cp267_0154
ko:K06187	cor:Cp267_0155
ko:K03704	cor:Cp267_0621
ko:K06901	cor:Cp267_0626
ko:K00831	cor:Cp267_0630
ko:K01647	cor:Cp267_0632
ko:K14393	cor:Cp267_0641
ko:K03327	cor:Cp267_0646
