ko:K03706	lmh:LMHCC_1295
ko:K03667	lmh:LMHCC_1296
ko:K01419	lmh:LMHCC_1298
ko:K03733	lmh:LMHCC_1299
ko:K04094	lmh:LMHCC_1300
ko:K03168	lmh:LMHCC_1301
ko:K04096	lmh:LMHCC_1302
ko:K03470	lmh:LMHCC_1303
ko:K03100	lmh:LMHCC_1305
ko:K03100	lmh:LMHCC_1306
ko:K03100	lmh:LMHCC_1307
ko:K03544	lmh:LMHCC_1308
ko:K03545	lmh:LMHCC_1309
ko:K00931	lmh:LMHCC_1313
ko:K00147	lmh:LMHCC_1314
ko:K02818	lmh:LMHCC_1318
ko:K02819	lmh:LMHCC_1318
ko:K01226	lmh:LMHCC_1319
ko:K03486	lmh:LMHCC_1320
ko:K05340	lmh:LMHCC_2215
ko:K03088	lmh:LMHCC_2216
ko:K07238	lmh:LMHCC_2224
ko:K03306	lmh:LMHCC_2231
ko:K00286	lmh:LMHCC_2240
ko:K03648	lmh:LMHCC_2246
ko:K03336	lmh:LMHCC_2250
ko:K03338	lmh:LMHCC_2251
ko:K03337	lmh:LMHCC_2252
ko:K00140	lmh:LMHCC_2253
ko:K02760	lmh:LMHCC_2262
ko:K02761	lmh:LMHCC_2263
ko:K05350	lmh:LMHCC_2264
ko:K06193	lmh:LMHCC_2266
ko:K02759	lmh:LMHCC_0283
ko:K06901	lmh:LMHCC_0288
ko:K03306	lmh:LMHCC_0293
ko:K07220	lmh:LMHCC_0294
ko:K06180	lmh:LMHCC_0298
ko:K00014	lmh:LMHCC_0306
ko:K01679	lmh:LMHCC_0317
ko:K03698	lmh:LMHCC_0322
ko:K07533	lmh:LMHCC_0323
ko:K01599	lmh:LMHCC_0330
ko:K01772	lmh:LMHCC_0331
ko:K06890	lmh:LMHCC_0335
ko:K03695	lmh:LMHCC_0336
ko:K01834	lmh:LMHCC_0337
ko:K00648	lmh:LMHCC_0340
ko:K09458	lmh:LMHCC_0341
ko:K02244	lmh:LMHCC_1225
ko:K02245	lmh:LMHCC_1226
ko:K00845	lmh:LMHCC_1232
ko:K06949	lmh:LMHCC_1238
ko:K00962	lmh:LMHCC_1239
ko:K02956	lmh:LMHCC_1240
ko:K03177	lmh:LMHCC_1242
ko:K02834	lmh:LMHCC_1243
ko:K09764	lmh:LMHCC_1244
ko:K02519	lmh:LMHCC_1245
ko:K07742	lmh:LMHCC_1247
ko:K02600	lmh:LMHCC_1248
ko:K09748	lmh:LMHCC_1249
ko:K03763	lmh:LMHCC_1250
ko:K01881	lmh:LMHCC_1251
ko:K00099	lmh:LMHCC_1253
ko:K00981	lmh:LMHCC_1254
ko:K00806	lmh:LMHCC_1255
ko:K02838	lmh:LMHCC_1256
ko:K09903	lmh:LMHCC_1257
ko:K09976	lmh:LMHCC_1264
ko:K00615	lmh:LMHCC_1265
ko:K01356	lmh:LMHCC_1268
ko:K03893	lmh:LMHCC_1270
ko:K01915	lmh:LMHCC_1271
ko:K03713	lmh:LMHCC_1272
ko:K03665	lmh:LMHCC_1276
ko:K03666	lmh:LMHCC_1277
ko:K00791	lmh:LMHCC_1278
ko:K00111	lmh:LMHCC_1279
ko:K01126	lmh:LMHCC_1280
ko:K02911	lmh:LMHCC_2151
