ko:K02892	tph:TPChic_0191
ko:K02886	tph:TPChic_0192
ko:K02965	tph:TPChic_0193
ko:K02890	tph:TPChic_0194
ko:K02982	tph:TPChic_0195
ko:K02878	tph:TPChic_0196
ko:K02904	tph:TPChic_0197
ko:K02961	tph:TPChic_0198
ko:K02874	tph:TPChic_0199
ko:K02895	tph:TPChic_0200
ko:K02931	tph:TPChic_0201
ko:K02994	tph:TPChic_0203
ko:K02933	tph:TPChic_0204
ko:K02881	tph:TPChic_0205
ko:K02988	tph:TPChic_0206
ko:K02907	tph:TPChic_0206a
ko:K02876	tph:TPChic_0207
ko:K11749	tph:TPChic_0600
ko:K00099	tph:TPChic_0601
ko:K00981	tph:TPChic_0602
ko:K00806	tph:TPChic_0603
ko:K02838	tph:TPChic_0604
ko:K02357	tph:TPChic_0605
ko:K02967	tph:TPChic_0606
ko:K01893	tph:TPChic_0609
ko:K09013	tph:TPChic_0611
ko:K09014	tph:TPChic_0612
ko:K11717	tph:TPChic_0614
ko:K01807	tph:TPChic_0616
ko:K08307	tph:TPChic_0623
ko:K03547	tph:TPChic_0626
ko:K00763	tph:TPChic_0628
ko:K03412	tph:TPChic_0631
ko:K01867	tph:TPChic_0632
ko:K12267	tph:TPChic_0633
ko:K01972	tph:TPChic_0634
ko:K00791	tph:TPChic_0637
ko:K01892	tph:TPChic_0641
ko:K01887	tph:TPChic_0831
ko:K01866	tph:TPChic_0834
ko:K01868	tph:TPChic_0837
ko:K01265	tph:TPChic_0842
ko:K00134	tph:TPChic_0844
ko:K09768	tph:TPChic_0845
ko:K02887	tph:TPChic_0848
ko:K02916	tph:TPChic_0849
ko:K02520	tph:TPChic_0850
ko:K13292	tph:TPChic_0852
ko:K04562	tph:TPChic_0853
ko:K00820	tph:TPChic_0861
ko:K03773	tph:TPChic_0862
ko:K04487	tph:TPChic_0863
ko:K07391	tph:TPChic_0866
ko:K02406	tph:TPChic_0868
ko:K02406	tph:TPChic_0870
ko:K02407	tph:TPChic_0872
ko:K01662	tph:TPChic_0824
ko:K00997	tph:TPChic_0828
ko:K09766	tph:TPChic_0829
ko:K01883	tph:TPChic_0091
ko:K03088	tph:TPChic_0092
ko:K02518	tph:TPChic_0097
ko:K09903	tph:TPChic_0099
ko:K03657	tph:TPChic_0102
ko:K03654	tph:TPChic_0103
ko:K00075	tph:TPChic_0090
ko:K03218	tph:TPChic_0109
ko:K03092	tph:TPChic_0111
ko:K04088	tph:TPChic_0113
ko:K04087	tph:TPChic_0114
ko:K00868	tph:TPChic_0115
ko:K03702	tph:TPChic_0116
ko:K02072	tph:TPChic_0119
ko:K02071	tph:TPChic_0120
ko:K06942	tph:TPChic_0124
ko:K01142	tph:TPChic_0125
ko:K02343	tph:TPChic_0521
ko:K03558	tph:TPChic_0522
ko:K02563	tph:TPChic_0523
ko:K01338	tph:TPChic_0524
ko:K02356	tph:TPChic_0525
ko:K01803	tph:TPChic_0537
ko:K00927	tph:TPChic_0538
ko:K03550	tph:TPChic_0543
ko:K03527	tph:TPChic_0547
ko:K03696	tph:TPChic_0549
ko:K03650	tph:TPChic_0550
ko:K02434	tph:TPChic_1021
ko:K04485	tph:TPChic_1022
ko:K03565	tph:TPChic_1023
ko:K02996	tph:TPChic_1024
ko:K02871	tph:TPChic_1025
ko:K00757	tph:TPChic_1027
ko:K03657	tph:TPChic_1028
ko:K07001	tph:TPChic_1033
ko:K07301	tph:TPChic_1034
ko:K01873	tph:TPChic_1035
ko:K11068	tph:TPChic_1037
ko:K04047	tph:TPChic_1038
ko:K00759	tph:TPChic_1039
ko:K04568	tph:TPChic_1040
ko:K01358	tph:TPChic_1041
ko:K02063	tph:TPChic_0143
ko:K02064	tph:TPChic_0144
ko:K09775	tph:TPChic_0153
ko:K07107	tph:TPChic_0156
ko:K01881	tph:TPChic_0160
ko:K03551	tph:TPChic_0162
ko:K01091	tph:TPChic_0554
ko:K01914	tph:TPChic_0556
ko:K03151	tph:TPChic_0559
ko:K00615	tph:TPChic_0560
ko:K06872	tph:TPChic_0561
ko:K09795	tph:TPChic_0565
ko:K01625	tph:TPChic_0568
ko:K08988	tph:TPChic_0570
ko:K01126	tph:TPChic_0257
ko:K03311	tph:TPChic_0265
ko:K05946	tph:TPChic_0275
ko:K09761	tph:TPChic_0276
ko:K03797	tph:TPChic_0277
ko:K02945	tph:TPChic_0279
ko:K00954	tph:TPChic_0283
ko:K00948	tph:TPChic_0294
ko:K00859	tph:TPChic_0296
ko:K02057	tph:TPChic_0301
ko:K02057	tph:TPChic_0302
ko:K03572	tph:TPChic_0303
ko:K01937	tph:TPChic_0305
ko:K03655	tph:TPChic_0687
ko:K03977	tph:TPChic_0689
ko:K05896	tph:TPChic_0691
ko:K07462	tph:TPChic_0704
ko:K05366	tph:TPChic_0705
ko:K02405	tph:TPChic_0709
ko:K04562	tph:TPChic_0712
ko:K02404	tph:TPChic_0713
ko:K02400	tph:TPChic_0714
ko:K02421	tph:TPChic_0716
ko:K02420	tph:TPChic_0717
ko:K02419	tph:TPChic_0718
ko:K02418	tph:TPChic_0719
ko:K02417	tph:TPChic_0720
ko:K02416	tph:TPChic_0721
ko:K02415	tph:TPChic_0722
ko:K02557	tph:TPChic_0724
ko:K02556	tph:TPChic_0725
ko:K02385	tph:TPChic_0726
ko:K02390	tph:TPChic_0727
ko:K02389	tph:TPChic_0728
ko:K00995	tph:TPChic_0730
ko:K01491	tph:TPChic_0732
ko:K02338	tph:TPChic_0002
ko:K03168	tph:TPChic_0394
ko:K02387	tph:TPChic_0396
ko:K02388	tph:TPChic_0397
ko:K02408	tph:TPChic_0398
