ko:K01126	tpm:TPESAMD_0257
ko:K01619	tpm:TPESAMD_0264
ko:K03311	tpm:TPESAMD_0265
ko:K00974	tpm:TPESAMD_0270
ko:K05946	tpm:TPESAMD_0275
ko:K09761	tpm:TPESAMD_0276
ko:K03797	tpm:TPESAMD_0277
ko:K02945	tpm:TPESAMD_0279
ko:K00954	tpm:TPESAMD_0283
ko:K00948	tpm:TPESAMD_0294
ko:K00859	tpm:TPESAMD_0296
ko:K02427	tpm:TPESAMD_0682
ko:K02523	tpm:TPESAMD_0683
ko:K10540	tpm:TPESAMD_0684
ko:K10542	tpm:TPESAMD_0685
ko:K10541	tpm:TPESAMD_0686
ko:K03655	tpm:TPESAMD_0687
ko:K03977	tpm:TPESAMD_0689
ko:K05896	tpm:TPESAMD_0691
ko:K01934	tpm:TPESAMD_0694
ko:K07462	tpm:TPESAMD_0704
ko:K05366	tpm:TPESAMD_0705
ko:K02405	tpm:TPESAMD_0709
ko:K09749	tpm:TPESAMD_0710
ko:K02313	tpm:TPESAMD_0001
ko:K03587	tpm:TPESAMD_0760
ko:K03798	tpm:TPESAMD_0765
ko:K02355	tpm:TPESAMD_0767
ko:K03324	tpm:TPESAMD_0771
ko:K07507	tpm:TPESAMD_0774
ko:K10773	tpm:TPESAMD_0775
ko:K03451	tpm:TPESAMD_0106
ko:K03218	tpm:TPESAMD_0109
ko:K03092	tpm:TPESAMD_0111
ko:K01372	tpm:TPESAMD_0112
ko:K04088	tpm:TPESAMD_0113
ko:K04087	tpm:TPESAMD_0114
ko:K00868	tpm:TPESAMD_0115
ko:K03702	tpm:TPESAMD_0116
ko:K02072	tpm:TPESAMD_0119
ko:K02071	tpm:TPESAMD_0120
ko:K01596	tpm:TPESAMD_0122
ko:K06942	tpm:TPESAMD_0124
ko:K01142	tpm:TPESAMD_0125
ko:K03499	tpm:TPESAMD_0139
ko:K00567	tpm:TPESAMD_0141
ko:K02063	tpm:TPESAMD_0143
ko:K02064	tpm:TPESAMD_0144
ko:K07460	tpm:TPESAMD_0913
ko:K06213	tpm:TPESAMD_0917
ko:K03671	tpm:TPESAMD_0919
ko:K06959	tpm:TPESAMD_0924
ko:K03100	tpm:TPESAMD_0926
ko:K01928	tpm:TPESAMD_0933
ko:K07095	tpm:TPESAMD_0937
ko:K03737	tpm:TPESAMD_0939
ko:K02422	tpm:TPESAMD_0943
ko:K01783	tpm:TPESAMD_0945
ko:K03501	tpm:TPESAMD_0946
ko:K06346	tpm:TPESAMD_0948
ko:K03217	tpm:TPESAMD_0949
ko:K08998	tpm:TPESAMD_0949a
ko:K03536	tpm:TPESAMD_0950a
ko:K02914	tpm:TPESAMD_0951
ko:K00789	tpm:TPESAMD_0794
ko:K03734	tpm:TPESAMD_0796
ko:K00286	tpm:TPESAMD_0797
ko:K01874	tpm:TPESAMD_0798
ko:K07258	tpm:TPESAMD_0800
ko:K01950	tpm:TPESAMD_0780
ko:K03694	tpm:TPESAMD_0801
ko:K01147	tpm:TPESAMD_0805
ko:K02911	tpm:TPESAMD_0807
ko:K09774	tpm:TPESAMD_0785
ko:K06861	tpm:TPESAMD_0786
ko:K02406	tpm:TPESAMD_0792
