ko:K09890	hiu:HIB_02990
ko:K05592	hiu:HIB_03010
ko:K05803	hiu:HIB_03020
ko:K00962	hiu:HIB_03030
ko:K04095	hiu:HIB_11160
ko:K02687	hiu:HIB_11170
ko:K03557	hiu:HIB_11190
ko:K03664	hiu:HIB_11200
ko:K00850	hiu:HIB_11210
ko:K09861	hiu:HIB_11230
ko:K04096	hiu:HIB_11240
ko:K01649	hiu:HIB_11260
ko:K00052	hiu:HIB_11270
ko:K01703	hiu:HIB_11280
ko:K01704	hiu:HIB_11290
ko:K03629	hiu:HIB_11310
ko:K02338	hiu:HIB_11320
ko:K02313	hiu:HIB_11330
ko:K02914	hiu:HIB_11370
ko:K03536	hiu:HIB_11380
ko:K08998	hiu:HIB_11390
ko:K03217	hiu:HIB_11400
ko:K03650	hiu:HIB_11410
ko:K03770	hiu:HIB_11420
ko:K03101	hiu:HIB_11440
ko:K03527	hiu:HIB_11450
ko:K02237	hiu:HIB_11470
ko:K02440	hiu:HIB_11570
ko:K07265	hiu:HIB_11640
ko:K07266	hiu:HIB_11650
ko:K01991	hiu:HIB_11700
ko:K10107	hiu:HIB_11710
ko:K08300	hiu:HIB_05240
ko:K00878	hiu:HIB_05260
ko:K00941	hiu:HIB_05270
ko:K00788	hiu:HIB_05280
ko:K08303	hiu:HIB_05300
ko:K05590	hiu:HIB_05310
ko:K03214	hiu:HIB_05330
ko:K00998	hiu:HIB_05340
ko:K03603	hiu:HIB_05350
ko:K03314	hiu:HIB_05360
ko:K03611	hiu:HIB_05370
ko:K00820	hiu:HIB_05380
ko:K05787	hiu:HIB_05390
ko:K09891	hiu:HIB_05400
ko:K03426	hiu:HIB_05410
ko:K07400	hiu:HIB_05420
ko:K02507	hiu:HIB_05440
ko:K05366	hiu:HIB_05490
ko:K07115	hiu:HIB_05500
ko:K09747	hiu:HIB_05510
ko:K06187	hiu:HIB_05520
ko:K03075	hiu:HIB_05540
ko:K07733	hiu:HIB_05640
ko:K02769	hiu:HIB_05760
ko:K02770	hiu:HIB_05760
ko:K00163	hiu:HIB_13910
ko:K01734	hiu:HIB_13920
ko:K04043	hiu:HIB_13940
ko:K03686	hiu:HIB_13950
ko:K00147	hiu:HIB_13960
ko:K07552	hiu:HIB_13990
ko:K00029	hiu:HIB_14020
ko:K03702	hiu:HIB_14040
ko:K06957	hiu:HIB_14110
ko:K03723	hiu:HIB_14130
ko:K01963	hiu:HIB_14150
ko:K11754	hiu:HIB_14160
ko:K00641	hiu:HIB_14180
ko:K02469	hiu:HIB_14190
ko:K09136	hiu:HIB_14200
ko:K02016	hiu:HIB_14220
ko:K02015	hiu:HIB_14230
ko:K02013	hiu:HIB_14240
ko:K01874	hiu:HIB_14280
ko:K09748	hiu:HIB_14330
ko:K02600	hiu:HIB_14340
ko:K02519	hiu:HIB_14350
ko:K01153	hiu:HIB_14360
ko:K01154	hiu:HIB_14410
ko:K03427	hiu:HIB_14420
ko:K01733	hiu:HIB_01450
ko:K00872	hiu:HIB_01460
ko:K12524	hiu:HIB_01470
ko:K06997	hiu:HIB_01480
ko:K00865	hiu:HIB_01490
ko:K02647	hiu:HIB_01510
ko:K02012	hiu:HIB_01560
ko:K02011	hiu:HIB_01570
ko:K04079	hiu:HIB_01620
ko:K03106	hiu:HIB_01640
ko:K01875	hiu:HIB_01700
ko:K12297	hiu:HIB_01740
ko:K08304	hiu:HIB_01750
ko:K02558	hiu:HIB_01790
ko:K00995	hiu:HIB_01820
ko:K06901	hiu:HIB_01840
ko:K00876	hiu:HIB_01850
ko:K01494	hiu:HIB_01860
ko:K08159	hiu:HIB_01880
ko:K03977	hiu:HIB_01890
ko:K07751	hiu:HIB_10080
ko:K00940	hiu:HIB_10090
ko:K03979	hiu:HIB_10100
ko:K02899	hiu:HIB_10120
ko:K02888	hiu:HIB_10130
ko:K02523	hiu:HIB_10140
ko:K09765	hiu:HIB_10150
ko:K03310	hiu:HIB_10160
ko:K07773	hiu:HIB_10170
ko:K04084	hiu:HIB_10180
ko:K15977	hiu:HIB_10190
ko:K00602	hiu:HIB_10200
ko:K01945	hiu:HIB_10210
ko:K00600	hiu:HIB_10220
ko:K00859	hiu:HIB_10230
ko:K09862	hiu:HIB_10240
ko:K03732	hiu:HIB_10250
ko:K03591	hiu:HIB_10290
ko:K03446	hiu:HIB_10300
ko:K03543	hiu:HIB_10310
ko:K00931	hiu:HIB_10330
ko:K08311	hiu:HIB_10340
ko:K13292	hiu:HIB_10360
ko:K11991	hiu:HIB_10380
ko:K03070	hiu:HIB_10410
