ko:K16789	bamt:AJ82_15895
ko:K07192	bamt:AJ82_15900
ko:K11440	bamt:AJ82_15920
ko:K03499	bamt:AJ82_15940
ko:K05916	bamt:AJ82_15955
ko:K06153	bamt:AJ82_15975
ko:K05520	bamt:AJ82_15995
ko:K03406	bamt:AJ82_16000
ko:K03406	bamt:AJ82_16005
ko:K03406	bamt:AJ82_16010
ko:K03406	bamt:AJ82_16015
ko:K00686	bamt:AJ82_16020
ko:K00459	bamt:AJ82_16030
ko:K01187	bamt:AJ82_16040
ko:K06973	bamt:AJ82_16055
ko:K10716	bamt:AJ82_16070
ko:K01810	bamt:AJ82_16085
ko:K09779	bamt:AJ82_16115
ko:K07570	bamt:AJ82_16120
ko:K10907	bamt:AJ82_16125
ko:K14155	bamt:AJ82_16145
ko:K07697	bamt:AJ82_16150
ko:K06347	bamt:AJ82_16155
ko:K06348	bamt:AJ82_16160
ko:K11614	bamt:AJ82_16190
ko:K07335	bamt:AJ82_16205
ko:K02056	bamt:AJ82_16215
ko:K02057	bamt:AJ82_16220
ko:K02057	bamt:AJ82_16225
ko:K05565	bamt:AJ82_16235
ko:K05566	bamt:AJ82_16240
ko:K05567	bamt:AJ82_16245
ko:K05568	bamt:AJ82_16250
ko:K05569	bamt:AJ82_16255
ko:K05570	bamt:AJ82_16260
ko:K05571	bamt:AJ82_16265
ko:K07691	bamt:AJ82_16275
ko:K07680	bamt:AJ82_16280
ko:K02251	bamt:AJ82_16290
ko:K00763	bamt:AJ82_16315
ko:K06950	bamt:AJ82_16350
ko:K16216	bamt:AJ82_16355
ko:K03466	bamt:AJ82_16370
ko:K00259	bamt:AJ82_16405
ko:K04780	bamt:AJ82_16420
ko:K01252	bamt:AJ82_16425
ko:K02363	bamt:AJ82_16430
ko:K02361	bamt:AJ82_16435
ko:K00216	bamt:AJ82_16440
ko:K07017	bamt:AJ82_16445
ko:K03523	bamt:AJ82_16460
ko:K07084	bamt:AJ82_16465
ko:K01255	bamt:AJ82_16470
ko:K09775	bamt:AJ82_16475
ko:K03885	bamt:AJ82_16495
ko:K00364	bamt:AJ82_16515
ko:K01990	bamt:AJ82_16530
ko:K01992	bamt:AJ82_16535
ko:K03790	bamt:AJ82_16555
ko:K14189	bamt:AJ82_16560
ko:K13628	bamt:AJ82_16565
