ko:K02013	bans:BAPAT_3699
ko:K02015	bans:BAPAT_3700
ko:K02015	bans:BAPAT_3701
ko:K02016	bans:BAPAT_3702
ko:K13530	bans:BAPAT_3706
ko:K13531	bans:BAPAT_3707
ko:K01247	bans:BAPAT_3708
ko:K01258	bans:BAPAT_3709
ko:K01834	bans:BAPAT_3712
ko:K07095	bans:BAPAT_4523
ko:K02428	bans:BAPAT_4524
ko:K00989	bans:BAPAT_4525
ko:K06298	bans:BAPAT_4526
ko:K01776	bans:BAPAT_4527
ko:K01994	bans:BAPAT_4534
ko:K00765	bans:BAPAT_1342
ko:K00013	bans:BAPAT_1343
ko:K01693	bans:BAPAT_1344
ko:K02501	bans:BAPAT_1345
ko:K07533	bans:BAPAT_2232
ko:K06304	bans:BAPAT_2236
ko:K05366	bans:BAPAT_2239
ko:K01647	bans:BAPAT_2242
ko:K01720	bans:BAPAT_2243
ko:K00140	bans:BAPAT_2248
ko:K03547	bans:BAPAT_2253
ko:K08177	bans:BAPAT_2260
ko:K00216	bans:BAPAT_2261
ko:K02361	bans:BAPAT_2262
ko:K02363	bans:BAPAT_2263
ko:K01252	bans:BAPAT_2264
ko:K04780	bans:BAPAT_2265
ko:K04780	bans:BAPAT_2266
ko:K06133	bans:BAPAT_2269
ko:K03530	bans:BAPAT_2271
ko:K07734	bans:BAPAT_3128
ko:K00782	bans:BAPAT_3131
ko:K08174	bans:BAPAT_3139
ko:K03406	bans:BAPAT_3152
ko:K00657	bans:BAPAT_3155
ko:K01387	bans:BAPAT_3158
ko:K04095	bans:BAPAT_3159
ko:K03837	bans:BAPAT_3163
ko:K01752	bans:BAPAT_3164
ko:K01752	bans:BAPAT_3165
ko:K00836	bans:BAPAT_3167
ko:K04656	bans:BAPAT_3168
ko:K04655	bans:BAPAT_3169
ko:K16263	bans:BAPAT_3173
ko:K00549	bans:BAPAT_4046
ko:K07697	bans:BAPAT_4050
ko:K00841	bans:BAPAT_4052
ko:K15772	bans:BAPAT_4054
ko:K15771	bans:BAPAT_4055
ko:K15770	bans:BAPAT_4056
ko:K01182	bans:BAPAT_4058
ko:K10112	bans:BAPAT_4059
ko:K00626	bans:BAPAT_4066
ko:K10947	bans:BAPAT_4073
ko:K00019	bans:BAPAT_4074
ko:K08963	bans:BAPAT_4076
ko:K00899	bans:BAPAT_4077
ko:K08969	bans:BAPAT_4079
ko:K08965	bans:BAPAT_4080
ko:K08966	bans:BAPAT_4081
ko:K08964	bans:BAPAT_4082
ko:K08967	bans:BAPAT_4083
ko:K08483	bans:BAPAT_4092
ko:K11189	bans:BAPAT_4093
ko:K02551	bans:BAPAT_4903
ko:K02552	bans:BAPAT_4904
ko:K02548	bans:BAPAT_4905
ko:K03704	bans:BAPAT_4907
ko:K00688	bans:BAPAT_4910
