ko:K02040	xoz:BE73_08460
ko:K07221	xoz:BE73_08465
ko:K01673	xoz:BE73_08475
ko:K10773	xoz:BE73_08485
ko:K01715	xoz:BE73_08495
ko:K01011	xoz:BE73_08510
ko:K09164	xoz:BE73_08515
ko:K03824	xoz:BE73_08535
ko:K12297	xoz:BE73_08545
ko:K00858	xoz:BE73_08550
ko:K01081	xoz:BE73_08555
ko:K01141	xoz:BE73_08575
ko:K00486	xoz:BE73_08580
ko:K01556	xoz:BE73_08585
ko:K00452	xoz:BE73_08595
ko:K01673	xoz:BE73_08600
ko:K01893	xoz:BE73_08625
ko:K13628	xoz:BE73_08630
ko:K02990	xoz:BE73_08635
ko:K02963	xoz:BE73_08640
ko:K02939	xoz:BE73_08645
ko:K03529	xoz:BE73_08650
ko:K03528	xoz:BE73_08655
ko:K03407	xoz:BE73_11125
ko:K03414	xoz:BE73_11130
ko:K03413	xoz:BE73_11135
ko:K02405	xoz:BE73_11140
ko:K04562	xoz:BE73_11145
ko:K02404	xoz:BE73_11150
ko:K02400	xoz:BE73_11155
ko:K02401	xoz:BE73_11160
ko:K02421	xoz:BE73_11180
ko:K02420	xoz:BE73_11185
ko:K02419	xoz:BE73_11195
ko:K02418	xoz:BE73_11200
ko:K02417	xoz:BE73_11205
ko:K02416	xoz:BE73_11210
ko:K02415	xoz:BE73_11215
ko:K02414	xoz:BE73_11220
ko:K02413	xoz:BE73_11225
ko:K02412	xoz:BE73_11230
ko:K02411	xoz:BE73_11235
ko:K02410	xoz:BE73_11240
ko:K02409	xoz:BE73_11245
ko:K02408	xoz:BE73_11250
ko:K07497	xoz:BE73_11265
ko:K07481	xoz:BE73_11275
ko:K00648	xoz:BE73_11325
ko:K10941	xoz:BE73_11340
ko:K03092	xoz:BE73_11350
ko:K02422	xoz:BE73_11370
ko:K02407	xoz:BE73_11375
ko:K02406	xoz:BE73_11380
ko:K02397	xoz:BE73_11385
ko:K07117	xoz:BE73_16030
ko:K09014	xoz:BE73_16040
ko:K09013	xoz:BE73_16045
ko:K09015	xoz:BE73_16050
ko:K11717	xoz:BE73_16055
ko:K07497	xoz:BE73_16080
ko:K09975	xoz:BE73_16090
ko:K02237	xoz:BE73_16095
ko:K07102	xoz:BE73_16110
ko:K10763	xoz:BE73_16120
ko:K09938	xoz:BE73_16130
ko:K01933	xoz:BE73_16135
ko:K08984	xoz:BE73_16145
ko:K11175	xoz:BE73_16150
ko:K00790	xoz:BE73_16170
ko:K06041	xoz:BE73_16180
ko:K03270	xoz:BE73_16185
ko:K11719	xoz:BE73_16190
ko:K09774	xoz:BE73_16195
ko:K06861	xoz:BE73_16200
ko:K03092	xoz:BE73_16205
ko:K05808	xoz:BE73_16210
ko:K02806	xoz:BE73_16215
