ko:K08218	nmw:NMAA_1569
ko:K01915	nmw:NMAA_1570
ko:K00014	nmw:NMAA_1571
ko:K03814	nmw:NMAA_1572
ko:K06861	nmw:NMAA_1573
ko:K09774	nmw:NMAA_1574
ko:K11719	nmw:NMAA_1575
ko:K03270	nmw:NMAA_1576
ko:K06041	nmw:NMAA_1577
ko:K01894	nmw:NMAA_1579
ko:K05539	nmw:NMAA_1580
ko:K03789	nmw:NMAA_0278
ko:K01624	nmw:NMAA_0281
ko:K03733	nmw:NMAA_0282
ko:K01662	nmw:NMAA_0283
ko:K06168	nmw:NMAA_0284
ko:K01845	nmw:NMAA_0285
ko:K13288	nmw:NMAA_0286
ko:K02687	nmw:NMAA_0287
ko:K01961	nmw:NMAA_0288
ko:K02160	nmw:NMAA_0289
ko:K07568	nmw:NMAA_0290
ko:K03923	nmw:NMAA_0291
ko:K01955	nmw:NMAA_0293
ko:K01956	nmw:NMAA_0297
ko:K01938	nmw:NMAA_0305
ko:K06942	nmw:NMAA_0306
ko:K01866	nmw:NMAA_0308
ko:K11753	nmw:NMAA_0309
ko:K01870	nmw:NMAA_0310
ko:K03101	nmw:NMAA_0311
ko:K03527	nmw:NMAA_0312
ko:K02337	nmw:NMAA_0316
ko:K07053	nmw:NMAA_0319
ko:K00835	nmw:NMAA_0320
ko:K00655	nmw:NMAA_1026
ko:K08307	nmw:NMAA_1029
ko:K00945	nmw:NMAA_1031
ko:K02945	nmw:NMAA_1032
ko:K05788	nmw:NMAA_1033
ko:K01070	nmw:NMAA_1036
ko:K06916	nmw:NMAA_1037
ko:K00940	nmw:NMAA_1038
ko:K06941	nmw:NMAA_1039
ko:K02656	nmw:NMAA_1040
ko:K01358	nmw:NMAA_1042
ko:K03545	nmw:NMAA_1043
ko:K03466	nmw:NMAA_1044
ko:K02939	nmw:NMAA_1050
ko:K02963	nmw:NMAA_1051
ko:K02686	nmw:NMAA_1052
ko:K02990	nmw:NMAA_1053
ko:K00384	nmw:NMAA_1054
ko:K03703	nmw:NMAA_1056
ko:K03439	nmw:NMAA_1058
ko:K03702	nmw:NMAA_1061
ko:K03797	nmw:NMAA_1062
ko:K05805	nmw:NMAA_1064
ko:K07735	nmw:NMAA_1065
ko:K07447	nmw:NMAA_1066
ko:K01881	nmw:NMAA_1068
ko:K00163	nmw:NMAA_1069
ko:K00134	nmw:NMAA_1773
ko:K00684	nmw:NMAA_1774
ko:K06186	nmw:NMAA_1776
ko:K00215	nmw:NMAA_1777
ko:K00748	nmw:NMAA_1780
ko:K08300	nmw:NMAA_1782
ko:K00097	nmw:NMAA_1783
ko:K03310	nmw:NMAA_1784
ko:K03495	nmw:NMAA_1785
ko:K03470	nmw:NMAA_1786
ko:K03501	nmw:NMAA_1788
ko:K02838	nmw:NMAA_1791
ko:K00806	nmw:NMAA_1792
ko:K00981	nmw:NMAA_1793
ko:K00099	nmw:NMAA_1794
ko:K11749	nmw:NMAA_1795
ko:K07277	nmw:NMAA_1796
ko:K06142	nmw:NMAA_1797
ko:K02536	nmw:NMAA_1798
ko:K02372	nmw:NMAA_1799
ko:K00677	nmw:NMAA_1801
ko:K03310	nmw:NMAA_1802
ko:K00285	nmw:NMAA_1803
ko:K07238	nmw:NMAA_1804
ko:K01873	nmw:NMAA_1805
ko:K04761	nmw:NMAA_1807
ko:K03608	nmw:NMAA_1808
ko:K03609	nmw:NMAA_1809
ko:K03610	nmw:NMAA_1810
ko:K02879	nmw:NMAA_1811
ko:K03040	nmw:NMAA_1812
ko:K02986	nmw:NMAA_1813
ko:K02948	nmw:NMAA_1814
ko:K02952	nmw:NMAA_1815
ko:K02919	nmw:NMAA_1816
ko:K02518	nmw:NMAA_1817
ko:K03076	nmw:NMAA_1818
ko:K02876	nmw:NMAA_1819
ko:K01972	nmw:NMAA_0502
ko:K03806	nmw:NMAA_0504
ko:K07082	nmw:NMAA_0505
ko:K00943	nmw:NMAA_0506
ko:K00029	nmw:NMAA_0507
ko:K00912	nmw:NMAA_0508
ko:K09924	nmw:NMAA_0509
ko:K09791	nmw:NMAA_0510
ko:K00979	nmw:NMAA_0511
ko:K01695	nmw:NMAA_0514
ko:K01963	nmw:NMAA_0515
ko:K01465	nmw:NMAA_0519
ko:K03625	nmw:NMAA_0520
ko:K00794	nmw:NMAA_0521
ko:K03685	nmw:NMAA_0523
ko:K01817	nmw:NMAA_0525
ko:K04760	nmw:NMAA_0526
ko:K00764	nmw:NMAA_0527
ko:K03558	nmw:NMAA_0528
ko:K11754	nmw:NMAA_0530
ko:K02528	nmw:NMAA_0534
ko:K01696	nmw:NMAA_0536
ko:K05807	nmw:NMAA_0539
ko:K06180	nmw:NMAA_0540
ko:K03453	nmw:NMAA_0541
ko:K05810	nmw:NMAA_0542
ko:K03643	nmw:NMAA_0543
ko:K02340	nmw:NMAA_0544
ko:K03089	nmw:NMAA_0548
ko:K03820	nmw:NMAA_0549
ko:K01682	nmw:NMAA_1253
ko:K00611	nmw:NMAA_1254
ko:K00053	nmw:NMAA_1255
ko:K01653	nmw:NMAA_1257
ko:K01652	nmw:NMAA_1258
ko:K07152	nmw:NMAA_1259
ko:K00765	nmw:NMAA_1260
ko:K09968	nmw:NMAA_1261
ko:K00013	nmw:NMAA_1262
ko:K00817	nmw:NMAA_1263
ko:K01693	nmw:NMAA_1264
ko:K00995	nmw:NMAA_1268
ko:K11073	nmw:NMAA_1273
ko:K01872	nmw:NMAA_1274
ko:K02621	nmw:NMAA_1278
ko:K15984	nmw:NMAA_1280
ko:K10764	nmw:NMAA_1282
ko:K01676	nmw:NMAA_1286
ko:K00941	nmw:NMAA_1289
ko:K00432	nmw:NMAA_1294
ko:K01918	nmw:NMAA_0696
ko:K02494	nmw:NMAA_0698
ko:K00919	nmw:NMAA_0699
ko:K00948	nmw:NMAA_0700
ko:K02897	nmw:NMAA_0701
ko:K01754	nmw:NMAA_0703
ko:K02045	nmw:NMAA_0704
ko:K02047	nmw:NMAA_0705
ko:K02046	nmw:NMAA_0706
ko:K04564	nmw:NMAA_0709
ko:K08084	nmw:NMAA_0711
ko:K02671	nmw:NMAA_0712
ko:K02672	nmw:NMAA_0713
ko:K02673	nmw:NMAA_0714
ko:K02655	nmw:NMAA_0715
ko:K14267	nmw:NMAA_0717
ko:K09861	nmw:NMAA_0718
ko:K00031	nmw:NMAA_0720
ko:K10806	nmw:NMAA_0724
ko:K07287	nmw:NMAA_0727
ko:K01714	nmw:NMAA_0728
ko:K03218	nmw:NMAA_0730
ko:K09793	nmw:NMAA_0731
ko:K00791	nmw:NMAA_0733
ko:K02356	nmw:NMAA_0736
ko:K00641	nmw:NMAA_0738
ko:K02919	nmw:NMAA_0739
ko:K03561	nmw:NMAA_1441
ko:K03675	nmw:NMAA_1447
ko:K12340	nmw:NMAA_1449
ko:K11003	nmw:NMAA_1450
ko:K02169	nmw:NMAA_1466
ko:K09789	nmw:NMAA_1467
ko:K03319	nmw:NMAA_1470
ko:K01876	nmw:NMAA_1474
ko:K01058	nmw:NMAA_1476
ko:K02968	nmw:NMAA_1477
ko:K01776	nmw:NMAA_1481
ko:K06925	nmw:NMAA_1482
ko:K01448	nmw:NMAA_1483
ko:K07444	nmw:NMAA_1485
ko:K00997	nmw:NMAA_1488
ko:K07090	nmw:NMAA_1489
ko:K04078	nmw:NMAA_0180
ko:K04077	nmw:NMAA_0181
ko:K07248	nmw:NMAA_0186
ko:K02065	nmw:NMAA_0191
ko:K02066	nmw:NMAA_0192
ko:K07323	nmw:NMAA_0194
ko:K07122	nmw:NMAA_0195
ko:K04754	nmw:NMAA_0196
ko:K12500	nmw:NMAA_0198
ko:K02909	nmw:NMAA_0201
ko:K03599	nmw:NMAA_0204
ko:K03600	nmw:NMAA_0205
ko:K09117	nmw:NMAA_0206
ko:K02970	nmw:NMAA_0207
ko:K08309	nmw:NMAA_0208
ko:K02071	nmw:NMAA_0209
ko:K02072	nmw:NMAA_0210
ko:K02073	nmw:NMAA_0211
ko:K03186	nmw:NMAA_0212
ko:K02108	nmw:NMAA_0217
ko:K02110	nmw:NMAA_0218
ko:K02109	nmw:NMAA_0219
ko:K02113	nmw:NMAA_0220
ko:K02111	nmw:NMAA_0221
ko:K02115	nmw:NMAA_0222
ko:K02112	nmw:NMAA_0223
ko:K02114	nmw:NMAA_0224
ko:K01878	nmw:NMAA_0225
ko:K09923	nmw:NMAA_0226
ko:K01879	nmw:NMAA_0227
ko:K07270	nmw:NMAA_0229
ko:K07270	nmw:NMAA_0230
ko:K03644	nmw:NMAA_0930
ko:K03801	nmw:NMAA_0931
ko:K09158	nmw:NMAA_0932
ko:K00347	nmw:NMAA_0411
ko:K00346	nmw:NMAA_0412
ko:K09790	nmw:NMAA_0414
ko:K09941	nmw:NMAA_0415
ko:K00605	nmw:NMAA_0417
ko:K02437	nmw:NMAA_0418
ko:K02492	nmw:NMAA_0419
ko:K00311	nmw:NMAA_0422
ko:K02884	nmw:NMAA_0442
ko:K00554	nmw:NMAA_0443
ko:K02860	nmw:NMAA_0444
ko:K02959	nmw:NMAA_0445
ko:K06287	nmw:NMAA_0451
ko:K03118	nmw:NMAA_0452
ko:K03117	nmw:NMAA_0453
ko:K03116	nmw:NMAA_0454
ko:K02503	nmw:NMAA_0455
ko:K02346	nmw:NMAA_1160
ko:K00528	nmw:NMAA_1161
ko:K00459	nmw:NMAA_1163
ko:K09926	nmw:NMAA_1164
ko:K00615	nmw:NMAA_1166
ko:K01524	nmw:NMAA_1174
ko:K01867	nmw:NMAA_1177
ko:K03695	nmw:NMAA_1178
ko:K14260	nmw:NMAA_1179
ko:K01821	nmw:NMAA_1180
ko:K00260	nmw:NMAA_1182
ko:K01091	nmw:NMAA_1183
ko:K03565	nmw:NMAA_1184
ko:K06194	nmw:NMAA_1187
ko:K03787	nmw:NMAA_1188
ko:K06200	nmw:NMAA_1193
ko:K00928	nmw:NMAA_1196
ko:K00989	nmw:NMAA_1197
ko:K05896	nmw:NMAA_1200
ko:K00763	nmw:NMAA_1201
ko:K01887	nmw:NMAA_1202
ko:K01807	nmw:NMAA_1205
ko:K01770	nmw:NMAA_1206
ko:K06204	nmw:NMAA_1911
ko:K00286	nmw:NMAA_1912
ko:K06997	nmw:NMAA_1914
ko:K02669	nmw:NMAA_1915
ko:K02670	nmw:NMAA_1916
ko:K03305	nmw:NMAA_1919
ko:K02836	nmw:NMAA_1920
ko:K07001	nmw:NMAA_1921
ko:K15977	nmw:NMAA_1922
ko:K09930	nmw:NMAA_1924
ko:K09929	nmw:NMAA_1925
ko:K03088	nmw:NMAA_1926
ko:K07566	nmw:NMAA_1929
ko:K01945	nmw:NMAA_1930
ko:K03522	nmw:NMAA_1933
ko:K03521	nmw:NMAA_1934
ko:K03648	nmw:NMAA_0936
ko:K06158	nmw:NMAA_0939
ko:K00003	nmw:NMAA_0941
ko:K03530	nmw:NMAA_0943
ko:K01338	nmw:NMAA_0944
ko:K03581	nmw:NMAA_0946
ko:K09808	nmw:NMAA_0948
ko:K06187	nmw:NMAA_0950
ko:K03770	nmw:NMAA_0951
ko:K03551	nmw:NMAA_0956
ko:K01783	nmw:NMAA_0957
ko:K06923	nmw:NMAA_0959
ko:K00793	nmw:NMAA_0960
ko:K03752	nmw:NMAA_0961
ko:K07673	nmw:NMAA_0962
ko:K01933	nmw:NMAA_0964
ko:K14652	nmw:NMAA_0968
ko:K07478	nmw:NMAA_0970
ko:K01733	nmw:NMAA_0976
ko:K03106	nmw:NMAA_1684
ko:K03673	nmw:NMAA_1685
ko:K07078	nmw:NMAA_1688
ko:K15977	nmw:NMAA_1689
ko:K01669	nmw:NMAA_1691
ko:K01756	nmw:NMAA_1696
ko:K06966	nmw:NMAA_1697
ko:K01147	nmw:NMAA_1698
ko:K03771	nmw:NMAA_1699
ko:K04744	nmw:NMAA_1700
ko:K07102	nmw:NMAA_1701
ko:K03673	nmw:NMAA_1702
ko:K03980	nmw:NMAA_1703
ko:K01609	nmw:NMAA_1705
ko:K03654	nmw:NMAA_1706
ko:K02170	nmw:NMAA_1709
ko:K03216	nmw:NMAA_1711
