ko:K11618	lmok:CQ02_05335
ko:K03499	lmok:CQ02_05340
ko:K12574	lmok:CQ02_05360
ko:K02529	lmok:CQ02_05375
ko:K00615	lmok:CQ02_05385
ko:K00615	lmok:CQ02_05390
ko:K00864	lmok:CQ02_05395
ko:K02755	lmok:CQ02_05400
ko:K02756	lmok:CQ02_05400
ko:K02757	lmok:CQ02_05400
ko:K03752	lmok:CQ02_05415
ko:K02017	lmok:CQ02_05420
ko:K02018	lmok:CQ02_05425
ko:K02020	lmok:CQ02_05430
ko:K03750	lmok:CQ02_05435
ko:K01243	lmok:CQ02_07665
ko:K03624	lmok:CQ02_07675
ko:K00876	lmok:CQ02_07680
ko:K07082	lmok:CQ02_07690
ko:K07447	lmok:CQ02_07705
ko:K01872	lmok:CQ02_07715
ko:K02003	lmok:CQ02_07720
ko:K02004	lmok:CQ02_07725
ko:K03581	lmok:CQ02_07740
ko:K00566	lmok:CQ02_07755
ko:K04487	lmok:CQ02_07760
ko:K07478	lmok:CQ02_07765
ko:K17472	lmok:CQ02_07770
ko:K03320	lmok:CQ02_07775
ko:K04751	lmok:CQ02_07780
ko:K01876	lmok:CQ02_07790
ko:K01892	lmok:CQ02_07795
ko:K01448	lmok:CQ02_07800
ko:K07560	lmok:CQ02_07805
ko:K00951	lmok:CQ02_07810
ko:K00759	lmok:CQ02_07815
ko:K07462	lmok:CQ02_07820
ko:K12257	lmok:CQ02_07830
ko:K03210	lmok:CQ02_07840
ko:K00773	lmok:CQ02_07845
ko:K07568	lmok:CQ02_07850
ko:K03574	lmok:CQ02_12030
ko:K07570	lmok:CQ02_12035
ko:K14155	lmok:CQ02_12040
ko:K02004	lmok:CQ02_12045
ko:K02003	lmok:CQ02_12050
ko:K02760	lmok:CQ02_12055
ko:K00928	lmok:CQ02_12060
ko:K03768	lmok:CQ02_12080
ko:K05565	lmok:CQ02_12090
ko:K05566	lmok:CQ02_12095
ko:K05567	lmok:CQ02_12100
ko:K05568	lmok:CQ02_12105
ko:K05569	lmok:CQ02_12110
ko:K05570	lmok:CQ02_12115
ko:K05571	lmok:CQ02_12120
ko:K09775	lmok:CQ02_12130
ko:K03885	lmok:CQ02_12150
ko:K00657	lmok:CQ02_12195
ko:K07090	lmok:CQ02_12215
ko:K09014	lmok:CQ02_12235
ko:K04488	lmok:CQ02_12240
ko:K11717	lmok:CQ02_12245
ko:K09015	lmok:CQ02_12250
ko:K09013	lmok:CQ02_12255
ko:K02073	lmok:CQ02_12265
ko:K02072	lmok:CQ02_12270
ko:K02071	lmok:CQ02_12275
ko:K03753	lmok:CQ02_05440
ko:K03635	lmok:CQ02_05445
