ko:K02115	hpq:hp2017_1086
ko:K02111	hpq:hp2017_1087
ko:K02113	hpq:hp2017_1088
ko:K02110	hpq:hp2017_1168
ko:K00962	hpq:hp2017_1169
ko:K04744	hpq:hp2017_1171
ko:K01945	hpq:hp2017_1173
ko:K00806	hpq:hp2017_1175
ko:K06199	hpq:hp2017_1179
ko:K08311	hpq:hp2017_1182
ko:K00928	hpq:hp2017_1183
ko:K02341	hpq:hp2017_1185
ko:K03686	hpq:hp2017_1291
ko:K00566	hpq:hp2017_1294
ko:K00969	hpq:hp2017_1296
ko:K07722	hpq:hp2017_1297
ko:K03561	hpq:hp2017_1298
ko:K03832	hpq:hp2017_13002
ko:K03284	hpq:hp2017_1304
ko:K00927	hpq:hp2017_1305
ko:K00134	hpq:hp2017_1306
ko:K03648	hpq:hp2017_1307
ko:K00655	hpq:hp2017_1308
ko:K03797	hpq:hp2017_1310
ko:K11752	hpq:hp2017_1440
ko:K03312	hpq:hp2017_1441
ko:K08591	hpq:hp2017_1444
ko:K01633	hpq:hp2017_1445
ko:K01042	hpq:hp2017_1448
ko:K02600	hpq:hp2017_1449
ko:K03655	hpq:hp2017_1452
ko:K01142	hpq:hp2017_1455
ko:K02313	hpq:hp2017_1458
ko:K00820	hpq:hp2017_1461
ko:K01154	hpq:hp2017_1463
ko:K02409	hpq:hp2017_0351
ko:K02410	hpq:hp2017_0352
ko:K02411	hpq:hp2017_0353
ko:K01662	hpq:hp2017_0354
ko:K03596	hpq:hp2017_0355
ko:K02392	hpq:hp2017_0359
ko:K03466	hpq:hp2017_0361
ko:K00615	hpq:hp2017_0363
ko:K11753	hpq:hp2017_0364
ko:K06442	hpq:hp2017_0365
ko:K00609	hpq:hp2017_0367
ko:K07241	hpq:hp2017_0374
ko:K03634	hpq:hp2017_0767
ko:K03070	hpq:hp2017_0768
ko:K01534	hpq:hp2017_0772
ko:K07391	hpq:hp2017_0773
ko:K01462	hpq:hp2017_0774
ko:K01358	hpq:hp2017_0775
ko:K03545	hpq:hp2017_0776
ko:K15846	hpq:hp2017_0778
ko:K03637	hpq:hp2017_0779
ko:K03831	hpq:hp2017_0780
ko:K03636	hpq:hp2017_0782
ko:K14652	hpq:hp2017_0785
ko:K07270	hpq:hp2017_0786
ko:K07043	hpq:hp2017_0787
ko:K00997	hpq:hp2017_0789
ko:K02415	hpq:hp2017_0790
ko:K01586	hpq:hp2017_0297
ko:K01163	hpq:hp2017_0299
ko:K02397	hpq:hp2017_0303
ko:K02888	hpq:hp2017_0304
ko:K02899	hpq:hp2017_0305
ko:K12368	hpq:hp2017_0306
ko:K12370	hpq:hp2017_0308
ko:K12372	hpq:hp2017_0310
ko:K03979	hpq:hp2017_0311
ko:K01845	hpq:hp2017_0314
ko:K01095	hpq:hp2017_0719
ko:K01921	hpq:hp2017_0720
ko:K01929	hpq:hp2017_0722
ko:K00948	hpq:hp2017_0724
ko:K06946	hpq:hp2017_07253
ko:K06180	hpq:hp2017_0726
ko:K03439	hpq:hp2017_0728
ko:K09812	hpq:hp2017_0729
ko:K09811	hpq:hp2017_0730
ko:K02407	hpq:hp2017_0733
ko:K02422	hpq:hp2017_0734
ko:K00246	hpq:hp2017_0197
ko:K01803	hpq:hp2017_0198
ko:K00208	hpq:hp2017_0199
ko:K02536	hpq:hp2017_0200
ko:K00789	hpq:hp2017_0201
ko:K00940	hpq:hp2017_0202
ko:K02911	hpq:hp2017_0204
ko:K03621	hpq:hp2017_0205
ko:K00648	hpq:hp2017_0206
ko:K03495	hpq:hp2017_0218
