ko:K02379	kpw:KPNIH30_00230
ko:K00850	kpw:KPNIH30_00240
ko:K02822	kpw:KPNIH30_00245
ko:K03475	kpw:KPNIH30_00250
ko:K01624	kpw:KPNIH30_00255
ko:K02821	kpw:KPNIH30_00265
ko:K02529	kpw:KPNIH30_00290
ko:K07407	kpw:KPNIH30_00295
ko:K02532	kpw:KPNIH30_00300
ko:K03534	kpw:KPNIH30_00305
ko:K10561	kpw:KPNIH30_00315
ko:K10560	kpw:KPNIH30_00320
ko:K10562	kpw:KPNIH30_00325
ko:K10559	kpw:KPNIH30_00330
ko:K01629	kpw:KPNIH30_00335
ko:K01813	kpw:KPNIH30_00340
ko:K00848	kpw:KPNIH30_00345
ko:K02855	kpw:KPNIH30_00350
ko:K02854	kpw:KPNIH30_00355
ko:K02856	kpw:KPNIH30_00360
ko:K03098	kpw:KPNIH30_03120
ko:K07787	kpw:KPNIH30_03130
ko:K07798	kpw:KPNIH30_03135
ko:K07665	kpw:KPNIH30_03155
ko:K07644	kpw:KPNIH30_03160
ko:K13926	kpw:KPNIH30_03215
ko:K01993	kpw:KPNIH30_03220
ko:K01867	kpw:KPNIH30_03225
ko:K02058	kpw:KPNIH30_03230
ko:K02056	kpw:KPNIH30_03235
ko:K02057	kpw:KPNIH30_03240
ko:K02057	kpw:KPNIH30_03245
ko:K00355	kpw:KPNIH30_03250
ko:K00135	kpw:KPNIH30_03335
ko:K00484	kpw:KPNIH30_03370
ko:K00483	kpw:KPNIH30_03375
ko:K02508	kpw:KPNIH30_03380
ko:K02511	kpw:KPNIH30_03385
ko:K00135	kpw:KPNIH30_09955
ko:K03451	kpw:KPNIH30_09965
ko:K07246	kpw:KPNIH30_09970
ko:K16135	kpw:KPNIH30_09975
ko:K09471	kpw:KPNIH30_09980
ko:K14056	kpw:KPNIH30_09990
ko:K09473	kpw:KPNIH30_09995
ko:K09470	kpw:KPNIH30_10000
ko:K14052	kpw:KPNIH30_10005
ko:K07124	kpw:KPNIH30_10020
ko:K01085	kpw:KPNIH30_10030
ko:K03809	kpw:KPNIH30_10040
ko:K09016	kpw:KPNIH30_10060
ko:K09024	kpw:KPNIH30_10065
ko:K09019	kpw:KPNIH30_10070
ko:K09023	kpw:KPNIH30_10075
ko:K09021	kpw:KPNIH30_10080
ko:K09020	kpw:KPNIH30_10085
ko:K09018	kpw:KPNIH30_10090
ko:K13821	kpw:KPNIH30_10105
ko:K11928	kpw:KPNIH30_10110
ko:K03317	kpw:KPNIH30_10120
ko:K07243	kpw:KPNIH30_10125
ko:K07224	kpw:KPNIH30_10130
ko:K16301	kpw:KPNIH30_10135
ko:K03673	kpw:KPNIH30_10145
ko:K06911	kpw:KPNIH30_10160
ko:K12972	kpw:KPNIH30_10175
ko:K04477	kpw:KPNIH30_10180
ko:K03707	kpw:KPNIH30_13750
ko:K06971	kpw:KPNIH30_13755
ko:K00852	kpw:KPNIH30_13760
ko:K10439	kpw:KPNIH30_13765
ko:K02529	kpw:KPNIH30_13775
ko:K02056	kpw:KPNIH30_13780
ko:K02057	kpw:KPNIH30_13785
ko:K07048	kpw:KPNIH30_13790
ko:K01439	kpw:KPNIH30_13800
ko:K02770	kpw:KPNIH30_13835
ko:K02769	kpw:KPNIH30_13840
ko:K02768	kpw:KPNIH30_13850
ko:K17195	kpw:KPNIH30_13855
ko:K03475	kpw:KPNIH30_13860
ko:K02822	kpw:KPNIH30_13865
ko:K02821	kpw:KPNIH30_13870
ko:K08178	kpw:KPNIH30_13915
ko:K02371	kpw:KPNIH30_13940
ko:K02083	kpw:KPNIH30_13945
ko:K02028	kpw:KPNIH30_13955
ko:K02029	kpw:KPNIH30_13960
ko:K02029	kpw:KPNIH30_13965
ko:K02030	kpw:KPNIH30_13970
ko:K00133	kpw:KPNIH30_14005
ko:K03316	kpw:KPNIH30_17540
ko:K16137	kpw:KPNIH30_17545
ko:K01241	kpw:KPNIH30_17570
ko:K07316	kpw:KPNIH30_17605
ko:K01156	kpw:KPNIH30_17610
ko:K07733	kpw:KPNIH30_17705
