ko:K00942	mtub:MT7199_1419
ko:K03060	mtub:MT7199_1420
ko:K13038	mtub:MT7199_1421
ko:K00789	mtub:MT7199_1422
ko:K04066	mtub:MT7199_1433
ko:K00604	mtub:MT7199_1437
ko:K03500	mtub:MT7199_1438
ko:K01783	mtub:MT7199_1439
ko:K11752	mtub:MT7199_1440
ko:K03587	mtub:MT7199_2195
ko:K03438	mtub:MT7199_2197
ko:K03925	mtub:MT7199_2198
ko:K01626	mtub:MT7199_2208
ko:K00655	mtub:MT7199_2212
ko:K00766	mtub:MT7199_2222
ko:K02276	mtub:MT7199_2223
ko:K02275	mtub:MT7199_2230
ko:K01953	mtub:MT7199_2231
ko:K00865	mtub:MT7199_2235
ko:K00768	mtub:MT7199_2237
ko:K02233	mtub:MT7199_2238
ko:K00826	mtub:MT7199_2240
ko:K00605	mtub:MT7199_2241
ko:K03106	mtub:MT7199_2949
ko:K00990	mtub:MT7199_2951
ko:K04751	mtub:MT7199_2952
ko:K03320	mtub:MT7199_2953
ko:K03110	mtub:MT7199_2954
ko:K03529	mtub:MT7199_2955
ko:K01512	mtub:MT7199_2956
ko:K03685	mtub:MT7199_2959
ko:K07040	mtub:MT7199_2960
ko:K01579	mtub:MT7199_3664
ko:K01918	mtub:MT7199_3665
ko:K00950	mtub:MT7199_3669
ko:K01633	mtub:MT7199_3670
ko:K00796	mtub:MT7199_3671
ko:K01495	mtub:MT7199_3672
ko:K03798	mtub:MT7199_3673
ko:K09807	mtub:MT7199_3686
ko:K00760	mtub:MT7199_3687
ko:K04075	mtub:MT7199_3688
ko:K07259	mtub:MT7199_3690
ko:K09799	mtub:MT7199_3692
ko:K04095	mtub:MT7199_3704
ko:K00459	mtub:MT7199_0021
ko:K07735	mtub:MT7199_0038
ko:K01869	mtub:MT7199_0041
ko:K01858	mtub:MT7199_0046
ko:K02990	mtub:MT7199_0053
ko:K02963	mtub:MT7199_0055
ko:K02939	mtub:MT7199_0056
ko:K00031	mtub:MT7199_0067
ko:K01945	mtub:MT7199_0793
ko:K01756	mtub:MT7199_0798
ko:K01923	mtub:MT7199_0801
ko:K01354	mtub:MT7199_0802
ko:K01952	mtub:MT7199_0808
ko:K01952	mtub:MT7199_0809
ko:K03710	mtub:MT7199_0813
ko:K00382	mtub:MT7199_0815
ko:K07223	mtub:MT7199_0818
ko:K01952	mtub:MT7199_0822
ko:K00764	mtub:MT7199_0827
ko:K01933	mtub:MT7199_0828
ko:K06980	mtub:MT7199_0830
ko:K01711	mtub:MT7199_1547
ko:K02377	mtub:MT7199_1548
ko:K01870	mtub:MT7199_1572
ko:K02346	mtub:MT7199_1573
ko:K03101	mtub:MT7199_1575
ko:K06180	mtub:MT7199_1576
ko:K06886	mtub:MT7199_1578
ko:K07124	mtub:MT7199_1580
ko:K02337	mtub:MT7199_1583
ko:K00631	mtub:MT7199_1587
ko:K03568	mtub:MT7199_2345
ko:K16785	mtub:MT7199_2355
ko:K16786	mtub:MT7199_2356
ko:K16787	mtub:MT7199_2356
ko:K02575	mtub:MT7199_2359
ko:K01738	mtub:MT7199_2365
ko:K00640	mtub:MT7199_2366
ko:K01129	mtub:MT7199_2377
ko:K01114	mtub:MT7199_2382
ko:K01114	mtub:MT7199_2383
ko:K01114	mtub:MT7199_2384
ko:K01880	mtub:MT7199_2388
ko:K02013	mtub:MT7199_3075
ko:K01079	mtub:MT7199_3076
ko:K02016	mtub:MT7199_3078
ko:K13979	mtub:MT7199_3079
ko:K02346	mtub:MT7199_3090
ko:K06200	mtub:MT7199_3097
ko:K15977	mtub:MT7199_3098
ko:K06199	mtub:MT7199_3103
ko:K06199	mtub:MT7199_3104
ko:K01644	mtub:MT7199_3109
ko:K09129	mtub:MT7199_3802
ko:K11991	mtub:MT7199_3819
ko:K09957	mtub:MT7199_3822
ko:K05846	mtub:MT7199_3823
ko:K05846	mtub:MT7199_3824
ko:K05847	mtub:MT7199_3825
ko:K05845	mtub:MT7199_3826
ko:K00817	mtub:MT7199_3841
ko:K13572	mtub:MT7199_2127
ko:K01939	mtub:MT7199_0363
ko:K06213	mtub:MT7199_0368
ko:K01624	mtub:MT7199_0369
ko:K03975	mtub:MT7199_0370
ko:K07141	mtub:MT7199_0377
ko:K07402	mtub:MT7199_0378
ko:K12435	mtub:MT7199_1683
ko:K01752	mtub:MT7199_0070
ko:K00600	mtub:MT7199_0071
ko:K02003	mtub:MT7199_0074
ko:K14155	mtub:MT7199_0076
ko:K12140	mtub:MT7199_0087
ko:K12141	mtub:MT7199_0088
ko:K02902	mtub:MT7199_0107
ko:K03271	mtub:MT7199_0115
ko:K03273	mtub:MT7199_0116
ko:K02036	mtub:MT7199_0839
ko:K02039	mtub:MT7199_0840
ko:K03921	mtub:MT7199_0843
ko:K08641	mtub:MT7199_0857
ko:K00161	mtub:MT7199_0862
ko:K01738	mtub:MT7199_0867
ko:K14267	mtub:MT7199_0877
ko:K00246	mtub:MT7199_1590
ko:K01754	mtub:MT7199_1595
ko:K01236	mtub:MT7199_1598
ko:K06044	mtub:MT7199_1599
ko:K00833	mtub:MT7199_1604
ko:K01935	mtub:MT7199_1606
ko:K01012	mtub:MT7199_1609
ko:K03517	mtub:MT7199_1614
ko:K00278	mtub:MT7199_1615
ko:K00767	mtub:MT7199_1616
ko:K00013	mtub:MT7199_1619
ko:K00817	mtub:MT7199_1620
ko:K01693	mtub:MT7199_1621
ko:K02501	mtub:MT7199_1622
ko:K02500	mtub:MT7199_1625
ko:K07300	mtub:MT7199_1627
ko:K03564	mtub:MT7199_1628
ko:K01657	mtub:MT7199_1629
ko:K01609	mtub:MT7199_1631
ko:K01696	mtub:MT7199_1632
ko:K01695	mtub:MT7199_1633
ko:K03584	mtub:MT7199_2393
ko:K07042	mtub:MT7199_2398
ko:K09761	mtub:MT7199_2403
ko:K03686	mtub:MT7199_2404
ko:K03705	mtub:MT7199_2405
ko:K07086	mtub:MT7199_2418
ko:K00390	mtub:MT7199_2423
ko:K02045	mtub:MT7199_2428
ko:K02047	mtub:MT7199_2429
ko:K02046	mtub:MT7199_2430
ko:K02048	mtub:MT7199_2431
ko:K03664	mtub:MT7199_3133
ko:K09811	mtub:MT7199_3134
ko:K09812	mtub:MT7199_3135
ko:K02836	mtub:MT7199_3138
