ko:K07735	apf:APA03_02840
ko:K06958	apf:APA03_02850
ko:K14980	apf:APA03_02870
ko:K14981	apf:APA03_02880
ko:K03687	apf:APA03_02890
ko:K04043	apf:APA03_02900
ko:K03686	apf:APA03_02910
ko:K00215	apf:APA03_02920
ko:K00789	apf:APA03_02930
ko:K03439	apf:APA03_02940
ko:K00602	apf:APA03_02950
ko:K01879	apf:APA03_03000
ko:K01878	apf:APA03_03010
ko:K09945	apf:APA03_03020
ko:K03820	apf:APA03_03040
ko:K00208	apf:APA03_11520
ko:K01736	apf:APA03_11530
ko:K00116	apf:APA03_11550
ko:K01737	apf:APA03_11560
ko:K06920	apf:APA03_11570
ko:K01012	apf:APA03_11590
ko:K00390	apf:APA03_11610
ko:K00957	apf:APA03_11620
ko:K00955	apf:APA03_11630
ko:K00381	apf:APA03_11650
ko:K02527	apf:APA03_11670
ko:K00912	apf:APA03_11680
ko:K02517	apf:APA03_11690
ko:K07082	apf:APA03_11720
ko:K09458	apf:APA03_11730
ko:K02078	apf:APA03_11740
ko:K00645	apf:APA03_11760
ko:K02002	apf:APA03_11790
ko:K03704	apf:APA03_11840
ko:K03664	apf:APA03_11850
ko:K01714	apf:APA03_11860
ko:K00979	apf:APA03_11880
ko:K07391	apf:APA03_11920
ko:K06131	apf:APA03_11980
ko:K07460	apf:APA03_11970
ko:K07390	apf:APA03_12000
ko:K01952	apf:APA03_12020
ko:K01952	apf:APA03_12030
ko:K01952	apf:APA03_12050
ko:K03777	apf:APA03_20440
ko:K00767	apf:APA03_20490
ko:K03517	apf:APA03_20500
ko:K03885	apf:APA03_20530
ko:K06911	apf:APA03_20580
ko:K03561	apf:APA03_20630
ko:K03832	apf:APA03_20640
ko:K07160	apf:APA03_20680
ko:K01961	apf:APA03_20730
ko:K00812	apf:APA03_20750
ko:K07090	apf:APA03_41560
ko:K01908	apf:APA03_41600
ko:K01502	apf:APA03_41660
ko:K03581	apf:APA03_41760
ko:K01154	apf:APA03_41860
ko:K03427	apf:APA03_41890
ko:K01438	apf:APA03_41960
ko:K03628	apf:APA03_03080
ko:K03284	apf:APA03_03100
ko:K01696	apf:APA03_03110
ko:K01695	apf:APA03_03120
ko:K07007	apf:APA03_03130
ko:K06915	apf:APA03_03140
ko:K02502	apf:APA03_03150
ko:K01939	apf:APA03_03160
ko:K07636	apf:APA03_03180
ko:K02040	apf:APA03_03190
ko:K01093	apf:APA03_03230
ko:K00145	apf:APA03_03310
ko:K04079	apf:APA03_03340
ko:K01173	apf:APA03_03550
ko:K01720	apf:APA03_03590
ko:K01895	apf:APA03_03620
ko:K01923	apf:APA03_12060
ko:K01756	apf:APA03_12070
ko:K08309	apf:APA03_12090
ko:K01095	apf:APA03_12100
ko:K03644	apf:APA03_12140
ko:K00382	apf:APA03_12150
ko:K00627	apf:APA03_12160
ko:K00162	apf:APA03_12170
ko:K00161	apf:APA03_12180
ko:K03637	apf:APA03_12190
ko:K01609	apf:APA03_12200
ko:K00766	apf:APA03_12210
ko:K01657	apf:APA03_12230
ko:K03770	apf:APA03_12240
ko:K01803	apf:APA03_12250
ko:K03075	apf:APA03_12260
ko:K01937	apf:APA03_12270
ko:K01627	apf:APA03_12280
ko:K02470	apf:APA03_12290
ko:K03629	apf:APA03_12300
ko:K02338	apf:APA03_12310
ko:K02313	apf:APA03_12320
ko:K02968	apf:APA03_12330
ko:K03183	apf:APA03_12350
ko:K13038	apf:APA03_12360
ko:K01873	apf:APA03_12410
ko:K09991	apf:APA03_12420
ko:K00573	apf:APA03_12440
ko:K00946	apf:APA03_12510
ko:K03625	apf:APA03_12520
